date,open,high,low,close,volume
2024-06-03,142.28,142.3099,137.9601,138.93,2345919.0
2024-06-04,137.22,139.17,136.25,136.99,3146978.0
2024-06-05,137.55,138.035,136.1201,137.39,2190448.0
2024-06-06,137.1,138.53,136.49,138.37,1567550.0
2024-06-07,137.86,139.36,136.6,138.07,1687292.0
2024-06-10,137.9,139.1,136.9,138.12,1861528.0
2024-06-11,136.94,138.33,135.475,138.29,1692571.0
2024-06-12,139.45,139.67,134.86,136.01,2217708.0
2024-06-13,136.09,138.26,134.06,137.67,3486365.0
2024-06-14,137.5,137.89,136.17,136.76,2107760.0
2024-06-17,136.46,137.69,136.01,137.29,1790833.0
2024-06-18,137.85,138.555,135.33,135.85,2588767.0
2024-06-20,135.85,139.615,135.79,137.96,2740482.0
2024-06-21,138.74,139.18,137.19,138.09,6463625.0
2024-06-24,137.03,139.55,137.02,138.55,1919236.0
2024-06-25,138.36,140.545,137.45,140.24,1935058.0
2024-06-26,140.09,140.62,137.61,139.78,1517679.0
2024-06-27,140.59,140.6,138.62,139.4,1847282.0
2024-06-28,140.7,142.19,139.22,141.17,10211532.0
2024-07-01,141.71,142.65,139.7,140.93,1422906.0
2024-07-02,141.78,143.04,139.82,140.47,2622108.0
2024-07-03,140.23,140.87,139.06,140.37,1081569.0
2024-07-05,140.16,140.5,137.49,138.4,1605457.0
2024-07-08,137.61,139.21,135.84,135.95,1646969.0
2024-07-09,133.02,135.31,132.01,132.81,2594614.0
2024-07-10,132.5,134.88,132.4,133.97,2052311.0
2024-07-11,133.9,137.31,132.78,136.92,1900212.0
2024-07-12,137.93,138.91,135.64,138.64,1810122.0
2024-07-15,139.07,140.985,138.43,140.07,1627444.0
2024-07-16,139.37,140.74,138.04,139.78,1570499.0
2024-07-17,140.32,143.05,139.88,140.74,2074767.0
2024-07-18,139.87,140.085,136.95,137.7,2405653.0
2024-07-19,138.61,139.27,136.4601,138.47,1787005.0
2024-07-22,138.02,140.366,137.33,140.11,1688581.0
2024-07-23,139.51,139.9,136.53,137.07,1745908.0
