date,open,high,low,close,volume
2024-06-03,34,34.51,33.88,34.48,6239849.0
2024-06-04,34.31,35.02,33.9,35,6449454.0
2024-06-05,35.91,35.91,34.9,35.6,5451701.0
2024-06-06,35.4,36.12,35.3148,35.64,3674615.0
2024-06-07,35.27,36.07,35.18,35.63,5729900.0
2024-06-10,35.3,35.53,34.84,34.99,4883884.0
2024-06-11,34.92,35.7,34.76,35.49,3826096.0
2024-06-12,36.47,36.605,35.875,36.03,4725006.0
2024-06-13,37.05,37.3,35.38,35.52,6325360.0
2024-06-14,35.32,35.79,34.885,35.1,5713608.0
2024-06-17,34.86,36.24,34.41,35.9,6852478.0
2024-06-18,35.9,36.13,35.505,35.9,4973376.0
2024-06-20,35.87,36.04,35.35,35.86,4392470.0
2024-06-21,35.8,36.27,35.53,36.16,8012304.0
2024-06-24,35.99,36.34,34.895,35.19,5627206.0
2024-06-25,35.25,35.44,34.62,35.43,5569449.0
2024-06-26,35.37,37.33,35.27,36.91,8337749.0
2024-06-27,36.67,37.79,36.63,37.22,5181893.0
2024-06-28,37.13,37.5,36.97,37.21,7546038.0
2024-07-01,37.11,37.13,36.37,37.06,3638942.0
2024-07-02,36.75,37.76,36.47,37.14,4096644.0
2024-07-03,37.39,38.47,37.35,37.77,3947509.0
2024-07-05,37.66,38.7,37.46,38.68,4445726.0
2024-07-08,39,39.92,38.37,39.82,7844983.0
2024-07-09,39.91,39.99,39.005,39.39,5112994.0
2024-07-10,39.58,39.77,38.605,39.66,3863586.0
2024-07-11,39.63,39.89,38.43,38.52,4325061.0
2024-07-12,39.86,40.68,39.49,40.53,8292145.0
2024-07-15,40.7,41.62,40.25,41.11,6457385.0
2024-07-16,41.27,41.485,40.7,41.28,4620516.0
2024-07-17,40.48,41.03,39.53,40,5135329.0
2024-07-18,40.07,40.725,39.56,39.79,3332829.0
2024-07-19,39.7,40.76,39.52,40.52,4053912.0
2024-07-22,40.99,41.285,40.77,41,3660874.0
2024-07-23,40.3,41.165,40.23,41.08,4680139.0
2024-07-24,40.47,41.08,39.89,39.96,3150361.0
2024-07-25,40.01,41.14,39.55,40.54,3589795.0
2024-07-26,41,41.08,40.0002,40.51,3194512.0
2024-07-29,40.95,41,40.2,40.57,6316402.0
2024-07-30,40.75,41.389,40.67,41.03,5584077.0
2024-07-31,41.49,42.04,41.04,41.52,7762792.0
2024-08-01,40.09,41.04,37.34,38.85,15411281.0
2024-08-02,38.145,39.255,37.305,39.04,7398291.0
2024-08-05,36.6,37.29,35.3,36.53,13114046.0
2024-08-06,36.96,38.11,36.18,37.67,9926128.0
2024-08-07,38.11,38.7,36.07,36.18,6472068.0
2024-08-08,36.49,37.32,36.32,37.17,6219718.0
2024-08-09,37.33,37.55,36.77,37.02,4669686.0
2024-08-12,37.14,37.9,36.91,37.32,5298449.0
2024-08-13,38.45,39.68,38.0501,38.75,6551069.0
2024-08-14,38.86,39.19,38.645,39.09,3691551.0
2024-08-15,39.68,40.62,39.22,40.5,5084761.0
2024-08-16,40.3,41.17,40.24,40.59,6136551.0
2024-08-19,40.54,40.87,39.72,40.86,6661454.0
2024-08-20,40.5,40.74,39.72,40.54,11753153.0
2024-08-21,40.68,43.49,40.67,43.35,11870237.0
2024-08-22,43.45,44.03,43.14,43.36,8955063.0
2024-08-23,43.6,44.425,43.28,44.16,6266460.0
2024-08-26,44.05,44.48,43.71,43.94,4192801.0
2024-08-27,43.27,44.22,43.09,44.16,5312048.0
2024-08-28,44.16,44.51,43.73,44.13,4182658.0
2024-08-29,44.45,44.85,43.445,43.57,4613839.0
2024-08-30,43.72,44.49,43.59,43.99,5261596.0
2024-09-03,43.88,44.03,42.485,42.92,5256657.0
2024-09-04,42.78,43.88,42.61,43.26,3111890.0
2024-09-05,43.06,43.8,43.02,43.71,3008246.0
2024-09-06,44.8,44.96,42.325,43.64,6198955.0
2024-09-09,44.12,45,43.195,43.62,6759306.0
2024-09-10,43.83,44.9,43.645,44.9,4463806.0
2024-09-11,44.37,45.07,43.84,44.99,6618571.0
2024-09-12,45.01,46,44.53,45.41,5292237.0
2024-09-13,45.44,46.12,45.28,45.87,4713434.0
2024-09-16,45.82,47.495,45.64,46.24,8226591.0
2024-09-17,46.42,46.98,45.52,45.74,5190928.0
2024-09-18,45.75,46.14,45.11,45.28,6325447.0
2024-09-19,46.15,46.845,45.66,46.3,7080337.0
2024-09-20,45.99,46.56,45.54,46.03,7791371.0
2024-09-23,46.26,46.44,45.1,45.53,9134790.0
2024-09-24,45.31,47.21,45.17,47.11,9528658.0
2024-09-25,47.45,48.43,47.26,47.64,7804352.0
2024-09-26,47.81,47.93,44.6101,44.87,7965950.0
2024-09-27,44.63,45.05,43.76,44.18,6093694.0
2024-09-30,44.08,44.64,43.9,44.26,4187374.0
2024-10-01,44.38,44.46,42.86,43.53,4922720.0
2024-10-02,43.32,43.85,42.88,43.39,6515335.0
2024-10-03,43.01,43.32,41.81,42.18,7790190.0
2024-10-04,42.64,42.702,40.88,41.99,8199502.0
2024-10-07,41.81,41.94,41.27,41.39,6662791.0
2024-10-08,37.65,40.52,37.5,40.51,30320584.0
2024-10-09,40.61,42.365,40.5601,41.74,10691274.0
2024-10-10,41.35,42.13,41.2096,41.4,6463105.0
2024-10-11,41.32,41.65,41.1,41.6,4436464.0
2024-10-14,41.66,41.72,39.93,40.79,7192131.0
2024-10-15,40.95,41.3875,40.39,40.76,6115309.0
2024-10-16,40.735,41.71,40.515,41.39,5360569.0
2024-10-17,41.68,41.75,39.83,39.86,5973375.0
2024-10-18,39.99,40.155,39.3,39.93,5751502.0
2024-10-21,39.5,40.37,39.46,40.31,4626917.0
2024-10-22,40.84,41.66,40.57,41.29,6027097.0
2024-10-23,42.4,43,41.125,41.16,5882382.0
2024-10-24,41.43,41.94,41.17,41.78,4923055.0
2024-10-25,42.14,42.495,41.94,42.14,7142449.0
2024-10-28,42.59,43.145,42.18,42.3,5830532.0
2024-10-29,42.145,42.96,41.5,42.61,5487389.0
2024-10-30,42.72,43.54,42.36,43.14,6682811.0
2024-10-31,51.12,52.65,48,51.72,37475785.0
2024-11-01,51.11,52.07,50.66,51.44,12925147.0
2024-11-04,52.74,53.07,49.97,50,19491439.0
2024-11-05,49.92,51.6099,49.61,51.18,10265805.0
2024-11-06,51.99,53,50.85,52.9,8570916.0
2024-11-07,52.88,53.66,51.8501,53.11,7974557.0
2024-11-08,52.88,54.07,52.17,52.4,8165613.0
2024-11-11,52.45,55.1,52.38,54.56,12354532.0
2024-11-12,54.15,55.09,54.1,54.38,10280627.0
2024-11-13,54.45,54.65,52.91,53.14,8333890.0
2024-11-14,52.37,53.57,51.82,52.73,6913566.0
2024-11-15,52.5,52.53,50.68,50.73,9122580.0
2024-11-18,51,51.25,50.21,51.03,14484486.0
2024-11-19,50.53,53.16,50.53,52.24,9487447.0
2024-11-20,52.29,52.32,50.6,51.52,13117623.0
2024-11-21,51.035,51.4,48.1,49.35,15731639.0
2024-11-22,49.28,50.3759,48.61,49.38,6826557.0
2024-11-25,49.13,49.49,47.95,49.16,9519130.0
2024-11-26,49.18,50.01,48.93,49.06,6919336.0
2024-11-27,49.09,50.545,48.61,49.37,5617883.0
2024-11-29,49.81,50.73,49.68,50.13,3629228.0
2024-12-02,50.99,52.65,50.94,52.16,8231654.0
2024-12-03,51.76,53.63,51.63,53.53,6239366.0
2024-12-04,53.92,54.61,53.36,54.54,5883503.0
2024-12-05,54.94,59.14,54.73,58.94,21008695.0
2024-12-06,58.87,59.8,57.76,59.31,8964106.0
2024-12-09,59.22,59.22,55.6104,56.93,8585134.0
2024-12-10,56.91,57.41,55.65,56.26,5276999.0
2024-12-11,58.41,61.01,57.65,59.89,13017117.0
2024-12-12,59.89,61.05,58.6,59.61,6492403.0
2024-12-13,60,60.217,58.7762,59.6,5793531.0
2024-12-16,58.87,61.77,58.424,61.45,6389609.0
2024-12-17,60.85,61.35,59.3201,61.25,5141349.0
2024-12-18,60.833,61.53,58.24,58.8,7498766.0
2024-12-19,58.33,59.565,57.88,58.91,5903672.0
2024-12-20,57.92,60.17,57.49,60.11,8456404.0
2024-12-23,60.44,60.63,59.05,59.27,4592649.0
2024-12-24,59.17,59.63,57.8911,59.56,2071751.0
2024-12-26,59,60.1,58.85,59.93,2723140.0
2024-12-27,59.95,59.95,58.33,59.45,3353382.0
2024-12-30,58.13,59.209,57.3,58.48,3756871.0
2024-12-31,58.52,58.7812,57.71,57.86,2887975.0
2025-01-02,58.5,59.105,57.02,58.84,4918810.0
2025-01-03,59.13,61,59.13,60.47,4657284.0
2025-01-06,60.71,62.4199,60.57,61.93,7279936.0
2025-01-07,62.41,62.48,59.96,61.3,5780754.0
2025-01-08,62.83,63.58,60.71,62.05,8283571.0
2025-01-10,61.36,62.1999,60.1335,61.82,6191024.0
2025-01-13,60.57,61.42,59.39,61.37,7364082.0
2025-01-14,62.145,62.98,61.33,62.26,7653462.0
2025-01-15,63.515,64.43,62.79,63.74,6072557.0
2025-01-16,64.53,66.51,64.3,65.26,9823869.0
2025-01-17,66.28,66.4499,65.1301,65.53,5766953.0
2025-01-21,66.37,66.86,65.63,66.1,5421141.0
2025-01-22,66.52,66.85,65.21,66,5600355.0
2025-01-23,64.77,67.32,64.1,67.11,6112464.0
2025-01-24,67.2,67.43,66.52,67.07,3650626.0
2025-01-27,64.32,67.864,63.88,67.17,5308557.0
2025-01-28,67.465,69.12,66.91,68.43,5572091.0
2025-01-29,68.85,70.68,68.06,70.08,6473026.0
