date,open,high,low,close,volume,vwap,transactions
2024-10-01,1054.06,1061.6,1040.4,1046.91,599374,1048.0935,21670
2024-10-02,1040.49,1045.95,1025.97,1040.27,687007,1039.4685,21184
2024-10-03,1037.5,1038.81,1011.36,1014.59,797597,1019.8453,27916
2024-10-04,1015.4,1023.09,1007.28,1012.82,1071799,1013.3268,30083
2024-10-07,1011.22,1011.7,992.795,996.05,583567,998.3997,23963
2024-10-08,1001.5,1007.99,993.005,1005.26,736046,1001.4165,22500
2024-10-09,1007.46,1014.63,1001,1012.19,598337,1009.26,19040
2024-10-10,1011.56,1013.91,998.17,999.02,510916,1001.8816,19734
2024-10-11,1003.31,1017.74,996.28,1015.67,474128,1011.6565,15634
2024-10-14,1018.48,1023.69,1009.45,1014.25,497320,1014.4529,18121
2024-10-15,1016.83,1024.36,1003.79,1016.53,514389,1015.6776,20952
2024-10-16,1011.57,1020.5492,1007.32,1007.96,367145,1011.7476,16325
2024-10-17,1010.05,1013.0875,997.67,998.23,739689,1002.084,23767
2024-10-18,998,1002.69,989.77,990.68,869228,994.7923,22577
2024-10-21,985.9,991.235,967.9,968.5,794308,973.5143,27176
2024-10-22,963,972.745,919.42,962.34,1511744,952.1329,45896
2024-10-23,951.8,959.6,932.53,941.39,850298,939.2725,29354
2024-10-24,945.71,952.02,928.5,928.9,523425,934.6464,19404
2024-10-25,930.23,943.83,930.23,933.02,547777,935.4259,22514
2024-10-28,934.78,943.27,927.2,928.61,578686,932.5978,21440
2024-10-29,927.2,932.38,923.75,927.33,680470,927.3841,21909
2024-10-30,919.73,935.86,914.845,922.79,628780,925.0379,23691
2024-10-31,875,883.15,815.99,838.2,2291795,835.4217,66633
2024-11-01,844.61,862,837.88,843.6,1087285,844.6019,32366
2024-11-04,845.59,852.01,826.76,828.84,743692,836.2306,27934
2024-11-05,824.94,836.6299,819.14,829.43,633293,827.4194,24284
2024-11-06,844.51,844.51,813.53,816.65,879570,819.0131,33666
2024-11-07,817.88,832.53,814.05,824.48,780936,823.5109,23993
2024-11-08,826.57,830.73,822.8,828.42,563585,827.4798,21114
2024-11-11,824,834.42,820.4548,825.68,691831,826.4317,23059
2024-11-12,824.31,831,817.14,821,677644,821.0266,25042
2024-11-13,815.45,823.56,803.33,804.33,589558,810.0917,26882
2024-11-14,800.15,803.415,780.95,782.51,1086987,790.0935,36766
2024-11-15,782.78,783.1,753.69,756.81,1374549,760.4473,39811
2024-11-18,751.97,762.7,750.2,762,1027843,759.654,27823
2024-11-19,756.56,758.6,736.19,744.6,979861,745.576,31154
2024-11-20,742.19,750.6866,736.01,743.35,654566,743.2389,22413
2024-11-21,744.87,757.555,735.9548,744.5,973061,746.2467,25998
2024-11-22,744.7,751.4,737.63,738,1029511,744.2039,29329
2024-11-25,747.97,757.86,741.62,749.51,1196546,748.7455,28961
2024-11-26,743.19,754.18,736.5,753.03,780023,749.1152,24859
2024-11-27,756.72,762.16,749.515,754.87,544779,755.9617,18397
2024-11-29,746.62,754.505,740,750.22,489751,748.2713,16482
2024-12-02,750.01,763.89,748.4074,762.34,896231,759.4665,25651
2024-12-03,758.53,770,747.565,749.57,649997,751.8874,24579
2024-12-04,748.56,756.1297,744.14,754.26,731782,751.7947,22908
2024-12-05,751.55,768.02,749.685,767.9,779214,763.3496,23905
2024-12-06,768.64,778.12,765.16,778,813685,775.2798,26259
2024-12-09,777,800.99,773,788,1027402,789.1676,33195
2024-12-10,784.1,791.49,762.695,778.5,1298557,774.6666,38027
2024-12-11,778.15,781.32,766.865,773,776927,775.1443,23919
2024-12-12,773.12,778.7346,740.46,740.97,924298,749.6233,30839
2024-12-13,738.45,740.17,728.68,731.3,696989,732.664,28214
2024-12-16,730.52,739.39,722.23,724.87,920351,728.1106,27445
2024-12-17,721.37,744.8,721.082,740.01,978744,739.5234,29844
2024-12-18,735.21,745,712.3,714.62,908073,723.7333,29290
2024-12-19,711,714.05,693,708.25,1086697,705.6175,36148
2024-12-20,710.2,717.6099,700.83,701.85,1889990,704.4676,28439
2024-12-23,708.38,718.19,706.16,715.13,866549,713.6078,23644
2024-12-24,712.3,720,706.15,714.47,382145,711.6258,12547
2024-12-26,709.08,718.4899,709.08,716.68,619266,715.6805,16587
2024-12-27,710.52,718.99,709.09,712.4,795575,712.8223,20577
2024-12-30,708.04,708.965,700.4155,702.59,537464,703.5626,19724
2024-12-31,703.9,713,703.3862,712.33,473568,710.1027,18265
2025-01-02,720.86,726.81,711.92,715.19,479136,715.2179,17642
2025-01-03,716.07,722,714.76,718.15,557961,718.5323,18674
2025-01-06,715,733.69,713.75,716.26,820344,720.2466,26527
2025-01-07,716.34,734.44,716.34,730.3,802573,729.7639,25386
2025-01-08,728.04,743.28,725.6,733.59,758834,735.7316,32333
2025-01-10,721.33,724.73,691,696.88,1117310,699.4322,38121
2025-01-13,669.24,717.37,666.2485,716.9,1406307,696.6866,42373
2025-01-14,714.01,715.98,686,690.87,791672,695.9997,27113
2025-01-15,700.61,712.6,698.2,703.43,880442,703.5513,29162
2025-01-16,701.04,706.54,691.33,693.23,854097,698.542,25561
2025-01-17,705.34,707.48,680.89,681.58,1111946,686.1175,29041
2025-01-21,687.46,692.93,681.52,687.8,1145326,687.3246,31490
2025-01-22,689.77,699.88,677.68,680.03,945295,684.4146,30630
2025-01-23,680.54,696.19,678.28,694.64,1145204,688.1007,29091
2025-01-24,688.74,693.84,675.11,675.79,1021763,680.7971,32361
2025-01-27,676.73,698.45,676.73,684.71,1051614,686.0876,34956
2025-01-28,682.11,690.302,678.13,686.33,640390,685.9004,24241
2025-01-29,685.96,697.57,682.325,687.27,522835,688.8038,23733
2025-01-30,688.31,689.62,674.33,683.08,771780,681.9827,25703
2025-01-31,677.29,687.9999,671.96,672.98,943994,677.721,30910
2025-02-03,668.8,673.65,663.4302,666.85,1009172,667.7355,33680
2025-02-04,650,709.98,642,697.05,1654901,693.0781,48211
2025-02-05,708.8,729.25,700.01,716.72,1436289,715.9145,44931
2025-02-06,713.42,734.265,713.42,722.07,1116850,722.8831,32812
2025-02-07,726.46,731.42,709.55,710,886055,717.5519,27086
2025-02-10,714.45,719.78,688.92,690.36,918752,697.3865,27969
2025-02-11,680.63,680.79,664.19,665.46,1270975,669.0488,30246
2025-02-12,659.96,670.98,655.85,663.86,1292245,663.1766,29779
2025-02-13,665.46,677.69,661.9381,674.27,604761,672.4068,20828
2025-02-14,678.2,684,671.55,673.6,623017,676.2245,19657
2025-02-18,679.64,689.95,674.88,680,826119,681.0408,22297
2025-02-19,675.29,688.67,675.29,685.66,638439,684.771,19463
2025-02-20,688.05,703.1436,685.45,696.02,627592,695.8121,21683
2025-02-21,697.93,704.08,693.07,700.33,727437,700.077,25316
2025-02-24,703.93,725,700.4301,713.25,896498,714.4527,32060
2025-02-25,720,739,715.5,723.47,1050130,727.1809,33854
2025-02-26,721.29,721.405,701.07,706.94,713047,708.3211,25882
2025-02-27,705.9,721,700.67,702.78,568541,707.9439,21128
2025-02-28,701.32,708.58,693.71,698.74,1028932,697.9611,29159
2025-03-03,701.91,704.6449,683.46,684.87,708660,687.4355,26181
2025-03-04,688.48,697.455,672.5,675.49,1197662,681.0357,37199
2025-03-05,673.98,692.79,673.15,687.15,828933,683.3924,22184
2025-03-06,683.1,701,682.255,698.44,865990,694.8705,26465
2025-03-07,698.63,729.7499,696.43,707.51,1083901,714.8335,34643
2025-03-10,710.01,748.29,709.38,744.83,1631748,740.0356,53957
2025-03-11,746.7,747.6987,712.39,718.16,1108133,719.5716,42723
2025-03-12,709.94,712.455,683.425,689.5,808455,691.3544,34042
2025-03-13,687.43,698.945,677.34,680.61,863964,682.8703,28987
2025-03-14,680.61,686.98,657,666.87,1306089,668.1788,42686
2025-03-17,668.26,679.83,664.675,678.42,942913,674.5982,29746
2025-03-18,678,678.27,664.3,664.96,608079,669.5868,23859
2025-03-19,663.67,674.57,659.03,672.36,675733,668.771,25742
2025-03-20,670,674.83,662.33,662.62,662987,665.292,22999
2025-03-21,658,661,651.06,658.48,1869340,657.6233,31854
2025-03-24,660,667.46,655.3,661,962374,659.5468,28833
2025-03-25,662.45,662.5699,633.1,634.14,852917,641.3317,33610
2025-03-26,634.14,644,629.02,640.14,1251942,638.1956,30875
2025-03-27,641.21,643.43,629.94,635.83,811470,636.3689,26461
2025-03-28,638.01,642.97,631.45,637.36,805944,637.8963,21686
