date,open,high,low,close,volume
2024-06-03,11.128,11.42,10.64,11.4,35600511.0
2024-06-04,11.305,11.55,11.12,11.22,26634685.0
2024-06-05,11.26,11.51,11.0912,11.45,24804619.0
2024-06-06,11.27,11.81,11.145,11.74,28721395.0
2024-06-07,11.51,11.9,11.35,11.52,24524472.0
2024-06-10,11.43,11.97,11.3809,11.87,23170502.0
2024-06-11,11.76,11.9,11.52,11.83,18333646.0
2024-06-12,12.25,12.46,11.73,11.8,35059949.0
2024-06-13,11.83,11.89,11.07,11.11,28689807.0
2024-06-14,10.92,11.235,10.81,10.88,21323744.0
2024-06-17,10.88,11.105,10.65,10.96,21250291.0
2024-06-18,10.83,11.21,10.71,11.02,20047831.0
2024-06-20,10.77,10.8684,10.28,10.33,31233703.0
2024-06-21,10.33,10.43,10.15,10.32,33064028.0
2024-06-24,10.32,11.13,10.31,11.01,31892135.0
2024-06-25,11.12,12.04,11.0701,11.96,103089181.0
2024-06-26,16.33,16.35,14.17,14.74,261953225.0
2024-06-27,13.96,14.668,13.43,14.47,96798082.0
2024-06-28,14.49,15.12,13.21,13.42,88110272.0
2024-07-01,13.46,14.51,13.31,13.92,74020629.0
2024-07-02,14.27,15.18,13.9499,14.89,88608925.0
2024-07-03,14.8,15.31,14.53,14.65,52620506.0
2024-07-05,14.58,14.86,14.03,14.79,37013127.0
2024-07-08,14.82,15.77,14.45,15.49,56415279.0
2024-07-09,15.5,16.17,15.35,15.71,49960239.0
2024-07-10,15.85,16.74,15.46,16.37,55804567.0
2024-07-11,16.76,17.23,16.3301,16.76,59239105.0
2024-07-12,16.75,18.855,16.75,18.11,97340592.0
2024-07-15,17.76,17.94,17.02,17.5,51315437.0
2024-07-16,17.72,18.35,17.27,17.94,43966229.0
2024-07-17,17.495,18.49,16.94,17.19,46766433.0
2024-07-18,17.42,17.48,16.45,16.9,36840943.0
2024-07-19,16.5,17.025,16.33,16.75,25909034.0
2024-07-22,17.04,17.445,16.84,17.22,25562301.0
2024-07-23,17.11,17.5599,16.55,17.5,23464283.0
2024-07-24,16.85,16.955,16.05,16.27,38325674.0
2024-07-25,15.99,16.9,15.85,16.25,27203625.0
2024-07-26,16.32,16.9,16.14,16.21,21539950.0
2024-07-29,16.3,16.5499,16.005,16.3,18306676.0
2024-07-30,16.4,16.65,16.12,16.22,20761356.0
2024-07-31,16.36,17.05,16.34,16.41,27488632.0
2024-08-01,16.4,16.45,14.9,15.24,31250774.0
2024-08-02,14.52,15.01,14.26,14.72,26970034.0
2024-08-05,12.96,15.05,12.96,14.61,38816942.0
2024-08-06,15.12,15.15,14.51,14.8,31713662.0
2024-08-07,13.485,14.665,13.305,13.785,49387384.0
2024-08-08,13.9,15.338,13.8,14.72,32646827.0
