date,open,high,low,close,volume
2024-06-03,139.48,141.39,139.38,141.22,2587205.0
2024-06-04,141.26,142.88,139.75,140.94,2558069.0
2024-06-05,141.32,144.5,140.16,144.34,4078366.0
2024-06-06,144.66,144.94,143.395,144.15,1705763.0
2024-06-07,144.53,144.85,143.815,144.275,2032869.0
2024-06-10,144.04,145.25,144.04,144.76,2513923.0
2024-06-11,143.86,144.625,142.65,144.58,2125995.0
2024-06-12,144.94,145.5,143.42,144.39,2162006.0
2024-06-13,144.53,146.25,143.885,145.65,2003623.0
2024-06-14,145.65,146.63,145.62,145.93,2670724.0
2024-06-17,145.66,150.44,145,150.38,2651968.0
2024-06-18,150,150.18,148.38,148.69,2510431.0
2024-06-20,148.37,149.38,146.9201,147.37,2714887.0
2024-06-21,148.4,149.6,147.62,149.29,4545777.0
2024-06-24,149.91,149.91,148.34,149.25,1655567.0
2024-06-25,149.53,149.53,147.4901,148.46,1790357.0
2024-06-26,148.16,149.28,147.8,148.74,1717533.0
2024-06-27,148.37,148.42,145.96,146.08,1794521.0
2024-06-28,145.75,146.35,144.87,145.32,8585963.0
2024-07-01,145.77,146.28,144.41,145.24,1965820.0
2024-07-02,145.25,146.14,144.19,144.4,1854497.0
2024-07-03,144.4,144.8,143.785,144,1170620.0
2024-07-05,144.24,145.86,144.02,145.55,1601693.0
2024-07-08,146.21,146.98,145.68,146.69,1088857.0
2024-07-09,147.22,147.785,146.67,146.83,1313743.0
2024-07-10,146.83,148.26,146.83,148.03,1432303.0
2024-07-11,148.62,151.1,148.505,150.8,1779650.0
2024-07-12,151.26,153.06,151.17,151.73,1648666.0
2024-07-15,150.41,151.38,147.87,148.08,2685569.0
2024-07-16,147.9,149.355,147.15,148.87,2026994.0
2024-07-17,148.64,148.99,146.765,147.6,2058260.0
2024-07-18,147.79,147.79,143.95,144.5,2168823.0
2024-07-19,145,145.39,142.81,143.5,3550702.0
2024-07-22,144.32,145.009,143.45,144.92,1957434.0
2024-07-23,144.92,145.26,143.24,143.78,1906427.0
2024-07-24,143.58,143.7491,141.79,142.09,1939804.0
2024-07-25,142.1,143.31,141.01,141.11,1800491.0
2024-07-26,142,142.51,140.42,140.91,1853660.0
2024-07-29,141.43,142.41,139.65,141.91,1595561.0
2024-07-30,142.22,143.29,141.81,142.75,1210135.0
2024-07-31,143.38,144.375,142.65,143.23,1743804.0
2024-08-01,143.71,143.71,141.61,142.975,1862118.0
2024-08-02,143.59,144.25,137.66,140.24,2363529.0
2024-08-05,138.36,139.71,135.52,136.06,2565085.0
2024-08-06,135.84,138.33,135.53,136.98,1926482.0
2024-08-07,138.17,139.8215,136.16,136.33,1421410.0
2024-08-08,137.4,139.4,136.64,139.22,1892532.0
2024-08-09,139.13,139.84,138.23,139.64,1225694.0
2024-08-12,140.14,141.155,139.105,140.67,1708354.0
2024-08-13,141.05,141.92,140.32,141.65,1218262.0
2024-08-14,140.94,142.29,140.2,141.34,1529726.0
2024-08-15,144.8,147.87,144.48,147.8,2443063.0
2024-08-16,147.19,147.89,146.15,147.4,3117174.0
2024-08-19,147.41,148.39,146.86,147.4,1363742.0
2024-08-20,147.7,148.25,147.16,147.7,1537566.0
2024-08-21,156.26,157.85,152.1,153.95,3173767.0
2024-08-22,153.8,154.11,152.24,152.52,3202665.0
2024-08-23,163.555,163.6,153.37,155.21,5124334.0
2024-08-26,155.54,157.4,153.7,154.21,2393724.0
2024-08-27,153.59,154.42,153.1,153.33,2283058.0
2024-08-28,153,153.47,149.8,149.9,2829626.0
2024-08-29,151.45,153.19,149.66,151.8,1976469.0
2024-08-30,151.84,152.29,149.34,150.61,2287787.0
2024-09-03,150.06,151.79,150.06,151.68,2476819.0
2024-09-04,151.41,151.97,150.08,151.76,3216929.0
2024-09-05,151.94,154.26,150.35,153.14,2766429.0
2024-09-06,153.33,153.33,150.165,150.53,2818181.0
2024-09-09,150.34,151.62,149.97,150.79,2145545.0
2024-09-10,150.955,151.21,149.05,150.79,2780048.0
2024-09-11,150.85,151.4,148.23,151.13,1873292.0
2024-09-12,151.33,153,151.04,152.68,1634039.0
2024-09-13,153.46,155.56,153.195,155.25,1411390.0
2024-09-16,156.06,156.25,153.08,153.17,1655856.0
2024-09-17,153.14,154.27,149.8784,150.32,1756673.0
2024-09-18,150.91,152.82,150.38,150.73,1364858.0
2024-09-19,152.59,154.52,152.59,154.44,2345069.0
2024-09-20,154.31,154.47,153.26,154.31,3351603.0
2024-09-23,154.69,154.725,149.91,149.98,3155932.0
2024-09-24,150.14,152.31,149.795,152.27,2382915.0
2024-09-25,152.58,153.5,151.83,153.08,1492298.0
2024-09-26,154.19,154.38,151.65,152.82,1699804.0
