date,open,high,low,close,volume,vwap,transactions
2024-10-01,121.18,124.59,120.14,124.39,7206947,123.9261,101681
2024-10-02,125.22,125.53,123.64,124.04,3802912,124.2698,56835
2024-10-03,124.5,124.9,123.2001,123.67,4765675,123.7444,54324
2024-10-04,123.7,124.98,123.15,124.91,3056543,124.3515,48233
2024-10-07,124.85,125.68,124.25,125.05,4606101,124.9961,51501
2024-10-08,125.43,125.935,123.27,123.5,3194492,123.7892,51057
2024-10-09,123.03,124.7399,122.6,123.95,3210389,124.046,46272
2024-10-10,123.63,124.07,122.41,122.94,2785344,123.0993,42419
2024-10-11,123,123.93,122.9,123.93,2556167,123.5963,38600
2024-10-14,123.74,124.83,123.27,124.64,1929867,124.4793,35452
2024-10-15,125.97,126.82,124.695,125.03,7521307,125.2792,69050
2024-10-16,124.77,126.24,124.195,126.22,3127407,125.4955,48527
2024-10-17,126.47,127,125.13,125.75,2463726,125.7864,43471
2024-10-18,126.15,126.27,125.035,125.92,4356338,125.8413,43033
2024-10-21,125.9,126.43,124.7,125.9,4768646,125.5687,62423
2024-10-22,127.99,128.7,123.53,125.53,5746084,125.5848,82389
2024-10-23,126.91,127.5,125.63,127.21,5451442,126.9534,71867
2024-10-24,126.38,126.675,125.12,125.17,4171807,125.5144,52102
2024-10-25,126.06,126.25,124.795,125.16,4716205,125.2259,49780
2024-10-28,125.23,125.91,124.63,125.43,4453440,125.4078,55934
2024-10-29,125.41,125.5,122.68,122.79,5102653,123.302,59118
2024-10-30,122.34,122.81,121.75,121.86,4852087,122.0426,55130
2024-10-31,121.3,122.0899,120.5757,120.99,4052743,121.2397,60049
2024-11-01,121.5,121.62,118.74,118.75,5235060,119.4308,75515
2024-11-04,119.07,119.63,117.83,118,6856069,118.2257,77196
2024-11-05,118.49,119.1,117.7,118.98,8093630,118.4404,74624
2024-11-06,122.55,122.8567,120.26,121.59,9631913,121.4049,98142
2024-11-07,122,122.25,119.96,120.08,4415193,120.3135,55316
2024-11-08,120.95,124.22,120.9,123.55,6382044,123.3938,72191
2024-11-11,124.075,125.54,124.02,124.56,4012288,124.8925,59126
2024-11-12,124.89,125.2799,122.295,123.37,3896236,123.2452,51706
2024-11-13,123.38,123.95,122.96,123.75,2802784,123.6314,48273
2024-11-14,123.2,123.5,117.56,118.92,6113203,119.3025,89712
2024-11-15,118.15,118.85,117.13,118.53,6970495,118.2069,68207
2024-11-18,118.37,119.72,118.37,119.39,4462475,119.3147,56086
2024-11-19,121.24,121.35,118.5,118.96,4654074,119.3527,65308
2024-11-20,118.85,119.28,117.67,119.15,3990801,118.7551,51914
2024-11-21,119.6,120.88,118.86,120.53,4848286,120.4404,49236
2024-11-22,120.72,121.88,120.5,120.77,3585477,120.9075,45130
2024-11-25,120.36,121,118.02,118.65,8322352,118.9224,81649
2024-11-26,118.87,121.04,118.5904,120.61,3176003,120.4145,50429
2024-11-27,121.04,121.75,120.325,120.34,3604221,120.8048,41391
2024-11-29,120.68,121.87,120.655,121.83,2728552,121.3246,26999
2024-12-02,121.83,121.99,118.535,118.68,4468706,119.0364,52181
2024-12-03,119.02,119.45,117.89,118.1,3620258,118.2766,40674
2024-12-04,117.76,119.37,117.5,119.23,3774623,119.0398,35959
2024-12-05,118.8,119.005,117.69,118.52,3328836,118.4284,41039
2024-12-06,118.02,118.35,117.4,117.99,4792353,117.9507,47179
2024-12-09,117.35,117.85,114.22,116.58,7255401,115.9253,82156
2024-12-10,116.6,118.22,116,117.61,3725524,117.4848,60307
2024-12-11,117.84,117.98,116.3,116.94,4298311,116.9092,52458
2024-12-12,116.94,117.25,115.62,116.05,3848629,116.0757,52933
2024-12-13,116.26,117.93,115.97,117.75,5061628,117.506,56870
2024-12-16,117.43,118.3493,116.8,118.11,3986443,117.9642,53758
2024-12-17,117.69,118.13,117.001,117.42,3012393,117.5046,47313
2024-12-18,116.86,117.45,114.37,114.45,4113615,115.5026,54505
2024-12-19,115.7,117.25,115.25,115.46,5446927,115.7441,61455
2024-12-20,114.94,116.78,114.595,116.48,13389425,116.2891,61301
2024-12-23,116.19,116.89,115.79,116.63,3589080,116.479,44966
2024-12-24,115.95,116.96,115.88,116.83,1663027,116.4624,26279
2024-12-26,116.77,117.62,116.39,117.04,2147102,117.1636,32488
2024-12-27,116.27,117.53,115.8374,116.71,3847470,116.742,34360
2024-12-30,115.44,115.9182,114.5252,115.22,2822191,115.3003,39051
2024-12-31,115.57,116.0999,114.905,115.72,2445270,115.5217,34965
2025-01-02,116.97,117.45,115.5371,116.01,3207521,116.2861,51905
2025-01-03,116.3,116.67,115.83,115.87,2902721,116.0448,41727
2025-01-06,116.28,116.28,113.73,114.1,3832296,114.5757,57229
2025-01-07,114.1,115.28,113.925,114.8,3588513,114.6492,54402
2025-01-08,114.93,116.2,114.41,115.92,4294465,115.5624,50271
2025-01-10,115.84,116.53,114.81,115.11,4287362,115.3513,57796
2025-01-13,114.58,117.93,114.58,117.74,5414874,117.2135,63221
2025-01-14,118.76,119.52,118.18,119.47,3804908,119.0391,57636
2025-01-15,120.15,120.37,118.17,119.09,4279973,119.0341,56376
2025-01-16,119.35,120.51,119.1,120.46,3897153,120.0633,53463
2025-01-17,120.6,121.35,119.86,121.11,4368575,120.9063,52487
2025-01-21,122.73,125.805,122.5,125.75,6071066,125.0415,74084
2025-01-22,125.68,125.88,123.645,124.38,5083999,124.3548,64655
2025-01-23,125.76,127,124.7,126.29,5501596,126.1891,73753
2025-01-24,125.52,126.28,125.08,125.31,3483366,125.5244,52373
2025-01-27,126.62,127.99,124.38,125.05,6207816,125.2516,92161
2025-01-28,131.175,132.43,126.13,128.35,8451630,128.9586,111763
2025-01-29,127.4,129.76,125.01,125.13,5179013,126.305,79540
2025-01-30,125.66,129.22,125.55,128.98,4343560,128.2457,67700
2025-01-31,129.14,129.93,127.51,128.95,5570633,129.0221,73053
2025-02-03,128.5,130.545,127.55,129.92,6067319,129.7042,72356
2025-02-04,129.54,130.46,128.02,128.37,4036842,128.5477,62985
2025-02-05,129.66,129.89,128.285,129.16,4881490,129.0862,54726
2025-02-06,129.06,129.745,127.53,128.78,3363639,128.538,54078
2025-02-07,128.8,129,127.33,127.95,3827457,128.1782,55883
2025-02-10,128.07,128.5,126.9,128.25,5345158,127.8746,63290
2025-02-11,129.1,129.42,127.8,129.11,3320669,128.8406,53082
2025-02-12,127.81,128.605,126.44,126.78,5155318,127.1967,60474
2025-02-13,127.54,127.64,125.265,125.84,6580412,126.2413,71730
2025-02-14,125.45,125.45,121.38,122.41,7715889,123.0772,93758
2025-02-18,124.24,125.325,123.41,123.76,5386280,124.0588,71039
2025-02-19,124.41,126.61,124.1,125.41,5124631,125.6282,77261
2025-02-20,124.76,125.31,123.1908,125.11,3131993,124.6251,56192
2025-02-21,124.56,125.48,122.68,123.29,4846056,123.6319,61387
2025-02-24,125,126.225,124.625,125.43,4460973,125.5195,63527
2025-02-25,125.91,127.93,125.66,127.34,6008104,127.0446,68820
2025-02-26,127.52,128.33,126.835,127.31,3904462,127.3933,51931
2025-02-27,128.42,130.99,127.83,130.52,5758937,130.3455,90639
2025-02-28,131.29,133.09,130.615,132.99,7460961,132.1302,95000
2025-03-03,134.34,135.356,132.92,133.83,6215800,133.7645,92160
2025-03-04,133.52,134.725,128.49,128.7,7906240,130.0589,118653
2025-03-05,129.48,130.54,128.23,129.64,5774924,129.5071,83858
2025-03-06,128.61,128.8647,125.96,128.28,6258256,127.6843,92476
2025-03-07,127,128.9,126.26,128.4,6418493,127.8008,83223
2025-03-10,127,129.84,126.41,128.52,4916819,128.3675,77164
2025-03-11,128.69,129.05,127.1,128.11,4405170,128.1478,67840
2025-03-12,128.35,128.55,126.81,127.96,4597043,127.8709,57565
2025-03-13,128.31,129.64,128,129.2,3434129,129.1228,57667
