date,open,high,low,close,volume,vwap,transactions
2024-10-01,64.62,64.68,63.45,63.91,6331489,63.9556,64455
2024-10-02,63.83,64.1678,63.214,63.35,4817375,63.4988,57544
2024-10-03,63,63.68,62.41,63.4,8144374,63.2933,74729
2024-10-04,64.17,64.99,64.07,64.75,7144429,64.6714,73511
2024-10-07,64.48,65.4,64.16,64.29,7060225,64.6457,70653
2024-10-08,64.53,65.08,64.26,64.9,7473076,64.8217,63320
2024-10-09,65.25,66.73,64.97,66.7,11115649,66.2278,89625
2024-10-10,66.4,67.16,66.2504,66.65,6463318,66.7457,67297
2024-10-11,66.96,68.0901,66.81,67.68,7369930,67.7278,69867
2024-10-14,67.86,68.345,67.54,67.82,7672196,67.8936,72786
2024-10-15,72.6,73.92,71.42,71.96,21705731,72.6068,191085
2024-10-16,72.68,74.18,71.71,72.08,13631735,72.5485,113331
2024-10-17,72.52,72.71,71.755,71.91,8717821,72.0022,74130
2024-10-18,72.58,72.61,71.19,71.36,8948366,71.6005,76270
2024-10-21,71.2,71.254,70.48,70.87,5438513,70.8803,48396
2024-10-22,70.82,71.05,69.925,70.91,5559567,70.7637,51731
2024-10-23,70.835,71.99,70.74,71.71,6593984,71.6284,61618
2024-10-24,71.9,72.65,71.32,72.59,6727594,72.3302,63838
2024-10-25,72.76,72.91,71.52,71.82,4503918,71.9775,56033
2024-10-28,72.27,72.5837,71.65,72.04,5758736,72.0402,53011
2024-10-29,72.16,72.46,71.87,71.89,6006317,72.0611,48696
2024-10-30,71.75,72.25,70.96,71.1,6426075,71.3569,66770
2024-10-31,70.72,71.55,70.48,70.83,6997051,71.0447,71005
2024-11-01,70.95,71.365,70.42,70.94,6266153,71.0188,79242
2024-11-04,70.94,71.15,70.2923,70.96,3924602,70.7711,58296
2024-11-05,70.43,71.4,70.3802,71.31,4232106,71.1469,53300
2024-11-06,74.57,76.23,73.41,75.75,16218392,75.2596,156437
2024-11-07,75.64,75.64,72.9,73.17,10380229,73.6134,127003
2024-11-08,73.46,74.99,73.1333,73.9,8728207,74.0044,99573
2024-11-11,75.04,77.9625,75.005,77.85,13162847,77.3029,122923
2024-11-12,77.94,78.54,77.405,78.19,10244780,78.0818,93529
2024-11-13,77.75,79.05,77.75,78.25,8731464,78.273,87757
2024-11-14,82.09,82.5,79.81,80.19,14718015,80.5323,136210
2024-11-15,80.15,81,79.89,80.64,9372796,80.5692,81083
2024-11-18,81,81.88,80.39,81.39,9448608,81.3648,70904
2024-11-19,80.385,80.73,79.9001,80.19,6549282,80.2867,54040
2024-11-20,79.69,80.52,79.42,80.46,6613684,80.0513,58403
2024-11-21,80.59,81.695,80.22,80.8,5081846,81.0323,64575
2024-11-22,80.81,81.77,80.81,81.26,7737956,81.2774,55808
2024-11-25,81.93,82.4,81.11,81.77,13006012,81.7097,67668
2024-11-26,81.77,82.33,81.23,82.25,5121077,82.0451,53275
2024-11-27,82,82.655,81.79,82.6,3977499,82.3666,49566
2024-11-29,82.86,83.35,82.635,82.76,3201579,82.9404,35997
2024-12-02,82.75,83.05,81.34,81.39,5658518,81.796,67910
2024-12-03,81.78,81.97,80.88,81.12,4840172,81.2162,51962
2024-12-04,80.68,81.685,80.185,81.51,6035356,81.143,58201
2024-12-05,80.01,82.23,80,81.81,6796947,81.7254,58791
2024-12-06,81.69,82.17,81.41,81.47,5071471,81.65,58345
2024-12-09,82.47,82.82,80.95,81.51,9429866,81.7988,87889
2024-12-10,81.6,83.125,81.23,82.32,5923662,82.5073,69410
2024-12-11,82.5,82.72,81.9201,82.41,6323776,82.3902,59478
2024-12-12,82.76,83.3,82.4,82.85,7469481,82.9088,57898
