date,open,high,low,close,volume,vwap,transactions
2024-10-01,507.54,508.355,490.555,495.56,1117098,495.6583,33012
2024-10-02,493.91,506.265,493.28,496.82,644973,499.7522,22075
2024-10-03,490.58,499.15,490.58,495.41,865234,495.2395,22452
2024-10-04,509.62,510.3,496.1,499.12,637006,499.8795,21705
2024-10-07,493,497.14,489.45,494.87,826615,494.0163,26272
2024-10-08,498.7,518.165,498.24,517.76,1151446,513.0303,31770
2024-10-09,517.37,530.4,516.385,529,936322,525.4834,30949
2024-10-10,526.08,536.42,525.335,533.08,931959,533.0144,30829
2024-10-11,531.975,541.23,530,539.92,825910,538.1534,24936
2024-10-14,544.31,547.13,541.64,545.46,931632,545.2451,28828
2024-10-15,548.3,550.59,515.69,517.56,1493630,527.9286,45054
2024-10-16,515.97,515.97,495.5,501.35,1662007,502.9258,44334
2024-10-17,511.24,514.72,501.5,504.69,1124774,506.576,31163
2024-10-18,500.65,513.68,499.05,507.03,862658,506.6575,27814
2024-10-21,501.93,507.5,501.12,505.59,820306,504.6673,23471
2024-10-22,500.9,503.55,495.39,502.41,771108,500.4768,25364
2024-10-23,498.14,502.42,489.77,493.41,653297,494.9387,26487
2024-10-24,497.07,500.65,491.12,495.25,662176,495.3868,21588
2024-10-25,500.22,508.36,498.63,501.58,639879,503.0275,23786
2024-10-28,505.16,505.205,495.91,496.18,638157,498.7184,25547
2024-10-29,511,531.38,509.35,529.21,1267159,524.9299,39547
2024-10-30,526.2,536.87,523.28,536.42,1240206,533.6909,35287
2024-10-31,531.97,531.97,512.83,513.61,1211522,516.7766,36711
2024-11-01,508.83,521.6,508.83,518.4,901695,517.9989,29456
2024-11-04,521.6,527.25,516.98,524.52,583014,523.5712,23303
2024-11-05,527.35,532.36,521.15,521.98,627645,526.2446,25495
2024-11-06,536.4,554.84,534.29,553.15,1319046,549.3935,41362
2024-11-07,560,574.64,557.82,573.59,1115043,570.0728,34892
2024-11-08,573.84,573.84,559.9,561.55,967233,563.2639,30258
2024-11-11,559.5,561.55,553.2901,556.26,617576,556.2636,25198
2024-11-12,551.3,555.865,548.74,553.47,607213,552.7474,26090
2024-11-13,550.26,567.01,550.075,557.96,636142,560.0836,26728
2024-11-14,555.18,557.405,541.6611,548.31,796254,549.3092,29933
2024-11-15,542.14,542.14,519.6644,520.75,1025738,524.4297,33559
2024-11-18,523.68,530.9797,518.92,523.98,895258,524.0426,24934
2024-11-19,516.85,535.0044,515.002,534.02,571564,529.5101,24314
2024-11-20,535.85,542.16,528.6,541.56,734542,538.637,20986
2024-11-21,549.06,560.55,543.54,557.94,864811,555.3324,27902
2024-11-22,557.88,568.405,555.81,565.07,899970,563.2535,26773
2024-11-25,569.41,570.275,557.62,561.87,918776,562.4879,26482
2024-11-26,562.65,562.81,549.58,553.95,767734,554.4929,27046
2024-11-27,552.73,552.73,542.8901,547.74,771595,547.3164,25460
2024-11-29,548.14,565.2699,547.165,558.49,598563,559.2921,19537
2024-12-02,555.93,566.94,554.84,565.93,742639,564.3362,27226
2024-12-03,560.36,570.79,559.21,570.19,765699,568.2732,25317
2024-12-04,580,592.99,577.77,588,1845836,581.1527,58483
2024-12-05,544.52,558.87,513.0915,515.29,5081488,524.502,131906
2024-12-06,518.85,529.8,515.68,517.28,2336524,520.8599,68843
2024-12-09,515.29,517.7099,504.8,508.49,1896439,509.9594,52217
2024-12-10,505,507.6499,495.4,505.32,1784969,502.0545,47287
2024-12-11,511.35,515.87,509.36,512.06,1005276,512.9294,33422
2024-12-12,512.05,514.98,508.08,511.73,729625,511.9118,29672
2024-12-13,507.75,516,499.25,508.28,1215481,508.3198,30302
2024-12-16,507.39,525.33,505.5,522.11,1319497,519.9883,35815
2024-12-17,520.35,524.73,510.98,511.87,1444802,514.6195,37761
2024-12-18,512.73,519.43,492.25,494.43,1098884,504.12,36435
2024-12-19,502.39,509.98,493.01,493.35,1133010,496.6453,35494
2024-12-20,486.82,501.555,483.498,492.18,2198792,492.7532,36102
2024-12-23,493.92,507.95,488.66,492.58,1127128,492.4772,34834
2024-12-24,494.235,500.505,492.2,500.16,426471,497.9102,14051
2024-12-26,495.15,500.8299,494.76,495.82,542270,497.6677,19218
2024-12-27,490.85,495.2,485.07,490.91,654839,489.6688,24684
2024-12-30,485.99,491.555,478.842,486.74,657984,486.9408,26316
2024-12-31,487.7,489.055,483.56,485.36,628295,485.9187,22697
2025-01-02,494.04,494.53,479,482.75,808410,484.599,27391
2025-01-03,488.22,494.88,485.35,493.71,786627,492.0208,25766
2025-01-06,499.66,509.09,498.22,501.06,881501,502.5004,30928
2025-01-07,501.59,502.785,485.79,487.62,1213045,490.2945,35951
2025-01-08,491.42,502.79,490.41,502,1266796,498.8487,33618
2025-01-10,496.89,498.33,485.11,492.54,1281719,492.3464,37683
2025-01-13,489.08,493.395,485.21,487.43,891345,487.8029,29196
2025-01-14,492.66,494.78,484.66,490.36,833524,489.9046,24019
2025-01-15,501.46,510.95,501.28,507.19,1129226,507.5984,30097
2025-01-16,512.25,523.88,508.38,515.81,1160189,517.7888,35233
2025-01-17,529.23,529.95,523.88,526.7,1240805,527.1423,34410
2025-01-21,532,535.48,527.07,529.75,1193624,530.7441,31761
2025-01-22,531.21,547.401,531.21,544.7,1091938,543.111,35920
2025-01-23,540.76,556.31,537.87,551.54,1524635,550.0311,43335
2025-01-24,552.89,553.27,542.145,546.19,880537,546.0709,30726
2025-01-27,523.28,530,502.1915,510.73,1840160,512.1006,56593
2025-01-28,510.2,527.84,504,526.12,1606526,517.8807,44665
2025-01-29,523.61,523.96,511.217,512.71,891711,515.4144,31108
2025-01-30,515.9,528.1519,515.74,526.36,741343,524.2286,27199
2025-01-31,528.26,533.98,523.47,525.48,1095262,527.767,33480
2025-02-03,511.69,526.11,510,520.25,765361,519.3147,29933
2025-02-04,516.91,524.345,514.82,523.88,859649,520.616,31215
2025-02-05,524.57,529.64,515.79,528.42,547719,525.7368,25399
2025-02-06,530.99,536.04,528.88,533.18,683793,532.6614,25434
2025-02-07,536,545.65,522,525.82,703270,528.3069,30591
2025-02-10,527.85,536.21,526.2675,531.33,769141,531.097,28869
2025-02-11,526.81,530.03,524.58,529.14,431565,528.2066,20916
2025-02-12,513.58,517.72,507.95,509.71,979955,511.978,37426
2025-02-13,509.71,529.37,508.31,528.29,1048720,521.8625,34185
2025-02-14,527.36,527.66,519.41,522.53,943782,523.2044,27445
2025-02-18,527.96,528,516.065,525,1119013,523.6848,33830
2025-02-19,521.27,521.27,486.57,500.98,2417929,498.7455,67204
2025-02-20,502.41,505.17,493.48,493.97,1271057,496.6734,42123
2025-02-21,493.74,493.74,472.74,474.84,1371042,480.3612,45538
2025-02-24,479.28,481.13,465,470.08,1373967,471.8893,38741
2025-02-25,467.64,469.27,457,457.95,1867314,461.2307,53763
2025-02-26,465,476.705,462.245,470.46,1540316,470.9194,46678
2025-02-27,481.5,488,454.05,454.71,2037308,462.2699,57341
2025-02-28,462.29,463.48,448.11,457.28,1581756,455.6556,43182
2025-03-03,463.57,467.7316,442.29,443.26,2102310,454.8035,51100
2025-03-04,440.37,451.97,429.77,445.47,1641296,442.2885,53292
2025-03-05,437.32,451.29,433.91,447.96,1274126,444.1985,36691
2025-03-06,439,450.36,435.84,445.73,1524673,445.1148,35102
2025-03-07,443.26,452.5424,433.5,450.88,1119376,445.8744,33750
2025-03-10,437.4,441.58,427.3,429.85,1713726,434.1323,47366
2025-03-11,431.03,440.52,427.73,430.68,1588508,432.8092,40725
2025-03-12,442.23,449.74,431.85,432.46,1900097,438.9418,50619
2025-03-13,431.63,439.435,425.73,428.58,1541581,430.9363,41080
2025-03-14,433.05,447.98,433.05,446.23,1118161,443.8504,33521
2025-03-17,445,460.8099,440,453.51,1489154,455.647,40057
2025-03-18,448.81,454.59,445.02,447.99,1020147,448.8757,29515
2025-03-19,447.18,455.49,440.82,450.28,1108452,449.4344,33718
2025-03-20,446.89,453.9307,443.19,449.99,810419,450.5897,27572
2025-03-21,441.2,454.61,438.12,448.6,3362302,448.6392,42015
2025-03-24,456.82,464.22,455.54,457.77,974226,458.8597,33338
2025-03-25,457.43,458.6406,453.7136,457.23,759070,456.8668,23804
2025-03-26,454.35,460.435,447.11,449.9,749428,451.0016,27102
2025-03-27,445.48,450.58,440.43,446.23,699038,446.9514,25755
2025-03-28,446.92,448.05,437.06,437.95,941719,439.4538,32588
2025-03-31,429.02,431.685,423.0827,428.85,1371426,428.1836,39689
2025-04-01,430.11,436.72,423.17,435.94,986032,431.5001,33168
2025-04-02,426.16,443.62,425,438.55,1111152,436.6343,31250
2025-04-03,417.68,421.125,404.0777,417.76,2133561,414.8848,64365
2025-04-04,402.995,408.94,387.41,388.13,2513548,395.2319,76218
2025-04-07,375.96,402,365.74,380.9,3060221,382.4389,75090
2025-04-08,391.39,403.19,376.23,381.59,2191495,389.1417,55525
2025-04-09,380.88,432.54,375.97,428.7,2146094,413.0971,54676
2025-04-10,415.32,417.73,391.61,406.89,1537660,405.6407,44992
2025-04-11,407.07,425.705,402.8301,421.21,1745748,416.6868,44323
2025-04-14,428.9,430.55,416,421.98,1119621,423.0066,31311
2025-04-15,423.09,430.32,422.2283,425.65,1016070,425.7342,29443
2025-04-16,416.19,423.56,408.62,415.65,1064375,416.8038,32006
2025-04-17,421.38,421.78,412.1,413.32,1002463,415.4463,27252
2025-04-21,406.26,407.29,396.03,402.36,901557,400.5344,29319
2025-04-22,407.69,417.16,402.855,413.4,946540,411.4718,28833
2025-04-23,432.34,441.38,420.17,422.23,1008147,427.2892,31244
2025-04-24,426.16,440.185,423,438.9,1093021,437.2683,32443
2025-04-25,435.64,447.31,433.31,446.62,1032145,442.72,29752
2025-04-28,444.39,447.46,436.88,443.97,1117134,443.1134,29987
2025-04-29,445.83,462.43,444.24,460.77,1415418,457.0877,41963
2025-04-30,449.67,460.71,448.65,459.01,1339198,455.249,38834
2025-05-01,462.47,467.73,457.7,459.36,1137680,462.6687,37833
2025-05-02,469.85,476.435,467.585,472.28,1294009,472.6736,36634
2025-05-05,469.17,482.87,465.59,477.41,1074753,479.1847,38969
2025-05-06,468.76,478.535,467.86,473.55,834409,474.106,27314
2025-05-07,474.15,483.855,473.114,480.54,899671,479.545,37205
2025-05-08,485,491.32,482.72,484.5,1011946,485.8652,34142
2025-05-09,487.11,487.835,479.035,482.9,571662,482.7055,25751
2025-05-12,503.66,506.66,497.05,505.59,1099988,502.6748,41071
2025-05-13,506.58,516.58,505.58,515.71,823434,513.5713,32365
2025-05-14,512.36,518.0826,512.36,517.66,881661,516.1685,35956
2025-05-15,516.63,521.1,512.19,514.48,826697,516.4305,39644
2025-05-16,514.48,516.67,509.74,514.43,948144,513.9338,29496
2025-05-19,507.5,518.47,504.14,516.01,848761,514.7652,32263
2025-05-20,512.5,515.73,508,515.61,740820,513.3824,26481
2025-05-21,507.22,514.02,501.275,501.46,866234,506.4153,35284
2025-05-22,500.74,506.5899,497.12,503.48,774906,503.3226,26705
2025-05-23,495.32,501.97,493.725,498.85,670213,498.7894,28121
2025-05-27,507.14,515.08,504.36,511.79,1252201,511.3854,40570
2025-05-28,511.02,514.9899,445,462.43,4806214,476.4936,138849
2025-05-29,473,487.99,437.69,454.99,4315286,457.9053,139993
2025-05-30,450.36,465.76,447.48,463.98,3356647,460.1938,74662
2025-06-02,459.92,466.46,452.49,466.15,1299357,461.6158,47467
2025-06-03,464.56,471.96,461.115,466.26,1295322,465.8843,49574
2025-06-04,467.32,474.215,463.6032,473.19,972566,470.9514,36786
2025-06-05,475.6,490.67,472.88,482.2,1677124,483.3661,54681
2025-06-06,486.32,490.755,482.48,486,943237,486.9776,34334
2025-06-09,503.88,512,495.01,495.77,1612342,500.3819,51275
2025-06-10,495.77,504.53,493.28,504.4,1085136,500.622,38909
2025-06-11,503.25,505.98,498.2401,500.73,1105065,501.9175,37419
2025-06-12,497.26,500.89,494.72,494.99,867947,496.8041,30639
2025-06-13,486.44,488.6525,477.53,478.86,1162636,480.9639,38939
2025-06-16,480.5,482.83,473.75,479.41,1386481,478.4184,42330
2025-06-17,477.81,484.53,473.82,475.4,765859,477.4415,29565
2025-06-18,473.33,478.49,468.76,473.62,1040704,474.177,36357
2025-06-20,480,482.53,468.54,470.53,1511213,472.8374,32465
2025-06-23,468.89,474.2,460.89,470.98,897712,470.4465,28245
2025-06-24,474.3,481,472.56,478.98,866291,478.1422,28370
2025-06-25,478.98,487.68,474,487.27,868074,482.9366,30768
2025-06-26,489.01,496.71,486.055,495.7,1019600,493.8277,33307
2025-06-27,500.01,521.69,500.01,502.63,2153612,507.1943,54558
2025-06-30,505.89,517.4,503.92,512.68,1343857,512.5602,41586
2025-07-01,509.215,522.85,506.08,521.78,1512846,517.9582,47822
2025-07-02,517.18,526.09,514,523.11,979181,522.4115,34980
2025-07-03,544.7,555,536.35,548.74,2020005,546.0175,66697
2025-07-07,544.11,545.08,534.34,536.52,1391033,538.1829,42722
2025-07-08,540.67,552.35,538.98,551.51,1314790,547.2789,40919
2025-07-09,552.38,554.425,544.06,550.95,840004,549.8601,30874
2025-07-10,552.49,569.44,545.825,566.19,1775454,562.413,55139
2025-07-11,563.97,572.91,559.14,559.28,1358518,565.5199,47029
2025-07-14,575,579,542.49,549.53,5084276,556.3338,136770
2025-07-15,553.89,570.38,549,569.1,3178745,565.3826,101710
2025-07-16,569.25,574.98,550.62,571.2,7936047,566.3423,146636
2025-07-17,567.505,590,562.995,589.01,3621099,580.5672,82363
2025-07-18,588.205,600.895,578.87,584.76,3682373,585.9403,78999
2025-07-21,587.59,596.43,582.65,591.46,2445322,591.447,55240
2025-07-22,583.92,617,578.87,615.13,2890615,602.8635,73126
2025-07-23,612.8,618.49,605.025,614.42,2002657,612.7347,54398
2025-07-24,611.55,615.05,606.31,609.68,1414535,610.4151,42272
2025-07-25,611.65,611.65,600.86,601.55,1820247,605.6108,47636
2025-07-28,605.28,607.71,588.37,592.63,1770544,595.4628,46021
2025-07-29,614.06,647.2,613.58,635.81,3293702,635.5692,80032
2025-07-30,635.135,651.73,632.665,645.35,1919045,644.8497,56726
2025-07-31,644.78,646.285,632.74,633.47,1165883,637.7252,37172
2025-08-01,617.55,625.31,608.1,618.65,1300547,617.666,46008
2025-08-04,622.42,636.6075,615.785,636.02,1121673,631.398,36636
2025-08-05,634.77,636.25,624.08,628.5,1032327,628.4187,34737
2025-08-06,627.5,630.29,615.95,625.88,1016525,624.7104,32526
2025-08-07,632.83,632.99,608.19,620.325,1428817,618.394,39341
2025-08-08,625,625.23,618.36,619.42,700666,620.818,28898
2025-08-11,620.4,623.47,613.65,616.12,956156,617.1142,32783
2025-08-12,615.42,627.12,609.16,625.8,1168486,622.2864,35128
2025-08-13,628.75,628.89,612.69,618.57,1012567,618.8671,31034
2025-08-14,616.5,619.79,612.1728,616.36,954202,615.6196,31037
2025-08-15,616.36,620,606.31,617.91,881763,615.4614,30361
2025-08-18,617.91,626.24,615.115,625.33,749721,622.8072,25323
2025-08-19,620.61,624.821,611,612.79,1170674,614.8048,36629
2025-08-20,611.09,613.83,595.1,601.13,1659454,601.3761,49391
2025-08-21,597.19,603.94,593.0501,598.17,1145662,598.1659,32362
2025-08-22,600.36,612.98,597.48,606.52,863358,606.566,31781
2025-08-25,604.97,605.34,596.1,597,783818,598.6897,28129
2025-08-26,595.93,600.13,593,596,1224369,596.5718,29915
2025-08-27,596.94,603.87,593.315,603.17,916629,601.2848,29458
2025-08-28,605.03,614.63,604.99,612.17,902258,612.4647,31348
2025-08-29,608.98,612,601.94,603.52,993108,604.2518,32428
2025-09-02,589.05,596.82,584.005,592.01,1399878,591.9602,39475
2025-09-03,590.76,593.7,586.77,592.12,973650,591.0838,28769
2025-09-04,591.99,602.85,584.0001,601.96,1012922,597.768,35687
2025-09-05,609.77,615.75,594.605,598.14,1389122,601.6632,41360
2025-09-08,600.92,615.7925,599.22,609.08,1729462,609.1397,40830
2025-09-09,610.94,614.89,602.5,604.37,2236236,587.4322,69955
2025-09-10,427.8,429.6399,380.84,387.78,21155816,398.8198,529419
2025-09-11,415.965,439.68,405.5,438.1,15275581,425.0176,344926
2025-09-12,443.82,444.19,421.94,425.45,6689000,429.0009,173655
2025-09-15,431.5,433.99,416.79,419.2,4432296,422.8704,128432
2025-09-16,420.55,427.37,417,425.97,3006152,424.0355,89411
2025-09-17,425,429.25,417.51,425.4,3082105,424.2674,88732
2025-09-18,460,483.24,448,480.11,8240335,469.8656,201615
2025-09-19,479,498.05,475.2786,495.5,6099828,488.2143,111726
2025-09-22,490,515.64,481.46,514.79,4831772,504.0808,129018
2025-09-23,511.455,512.9999,488.5801,490.32,3517931,499.1594,101209
2025-09-24,491,491.32,464.24,468.09,4028363,470.9314,116797
2025-09-25,462.5,487.585,462,487.2,3647299,479.8153,97077
2025-09-26,477.14,493,477.14,487.76,2533277,487.6649,66147
2025-09-29,488,491.96,478.28,481.61,2905471,484.5553,71595
2025-09-30,482.05,495.21,480.785,493.39,2649377,490.0998,66941
2025-10-01,488.75,495.72,484.5,488.78,2017588,489.5944,57939
2025-10-02,484.7,489.29,470.35,471.145,2693359,477.3576,86203
2025-10-03,473.5,475.8,466.59,469.17,2263600,470.7349,67475
2025-10-06,471.985,481.23,469.55,478.22,1650967,476.521,52148
2025-10-07,484.11,484.11,468.425,477.83,1222238,475.8982,51165
2025-10-08,476.81,492.355,476.72,489.36,1789645,488.2737,59523
2025-10-09,487.5,488.08,480.69,484.41,1727503,483.6638,52632
2025-10-10,484.41,487.58,437.2675,438.92,3588204,451.3953,124344
2025-10-13,449.475,453.8,440,448,2260571,448.1769,69526
2025-10-14,436.41,452.8,433.36,443.76,2937588,443.8395,72614
2025-10-15,446.26,448.8936,432,435.9,3109662,437.3584,78529
2025-10-16,439.53,445.54,435.58,440.2,1931270,440.3407,53263
2025-10-17,435.64,456.84,435.26,447.64,2510448,446.3292,71586
2025-10-20,450.66,457.82,449,453.35,1539868,453.1813,49755
2025-10-21,448.25,459.69,445.01,459.04,1356252,455.1417,43947
2025-10-22,456.48,465.7527,444.36,454.3,2755264,457.0059,69285
2025-10-23,452,460.41,450.5,456.09,1384061,455.3261,44424
