date,open,high,low,close,volume,vwap,transactions
2024-10-01,90.46,91.77,90,90.88,4030104,90.9581,48814
2024-10-02,90.25,91.82,90.12,91.59,4869199,91.3638,47140
2024-10-03,91.82,91.865,90.19,90.7,6120737,90.94,51357
2024-10-04,89.9,90.479,89.35,90.31,3432324,90.0796,47182
2024-10-07,90.06,90.23,88.67,88.89,4871535,89.2176,52706
2024-10-08,89.2,89.72,88.8,89.29,2865551,89.3291,42369
2024-10-09,89.44,90,88.81,88.93,4127973,89.2416,46260
2024-10-10,88.97,89.8,88.21,88.26,3288048,88.5285,42127
2024-10-11,88.61,89.075,88.32,88.96,3081166,88.8576,35020
2024-10-14,88.75,89.95,88.75,89.84,2764765,89.7115,31773
2024-10-15,90.5,91.4,90.3555,90.71,3716636,90.8755,47835
2024-10-16,90.98,92.455,90.6,92.29,3425709,91.9717,42684
2024-10-17,92.31,92.85,92.015,92.7,3908792,92.6182,51746
2024-10-18,92.7,93.345,92.02,93.24,3663359,93.0399,43173
2024-10-21,93.42,93.73,92.61,92.73,3188192,92.8828,37572
2024-10-22,92.35,93.19,92.114,93.08,3021108,92.949,36962
2024-10-23,92.91,94.18,92.8301,94.15,4739181,93.7902,55436
2024-10-24,93.88,94.45,93.33,93.61,2722273,93.7766,36498
2024-10-25,94.14,94.19,91.81,91.88,2498779,92.3858,40469
2024-10-28,92.22,92.69,91.76,91.79,2773060,91.9335,35330
2024-10-29,91,91.03,89.63,89.82,5860788,90.0749,55864
2024-10-30,90.33,90.33,89.04,89.36,7005780,89.4676,61615
2024-10-31,90.69,92.38,90.12,91.03,10247104,91.2363,90351
2024-11-01,91,91,88.3,88.54,6817447,89.0787,75339
2024-11-04,88.54,89.21,87.5,88.12,4745058,88.1184,62177
2024-11-05,88.18,88.78,87.78,88.7,4438001,88.5223,42366
2024-11-06,88.2,88.74,87.11,87.42,4708270,87.5273,59108
2024-11-07,87.51,87.73,86.37,86.93,4574539,87.0164,57036
2024-11-08,87.44,88.79,87.15,88.64,3805942,88.4378,51704
2024-11-11,88.14,89.13,88.14,88.33,2899603,88.5269,36018
