date,open,high,low,close,volume
2024-06-03,151.35,152.24,149.96,151.6,1770861.0
2024-06-04,151.12,153.01,151.12,152.47,1208131.0
2024-06-05,152.88,153.51,151.85,153.45,1480636.0
2024-06-06,152.81,154.595,152.8,153.78,1686221.0
2024-06-07,150.06,152.59,149.44,151.79,1776392.0
2024-06-10,151.2,152.75,150.52,152.04,1962427.0
2024-06-11,151.24,151.39,150.64,150.78,2294100.0
2024-06-12,154.15,154.88,152.83,153.16,1818003.0
2024-06-13,153.21,154.5,151.66,151.87,1073391.0
2024-06-14,150.75,151.84,148.29,148.83,1299180.0
2024-06-17,148.11,148.23,147.06,147.67,1211013.0
2024-06-18,147.8,148.56,146.64,146.92,1143081.0
2024-06-20,146.46,147.52,145.5,146.24,1555163.0
2024-06-21,146.45,146.57,144.9,146.16,2540561.0
2024-06-24,146.25,150.67,146.09,150.45,2240895.0
2024-06-25,150.32,150.56,147.01,147.87,1885687.0
2024-06-26,147.01,148.73,146.28,147.59,1674618.0
2024-06-27,147.88,149.975,147.26,149.81,1641335.0
2024-06-28,150.77,152.39,149.7,151.8,3709777.0
2024-07-01,150.58,151.4,145.88,146.52,1452655.0
2024-07-02,146.46,148.41,146.09,147.78,1142273.0
2024-07-03,148.53,149.2471,147.4,148.26,619456
2024-07-05,148,148.1,145.4418,146.09,962839
2024-07-08,146.77,147.93,146.33,146.87,784338
2024-07-09,146.64,149.18,146.2423,147.57,1334091.0
2024-07-10,148.09,148.53,146.5001,148.44,719841
2024-07-11,150.62,151.3,148.34,148.8,1384934.0
2024-07-12,149.9,150.77,148.29,149.48,1140721.0
2024-07-15,149.9,150.2,148.21,150.06,1187361.0
2024-07-16,150.83,151.55,149.73,151.51,1584621.0
2024-07-17,150.97,155.58,150.97,154.9,1794234.0
2024-07-18,154.46,158.19,152.765,153.11,1226684.0
2024-07-19,153.94,154.25,152.67,153.45,993134
2024-07-22,153.71,157.95,153.48,157.74,1708710.0
2024-07-23,157,158.5,155.9,156.82,1764872.0
2024-07-24,156.96,157,149.67,149.89,1906072.0
2024-07-25,150.57,152.38,148.46,149.31,1118239.0
2024-07-26,150.29,153.25,149.79,152.45,1032436.0
2024-07-29,152.7,153.78,150.95,152.83,784922
2024-07-30,153.34,155.73,152.81,154.81,964763
2024-07-31,154.37,155.89,153.02,153.44,1770176.0
2024-08-01,155.01,156.61,151.52,153.44,1266565.0
2024-08-02,152,153.04,149.58,151.07,1433105.0
2024-08-05,148.62,151.8,145.74,148.05,2049436.0
2024-08-06,150.11,156.42,147.14,155.54,1586432.0
2024-08-07,156.89,156.89,152.63,152.92,1569240.0
2024-08-08,153.37,155.5,153.055,155.16,988774
2024-08-09,155.35,159.73,154.7,158.67,1477678.0
2024-08-12,157.59,159.68,151.77,153.1,2035942.0
