date,open,high,low,close,volume
2024-06-03,76.94,77.52,76.185,76.71,2172385.0
2024-06-04,76.51,77.56,76.245,77.18,2758501.0
2024-06-05,76.9,76.935,76.08,76.48,2382914.0
2024-06-06,76.18,76.83,75.85,75.99,2174177.0
2024-06-07,75.25,75.85,75.1,75.33,3723479.0
2024-06-10,75.23,75.4,74.735,75.08,3684777.0
2024-06-11,74.65,75.85,74.4975,75.67,2329795.0
2024-06-12,76.62,76.64,75.29,75.65,2516941.0
2024-06-13,75.75,76.32,74.81,76.14,2401452.0
2024-06-14,75.74,76.095,74.97,75.97,2666810.0
2024-06-17,75.57,75.93,74.76,74.84,2712283.0
2024-06-18,74.68,75.34,74.4,75.1,2443090.0
2024-06-20,75,75.87,74.83,75.48,1885271.0
2024-06-21,76.1,76.5,75.24,75.27,5697203.0
2024-06-24,75.5,76.79,75.38,76.45,2246684.0
2024-06-25,76.33,76.58,75.05,75.44,2978077.0
2024-06-26,74.89,76.29,74.5,76.11,3441040.0
2024-06-27,75.53,76.17,75.2,75.94,2450111.0
2024-06-28,76.27,76.64,75.47,76.06,4925608.0
2024-07-01,76.14,76.4,74.74,74.97,2799129.0
2024-07-02,75.04,75.435,74.9,75.17,1875369.0
2024-07-03,75.14,75.86,75.01,75.17,1261368.0
2024-07-05,75.14,76.22,74.75,76.13,4498083.0
2024-07-08,76.14,76.3,74.66,75.18,2356144.0
2024-07-09,75.22,76.18,75.01,75.58,2133553.0
2024-07-10,75.91,76.26,75.4,76.1,1924980.0
2024-07-11,76.39,77.3,76.27,77.03,2992937.0
2024-07-12,77.35,77.77,77,77.05,3282229.0
2024-07-15,76.58,77.03,75.83,76.02,3392534.0
2024-07-16,76.41,76.57,75.885,76.37,3730080.0
2024-07-17,76.56,78.44,76.345,77.72,3448226.0
2024-07-18,77.25,79.46,77.21,77.77,2803957.0
2024-07-19,78.2,78.2,77.22,77.57,1559553.0
2024-07-22,77.86,78.19,77.5,77.99,2137829.0
2024-07-23,77.77,78.25,77.53,77.73,2186306.0
2024-07-24,78.43,79.48,78,79.12,3032317.0
2024-07-25,79.63,80.54,78.03,78.07,4582212.0
2024-07-26,78.33,79.15,78.06,78.55,2530372.0
2024-07-29,78.74,79.5,78.305,79.26,2071967.0
2024-07-30,79.32,80.377,79.175,80.22,2043130.0
2024-07-31,80.27,80.46,79.49,80.06,2159418.0
2024-08-01,80.56,81.5,80.16,81.48,2033191.0
2024-08-02,82.78,83.68,80.84,81.74,2695386.0
2024-08-05,82.33,82.37,78.53,78.7,4774951.0
2024-08-06,78.5,79.3,77.05,77.05,4744047.0
2024-08-07,77.59,78.14,77.015,77.26,4243550.0
2024-08-08,76.75,78.199,76.665,77.57,3444502.0
2024-08-09,78.16,78.53,77.07,78.41,2514487.0
2024-08-12,78.55,79.06,78.1264,78.99,1972183.0
2024-08-13,79.26,79.48,78.2,78.51,2976947.0
2024-08-14,78.13,79.385,78.02,78.71,2659419.0
2024-08-15,78.35,79.815,78.22,79.68,2588053.0
2024-08-16,80.16,80.31,79.58,79.99,3244268.0
2024-08-19,80,80.91,79.98,80.87,2223984.0
2024-08-20,80.87,81.15,80.474,80.76,1737728.0
2024-08-21,80.9,81.285,80.68,80.98,1620065.0
2024-08-22,80.88,81.42,80.63,81.31,1878551.0
2024-08-23,81.6,81.85,81.16,81.4,1974640.0
2024-08-26,81.66,82.57,81.46,82.1,1756202.0
2024-08-27,81.95,82.39,81.17,81.65,2240621.0
2024-08-28,81.88,82.28,81.32,81.65,2830069.0
2024-08-29,81.73,81.77,80.232,81.62,1873888.0
2024-08-30,81.6,82.46,81.28,82.18,3181664.0
2024-09-03,82.01,83.12,81.47,82.63,1614905.0
2024-09-04,83.01,84.28,82.83,83.4,1745238.0
2024-09-05,84.22,84.22,82.795,83.09,1433365.0
2024-09-06,83.11,83.26,82.08,82.1,2115424.0
2024-09-09,82.33,83.01,82.05,82.94,2231090.0
2024-09-10,83.09,83.822,81.42,82.08,3041660.0
2024-09-11,81.85,81.89,80.46,81.37,3439550.0
2024-09-12,81.55,81.835,81,81.7,2331564.0
2024-09-13,81.93,83.065,81.35,82.97,2493010.0
2024-09-16,83.61,84.29,83.295,83.6,2390214.0
2024-09-17,83.84,84.03,83.41,83.95,2025337.0
2024-09-18,83.88,84.096,82.2517,82.94,1942292.0
2024-09-19,82.65,83,81.96,82.51,2296995.0
2024-09-20,82.83,83.46,82.085,83.18,4640460.0
2024-09-23,83.44,84.12,83.135,84.04,2334545.0
2024-09-24,83.83,84.38,82.895,83.02,3213093.0
2024-09-25,83.44,83.69,82.39,83,2377451.0
2024-09-26,82.02,82.97,81.75,81.94,2775113.0
2024-09-27,82.33,83.58,82.33,83.25,2463042.0
2024-09-30,83.36,83.65,82.44,83.63,2355155.0
2024-10-01,83.82,84.47,83.51,83.92,1628780.0
2024-10-02,83.18,83.92,82.75,83.38,1739998.0
2024-10-03,83.5,83.5,82.234,82.53,1711339.0
2024-10-04,81.69,82.87,81.6,82.6,1388396.0
2024-10-07,82.14,82.325,81.35,81.51,2742130.0
2024-10-08,81.92,82.315,81.5381,81.61,2416458.0
2024-10-09,81.63,81.97,81.08,81.52,1573084.0
2024-10-10,81.87,82.5,81.2599,81.33,2050369.0
2024-10-11,81.54,82.39,81.37,82.16,1794305.0
2024-10-14,82.2,83.29,82.105,83.15,1998354.0
2024-10-15,83.48,84.49,83.18,84.03,6532032.0
2024-10-16,84.14,85.83,83.87,85.66,3173615.0
2024-10-17,85.5,85.92,84.61,85.49,3135247.0
2024-10-18,85.67,86.13,84.6292,85.96,3022968.0
2024-10-21,86.06,86.06,84.09,84.93,3065731.0
2024-10-22,84.4,85.23,84.255,85.01,3546998.0
2024-10-23,85.29,85.99,84.87,85.96,3098249.0
2024-10-24,86.35,86.57,85.38,85.77,2202464.0
2024-10-25,86.24,86.36,84.33,84.38,2308529.0
2024-10-28,84.9,85.6,84.73,85.17,1924426.0
2024-10-29,84.54,84.54,83.45,83.55,2459724.0
2024-10-30,83.86,84.08,82.65,83.55,2196732.0
2024-10-31,83.37,84.39,83.2,83.37,2236388.0
2024-11-01,83.74,83.925,81.54,81.65,2789570.0
2024-11-04,81.55,81.935,80.11,80.81,3379883.0
2024-11-05,80.8,82.27,80.22,82.25,4274162.0
2024-11-06,81.5,88.59,80.87,88.26,7768841.0
2024-11-07,88.25,90.16,88.045,89.76,5243491.0
2024-11-08,89.68,91.88,89.48,91.25,3733561.0
2024-11-11,90.52,92.66,90.52,92.12,2690304.0
2024-11-12,92.27,92.49,91.48,92.2,3403025.0
2024-11-13,92.44,93.12,91.26,92.19,3745225.0
2024-11-14,92,92.12,90.43,90.44,3247548.0
2024-11-15,90.44,92.28,90.25,92.19,3050146.0
2024-11-18,91.85,93.21,91.72,92.92,2466839.0
2024-11-19,92.16,93.441,91.72,93.38,2901762.0
2024-11-20,93.73,93.9,92.49,93.12,2311666.0
2024-11-21,92.91,94.86,92.46,94.69,2541423.0
2024-11-22,94.99,95.29,94.15,94.27,2554420.0
2024-11-25,95.56,95.77,94.335,94.77,4978057.0
2024-11-26,94.69,94.69,92.88,93.29,5602096.0
2024-11-27,93.78,94.83,93.35,94.28,2871827.0
2024-11-29,94.52,94.92,93.67,93.67,1762848.0
2024-12-02,94.15,94.15,91.675,92.1,3199540.0
2024-12-03,92.9,93.58,91.99,92.01,4018296.0
2024-12-04,91.86,92.05,91.09,91.5,3415549.0
2024-12-05,91.24,91.8,90.83,90.94,3910539.0
2024-12-06,91.11,91.247,89.29,89.6,3265242.0
2024-12-09,89.42,89.68,88.69,88.78,3015580.0
2024-12-10,88.89,89.43,87.78,88.55,2415527.0
2024-12-11,88.63,88.81,87.1,87.41,3996923.0
2024-12-12,87.97,88.5,87.395,87.93,4254744.0
2024-12-13,89.01,89.79,88.81,89.16,2766672.0
2024-12-16,89.11,89.765,88.62,88.63,2881654.0
2024-12-17,87.575,88.58,86.36,86.96,4188860.0
2024-12-18,87.01,87.94,85.06,85.09,3344554.0
2024-12-19,85.33,86.68,85.1,85.9,3532836.0
2024-12-20,85.34,87.225,85.34,86.81,4747470.0
2024-12-23,86.65,87.07,85.8077,87.04,2789532.0
2024-12-24,86.96,87.97,86.67,87.96,795600
2024-12-26,87.51,87.74,87,87.61,7243985.0
2024-12-27,87,88.1594,87,87.77,1791233.0
2024-12-30,87.2,87.64,86.3184,87.35,4381345.0
2024-12-31,87.28,88.02,87.25,87.72,1827264.0
2025-01-02,88.31,88.65,86.8,87.13,2330638.0
2025-01-03,87.42,87.95,86.85,87.67,2838111.0
2025-01-06,87.32,87.38,84.2,84.51,3075150.0
2025-01-07,84.79,85.2,84.06,84.23,4262232.0
2025-01-08,84.19,84.41,81.29,82.82,6214481.0
2025-01-10,81.86,82.46,78.6,78.73,8191038.0
2025-01-13,78.93,79.1,76.72,76.94,9327836.0
2025-01-14,77.7,79.22,77.19,78.11,6083714.0
2025-01-15,79.42,83.19,79.32,82.42,10263104.0
2025-01-16,82.29,84.13,82.02,83.99,7815651.0
