date,open,high,low,close,volume
2024-06-03,93.31,93.38,90.37,91.39,1756587.0
2024-06-04,91.41,91.45,89.58,90.68,2115508.0
2024-06-05,91.5,92.35,90.12,92.28,2075626.0
2024-06-06,91.72,92.3192,90.76,91.72,1556861.0
2024-06-07,91.59,91.805,90.49,90.81,1304145.0
2024-06-10,90.08,94.34,90,93.52,2431261.0
2024-06-11,93.06,96.43,91.76,96.22,3307459.0
2024-06-12,97.88,103.85,97.75,102.64,6255097.0
2024-06-13,102.89,106.9999,101.93,106.33,5540825.0
2024-06-14,105.27,105.89,103.98,104.37,3280343.0
2024-06-17,104.31,106.86,103.28,106.3,2293306.0
2024-06-18,106.16,107.075,105.45,106.46,2248872.0
2024-06-20,107.38,107.59,105.44,105.8,2672109.0
2024-06-21,105.3,106.67,104.7601,106.38,5346202.0
2024-06-24,105.47,107.055,104.83,104.96,2695215.0
2024-06-25,105.52,108.11,105.05,107.38,2393701.0
2024-06-26,106.47,107.515,105.05,106.14,2670264.0
2024-06-27,106.19,106.685,104.83,105.6,2434841.0
2024-06-28,106.45,107.5,105.95,106.58,2365016.0
2024-07-01,106.47,106.47,103.95,106.4,2025766.0
2024-07-02,106,107.69,105.355,106.96,1756732.0
2024-07-03,107.17,107.22,104.19,104.63,1811349.0
2024-07-05,105.16,106.59,103.8,105.56,3537208.0
2024-07-08,106.26,107.21,106.07,106.38,1573350.0
2024-07-09,106.22,106.96,104.96,106.41,1394674.0
2024-07-10,107.27,110.99,106.72,110.82,3173354.0
2024-07-11,111.57,111.69,108.93,109.95,1977357.0
2024-07-12,111,113.7,109.97,112.33,2820774.0
2024-07-15,112.82,116.69,112.82,115.88,3913495.0
2024-07-16,116.35,120.86,115.67,120.68,3388045.0
2024-07-17,118.76,120.12,116.45,116.56,5389871.0
2024-07-18,117.19,119.64,115.915,117.39,3074395.0
2024-07-19,116.93,117.005,113.84,114.26,2205712.0
2024-07-22,117.18,118.61,115.405,118.41,2412742.0
2024-07-23,116.85,118.17,116.12,117.5,1595173.0
2024-07-24,116.98,117.525,113.37,113.65,3016546.0
2024-07-25,113.49,116.5,112.38,112.68,2978911.0
2024-07-26,115.33,117.21,113.87,116.18,2207493.0
2024-07-29,117.44,118.95,116.53,117.41,2251592.0
2024-07-30,117.53,120.07,117.12,117.69,4471301.0
2024-07-31,111.95,114.16,107.53,113.62,6975685.0
2024-08-01,112.41,113.5,106.31,108.01,4206774.0
2024-08-02,106.69,106.98,104.26,104.7,3287132.0
2024-08-05,100.47,104.25,98.49,99.7,2762165.0
2024-08-06,100.58,102.07,98.73,99.23,2234032.0
2024-08-07,101.78,102.44,96.15,96.42,2895159.0
2024-08-08,98.9,103.5,98.305,102.78,3108322.0
2024-08-09,101.42,102.62,100.475,102.03,1197273.0
2024-08-12,102.37,103.36,101.6,102.47,1687154.0
