date,open,high,low,close,volume,vwap,transactions
2024-10-01,42.51,42.575,41.33,41.72,7834952,41.7961,64518
2024-10-02,41.56,42.31,41.56,41.77,5736211,41.7989,50820
2024-10-03,41.56,41.69,41.08,41.49,5646369,41.4122,55343
2024-10-04,42.22,42.61,41.985,42.39,5650777,42.2883,59461
2024-10-07,42.33,42.55,41.625,42,7170586,41.9968,60077
2024-10-08,42.24,42.4797,41.9,42.13,5717207,42.1661,50733
2024-10-09,42.13,42.905,42.11,42.63,5570630,42.6387,58829
2024-10-10,42.48,42.84,42.36,42.49,5727843,42.5108,56664
2024-10-11,42.78,43.49,42.745,43.26,15639570,43.2594,84078
2024-10-14,43.3,43.825,43.01,43.59,11344492,43.5911,76746
2024-10-15,43.9,44.59,43.81,43.91,12720988,44.2532,95817
2024-10-16,44.33,44.93,44.1,44.53,11452964,44.6406,96908
2024-10-17,44.11,44.2,42.945,42.95,13570403,43.4262,106270
2024-10-18,43.51,43.785,42.81,43.67,7666546,43.4761,59433
2024-10-21,43.3,43.57,42.35,42.43,6925761,42.6068,61694
2024-10-22,42.54,43.59,42.185,43.39,13622661,43.2338,67338
2024-10-23,43.17,43.5831,43.001,43.44,5139668,43.3511,60218
2024-10-24,43.63,43.63,42.885,43.42,5492925,43.3521,43123
2024-10-25,43.97,43.97,42.52,42.63,5868746,42.8278,62155
2024-10-28,42.91,43.38,42.7,43.29,4980395,43.1777,47287
2024-10-29,43.22,43.3,42.91,43.09,4795108,43.07,38863
2024-10-30,42.75,43.8051,42.75,43.31,7065984,43.3788,52991
2024-10-31,43.05,43.595,43.04,43.05,5773925,43.2349,52809
2024-11-01,43.33,43.67,42.762,42.82,6304935,43.1023,50214
2024-11-04,42.75,42.79,42.0425,42.07,5321831,42.2251,51474
2024-11-05,42.25,42.72,42.155,42.32,5769712,42.3425,45023
2024-11-06,45,47.03,44.84,47,34314838,46.2144,187025
2024-11-07,46.32,46.49,45.68,46.2,13679297,46.1175,101344
2024-11-08,45.68,46.03,45.16,45.22,9361938,45.4143,69073
2024-11-11,45.9,46.62,45.76,46.44,8225305,46.3784,73149
2024-11-12,46.04,46.68,46.02,46.66,7005738,46.4831,57725
2024-11-13,46.81,47.57,46.49,46.51,8308897,46.7874,59289
2024-11-14,46.55,46.6866,45.98,46.25,5378071,46.2763,47362
2024-11-15,46.24,46.945,46.17,46.55,5665179,46.4915,52634
2024-11-18,46.4,47.03,46.35,46.79,5175471,46.8154,51876
2024-11-19,46.09,46.82,46.04,46.63,6408526,46.6184,50068
2024-11-20,46.74,47.17,46.095,46.18,11326768,46.2633,57479
2024-11-21,46.36,47.15,46.26,46.81,9356000,46.8242,68130
2024-11-22,46.86,48.06,46.83,47.96,8587856,47.6909,72402
2024-11-25,48.36,49.055,48.07,48.1,9813615,48.2578,65634
2024-11-26,48.16,48.29,47.68,47.7,7296715,47.8641,55857
2024-11-27,48.05,48.31,47.725,47.75,6619988,47.8652,45781
2024-11-29,48.01,48.105,47.54,47.68,4588412,47.7927,31767
2024-12-02,47.9,47.97,46.83,46.98,8346013,47.0741,65283
2024-12-03,46.89,47.06,46.2,46.43,6863225,46.4425,51053
2024-12-04,46.57,46.6481,45.9622,46.22,5702132,46.2207,48171
2024-12-05,46.46,47.44,46.2749,47.17,6923630,47.1143,62895
2024-12-06,47.22,47.62,46.78,47.26,4849170,47.113,46111
2024-12-09,47.2,47.49,46.78,46.8,7355925,46.9789,60816
2024-12-10,46.84,47.76,46.415,46.46,10123668,46.9712,78904
2024-12-11,46.8,46.8385,45.66,45.66,10208894,45.9516,65265
2024-12-12,45.71,45.85,45.09,45.72,8251471,45.5795,62765
2024-12-13,45.79,45.94,45.42,45.78,8230892,45.6873,59439
2024-12-16,45.84,45.89,45.15,45.29,11068405,45.3535,80968
2024-12-17,44.94,45.48,44.66,45.13,7813891,45.0768,68556
2024-12-18,45.24,45.44,43.07,43.11,8981443,44.1764,74033
2024-12-19,43.6,43.86,42.39,42.55,7541795,42.7722,73686
2024-12-20,42.31,43.68,42.28,43.32,14850116,43.2228,64574
2024-12-23,43,43.56,42.91,43.54,5013668,43.4145,44693
2024-12-24,43.54,43.99,43.385,43.99,1742152,43.7694,19412
2024-12-26,43.67,44.07,43.54,44,2877053,43.8623,31160
2024-12-27,43.69,44.3,43.46,43.67,3307195,43.6994,36500
2024-12-30,43.31,43.64,42.89,43.37,3432700,43.3863,39483
2024-12-31,43.6,43.8,43.24,43.38,5316278,43.4189,43532
2025-01-02,43.74,44.08,43.14,43.33,5056670,43.4754,56423
2025-01-03,43.57,44.136533,43.06,44.1,5156379,43.8406,55230
2025-01-06,44.6,45.05,44.0113,44.1,6246498,44.407,64929
2025-01-07,44.65,44.75,43.73,43.97,7067447,44.0884,67956
2025-01-08,43.96,44.25,43.445,43.95,5727349,43.9251,59346
2025-01-10,43.32,43.48,42.57,42.78,8002342,42.8285,81724
2025-01-13,42.69,43.17,42.63,43.12,8693033,42.9466,73946
2025-01-14,43.5,43.99,43.24,43.91,10298100,43.7195,81430
2025-01-15,45.17,45.5772,44.97,45.39,7974026,45.3303,79274
2025-01-16,44.94,45.49,44.44,44.98,11164550,44.8367,94857
2025-01-17,47.02,47.745,46.55,47.65,15704872,47.3312,115399
2025-01-21,48,48.527849,47.735,47.89,10278667,48.1045,93276
2025-01-22,47.73,47.74,46.41,47.01,9023436,46.8968,75325
2025-01-23,47.05,47.23,46.55,46.76,6453169,46.8625,62081
2025-01-24,46.5,47.185,46.45,47,6377324,46.9893,48424
2025-01-27,47.18,47.62,47.045,47.61,5000094,47.4251,57821
2025-01-28,47.46,47.73,46.83,47.27,3848106,47.2583,43360
2025-01-29,47.25,48.185,47.24,47.44,5686453,47.6221,59620
2025-01-30,48,48.45,47.72,48.02,7772449,48.1484,64586
2025-01-31,48.07,48.36,47.45,47.62,12372215,47.7197,65985
2025-02-03,46.65,47.14,45.84,46.89,7494082,46.7683,68171
2025-02-04,46.89,47.57,46.847,47.38,4684770,47.3519,39181
2025-02-05,47.77,47.81,47.085,47.67,4238790,47.5097,33951
2025-02-06,48.19,48.25,47.47,48.15,13659392,47.9956,54050
2025-02-07,48.2,48.27,47.48,47.68,8008450,47.7485,54890
2025-02-10,47.68,47.72,46.94,47.15,6494845,47.1989,40948
2025-02-11,46.98,47.51,46.77,47.34,5957872,47.3358,48214
2025-02-12,46.75,46.85,46.11,46.38,5553669,46.4005,53353
2025-02-13,46.49,46.66,46.1,46.46,4566385,46.4105,46818
2025-02-14,46.12,46.86,45.78,46.81,5376300,46.7249,50124
2025-02-18,46.86,47.64,46.57,47.61,8662024,47.4372,61298
2025-02-19,47.18,47.77,47.01,47.53,5871109,47.4567,49466
2025-02-20,47.54,47.6,45.8742,46.65,5599969,46.6023,63159
2025-02-21,46.88,46.88,45.53,45.66,5845218,45.9258,48349
2025-02-24,46.02,46.045,45.13,45.34,5969293,45.4809,44426
2025-02-25,45.69,45.98,44.79,45.15,5588877,45.2029,48409
2025-02-26,45.46,45.69,45.113,45.34,5119966,45.3898,48751
2025-02-27,45.5,46.12,45.295,45.71,5763166,45.7699,58845
2025-02-28,46.05,46.38,45.7,46.35,7194845,46.2117,59950
2025-03-03,46.54,46.92,45.05,45.43,8882360,45.8543,77792
2025-03-04,44.81,45,42.95,43.76,9627653,43.8771,102307
2025-03-05,43.895,44.45,42.69,43.11,12863643,43.2499,103882
2025-03-06,42.5,42.63,41.66,42.24,7319609,42.1833,78840
2025-03-07,42.02,42.36,40.95,42.19,8470717,41.7745,84892
2025-03-10,41.28,41.44,39.67,40.37,11406147,40.5011,102936
2025-03-11,40.28,40.76,39.51,39.91,9840884,40.1244,100007
2025-03-12,40.41,40.58,39.57,39.84,17943151,39.9307,89962
2025-03-13,40.09,40.16,39.41,39.48,10391303,39.6522,86349
2025-03-14,39.98,40.63,39.727,40.55,13626386,40.2525,86391
2025-03-17,40.32,41.36,40.32,41.05,8183852,40.9728,67663
2025-03-18,41.02,41.19,40.5,40.85,10511575,40.8186,81359
2025-03-19,40.91,41.63,40.63,41.27,8022073,41.1828,65046
2025-03-20,40.86,41.67,40.77,41.33,6124347,41.3963,61037
2025-03-21,41.11,41.43,40.645,41.42,16829403,41.3141,58808
2025-03-24,41.92,42.34,41.77,42.15,8635720,42.0718,52832
2025-03-25,42.235,42.43,41.925,42,9103604,42.1195,57418
2025-03-26,42.1,42.73,41.755,41.98,6177040,42.1428,58306
2025-03-27,41.9,41.9,41.245,41.4,4854469,41.5244,47306
2025-03-28,41.17,41.53,40.265,40.46,7361289,40.5216,66263
2025-03-31,40.22,41.32,39.97,41.15,8679312,40.9484,67185
2025-04-01,40.78,41.345,40.44,41.02,6561263,40.9346,65939
2025-04-02,40.31,41.625,40.3,41.56,8446123,41.3062,76239
2025-04-03,39.29,39.71,37.015,37.04,17871845,37.8011,145266
2025-04-04,35.52,35.81,33.705,34.79,21423244,34.7755,186969
2025-04-07,34,36.835,33.56,35.14,32030374,35.0309,267883
2025-04-08,36.33,37.08,34.355,34.92,17908051,35.687,171278
2025-04-09,34.19,38.23,33.82,37.99,31112949,36.4454,273706
2025-04-10,36.88,36.965,34.58,35.64,17346808,35.5322,166857
2025-04-11,35.33,35.645,34.52,35.39,18558161,35.1808,151597
2025-04-14,36.14,36.47,35.62,36.18,12193833,36.142,115492
2025-04-15,36.29,37.07,36.29,36.49,9309851,36.6729,80063
2025-04-16,36.22,36.67,35.535,36,11090059,36.0427,92897
2025-04-17,35.11,36.545,35.07,35.9,15140900,35.9971,130040
2025-04-21,35.5,35.66,35,35.31,10062745,35.2329,62405
2025-04-22,35.79,36.3975,35.67,36.34,7413665,36.1469,63772
2025-04-23,37.32,38.41,37.015,37.14,8600483,37.4442,70849
2025-04-24,37,38.09,36.825,37.9,8135315,37.7918,54871
2025-04-25,37.61,37.97,37.47,37.67,6389219,37.7071,42547
2025-04-28,37.75,38.46,37.7,38.34,10765638,38.2158,89826
2025-04-29,38.09,39.03,38.09,38.76,10904978,38.6955,91132
2025-04-30,38,38.475,37.51,38.34,7394605,38.1503,53144
2025-05-01,38.31,38.915,38.16,38.59,5512126,38.6469,52861
2025-05-02,39.39,39.59,38.87,39.47,7950150,39.3495,69032
2025-05-05,39.07,39.865,39.02,39.35,5954576,39.5475,48447
2025-05-06,38.88,39.455,38.7617,38.97,7528312,39.1525,65941
2025-05-07,39.26,39.48,38.55,38.71,10077394,38.8479,82432
2025-05-08,39.27,39.79,38.92,39.56,7294465,39.5105,65767
2025-05-09,39.27,39.315,38.85,39.01,7187800,39.0687,61140
2025-05-12,40.77,41.455,40.27,41.12,9839272,41.0919,85822
2025-05-13,41.25,41.49,41.045,41.35,6852575,41.3241,49903
2025-05-14,41.17,41.365,41.005,41.23,6462088,41.2179,45400
2025-05-15,40.98,41.31,40.835,41.18,6487911,41.0852,46468
2025-05-16,41.17,41.435,40.85,41.4,4786451,41.2956,41641
2025-05-19,41.01,41.49,40.85,41.4,6270809,41.3352,48545
2025-05-20,41.29,41.35,40.44,40.68,11772551,40.793,75619
2025-05-21,40.25,40.34,39.12,39.12,8347557,39.5756,61931
2025-05-22,39.03,39.65,38.84,39.49,10461120,39.3989,65769
2025-05-23,38.5,39.39,38.2706,39.28,7395063,39.1809,54287
2025-05-27,39.8,40.03,39.32,40.03,5675412,39.8106,60017
2025-05-28,39.97,40.15,39.29,39.34,8111073,39.5712,66472
2025-05-29,39.65,39.725,39.08,39.6,6824248,39.3577,62451
2025-05-30,39.34,39.68,39.18,39.5,10481140,39.4848,64069
2025-06-02,39.21,39.41,38.675,39.23,7597107,39.1237,66287
2025-06-03,39.2,39.77,38.93,39.62,9616445,39.5101,59460
2025-06-04,39.62,39.965,39.48,39.51,6465680,39.5913,49919
2025-06-05,39.61,39.76,39.12,39.63,8551507,39.545,60513
2025-06-06,40.27,40.68,40.1374,40.66,5710643,40.4488,51219
2025-06-09,40.89,41.05,40.41,40.45,5969004,40.6209,49598
2025-06-10,40.4,40.95,40.3063,40.73,4643581,40.6964,42698
2025-06-11,40.78,40.955,40.2,40.26,7284552,40.4584,55642
2025-06-12,40,40.0099,39.495,39.94,5565991,39.8202,45613
2025-06-13,39.48,39.575,38.835,38.97,6465830,39.1422,54440
2025-06-16,39.5,39.66,39.13,39.39,6628289,39.4539,48945
2025-06-17,39.04,39.42,38.88,39.03,6678374,39.096,53892
