date,open,high,low,close,volume,vwap,transactions
2024-10-01,620,620,610.5701,612.94,1169248,614.0752,24312
2024-10-02,610,616.57,605.33,612.72,665365,612.5724,21637
2024-10-03,609.86,611.49,599.35,600.92,1258287,603.6769,26890
2024-10-04,602.63,603.99,596.53,598.61,871514,598.8047,23833
2024-10-07,592.32,599.295,592.32,598.85,1165872,598.0932,22989
2024-10-08,599.05,602.3,594.705,595.45,883538,596.6195,23992
2024-10-09,594.11,600.065,593.11,599.25,890916,597.8967,21285
2024-10-10,597.17,597.17,589.87,593.79,1211716,593.3874,28027
2024-10-11,595.64,602.41,594.31,596.92,2138162,597.6051,31389
2024-10-14,600.79,604.54,595.2327,603.79,1006424,602.0761,27011
2024-10-15,605,610.56,599.375,600.52,1290564,602.9195,31583
2024-10-16,590.27,596.8,587.27,591.55,1369297,590.9656,37456
2024-10-17,604.34,608.39,596.87,599.25,1946149,601.564,37510
2024-10-18,600.03,604.39,595.56,601.71,1081607,601.0638,24798
2024-10-21,597.89,600.58,591.8205,595.37,914622,595.0137,25018
2024-10-22,587.49,591.2,584.16,586.38,1619551,587.1178,34234
2024-10-23,574.58,578.69,566.08,576.49,2058331,572.6389,50412
2024-10-24,572.36,574.83,557.26,557.38,1757565,562.915,42266
2024-10-25,560.16,562.22,553.3058,554.38,1090373,555.8035,31510
2024-10-28,559.25,559.37,550.45,552.54,1116741,553.7311,28934
2024-10-29,550.96,553.61,547.25,547.77,1638339,549.2398,31392
2024-10-30,547.5,554.7419,546.75,550.62,1452184,551.4338,30432
2024-10-31,548.56,552.085,544.49,546.32,1472599,548.114,34786
2024-11-01,550,564.87,547.29,557.92,1459815,558.1703,39305
2024-11-04,556.68,559.5585,550.15,555.47,815123,554.7283,29782
2024-11-05,550.41,561.78,550.24,560.79,998699,559.3456,30557
2024-11-06,570.2,570.2,549.2,559.68,1423148,558.0399,41660
2024-11-07,565,565.88,554.1973,555.89,1304090,557.0775,34966
2024-11-08,557.23,558.55,549,551.74,1620732,552.6542,44126
2024-11-11,549.08,553.93,545.07,546.92,1565850,547.2419,37635
2024-11-12,549.16,550.16,540.05,540.75,1724079,542.7833,37430
2024-11-13,540,544.8,538,541.9,1212172,542.1984,29766
2024-11-14,539.9,542.38,531.69,533.02,1765190,535.275,47200
2024-11-15,529.4,529.4,511.7,513.08,3953117,515.8472,81481
2024-11-18,511,512.77,498.61,501.29,3164274,502.4898,75035
2024-11-19,496.19,511.3,493.3,509.12,3658663,505.4221,69300
2024-11-20,507.08,513.85,502.73,512.84,1534010,511.1527,41828
2024-11-21,514.12,516.22,507.46,516.1,1956777,513.3918,47640
2024-11-22,514.62,517,507.17,513.26,1833539,513.7864,48373
2024-11-25,512.3,516.34,509.36,514.2,3063549,514.0252,64966
2024-11-26,514.2,514.2,507.27,512.98,1748538,511.0846,46841
2024-11-27,515.41,528.86,514.975,521.66,2914199,524.1244,56288
2024-11-29,523.13,533.165,523,529.63,2108339,530.1223,41984
2024-12-02,528.7,534.84,526.6,529.95,2558569,530.2133,52135
2024-12-03,530.25,535.98,527.94,534.42,2665203,532.6725,52333
2024-12-04,532.55,536.53,524.84,528.87,2579756,529.9791,41680
2024-12-05,527.21,527.41,517.6778,520.86,2665270,521.3034,46433
2024-12-06,523,531.32,522,529.36,1869732,529.3692,35196
2024-12-09,529.69,538.09,526.64,537.23,2105822,536.2643,41003
2024-12-10,539.53,542.4019,534.53,535.85,1937999,537.774,37921
2024-12-11,535,540.03,533.64,534.36,1389224,535.6299,31141
2024-12-12,531.33,531.8899,524.05,525,2539196,526.1476,47115
2024-12-13,523.65,528.09,517.15,526.89,1553525,525.2428,39065
2024-12-16,527.34,534.73,526.72,530.26,2595619,531.1546,41692
2024-12-17,526.01,535.94,526.01,528.84,2544835,530.2482,50292
2024-12-18,528,533.34,515.9,516.18,1774329,522.3601,38756
