date,open,high,low,close,volume,vwap,transactions
2024-10-01,175.31,175.99,170.78,172.07,11832168,172.5144,185267
2024-10-02,172.96,176.9739,170.7899,175.8,11160240,174.6186,181644
2024-10-03,175.8,180.79,175.1218,179.48,12517433,179.0857,191516
2024-10-04,179.7,181.23,177.55,181.16,10001896,179.6262,165159
2024-10-07,181.6,185,180.93,184.51,12054159,183.5993,187173
2024-10-08,184.96,186.54,182.03,186.05,10394172,185.3919,172655
2024-10-09,187.8,188,182.26,187.14,11925013,185.4409,182391
2024-10-10,185.86,187.08,184.4,185.78,6384087,186.0126,116194
2024-10-11,188.17,191.4899,188.01,190.81,12161858,190.0231,176851
2024-10-14,190.61,194.25,190.5029,192.21,11714387,192.4528,189782
2024-10-15,192.96,193.62,184.25,187.13,21812670,188.1724,312747
2024-10-16,189.78,190.01,186.66,187.48,18669223,188.2033,237448
2024-10-17,203.35,212.6,201.97,205.84,62211168,207.7906,714751
2024-10-18,205.95,205.95,200.76,200.78,20979211,202.3997,280339
2024-10-21,200.81,203.44,199.66,201.95,14815450,201.4695,210225
2024-10-22,199.07,200.17,197.11,198.48,11135073,198.7826,183011
2024-10-23,196.68,203.13,196.23,200.86,16535701,199.9752,228897
2024-10-24,198.96,200.5,197.41,197.93,9935780,198.4678,170184
2024-10-25,200.25,205.2,200,203.44,13434862,203.5332,199725
2024-10-28,199.26,199.74,194.5201,194.68,20122445,196.5325,314646
2024-10-29,194.39,198.79,193.6,196.94,13779107,196.6569,188844
2024-10-30,194.38,195.45,192.61,194.48,10007766,194.4154,170140
2024-10-31,192.86,192.86,187.66,190.54,13062658,189.7793,214589
2024-11-01,194.2,198.17,192.55,192.95,12691190,195.355,195484
2024-11-04,193.7,194.36,190.6,191.56,10917292,192.0476,164397
2024-11-05,193.58,198.34,193.49,195.76,10225713,196.1655,138375
2024-11-06,192.04,194.26,188.5,193.22,19834867,191.5926,289872
2024-11-07,196.31,202.01,196.25,201.19,14865161,200.341,228576
2024-11-08,203.89,206.61,200.02,201.2,13112091,202.2835,205629
2024-11-11,197.96,198.2,191.49,194.05,16610009,193.9454,257490
2024-11-12,193.83,194,189.72,191.77,11818275,191.334,184329
2024-11-13,192.443,192.48,186.5,186.66,13882151,188.1324,212155
2024-11-14,188.4,192.66,187.535,188.5,11453908,189.4742,169343
2024-11-15,188.18,188.8,184.81,186.01,9817757,186.2999,160798
2024-11-18,184.35,188,183.49,187.48,10694009,186.4612,140083
2024-11-19,189.13,190.02,188.02,189.67,9390115,189.3723,134940
2024-11-20,188.85,188.85,184.06,188.36,10624495,186.8111,158622
2024-11-21,189.41,192.3,186.74,191.24,18137330,189.8569,185133
2024-11-22,192.95,193,189.43,190.08,8836825,190.643,113815
2024-11-25,188.09,188.25,183.71,185.08,14380026,185.2635,218401
2024-11-26,185.4,185.9,182.33,183.84,10186572,183.817,157358
2024-11-27,182,182.45,178.05,181.19,9895248,180.2151,171066
2024-11-29,181.51,186.95,181.18,184.66,8045290,184.9752,121959
2024-12-02,189.34,195.29,188.94,194.4,16646881,193.3295,217544
2024-12-03,193.5,199,192.6,198.89,11217660,196.5719,155011
2024-12-04,199.85,202.6,198.27,200.69,12761061,200.7885,179536
2024-12-05,201.25,205.63,200.75,204.3,12283722,203.6321,161222
2024-12-06,202,203.19,199.93,203.02,9672870,201.7784,150370
2024-12-09,200.93,203.125,198.98,199.17,9699663,200.5184,136918
2024-12-10,199.1,199.91,190.37,191.94,15307905,193.6088,206716
2024-12-11,194.67,196,193.26,194.6,9027611,194.588,139064
2024-12-12,194.63,195.42,191.29,191.46,7912738,192.6805,118432
2024-12-13,198.51,202.54,197.27,200.99,19476980,199.7457,241127
2024-12-16,203.2,205.5,200.87,202.22,15139257,203.184,199379
2024-12-17,201,202.4,197.47,200.66,11169364,199.8453,156520
2024-12-18,203,205.24,193.96,195.56,14676065,200.4234,207094
2024-12-19,198.4,198.57,193.95,194.64,10553405,195.3227,160106
2024-12-20,192.6,198.08,191.98,197.21,16170143,196.0866,163442
2024-12-23,201,208.0499,200.905,207.36,17835807,205.951,204873
2024-12-24,205.92,207.2,204.55,206.33,7634490,205.8773,110790
2024-12-26,205.5,208.16,202.89,203.06,8016235,204.5097,117883
2024-12-27,204.5,204.5,199.05,201.63,10664418,201.1144,142193
2024-12-30,199.84,201.967,198.48,200.39,11235213,199.8994,117488
2024-12-31,200.79,201.78,197.36,197.49,6405917,198.7519,96251
2025-01-02,197,203.7699,196.69,201.58,10951425,201.0498,172399
2025-01-03,204.1,208.8,203.7,208.61,10261948,207.0257,159616
2025-01-06,218.77,222.2,215.693,220.01,24339947,219.4774,337423
2025-01-07,221.24,221.48,211.32,211.42,17009145,214.4481,244302
2025-01-08,209.97,210.3,205.92,207.12,13237432,207.6259,193234
2025-01-10,207.6,209.9791,203.23,208.37,17265198,207.5891,228213
2025-01-13,200.52,203.59,200.05,201.36,16612392,201.5657,239402
2025-01-14,205.185,206.26,198.5,201.45,14177544,201.6814,200318
2025-01-15,202.49,209.04,199.35,206.8,18247092,204.9214,236053
2025-01-16,218.89,221.95,213.17,214.79,38419551,217.4568,465933
2025-01-17,215.17,215.68,211.06,211.5,20456103,213.0678,241751
2025-01-21,214.46,220.15,212.05,218.7,19046304,217.2756,238086
2025-01-22,221.95,225.43,219.31,223.2,17271974,223.1473,249911
2025-01-23,220.1,224.7,219.41,224.62,8986795,222.9485,146555
