date,open,high,low,close,volume
2024-06-03,93.29,94.29,91.54,93.11,1940783.0
2024-06-04,92.34,95.1596,92.25,94.48,3022954.0
2024-06-05,95.27,97.85,94.69,97.41,4674272.0
2024-06-06,97.43,98.18,96.5,97.19,1837808.0
2024-06-07,96.23,97.0889,94.1,94.17,3268800.0
2024-06-10,93.9,94.035,90.76,92.65,5002444.0
2024-06-11,93.19,94.45,92.01,92.19,5523219.0
2024-06-12,94.585,98.1,94.1688,97.46,4466095.0
2024-06-13,97.78,98,94.87,95.62,2501717.0
2024-06-14,95.07,95.75,94.68,95.66,2012934.0
2024-06-17,95.25,99.03,94.66,97.68,3162510.0
2024-06-18,98.02,99.54,97.282,99.25,2781695.0
2024-06-20,99.01,99.18,96.6,97.28,2987028.0
2024-06-21,98.065,98.065,96.4,97.71,4007546.0
2024-06-24,97.02,97.59,95.72,95.76,3374508.0
2024-06-25,96.05,98.75,95.18,97.73,2610570.0
2024-06-26,97.16,98.86,97.14,97.71,2404085.0
2024-06-27,97.5,99.32,97.17,98.22,2644567.0
2024-06-28,98.48,98.66,96.1,97.67,6329013.0
2024-07-01,97.43,98.4,96.14,97.97,2085842.0
2024-07-02,97.63,99,96.93,98.34,2444002.0
2024-07-03,98.48,100.25,97.96,99.47,2280964.0
2024-07-05,99.2,100.29,98.76,99.9,2439167.0
2024-07-08,99.98,99.9801,98.4015,99.08,2005060.0
2024-07-09,99.48,101.62,98.51,101.52,4113949.0
2024-07-10,102.18,102.67,98.1,99.82,4390259.0
2024-07-11,101.05,101.135,98.2801,98.57,3405028.0
2024-07-12,98,100.66,96.55,99.48,3159456.0
2024-07-15,99.8,102.14,99.14,100.09,3362328.0
2024-07-16,100.9,101.5885,99.38,100.95,2273698.0
2024-07-17,98.64,99.38,94.84,95.24,5465211.0
2024-07-18,96.25,97.865,94.63,95.72,2806915.0
2024-07-19,95.35,97.195,95.29,96.01,2093312.0
2024-07-22,98.27,100.8,97.27,100.44,4749923.0
2024-07-23,100.7,102.39,99.57,100.9,2694465.0
2024-07-24,97.5,97.75,89.26,89.32,8057817.0
2024-07-25,90.2,93.105,88.82,90.88,4904721.0
2024-07-26,92.98,93.015,90.7509,92.43,2700022.0
2024-07-29,93.07,94.29,91.47,92.21,2363385.0
2024-07-30,92.42,93.17,88.26,89.84,3452820.0
2024-07-31,90.74,91.475,89.03,89.88,4521846.0
2024-08-01,90.52,91.936,85.66,87.75,3724273.0
2024-08-02,84.6,85.76,81.78,83.08,4948864.0
2024-08-05,77.32,84.7,77.11,83.22,5742280.0
2024-08-06,84.36,86.13,83.2,84.79,3642957.0
2024-08-07,86.35,87.32,84.33,84.91,4381929.0
2024-08-08,86.615,88.65,84.4201,88.27,6289511.0
2024-08-09,90.07,99.55,90,99.3,13299325.0
2024-08-12,99.69,99.69,96.88,97.04,4915558.0
2024-08-13,98.08,98.82,96.38,98.32,3648507.0
2024-08-14,98.55,100.33,97.43,98.69,3553138.0
