date,open,high,low,close,volume,vwap,transactions
2024-10-01,206.06,207.015,199.7,201.6,9039870,201.5001,86695
2024-10-02,202.91,205.75,201.71,203.43,4389444,204.0207,63134
2024-10-03,201.08,203.44,200.27,201.67,3167023,201.5699,63271
2024-10-04,206.1,206.36,201.341,202.71,4093115,203.0611,68555
2024-10-07,200.59,202.78,199.67,201.27,2772389,201.2943,53955
2024-10-08,200.98,203.25,199.24,202.21,6283806,201.926,58245
2024-10-09,201.55,205.5,201.38,204.97,3215047,204.5261,54131
2024-10-10,201.96,203.355,200.88,202.47,3649446,202.4415,50912
2024-10-11,201.37,205.79,201.37,205.11,2815781,204.9574,49288
2024-10-14,206.14,208.96,205.64,208.655,3291630,208.1554,52512
2024-10-15,208.02,208.65,198.9,199.84,6818809,201.5047,102295
2024-10-16,201.98,202.095,199.28,200.69,3311293,200.3508,58684
2024-10-17,204.9,204.9,198.11,198.3,4687134,199.5608,68865
2024-10-18,199.48,199.96,196.735,198.47,4029545,198.4744,59086
2024-10-21,196.74,197.93,194.12,195.77,4948108,195.6674,80209
2024-10-22,193.61,195.295,192.85,193.97,7910843,194.442,116513
2024-10-23,201.04,203,198,201.74,10548519,201.1595,154593
2024-10-24,202.82,206.91,201.21,206.61,9309285,205.7924,97993
2024-10-25,207.61,211.39,206.75,206.93,5103208,208.02,72919
2024-10-28,206.365,207.31,205,205.83,4409206,206.0226,58622
2024-10-29,206.14,211.59,205.31,211.35,5522773,210.2719,71853
2024-10-30,208,210.81,207.75,207.93,4914038,208.7941,77319
2024-10-31,207.96,207.96,201.4,203.16,6543044,203.3592,89362
2024-11-01,203.08,206.72,203.08,204.92,4208858,205.146,60991
2024-11-04,203.49,205.6,202.55,203.66,3694171,204.0266,63944
2024-11-05,202.07,205.52,199.72,202.46,5246550,202.8014,63841
2024-11-06,208.93,215.68,208.37,214.97,8527503,213.6063,121421
2024-11-07,215.8,218.25,215.571,217.54,6020774,217.3062,83406
2024-11-08,217.05,220.385,216.21,220.29,4947785,219.6644,82564
2024-11-11,218.01,219.73,214.33,215.87,6154795,216.1566,73188
2024-11-12,215.39,215.41,209,212.78,4991236,212.4338,72484
2024-11-13,211.01,211.85,205.335,205.72,7921929,207.3203,82115
2024-11-14,205.27,207.07,204.38,206,4783753,206.0076,69571
2024-11-15,203.85,204.77,200.28,201.12,5970371,202.0758,89119
2024-11-18,202.2,207.67,201.53,207.18,7912927,206.6034,83273
2024-11-19,205.89,206.33,200.99,201.07,6716028,202.1879,75005
2024-11-20,198.08,199.6,196.47,198.19,7344446,197.9603,95850
2024-11-21,198.25,200.43,195.9,198.2,8080302,197.9296,111265
2024-11-22,197.77,198.91,196.5,198,7861395,197.9694,91685
2024-11-25,201.43,204.14,199.96,202.93,9274398,202.8204,87551
2024-11-26,205.996,206.91,199.15,200.95,5260495,201.3589,72268
2024-11-27,200.64,201.42,197.65,199.19,4732175,198.9305,68085
2024-11-29,200.08,202.51,199.7,201.03,3167423,201.1904,42901
2024-12-02,199.78,202.41,198.48,201.78,6374195,201.4274,80238
2024-12-03,198.66,199.97,197,197.23,4743419,197.7155,58582
2024-12-04,197.7,198.47,195.61,196.65,7172611,196.7424,61812
2024-12-05,195.75,197.1499,192.21,192.99,6049096,193.4158,68469
2024-12-06,193.66,195.1361,192.597,193.1,5140799,193.1848,64497
2024-12-09,192.03,197.81,191.6014,193.45,3880495,194.2513,64215
2024-12-10,193.33,193.69,189.44,190.18,6064238,190.6012,83813
