date,open,high,low,close,volume,vwap,transactions
2024-10-01,585,588.7,580.765,583.3,2648628,584.9293,64760
2024-10-02,604.26,604.52,584.25,592.31,3667113,592.4272,94812
2024-10-03,590.61,593.23,584.365,592.75,2645877,590.774,60094
2024-10-04,592.13,596.13,588.4399,591.2,2463201,591.2445,59807
2024-10-07,588.79,592.44,583.33,583.56,2591083,586.0481,58295
2024-10-08,588.06,589.21,579.56,581.58,2231446,582.3615,56639
2024-10-09,582.16,592.7999,580.6139,591.22,2207858,589.1724,53321
2024-10-10,595.18,598.95,592.76,597.7,2143284,596.3293,61050
2024-10-11,596.49,601.5225,596.2,598.05,1909733,598.4662,51048
2024-10-14,599.11,608.63,597.38,605.4,2447087,604.7022,68436
2024-10-15,552.02,569.7,543,556.29,11939357,556.5772,256083
2024-10-16,557.01,576.1799,555.12,571.34,5103928,570.8824,113545
2024-10-17,560.58,569.47,558.72,566.03,5588677,564.9477,104924
2024-10-18,566.85,570.95,563.0357,569.61,3687045,567.7956,78396
2024-10-21,569.64,579.275,568.7,571.47,3018013,573.5631,75913
2024-10-22,567.85,573.04,565.49,569.86,2594048,569.932,54571
2024-10-23,572.13,574.14,560,564.64,2912085,566.3439,67549
2024-10-24,564.99,571.7,560.31,560.81,2590197,563.9869,63097
2024-10-25,566.16,571.5,563.61,564.56,2513728,566.6445,60624
2024-10-28,566.25,568.33,562.81,565.24,1826559,565.4146,50408
2024-10-29,562.82,567.68,560.655,562.13,2600448,563.026,64812
2024-10-30,561.25,570.311,560.95,562.96,2323398,564.5605,59481
2024-10-31,560.88,568.45,560.88,564.5,2490014,565.5628,59938
2024-11-01,565.12,570.325,563.9,567.56,2548368,567.7995,59911
2024-11-04,566.74,568.59,555.415,557.77,2656777,558.1862,73021
2024-11-05,558.28,568.74,554.4,567.03,2608133,565.4689,61444
2024-11-06,603.895,605.5,590.8501,596.69,6591301,598.1794,142596
2024-11-07,598.69,607.6418,596.15,605.45,5254274,603.6634,91564
2024-11-08,609,619.8,605.2,615.81,3875838,615.7213,84200
2024-11-11,616.895,630.73,613.9225,625.25,3003242,625.3614,72905
2024-11-12,619.58,624.48,613.775,614.67,2809603,616.6022,68272
2024-11-13,613,613.005,603.06,605.87,3409793,607.035,70621
2024-11-14,603.48,606,588.99,593.15,3079199,594.7551,73112
2024-11-15,591.92,598.93,589.95,592.23,3423919,592.817,69041
2024-11-18,589.44,594.14,585.32,589.65,2577124,589.9623,60828
2024-11-19,582.72,586.835,576.77,577,3198346,579.5761,70866
2024-11-20,582.71,602.6436,581.55,600.5,3928765,595.6065,88967
2024-11-21,600,604,596.73,597.49,2722929,599.5152,63600
2024-11-22,598.56,601.26,588.675,590.87,3198124,592.1915,62113
2024-11-25,597.58,609.84,595.01,605.83,5146485,604.6465,72767
2024-11-26,608.24,608.47,598.88,606.79,2693612,605.1384,60403
2024-11-27,611.03,617.45,606.7,608.38,2269792,610.7905,59058
2024-11-29,608.8,615.78,606.62,610.2,2010812,611.5119,37928
2024-12-02,614,614,600.77,608.52,3365099,606.944,62011
2024-12-03,610.85,615.75,604.82,605.23,2329878,607.1112,51786
2024-12-04,611.02,622.83,606.97,610.79,4147575,611.0929,84620
2024-12-05,605.64,608.9899,573.885,578.97,5943684,584.1522,143193
2024-12-06,582.105,582.105,544.1401,549.62,13003644,553.5211,256164
2024-12-09,552,562.98,544.6412,560.62,7684650,555.3863,157931
2024-12-10,562,567.7499,557.0301,565.19,5360590,563.5464,115481
2024-12-11,555.655,558.1,532.67,533.53,10362991,538.6161,189291
2024-12-12,531.53,534,514.19,515.76,9363795,521.6776,182112
2024-12-13,515.64,527.53,510.72,520.48,8202905,520.3816,143095
2024-12-16,518,521.7,496.08,498.5,8879986,505.1897,194285
2024-12-17,487,495.6,475.82,485.52,14032661,483.2979,281388
2024-12-18,488.43,506.535,486,499.72,10147601,500.1701,180375
2024-12-19,500.14,503.65,486.24,489.25,7418073,491.6278,141566
2024-12-20,489.29,502.64,488.73,500.13,10956886,498.2966,126856
2024-12-23,500.76,508.78,499.05,506.34,4285978,505.2108,91539
2024-12-24,504.4,506.1,500.59,506.1,1824393,504.2133,43031
2024-12-26,505.65,512.22,504.73,511.15,3381086,510.1399,70608
2024-12-27,509.42,513.18,507.8,509.99,3469199,509.665,72072
2024-12-30,506.86,509.73,500.66,507.8,5409047,506.8116,97645
2024-12-31,509.35,511,503.34,505.86,4214367,506.159,83239
2025-01-02,508,512.11,503.2901,504.51,4237395,505.4621,79656
2025-01-03,506.35,516.29,505.38,513,3020428,513.28,70470
2025-01-06,513,520.3,509.8225,513.67,4444836,514.2719,78166
2025-01-07,518.85,519.5,511.22,514.25,3914545,514.4726,70491
2025-01-08,514.495,524.67,509.5123,524.52,4141728,521.5539,78315
2025-01-10,526.64,535.45,518.47,520.69,5467532,526.0468,118932
2025-01-13,535.045,547.4,533.14,541.14,6472465,542.034,129539
2025-01-14,539.645,544.55,536.55,543.74,3978259,540.9389,84984
2025-01-15,537.095,546.29,534.33,543.42,4095365,542.2229,86284
2025-01-16,530.35,539.84,510,510.59,9059887,518.5028,167309
2025-01-17,505.62,521.82,502.8,509.76,7495719,513.2812,120956
2025-01-21,514.05,525,512.82,524.99,5675582,522.7721,103331
2025-01-22,521.66,524.44,516,519.72,3756139,520.0363,83707
2025-01-23,527.87,531.48,519.32,529.77,4580802,527.9844,94818
2025-01-24,528.11,534.63,524.51,532.51,3671163,531.5653,75574
2025-01-27,539.98,551.905,539.98,543.52,4262959,544.5315,99616
2025-01-28,543.01,546.5,537.8362,542.48,3162659,542.0494,76109
2025-01-29,541.73,543.4752,534.01,538.1,2737638,538.3776,62586
2025-01-30,539.47,547.11,535,545.57,2924741,543.1649,72091
2025-01-31,543.24,549.16,541.41,542.49,4120661,543.9335,60457
2025-02-03,542,553.91,541.07,548.18,4083572,549.1602,99665
2025-02-04,545.2,548.8075,541.51,545.45,2869935,546.0278,61133
2025-02-05,530.73,540.7,521.91,539.81,4621558,534.9306,103762
2025-02-06,537.89,539.1,525.27,530.04,3926829,529.8436,82780
2025-02-07,529.2,532.3918,525.39,527.03,3349299,528.8358,74415
2025-02-10,527.67,534.16,523.38,533.37,3143143,530.1172,69260
2025-02-11,535,547.54,528.265,533.92,2632107,533.9718,68867
2025-02-12,539.85,542.35,525.51,527.4,3859241,531.6685,90429
2025-02-13,530.9,534.33,527.1,531.18,2835051,530.4409,65544
2025-02-14,529,533.2,522.91,523.51,3705326,525.5586,64653
2025-02-18,510.94,516,497,500.73,8759280,503.2684,169083
2025-02-19,501.33,511.855,498.15,511.04,4380314,504.9031,96796
2025-02-20,505.19,508.4343,500.235,502.42,4144301,503.1307,90905
2025-02-21,439.55,469.7,438.5,466.42,19764874,458.8614,396904
2025-02-24,466.675,468,457,461.52,6919337,461.9976,158011
2025-02-25,460.77,470.76,450.07,470.38,9100970,461.8356,174660
2025-02-26,464.65,473.05,458.2,463.59,5108381,464.3818,104215
2025-02-27,466.17,475.3999,465.02,468.56,4216771,470.3394,93529
2025-02-28,467,476.36,464.48,474.96,6127876,472.003,88285
2025-03-03,474.37,477.2749,465.2075,467.05,5700194,469.8691,86943
2025-03-04,469.75,479.21,466.46,474.61,5864135,474.666,120284
2025-03-05,471.07,479.075,471.01,475.98,3625277,475.9712,70246
2025-03-06,476,488.12,472,487.72,4963988,482.5745,97567
2025-03-07,483.83,499.92,483.365,493.48,5434096,494.2855,108262
2025-03-10,492.28,497.85,477.71,480.22,5108930,485.0256,107168
2025-03-11,482.5,486.765,477.14,486.04,4101015,483.613,91682
2025-03-12,483.14,487.595,478.82,481.11,3681016,483.0875,83059
2025-03-13,479.45,484.06,475,481.52,2877044,480.8307,65289
2025-03-14,481,489.45,478.24,488.65,3915911,486.8672,83248
2025-03-17,487.51,500.6087,485.945,499.02,5152316,497.6979,89790
2025-03-18,502.24,505.9699,497.82,503.8,3617629,503.3666,73796
2025-03-19,505.04,506.35,500.06,503.2,3317606,503.066,66083
2025-03-20,505.25,514.39,503.51,511.3,4965390,510.1995,90014
2025-03-21,511.68,519,505.09,516.85,10244942,515.1464,113716
2025-03-24,515.08,518.245,511.12,516.5,3841080,515.7032,87253
2025-03-25,518.28,519,511.53,513.43,3015143,514.3118,65392
2025-03-26,515.2,522.95,512.85,518.2,3155026,517.962,75763
2025-03-27,516.285,521.08,512.95,515.72,2822160,516.0387,67380
2025-03-28,516.87,520.98,515.05,516.04,2379100,517.6545,63125
2025-03-31,519.18,528.12,518.59,523.75,5238670,523.9562,103060
2025-04-01,525.74,528.17,520.95,523.12,2962708,523.8231,71423
2025-04-02,522.95,525,516.8,523.2,2378909,522.3283,61777
2025-04-03,529.99,548.5,529.29,540.44,6448725,540.6197,153023
2025-04-04,540.64,551.741,524.84,525.05,9918989,536.4464,209129
2025-04-07,513.4,529.2,503.59,524.7,7356702,521.0492,151884
2025-04-08,582.17,585.01,547.46,553.08,11762283,559.7011,217806
2025-04-09,560.14,589.4043,554.46,578.5,12691858,572.5246,233173
2025-04-10,580.235,601.88,580,594.4,8645986,592.6957,176604
2025-04-11,588.92,606.36,586.53,599.47,6121458,598.6476,120706
2025-04-14,595,595.63,579.29,587.06,4839273,586.3974,112833
2025-04-15,592.24,592.86,582.01,583.59,3871279,584.5238,84799
2025-04-16,585.32,594.81,582.96,585.04,4192093,588.2894,101206
2025-04-17,481.95,489.79,447.1,454.11,29120168,460.6152,592908
2025-04-21,449.76,453.4999,424.81,425.33,13029860,431.8478,301151
2025-04-22,424.64,431.4999,417.12,427.18,10156865,425.9102,199227
2025-04-23,427.07,438.85,423.75,427.96,8345659,430.7676,172866
2025-04-24,427.57,429.9,423.65,424.25,7629125,425.703,147839
2025-04-25,423.56,423.56,412.02,418.64,9263777,416.5555,205156
2025-04-28,419.75,424.12,415.55,420,6614294,419.1154,128110
2025-04-29,421.19,421.75,409.1,409.23,9909076,412.3581,203087
2025-04-30,409.025,413.2617,401,411.44,9192825,408.9615,161653
2025-05-01,411.32,411.99,399.86,400.68,9316805,403.1067,214711
2025-05-02,399.96,402,393.11,399.92,11392906,398.5124,230727
2025-05-05,399.12,409.7,397.59,404.81,8157196,405.1658,156844
2025-05-06,402.8,404.7201,393.42,394.51,7858592,397.1775,179945
2025-05-07,395.35,395.5199,385.7,391.06,8521310,390.4541,197281
2025-05-08,390,390.92,385.37,385.55,7218320,387.7612,156224
2025-05-09,385.67,386.5525,378.54,380.64,8381054,381.5424,186846
2025-05-12,381,387.21,376.835,378.75,11004799,379.9884,238989
2025-05-13,335.735,342,309.1,311.38,59478308,321.1457,1121151
2025-05-14,321.45,322.94,307.11,308.01,40029552,312.7031,755654
2025-05-15,274.9,276.65,248.88,274.35,121849184,263.8176,1906150
2025-05-16,279.29,294.49,269.135,291.91,71094348,283.3353,1162471
2025-05-19,304.775,316.29,297.245,315.89,62524663,308.8083,1019557
2025-05-20,320.92,324.64,312.58,321.58,41486981,319.7341,704872
2025-05-21,301,309.96,300.07,302.98,45506882,304.6017,796042
2025-05-22,293.89,305.6699,292.5,296.67,27159648,299.212,479789
2025-05-23,296.1,299.7,291.64,295.57,16873644,295.2667,328904
2025-05-27,299.5,299.95,289.13,295,20144557,293.2538,418162
2025-05-28,294,303.7808,293.28,298.11,16114190,299.5842,300933
2025-05-29,296.8,303.379,295,298.17,16262496,298.0183,262693
2025-05-30,297.97,305.64,295.8385,301.91,16309280,301.7412,284919
2025-06-02,303.12,313.55,300.97,304.72,19074368,306.179,348865
2025-06-03,303.1,305.7199,300.01,301.22,12805723,302.1651,246908
2025-06-04,303.54,307.64,300.2,300.38,11255616,302.4133,227544
2025-06-05,300.38,302.42,294.11,295.84,13627792,297.8166,278346
2025-06-06,297.23,304.39,297.15,303.22,12588977,300.8185,217634
2025-06-09,305.035,307.4,301.141,303.19,12170320,303.3288,203637
2025-06-10,303.8,305.12,300.59,303.79,11384053,303.0035,187435
2025-06-11,302.68,311.58,302.23,310.56,14711373,308.283,251888
2025-06-12,311.405,318.8,308.51,318.5,15957166,315.5689,267022
2025-06-13,315.9,317.4212,311.91,313.53,13762432,314.2464,228999
2025-06-16,313,313.27,304.79,307.66,14240076,307.6206,271871
2025-06-17,307.45,309.95,305.515,308.87,11593898,308.0731,189689
2025-06-18,307.55,311.79,306.23,307.2,12205634,308.5718,167947
2025-06-20,309.5,309.59,301.5907,302.01,16177856,303.9707,218567
2025-06-23,301.9,302.47,295.52,300.68,12274663,299.3059,237172
2025-06-24,301.45,305.82,299.3298,305.62,8781398,303.1751,180502
2025-06-25,304.38,304.38,299.8,302.02,8722083,302.0221,177818
2025-06-26,302.57,306.71,301.29,302.62,6532694,303.4743,155354
2025-06-27,302.95,310.45,302.2,309.11,15304422,307.9036,199417
2025-06-30,308.995,312.38,306.3401,311.97,10074103,310.6036,171156
2025-07-01,311.97,326.55,311.0801,326.14,17865491,322.2156,364528
2025-07-02,320.735,322.42,306.4301,307.56,18177190,313.3359,373656
2025-07-03,309.84,312.25,308.23,308.55,6160888,310.1355,139562
2025-07-07,308,308.605,301.2,303.71,9031224,304.018,223748
2025-07-08,304.225,308.2999,303.8,307.7,9613844,306.6848,151602
2025-07-09,303.19,303.6,298.75,302.91,12816658,301.7568,276941
2025-07-10,303.06,304.93,296.6,299.51,11355625,300.8563,237405
2025-07-11,300.02,304.12,298,304.1,9808227,301.4093,193333
2025-07-14,301.64,304.04,299,300.58,10681441,300.4541,205955
2025-07-15,299.71,300.68,291.03,291.71,16019016,293.9467,378177
2025-07-16,292.55,295.99,290.75,292.49,9713979,292.9766,214488
2025-07-17,292.33,293,283.83,288.07,14792734,288.2518,325644
2025-07-18,287.89,288.07,280.81,282.65,14979714,283.5063,334907
2025-07-21,284.64,286.5,281.2,282.14,10319211,283.2709,234537
2025-07-22,282.63,287.11,282,285.13,14600338,284.9804,239413
2025-07-23,287.5,292.64,284.95,292.51,13111099,288.7355,249657
2025-07-24,283.1,289.21,278.22,278.58,22585190,282.1612,477759
2025-07-25,281,286.14,279.94,281.06,16486616,282.5081,320116
2025-07-28,283.5,285,279.69,282.12,15779352,282.1075,308679
2025-07-29,265.7,272.91,260.55,261.07,41706034,267.4791,817170
2025-07-30,264.8,266.63,258.1213,266.04,22371770,262.4481,410908
2025-07-31,261.4,261.4,247.75,249.56,29606864,253.4923,592138
2025-08-01,250.61,251.49,234.6,237.77,39989180,240.036,673935
2025-08-04,238.24,242.25,236.9526,240.98,17427931,239.9806,324593
2025-08-05,241.16,252.0699,240.05,251,23795862,247.3419,397628
2025-08-06,250.64,253.1599,245.31,245.78,12946447,247.9283,264761
2025-08-07,246.42,248.7457,239.5,244.67,11369901,243.0171,248192
2025-08-08,244.79,251.08,244.37,250.89,10185749,248.9196,208940
2025-08-11,253.87,258.4,252.14,252.37,11779538,254.7303,236572
2025-08-12,254.02,262.88,253.6661,261.57,12207661,260.0605,257333
2025-08-13,264.39,272.1875,262.89,271.81,19480262,269.9601,339618
2025-08-14,272.095,273.85,267,271.49,25011098,280.2316,462415
2025-08-15,301.71,310.3,294.71,304.01,68198475,304.3142,1205112
2025-08-18,313.175,316.3999,307.42,308.49,39600508,311.8223,764512
2025-08-19,308.9,310.5,299.21,304.24,22348565,303.599,457473
2025-08-20,306.395,307.2,295.7,299.84,16678985,299.5394,378237
2025-08-21,302.29,306.5664,297.8,303.35,13358957,303.4863,254427
2025-08-22,306.1,310.68,304.58,307.42,14930045,307.7866,295466
2025-08-25,308.49,308.87,302.73,304.86,8917077,305.4582,232322
2025-08-26,304.31,308.96,294.2001,300.43,16303186,302.6551,305302
2025-08-27,300.54,305.97,300.5,303.88,9982781,303.3992,207006
2025-08-28,304.25,304.47,299.4,302.29,11234953,302.0848,223061
2025-08-29,302.3,310,300.91,309.87,12065367,306.3332,240488
2025-09-02,308.305,312.89,307.3,308.8,10957136,309.9745,255126
2025-09-03,308.11,309.59,303.7,307.88,9654569,306.1997,200831
2025-09-04,306.1,311.914,304.1,310.38,7725742,308.8845,193563
2025-09-05,310.44,317.94,308.2,315.39,14126705,314.5465,271133
2025-09-08,319.71,321.65,313.8001,320.25,18438640,318.9152,314192
2025-09-09,332.5,351.7099,327.16,347.92,46408865,341.8511,778781
2025-09-10,345.56,348.57,341.4,346.78,17804298,345.3018,389710
2025-09-11,349,360.98,345.84,353.61,18943509,354.5378,407829
2025-09-12,355.9,362.31,352.46,352.51,14016240,356.9114,320041
2025-09-15,351.255,351.71,342.53,347.89,11035852,348.9281,278036
2025-09-16,347.5,349.0358,338.32,339.78,12695815,341.4544,303147
2025-09-17,337.69,343,337.69,341.61,8467682,340.6294,211240
2025-09-18,343.53,344.93,334.12,334.82,11255561,338.7586,287982
2025-09-19,336.5,340.959,333.84,336.69,13656837,337.4168,226352
2025-09-22,334.46,342.48,332.6,341.3,8903744,339.3743,213903
2025-09-23,341,352.7,339.9611,347.69,12504059,348.1906,277033
2025-09-24,350.2,354.5,347.84,351.81,9016256,351.37,220516
2025-09-25,348.9,350.19,343.6,345.56,8104859,346.687,220371
2025-09-26,347.93,349.97,341.3,344.08,6774710,344.3391,171741
2025-09-29,343.98,345.5499,341.45,345.18,6878937,344.0855,168819
2025-09-30,343.75,349.32,342.33,345.3,7429653,345.0536,187286
2025-10-01,343.9,348.7,341.63,348.3,8825487,346.0748,210570
2025-10-02,347.29,355.08,344.65,353.72,8564187,351.5411,225198
2025-10-03,357.25,368,356.61,360.2,13494786,361.7644,337472
