date,open,high,low,close,volume,vwap,transactions
2024-10-01,246.17,247.35,243.66,245.55,1925000,245.603,35154
2024-10-02,245.05,246.19,242.21,243.35,2568262,243.3564,33906
2024-10-03,242.43,243,239.6,240.63,1990156,240.5847,38228
2024-10-04,241.72,243.18,237.19,238.86,2137949,238.8755,41781
2024-10-07,237.7,238.15,235.29,236.87,1684066,236.6805,35643
2024-10-08,237.68,238.94,237.31,237.56,1783213,237.866,36270
2024-10-09,237.11,238.66,235.88,237.68,2046736,237.5529,39990
2024-10-10,237.45,238.94,236.29,238.82,1900711,238.1015,36503
2024-10-11,240.08,242.54,239.55,242.31,1663835,241.7833,32511
2024-10-14,242.65,246.17,241.96,245.27,1735882,245.1261,31171
2024-10-15,246.71,248.7,245.36,245.79,1858037,246.5492,37858
2024-10-16,245.93,250.23,245.5,248.1,1500133,248.331,31507
2024-10-17,246.88,246.88,240.5,241.72,2177924,242.2035,43369
2024-10-18,242.53,244.71,241.46,244.1,2866129,243.889,36262
2024-10-21,243.73,243.73,239.4175,240.35,1547906,240.2372,35299
2024-10-22,241.08,241.94,238.63,241.45,1818425,241.0283,33224
2024-10-23,241.3,242.185,240.11,241.35,2156278,241.2784,43346
2024-10-24,229.42,233.9999,227.56,230.75,5181142,230.1381,91023
2024-10-25,230.19,231.88,229.28,230.3,2952224,230.8016,54864
2024-10-28,230.06,233.46,230.06,231.98,2492981,231.9812,39407
2024-10-29,232.11,234.38,231.4601,231.99,3682097,232.8124,51009
2024-10-30,231.495,234.65,231.275,232.17,3079425,232.574,46964
2024-10-31,230.74,233.835,230.29,232.07,2594786,232.6289,44668
2024-11-01,233.55,234.835,232.3,232.69,2653306,233.1711,41742
2024-11-04,231.95,233.225,229.44,229.91,2195620,230.151,37614
2024-11-05,230.6,233.89,229.5,233.87,1483661,233.0129,32833
2024-11-06,248.08,251.72,242.35,248.49,5318739,247.5408,83671
2024-11-07,249.3,249.89,242.2,242.56,2921316,243.997,53928
2024-11-08,241.96,244.13,240.81,241.49,2209258,242.2464,42606
2024-11-11,243.86,245.94,241.84,241.95,3299153,242.8015,42000
2024-11-12,242.35,242.6399,238.59,238.91,2362867,239.8186,41656
2024-11-13,239.41,240.93,238.31,240.41,2564021,240.0172,38199
2024-11-14,240.26,241.085,234.82,235.58,2766157,236.6227,47892
2024-11-15,234.88,237.825,234,235.57,2068472,235.6563,41356
