date,open,high,low,close,volume,vwap,transactions
2024-10-01,276.97,279.06,274.36,277.6,5781564,277.1026,99300
2024-10-02,276.57,277.64,275.37,277,4741561,276.6204,79115
2024-10-03,276.67,277.69,275.84,276.86,3036651,276.7505,65482
2024-10-04,277.35,278.44,275.1,277.93,4260920,276.9946,74128
2024-10-07,277.6,277.615,273.24,273.79,4330837,274.8026,78342
2024-10-08,274.71,276.1,274.01,274.96,4370915,275.1426,73011
2024-10-09,275,277.49,274.42,276.93,4115807,276.4958,74061
2024-10-10,276.78,277.67,275.35,277.47,4063891,276.8866,75408
2024-10-11,276.04,278.8,275.37,277.84,4746446,277.4766,73226
2024-10-14,279.08,281.3699,277.99,280.68,3996620,280.211,67510
2024-10-15,281,282.64,278.83,279.29,5807021,280.3498,100507
2024-10-16,278.62,287.6,278.35,287.52,9442687,285.5816,124978
2024-10-17,288.57,290.93,287.61,290.39,8815841,289.9316,114313
2024-10-18,289.92,291.04,288.08,290.62,5350923,290.151,83155
2024-10-21,289.6,290.44,286.33,286.85,6313148,287.3931,76350
2024-10-22,285.05,286.53,283.53,284.79,5736450,285.0761,81658
2024-10-23,286.04,286.055,283.53,283.76,5249255,284.4137,81159
2024-10-24,282.39,283.62,281.73,283.22,4680151,283.0501,76862
2024-10-25,284,285.09,280.7801,281.73,4464561,282.1808,76723
2024-10-28,282.04,284.64,281.53,284.19,4306240,283.9015,76490
2024-10-29,284.27,285.7,281.35,281.88,7534759,283.4102,122933
2024-10-30,292.34,295.78,288.33,290.16,9606784,291.2792,138775
2024-10-31,292.09,296.34,289.621,289.85,7950228,291.4622,125295
2024-11-01,288.49,292.67,287.19,290.74,5471088,290.7313,92012
2024-11-04,291.55,293.15,290.76,291.85,4281721,291.7909,84577
2024-11-05,291.71,294.78,291.58,293.29,3753721,293.3834,78080
2024-11-06,306.32,309,302.8201,307.4,10320476,305.9385,171169
2024-11-07,307.5,307.63,304.42,305.8,6237348,305.8576,103498
2024-11-08,306.89,311.15,305.69,307.87,6240616,309.0595,105513
2024-11-11,310.09,312.44,309.3,310.92,4674088,310.9923,88018
2024-11-12,309.04,310.55,308.11,309.85,4616616,309.4733,86568
2024-11-13,309.49,310.9485,307.84,309.48,4046544,309.4713,84428
2024-11-14,309.3,311.29,307.83,308.25,4415788,308.991,79969
2024-11-15,307.56,310.72,306.66,309.64,5106284,309.3025,89637
2024-11-18,309.48,312.41,308.7,312.16,4585944,311.399,88693
2024-11-19,310,312.23,308.51,311.85,4885860,311.1383,84025
2024-11-20,311.86,312.29,306.22,307.39,6350282,307.9256,95200
2024-11-21,307.3,310.92,306.65,309.9,5757406,309.5884,97250
2024-11-22,307.97,311.59,307.9,309.92,5919518,309.5498,91038
2024-11-25,311.86,313.66,309.86,313.19,14189302,312.7092,115155
2024-11-26,314.2,314.5,311.54,311.82,7071592,312.3246,87390
2024-11-27,310.77,316.37,309.49,314.7,5204318,314.5918,89851
2024-11-29,314.29,316.25,313.7,315.08,3853281,315.0249,62277
2024-12-02,316.9,317.42,313.71,316.65,5597635,315.9599,94573
2024-12-03,317.1,317.32,312.77,313.01,5009907,313.9747,92509
2024-12-04,312.42,312.85,308.8,309.9,5981759,310.0344,104778
2024-12-05,309.98,311.09,308.83,309.08,5200052,309.6681,88049
2024-12-06,308.87,312.56,308.8,311.01,4302851,311.1876,82729
2024-12-09,311.83,313.01,307.64,308.3,5785297,309.3438,98962
2024-12-10,307.36,312.98,306.64,312.38,4539827,311.0834,90415
2024-12-11,313.04,315.55,311.215,313.79,4321824,313.6128,80101
2024-12-12,314.82,315.55,313.43,314.23,3218540,314.4652,69653
2024-12-13,315.83,316.95,314.34,314.74,4682543,315.163,71655
2024-12-16,314.74,317.56,314.1,315.89,6562510,316.2334,89198
2024-12-17,315.82,318.84,315.14,318.3,8844349,317.7424,108652
2024-12-18,318.5,321.615,309.56,309.78,10479177,313.9483,117238
2024-12-19,311.83,316.87,311.23,314.88,8317119,315.2512,120708
2024-12-20,313.57,320,312.28,317.71,24387016,317.3674,121879
