date,open,high,low,close,volume,vwap,transactions
2024-10-01,472,472.31,461.36,469.76,1128879,468.2569,27765
2024-10-02,462.6,468.07,460.55,462.14,897239,462.699,26512
2024-10-03,460,462.13,452.26,453.55,992854,455.2675,27796
2024-10-04,454.98,458.14,452.62,455.31,781799,454.8919,24114
2024-10-07,454.17,454.36,447.7,448.6,914059,449.7606,24835
2024-10-08,452.03,459.87,451.1091,458.94,1315495,454.9827,22956
2024-10-09,460,468.16,456.16,467.97,1007042,465.1241,28117
2024-10-10,467.49,477,464.8455,476.15,1083365,473.1729,27651
2024-10-11,478.53,482.89,475.87,481.71,940274,479.9423,22957
2024-10-14,481.64,487.09,478.9,484.82,743902,483.7643,22063
2024-10-15,487.01,488,480.79,484.3,1250974,483.7381,27664
2024-10-16,480.82,488.48,480.7,487.25,725082,485.8261,22728
2024-10-17,490,499.09,487.9614,498.73,1018894,496.715,29836
2024-10-18,498.3,498.63,480.79,483,2260056,484.5682,34268
2024-10-21,480.17,487.88,477.66,478.09,689638,481.7136,27022
2024-10-22,479.43,482.87,473.58,474.91,1132762,475.4784,25320
2024-10-23,474.47,477.47,464.78,470.05,991373,468.7718,24948
2024-10-24,473.35,477.8399,471.87,471.91,674034,473.3351,19628
2024-10-25,477.2,480.41,475.0458,477.7,1019702,478.272,26640
2024-10-28,477.95,478.315,474.685,476.37,501452,476.2215,18687
2024-10-29,476.33,478.06,469.62,470.36,999658,471.8581,25092
2024-10-30,470.44,475.46,468.47,475.08,721967,473.2961,22727
2024-10-31,471.58,477.695,468.98,475.98,1376037,475.3696,30299
2024-11-01,471.06,475.73,463.1446,471.12,1352751,470.9482,35057
2024-11-04,473.91,475.48,468.77,472.8,1247982,471.7427,33891
2024-11-05,483,503.205,474.0001,499.88,1723251,495.5105,46368
2024-11-06,505.35,506.65,485.29,493.64,1648744,492.3216,46570
2024-11-07,493.7,504.31,486.64,502.45,992325,499.6137,31903
2024-11-08,507.17,519.88,504.94,516.74,1259505,515.806,37989
2024-11-11,518.27,518.35,500.13,501.72,1335553,506.0253,31301
2024-11-12,503,508.035,489.02,490,1364593,492.965,29967
2024-11-13,491.34,498.25,491.03,494.61,1079483,494.789,27124
2024-11-14,495.62,496.33,483.55,483.96,1231557,486.9718,33075
2024-11-15,478.56,479.935,458.1,465.7,2581391,463.8272,57952
2024-11-18,465.19,468.875,458.05,467.01,1129334,466.1088,31578
2024-11-19,462.8,463.9,447.14,448.01,2192552,452.772,45045
2024-11-20,448.46,451.7625,445.3839,451.23,1651184,449.2255,40553
2024-11-21,454.24,455.43,445,450.37,1507791,449.2292,35993
2024-11-22,454.3,457.54,449.0401,450.97,1270384,451.981,35022
2024-11-25,456.58,462.95,455.825,461.71,2168316,460.8352,37616
2024-11-26,464,467.96,459.07,467.07,1327768,464.1062,29894
2024-11-27,464.81,470.4245,462.01,464.56,1006928,465.3753,25403
2024-11-29,463.6,470.9299,462.33,468.13,770568,468.4222,17613
2024-12-02,467.48,468.19,463.05,465.73,960021,465.8599,22921
2024-12-03,462.86,468.51,455.01,456.97,1181804,459.1288,27698
2024-12-04,454.72,464.87,450,463.98,1220618,459.8425,27035
2024-12-05,461.35,467.06,457.96,459.92,1183850,460.4425,24346
2024-12-06,458.06,465.905,456.86,462.1,1115377,461.2149,23423
2024-12-09,467.33,476.02,467,473.98,1260636,472.8671,32343
2024-12-10,473.3,476.458,465.12,469.22,865214,469.3383,23482
2024-12-11,472.31,472.33,460.7385,468.29,1043840,466.6583,26385
2024-12-12,466.52,470.25,460.05,464.12,958587,464.1677,27393
2024-12-13,462.33,466.7137,459.79,463.73,1097110,463.647,24842
2024-12-16,463.37,470.08,462.125,468.09,1511252,466.9548,27291
