date,open,high,low,close,volume,vwap,transactions
2024-10-01,56,56.03,55.2,55.39,11069395,55.5706,100715
2024-10-02,55.33,55.814,54.92,55.3,9007156,55.2323,82650
2024-10-03,55.08,55.21,54.405,54.98,8135347,54.8727,75532
2024-10-04,55.99,57.125,55.98,56.96,14594449,56.7186,122740
2024-10-07,57.225,57.63,56.8,57.16,11177802,57.1805,107693
2024-10-08,58.28,58.28,57.27,57.3,12073043,57.4757,97937
2024-10-09,57.32,57.725,57.07,57.54,12415302,57.4244,99723
2024-10-10,57.72,58.39,57.35,57.75,12743970,57.8004,123594
2024-10-11,59.955,61.72,59.92,60.99,36979236,61.0384,253605
2024-10-14,61.27,63.35,60.94,62.16,30758849,62.4725,217703
2024-10-15,62.91,63.82,62.225,63.03,24693400,63.1606,211805
2024-10-16,63.235,64.08,63.12,63.89,17412649,63.7371,141942
2024-10-17,64.49,64.715,63.5,64.38,15073498,64.4581,124792
2024-10-18,64.41,64.78,63.825,64.36,19216041,64.4016,115857
2024-10-21,64.48,64.685,63.92,64.02,15603359,64.1958,118830
2024-10-22,64.02,65.2075,64,64.81,26164886,64.8153,129252
2024-10-23,64.77,65.05,63.86,64.56,18380876,64.5839,136427
2024-10-24,64.615,65.57,64.325,65.43,18393320,65.1228,125285
2024-10-25,65.845,65.95,64.245,64.53,14855494,64.8462,127540
2024-10-28,64.995,65.745,64.81,65.61,16158895,65.5181,136001
2024-10-29,65.49,66,65.24,65.3,13205453,65.5533,102972
2024-10-30,65.13,66.395,65.13,65.41,16021700,65.5367,93593
2024-10-31,65.1,65.75,64.625,64.92,12963150,65.0521,93551
2024-11-01,65.22,65.58,64.62,64.68,13313938,64.9198,97944
2024-11-04,64.56,64.65,63.05,63.7,12607419,63.6539,112115
2024-11-05,64,64.5,63.62,64.07,13447215,63.9715,105459
2024-11-06,73.3,74.27,69.95,72.47,63689141,72.2346,479911
2024-11-07,71.64,71.67,69.735,69.82,18681172,70.3653,175223
2024-11-08,70.005,70.13,69.36,70.04,14145537,69.8518,112275
2024-11-11,71.02,73.25,71.02,72.56,17117844,72.5957,152823
2024-11-12,72.775,73.37,72.11,72.6,17848158,72.6456,136880
2024-11-13,72.75,73.96,72.655,72.77,18575337,73.0254,128580
2024-11-14,72.85,73.47,72.5101,72.8,13654820,72.9165,110925
2024-11-15,73,74.41,72.89,74.34,18836977,73.7619,141836
2024-11-18,74.5,74.7,73.72,74.09,18440126,74.128,120526
2024-11-19,73.62,74.16,73.13,73.43,15412942,73.6376,106667
2024-11-20,73.67,73.78,72.425,73.58,14415359,73.3368,112903
2024-11-21,73.935,76.04,73.935,74.83,20068239,75.1664,148889
2024-11-22,74.565,76.08,74.55,75.96,14997402,75.5642,110716
2024-11-25,76.2,77.305,75.965,76.9,28636560,76.7796,161635
2024-11-26,77.5,78.13,76.36,77.35,19139091,77.4662,145657
2024-11-27,77.37,77.79,76.425,77.21,19793927,77.0214,121821
2024-11-29,77.69,78.04,76.14,76.17,9785038,76.6129,67612
2024-12-02,76.95,76.95,74.8,75.28,18274471,75.3209,150283
2024-12-03,75.81,75.85,74.02,74.14,15047857,74.4129,114398
2024-12-04,74.05,74.25,72.71,73.06,14301098,73.1524,112749
2024-12-05,73.4,74.61,73.1,73.66,17766742,74.0192,122255
2024-12-06,73.99,74.72,73.73,74.33,14765602,74.2401,103232
2024-12-09,74.305,74.55,72.42,72.62,15517503,73.3293,139535
2024-12-10,73.5,73.5,71.9,72.05,12277491,72.2345,111160
2024-12-11,72.59,72.92,71.45,71.6,11867433,71.7887,91547
2024-12-12,71.88,72.06,70.79,70.8,12397710,71.1531,100558
2024-12-13,70.853,71.05,70.02,70.44,16794527,70.3603,118137
2024-12-16,70.47,72.29,69.82,71.98,24602530,71.4277,158736
2024-12-17,71.047,71.54,70.38,70.81,15595907,70.8189,125756
2024-12-18,70.61,71.5,68.61,68.76,21201203,69.8868,167723
2024-12-19,69.4,70.69,68.67,68.85,16444623,69.1303,117153
2024-12-20,69.17,71.035,68.77,70.34,50113370,70.3,147819
2024-12-23,69.72,70.69,69.6176,70.54,11816967,70.3632,83013
2024-12-24,70.67,71.59,70.54,71.59,4442654,71.2243,44621
2024-12-26,71.43,71.84,71.11,71.76,6964333,71.5009,66551
2024-12-27,71.18,71.74,70.63,71.11,7219740,71.0961,65918
2024-12-30,70.41,70.795,69.77,70.41,8443769,70.4276,81737
2024-12-31,70.53,70.9199,70.06,70.24,7031615,70.2967,69408
2025-01-02,70.48,71.21,69.76,70.19,8303301,70.37,84454
2025-01-03,70.35,71.42,69.74,71.31,9142650,70.8981,82663
2025-01-06,71.925,73.25,71.5301,72.03,15565647,72.2637,111568
2025-01-07,72.975,73.13,71.51,71.59,13521984,72.0612,113119
2025-01-08,71.51,72.08,71.06,71.57,16528196,71.5426,117554
2025-01-10,70.9,70.93,69.34,69.96,14466594,69.9955,131674
2025-01-13,69.9,70.61,69.555,70.53,10439794,70.2581,98887
2025-01-14,71.46,71.46,70.29,71.19,21870621,70.975,174363
2025-01-15,75.36,76.82,73.65,75.95,33432430,75.4641,251533
2025-01-16,75.85,76.44,74.685,75.95,22897930,75.6355,156259
2025-01-17,75.98,77.25,75.5,77.08,20673730,76.4368,137845
2025-01-21,77.69,78.29,77.33,77.85,21057650,77.8496,121761
2025-01-22,77.57,77.81,76.865,77.54,11669520,77.3951,94449
2025-01-23,77.71,78.3,77.025,77.43,12981823,77.53,91955
2025-01-24,77,77.65,77,77.32,10393298,77.3761,82716
2025-01-27,77.4,78.04,76.89,77.94,10038565,77.5303,107363
2025-01-28,77.87,78.15,77.17,77.88,11561996,77.7389,106173
2025-01-29,77.75,78.98,77.61,78.37,9175363,78.4093,87235
2025-01-30,79.145,79.24,78.08,78.82,11275962,78.8079,101412
2025-01-31,78.695,79.2857,78.31,78.8,14983820,78.7825,113858
2025-02-03,77.23,78.505,77.02,78.14,12395165,77.9285,120325
2025-02-04,79.84,79.85,78.44,79.47,14665238,79.3564,120420
2025-02-05,79.66,80.35,79.18,80.05,17930960,80.0283,129910
2025-02-06,80.5,81.5,79.91,81.42,16988870,81.1217,124977
2025-02-07,81.27,81.3,79.09,80.67,17951665,80.6348,157607
2025-02-10,80.46,80.57,78.25,79.1,18357356,78.9915,143502
2025-02-11,78.77,79.965,77.81,79.64,16683024,79.5211,119385
2025-02-12,79.2,79.72,78.83,79.25,13440503,79.2918,104925
2025-02-13,79.43,79.655,78.605,78.85,10093391,78.9918,94529
2025-02-14,79.23,80.3399,78.89,79.98,17521307,79.873,111705
2025-02-18,79.99,80.95,79.49,80.78,15318290,80.599,124245
2025-02-19,80.32,80.645,79.97,80.35,13917415,80.3885,121122
2025-02-20,80.11,80.28,78.02,78.63,14807119,78.7819,119986
2025-02-21,78.91,79.45,77.33,77.5,18205374,78.174,128911
2025-02-24,77.97,78.52,76.41,77.22,12989712,77.4672,118768
2025-02-25,77.87,78.035,74.93,76,15683388,76.0744,151323
2025-02-26,76.35,77.77,76.27,76.45,13383226,76.8798,116346
2025-02-27,76.99,77.92,76.375,76.62,13744399,77.0833,137547
2025-02-28,77.04,78.42,76.5871,78.32,24698778,77.9198,151050
2025-03-03,78.86,78.98,76.32,77.03,18013395,77.9022,170477
2025-03-04,75.47,75.65,71.34,73.3,28858219,73.1374,284647
2025-03-05,73.21,74.63,72.44,74.16,20422009,73.6423,194298
2025-03-06,73.79,73.89,71.6288,72.65,19460421,72.7103,181551
2025-03-07,72.25,72.25,68.1,71.05,21256856,70.3531,222074
2025-03-10,69.55,69.55,65.515,66.78,27582865,67.08,255048
2025-03-11,66.825,68.01,65.785,67.28,24310690,67.0005,235296
2025-03-12,68.8,69.49,67.7,68.93,18462333,68.8716,170083
2025-03-13,69.63,69.725,68.31,68.46,17471458,68.7373,172960
2025-03-14,69.46,71.065,69.25,70.85,15762259,70.4655,143141
2025-03-17,70.47,71.56,70.083,70.84,11184960,70.8042,106632
2025-03-18,71.005,71.48,70.385,71.11,11102079,70.9576,130871
2025-03-19,71.14,73.825,70.83,72.76,14453638,72.574,134992
2025-03-20,71.84,73.3651,71.78,72.52,12388300,72.6479,105812
2025-03-21,71.96,72.775,71.15,72.52,32647128,72.3617,115384
2025-03-24,73.64,74.53,73.3406,74.28,10688938,74.0985,96813
2025-03-25,74.47,74.66,73.83,74.24,9499297,74.2197,90028
2025-03-26,74.39,75.375,73.12,73.47,10851951,73.9045,103200
2025-03-27,73.57,73.57,72.22,72.28,10457578,72.6751,99120
2025-03-28,72.265,72.55,69.95,70.69,13555193,70.6321,133756
2025-03-31,69.9,72.065,69.56,71.79,14855342,71.4046,112651
2025-04-01,70.84,71.63,70.115,71.31,10661039,70.9946,104659
2025-04-02,70.56,72.475,70.22,72.26,8854066,71.8864,95412
2025-04-03,67.78,68.72,65.41,65.67,25880259,66.5647,270115
2025-04-04,62.75,63.57,59.7101,60.98,31050750,61.1417,322641
2025-04-07,60.69,64.335,58.42,62.17,41305768,61.4037,387993
2025-04-08,64.685,65.63,60.88,62.08,27374198,63.2103,264455
2025-04-09,60.64,67.19,59.43,66.33,42744848,63.8166,340462
2025-04-10,64.95,65,61.49,63.11,29025954,63.0839,276338
2025-04-11,61.54,63.6235,59.65,62.51,33866990,61.741,283963
2025-04-14,63.16,64.01,62.395,63.1,28057823,63.2459,214667
2025-04-15,63.44,65.42,63.3,64.54,20903300,64.7204,170747
2025-04-16,63.89,64.9765,63.37,63.98,17317392,64.1923,168551
2025-04-17,64.38,65.705,64.065,64.71,18961771,64.9801,165720
2025-04-21,64.2,65.16,63.4,64.01,17859094,64.0058,147068
2025-04-22,64.71,66.41,64.71,66.23,17536579,65.9113,154103
2025-04-23,67.435,69.5,67.435,67.94,20678780,68.3795,198778
2025-04-24,67.7,69.845,67.5,69.56,18420882,69.2306,150171
2025-04-25,69.065,70.195,68.995,69.73,17775914,69.7007,139650
2025-04-28,69.81,70.56,68.67,69.43,16694076,69.4172,114423
2025-04-29,68.95,71.34,68.95,71.1,24563554,70.6196,220861
2025-04-30,69.67,71.41,69.33,71.01,23952976,70.6173,170406
2025-05-01,70.755,72.47,70.43,71.81,19672472,72.0023,172886
2025-05-02,73,74.16,72.87,73.8,18347422,73.7064,165913
2025-05-05,73.35,74.8851,73.04,73.85,16070390,74.29,146090
2025-05-06,73.14,74.195,72.56,73.48,18095111,73.6907,149117
2025-05-07,73.6,74.3,72.98,73.18,14310348,73.6516,124729
2025-05-08,73.685,73.985,72.63,73.31,19957459,73.3942,154381
2025-05-09,73.135,73.24,72.03,72.45,11137041,72.4448,102059
2025-05-12,74.99,75.25,74.07,74.88,20425541,74.5147,158060
2025-05-13,75.44,76.58,74.965,75.99,13635074,75.9269,133503
2025-05-14,76.24,76.49,75.83,76.28,14067098,76.2126,114195
2025-05-15,76.06,76.52,75.32,75.59,15303909,75.6571,126575
2025-05-16,75.555,76.35,75.37,76.18,13864562,76.0798,109605
2025-05-19,75.6,76.41,75.43,76.06,12720458,76.0424,110872
2025-05-20,75.48,75.87,75.07,75.52,10655614,75.4447,104782
2025-05-21,74.94,75.13,73.09,73.19,17711288,73.6932,138563
2025-05-22,73.14,73.885,72.48,73.39,9716997,73.2772,113271
2025-05-23,71.895,73.186,71.895,72.83,9260881,72.7542,93178
2025-05-27,73.605,74.09,73.05,73.99,11014073,73.6557,116156
2025-05-28,74.2,74.36,73.335,73.73,8711110,73.8032,98881
2025-05-29,74.41,75.08,73.335,74.51,14022053,74.1164,132501
2025-05-30,74.2,74.8,73.73,74.78,17041969,74.5865,119596
2025-06-02,74.255,74.75,73.265,74.72,11237467,74.1425,114542
2025-06-03,74.72,75.835,74.37,75.65,13193503,75.846,122221
2025-06-04,77.7,78.8,75.38,75.38,29577980,76.5313,244985
2025-06-05,75.61,75.755,74.18,74.9,20148718,74.7451,169365
2025-06-06,76.15,76.76,75.83,76.33,10988023,76.1827,111685
2025-06-09,76.55,76.7,75.9305,76.46,13453151,76.3777,113275
2025-06-10,76.16,76.35,75.13,75.45,14892891,75.5333,139608
2025-06-11,75.54,75.72,74.57,74.93,16442377,75.0765,159504
2025-06-12,74.33,74.52,73.17,74.01,14522493,73.8955,127901
2025-06-13,72.92,73.79,71.93,72.36,21168334,72.775,160802
2025-06-16,73.395,73.72,72.925,73.15,16231481,73.2404,130983
