date,open,high,low,close,volume
2024-06-03,207,208.74,199.62,201.3,3913413.0
2024-06-04,202.06,203.825,201,203.63,2274720.0
2024-06-05,203.47,203.93,201.37,203.9,2069291.0
2024-06-06,204.07,204.57,201.37,202.5,1843214.0
2024-06-07,202.41,204.37,200.06,200.55,3232430.0
2024-06-10,200.74,202.54,200.42,201.71,1715680.0
2024-06-11,201.54,202.45,200.14,202.13,1313201.0
2024-06-12,202.25,202.43,200.08,200.87,1311481.0
2024-06-13,200.94,201.33,198.88,201.22,1184744.0
2024-06-14,200.53,204.08,199.85,203.64,1412722.0
2024-06-17,202.79,206.44,202.08,206.38,1753528.0
2024-06-18,206.44,207.99,205.41,207.89,1511206.0
2024-06-20,207.45,208.96,206.89,208.77,1343669.0
2024-06-21,209.08,209.81,208.19,208.99,2248132.0
2024-06-24,210,212.705,209.2,212.44,1473713.0
2024-06-25,212.65,213.85,211.81,212.06,1714359.0
2024-06-26,211.33,213.16,211.2,212.67,1869001.0
2024-06-27,213.57,213.77,212.3,212.67,1762421.0
2024-06-28,212.58,214.4,212.14,213.34,2908229.0
2024-07-01,214.47,214.5,207.9001,209.36,1931521.0
2024-07-02,209.28,210.3,207.7,209.47,1445599.0
2024-07-03,209.01,210.87,208.26,210.2,720755
2024-07-05,210.75,210.75,208.58,210.33,1647629.0
2024-07-08,210.35,211.45,209.82,210.62,1275531.0
2024-07-09,209.48,210.89,209.05,210.02,1100785.0
2024-07-10,209.64,211.94,209.3,211.18,1453060.0
2024-07-11,211.03,212.75,210.23,211.77,1161363.0
2024-07-12,212.5,214.3723,211.735,213.75,1182062.0
2024-07-15,213.76,216.6,213.53,216,1508846.0
2024-07-16,217.05,220.96,216.8184,220.89,1948223.0
2024-07-17,221.43,224.22,221.21,223.32,1557784.0
2024-07-18,222.65,224.85,221.66,223.1,1284102.0
2024-07-19,224.5,225,222.1327,222.8,1221059.0
2024-07-22,221.7,223.53,221.31,223.45,1134969.0
2024-07-23,223.41,223.52,218.09,218.73,1533793.0
2024-07-24,218.44,219.58,216.98,217.38,1361113.0
2024-07-25,202.88,210,199.51,199.92,3348575.0
2024-07-26,200.07,200.79,196.5901,196.96,2500282.0
2024-07-29,198.28,200.91,197.43,200.54,1911530.0
2024-07-30,200.66,202.61,200.64,201.1,1883641.0
2024-07-31,201.79,203.32,201.38,202.66,1698637.0
2024-08-01,203.22,206.172,202.58,206.07,1637868.0
2024-08-02,206.43,208.91,204.415,207.76,1793144.0
2024-08-05,207.1,208.53,200.25,201.54,2033093.0
2024-08-06,202.56,206.94,202.22,203.14,1988403.0
2024-08-07,203.93,207.66,203.2,204.85,1963608.0
2024-08-08,205,206.81,204.5,205.9,1259936.0
2024-08-09,205.84,206.61,203.04,205.26,1002048.0
2024-08-12,205.74,206.03,202.665,203.11,2433948.0
2024-08-13,203.02,204.52,203.02,203.92,2330025.0
2024-08-14,203.35,207.33,203.11,206.35,1538318.0
2024-08-15,206.91,207.25,205.65,206.91,1093523.0
2024-08-16,207.29,207.86,205.365,205.4,1536923.0
2024-08-19,205.7,206.85,205.48,206.59,1886760.0
2024-08-20,206.75,208.18,206.73,208.1,1121611.0
2024-08-21,208.07,209.47,208.07,209.38,916856
2024-08-22,210.3,210.83,208.82,210.12,975951
2024-08-23,210.41,210.7,208.5,209.98,810828
2024-08-26,211.03,211.3099,208.5,208.82,813391
2024-08-27,210.14,210.625,208.635,209.2,760017
2024-08-28,209.88,210.37,208.35,209.31,866277
2024-08-29,209.73,210.945,208.27,209.88,826548
2024-08-30,209.55,212.09,208.67,212.04,1786797.0
2024-09-03,212.08,212.52,208.22,209.4,2197759.0
2024-09-04,209.47,210.72,207.9613,209.32,1186674.0
2024-09-05,209.7,210.42,207.17,208.4,1507886.0
2024-09-06,208.48,209.6,204.63,204.73,2349656.0
2024-09-09,205.68,209.1319,205.04,208.46,2290034.0
2024-09-10,208.95,209.99,206.71,208.25,2150598.0
2024-09-11,207.61,208.35,204.11,207.64,1372694.0
2024-09-12,207.24,208.29,205.13,207.86,1583017.0
2024-09-13,207.36,208.69,206.6,208.05,1397128.0
