date,open,high,low,close,volume,vwap,transactions
2024-10-01,116.04,120.6,115.93,119.93,23235878,119.6142,232394
2024-10-02,121.93,122.82,120.2,121.52,17129676,121.4143,178445
2024-10-03,121.9,123.17,120.929,122.58,16524334,122.3656,171027
2024-10-04,123.2,125.19,122.43,124.83,19731937,124.4632,187142
2024-10-07,125.25,126.34,124.86,125.37,15714440,125.5728,158711
2024-10-08,123.88,124.02,121.26,122.04,14818475,122.2706,156201
2024-10-09,120.9,122.5799,120.8,122.09,11144864,121.9597,117312
2024-10-10,123.16,123.7013,122.29,123.14,10243320,123.1971,103383
2024-10-11,123.1,124.0339,122.94,123.61,8294839,123.6517,93439
2024-10-14,123.24,124.26,122.615,124.08,9808122,123.7784,101067
2024-10-15,120.82,121.95,119.78,120.35,15771317,120.7208,161010
2024-10-16,120.89,121.435,120.6,120.66,8426770,120.8558,99624
2024-10-17,120.76,121.58,119.71,120.35,11204857,120.4849,124546
2024-10-18,120.44,120.64,119.15,120.01,12898640,119.8693,105267
2024-10-21,120.98,121.48,119.72,120.08,10177777,120.2266,99097
2024-10-22,120.26,121.19,119.94,120.7,9201408,120.6753,89939
2024-10-23,119.97,120.75,119.4,120.27,8320330,120.0688,105123
2024-10-24,120,120.44,119.125,119.59,9905556,119.6395,113079
2024-10-25,120.2,120.43,119.315,119.49,10714583,119.7032,115161
2024-10-28,116.79,119.01,116.77,118.9,11844545,118.3408,126465
2024-10-29,118.58,119.1719,117.0701,117.28,14731024,117.638,124634
2024-10-30,117.66,118.27,116.48,116.69,12303738,117.1882,140486
2024-10-31,117.15,118.67,116.68,116.78,20511977,117.1856,198767
2024-11-01,119.93,119.95,114.84,114.95,20939321,116.4545,213792
2024-11-04,116.07,118.7,115.93,118.61,14965433,118.1916,132692
2024-11-05,119.08,119.21,118.01,118.96,10436744,118.7766,113753
2024-11-06,121.145,121.91,119.3,121,20807681,120.9702,202598
2024-11-07,121.3,121.5,119.61,121.15,12184431,120.7626,134537
2024-11-08,120.98,121.42,119.66,121.11,12835969,120.7548,119205
2024-11-11,121,121.62,120.07,120.47,11969663,120.6098,120823
2024-11-12,121.13,121.31,119.8365,120.35,11972802,120.5456,116855
2024-11-13,120.565,122.05,118.8,121.47,15127877,120.8786,136799
2024-11-14,121.66,121.88,120.33,120.56,13041845,120.8118,125710
2024-11-15,120.4,121.24,119.13,119.31,19051713,119.8036,134044
2024-11-18,119.79,120.62,119.27,120.31,14243701,120.1554,113633
2024-11-19,119.75,119.75,118.2,118.63,11584382,118.764,113931
2024-11-20,119.17,120.47,118.64,120.32,11360932,119.7197,106388
2024-11-21,121.08,122.5547,120.27,121.93,14675422,121.7182,132067
2024-11-22,121.82,123.21,121.64,121.79,13323431,122.0354,115021
2024-11-25,121.43,121.88,119.61,119.97,26580295,120.2182,142030
2024-11-26,119.53,119.68,117.845,117.97,14827327,118.2764,150872
2024-11-27,118.09,118.73,117.43,117.66,11079122,118.0094,101044
2024-11-29,117.44,118.5,116.95,117.96,9426499,118.0571,76259
2024-12-02,118.05,118.2,116.82,117.85,12687317,117.5641,112661
2024-12-03,118.72,118.72,117.255,117.67,11756566,117.8439,117394
2024-12-04,117.5,117.55,113.8612,114.28,19520583,114.7285,172007
2024-12-05,114.71,115.62,114.06,114.78,15751204,114.9055,145797
2024-12-06,114.54,114.77,113.5,113.57,16171066,113.8619,160187
2024-12-09,114.64,114.94,112.745,112.9,17412565,113.7262,166438
2024-12-10,113.585,113.88,111.75,112.67,20990943,112.898,180433
2024-12-11,112,112.39,111.11,111.92,32392238,111.8378,188523
2024-12-12,111.59,112.38,110.78,111.82,14543256,111.752,147632
2024-12-13,111.899,111.899,110.25,110.84,13106079,110.838,133449
2024-12-16,110.2,110.4,108.16,108.47,20256088,108.9846,181031
2024-12-17,107.235,108.17,106.7869,108.01,17553995,107.5348,171631
2024-12-18,107.57,108.83,106.31,106.42,17114542,107.4301,147532
2024-12-19,107.39,107.67,105.21,105.51,20565557,105.8964,183357
2024-12-20,105.45,106.135,104.84,105.87,40141153,105.716,153145
2024-12-23,105.31,106.6,104.92,106.3,12285078,105.7811,115533
2024-12-24,106.52,107.19,105.7,106.4,7806997,106.5538,69977
2024-12-26,106.52,107.03,105.94,106.49,9653408,106.4053,104641
2024-12-27,106.3,107.99,105.77,106.48,11943906,106.7825,119688
2024-12-30,106.3,106.56,105.51,105.76,11080770,105.9177,110670
2024-12-31,106.17,107.9,105.78,107.57,12387756,107.365,114888
2025-01-02,108.275,109,106.88,107.31,12680947,107.7465,133846
2025-01-03,108,108.49,107.46,107.86,14237885,107.9386,112657
2025-01-06,108.24,109.78,107.52,107.74,15623677,108.3455,137689
2025-01-07,108.94,110.06,108.28,108.75,12625890,109.0058,117254
2025-01-08,107.31,107.71,106.01,106.93,17858110,107.0065,160435
2025-01-10,108.7,110.1,105.78,106.54,19304499,106.9053,178906
2025-01-13,107.125,109.63,107.125,109.29,17073395,108.8977,160721
2025-01-14,108.79,109.76,107.83,109.72,11191175,108.9642,113902
2025-01-15,110.05,111.73,109.47,111.51,14521095,111.1972,119890
2025-01-16,111.19,111.69,110.55,111.32,10366585,111.1713,107114
2025-01-17,111.03,112.8651,110.82,112.32,19298504,112.1327,141882
2025-01-21,112.05,112.175,111.1305,111.47,20416286,111.6485,174155
2025-01-22,111.2,111.57,109.4,109.53,15718012,110.3749,141576
2025-01-23,110.31,111.1425,109.61,110.15,13726784,110.2201,132892
2025-01-24,110.24,110.71,108.41,108.66,14235885,108.9489,127822
