date,open,high,low,close,volume
2024-06-03,170.35,172.09,166.17,169.02,3573753.0
2024-06-04,168.75,170.8104,166.12,169.14,2307815.0
2024-06-05,172.1,176.8,170.89,174.57,2857499.0
2024-06-06,174.39,180.18,173.63,178.93,2741722.0
2024-06-07,178.5,181.8144,176.5,180.99,2124304.0
2024-06-10,181.05,188.2449,181.01,183.91,2980753.0
2024-06-11,184.5,189.14,184.335,187.65,2385024.0
2024-06-12,190.29,193.27,187.1,188.83,2785175.0
2024-06-13,189.15,189.16,179.77,181.05,2705594.0
2024-06-14,185.01,186,182.16,184.22,2529287.0
2024-06-17,183,185.58,180.76,184.38,1790442.0
2024-06-18,183.51,183.51,178.89,179.41,2294295.0
2024-06-20,179.61,179.9066,175.05,178.58,2021042.0
2024-06-21,179,180.24,176.2414,179.55,3430294.0
2024-06-24,177.92,181.42,177.02,181.06,1630342.0
2024-06-25,181.15,183.56,179.81,182.52,1491237.0
2024-06-26,182.01,182.01,177.72,178.92,2047123.0
2024-06-27,179.84,191.9699,179.71,189.2,3186345.0
2024-06-28,189.88,193.96,189,192.19,3002636.0
2024-07-01,193,199.21,191.79,198.62,3074169.0
2024-07-02,197.6,199.3747,194.7084,196.66,1724959.0
2024-07-03,196.99,200.36,196.99,198.4,855352
2024-07-05,198,203.75,197.51,201.65,1693431.0
2024-07-08,200.77,201.92,195.4601,201.63,1912133.0
2024-07-09,201.32,202.8866,194.59,197.36,1560994.0
2024-07-10,197.75,197.95,191.16,197.37,1909203.0
2024-07-11,198.3,203.42,194.38,195.92,1472391.0
2024-07-12,196.16,202.99,195.8,201.9,2406244.0
2024-07-15,202.65,208.14,200.02,204.47,2555283.0
2024-07-16,201.94,205.48,197.33,203.12,2058907.0
2024-07-17,199.09,199.82,193.08,194.93,2055030.0
2024-07-18,194.96,196.71,188.3,190.37,1757425.0
2024-07-19,188.96,191.97,186.5,188.54,1624916.0
2024-07-22,191.06,194.82,186.27,188.41,1615445.0
2024-07-23,188.27,192.63,188.085,191.07,1293855.0
2024-07-24,189.7,190.3175,181.36,181.82,1611082.0
2024-07-25,182.11,187.1,178.29,182,1776878.0
2024-07-26,184.78,184.78,179.605,181.36,1026915.0
2024-07-29,182.51,183.74,180.67,181.15,927093
2024-07-30,182.24,183.0328,173.65,176.75,1152516.0
2024-07-31,180.15,181.66,177.62,179.35,1137496.0
2024-08-01,178.62,180.38,172.81,174.44,1187041.0
2024-08-02,168.26,169.74,164.47,169.52,2163485.0
2024-08-05,156.51,168.62,155.97,165.23,2147831.0
2024-08-06,168.62,168.62,164.16,165.75,1328836.0
2024-08-07,171.14,174.77,166.06,166.2,1362130.0
2024-08-08,168.43,173.5,168.0301,171.71,1305483.0
