ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
AAPL,2007-01-03,40.94,0.118782,0.349883,0.0524,0.023,34.4,51.17,45.52,44.44,0
AAPL,2007-01-04,36.21,0.0515842,0.392747,0.0111,0.0101,36.1,51.91,45.28,44.32,0
AAPL,2007-01-05,40.73,0.285776,0.346202,0.0022,0.0053,36.61,52.37,45.91,44.7,0
AAPL,2007-01-08,35.71,0.912175,0.520359,0.0002,0.0098,36.76,50.67,45.02,44.3,0
AAPL,2007-01-09,38.37,2.05368,1.29381,0.0169,0.0125,36.53,44.53,41.76,41.33,0
AAPL,2007-01-10,38.83,1.16598,0.874212,0.0327,0.0114,43.07,43.71,41.49,40.92,0
AAPL,2007-01-11,39.68,0.520483,0.699185,0.0231,0.0267,44.8,41.59,39.75,38.66,0
AAPL,2007-01-12,37.49,0.505953,0.771331,0.0381,0.0112,44.92,41.58,39.73,39.24,0
AAPL,2007-01-16,37.42,0.470848,0.996598,0.0107,0.0193,44,44.72,42.62,40.87,0
AAPL,2007-01-17,31.84,0.600678,0.849225,0.0004,0.0111,43.71,44.59,42.51,40.84,0
AAPL,2007-01-18,37.15,-0.249123,0.445846,0.0286,0.008,44.18,36.11,36.98,37.64,0
AAPL,2007-01-19,35.99,-0.726354,0.419445,0.0418,0.0202,46.53,33.83,35.8,37.3,0
AAPL,2007-01-22,35.27,0.100174,0.507109,0.0643,0.0211,45.59,34.52,35.12,37.1,0
AAPL,2007-01-23,34.51,0.524882,0.578667,0.0427,0.0169,45.89,33.38,34.41,37.01,0
AAPL,2007-01-24,33.95,0.573778,0.696504,0.0141,0.0174,45.82,33.27,33.82,36.43,0
AAPL,2007-01-25,33.95,0.163461,0.685374,0.0154,0.0169,44.95,32.01,34.17,37.18,0
AAPL,2007-01-26,33.74,0.0730854,0.575018,0.0268,0.0175,44.9,32.05,34.05,36.66,0
AAPL,2007-01-29,34.48,0.264824,0.717918,0.0483,0.0322,45.08,32.9,34.89,36.93,0
AAPL,2007-01-30,33.79,0.187667,0.667515,0.0075,0.0234,42.95,31.83,34.35,36.98,0
AAPL,2007-01-31,32.83,0.376471,0.652475,0.0279,0.0286,42.83,31.03,33.6,36.04,0
AAPL,2007-02-01,32.09,0.0530018,0.760698,0.051,0.0279,41.48,30.18,32.74,35.42,0
AAPL,2007-02-02,31.72,0.0181667,0.669218,0.0457,0.0297,39.93,29.44,32.51,34.98,0
AAPL,2007-02-05,32.98,0.447396,0.759826,0.0743,0.0303,39.48,31.03,33.78,35.91,0
AAPL,2007-02-06,32.82,0.601029,0.723508,0.0342,0.0292,39.38,30.78,33.74,35.57,0
AAPL,2007-02-07,33.31,1.04755,0.832122,0.0428,0.0213,39.46,31.49,34.24,35.66,0
AAPL,2007-02-08,32.24,0.902622,0.849973,0.0289,0.0262,31.49,30.31,33.45,34.92,0
AAPL,2007-02-09,33.66,0.624149,0.777891,0.0401,0.0271,28.38,31,34.48,35.73,0
AAPL,2007-02-12,33.48,1.4192,0.917173,0.0023,0.0231,29.91,30.71,34.15,35.18,0
AAPL,2007-02-13,33.48,1.20969,0.925868,0.0131,0.0201,30.04,30.34,34.22,35.14,0
AAPL,2007-02-14,32.98,1.50553,0.879956,0.1002,0.0292,29.37,29.28,33.64,34.39,0
AAPL,2007-02-15,32.46,1.06926,0.865509,0.1082,0.0317,28.49,27.61,33.45,34.31,0
AAPL,2007-02-16,32.58,1.10408,0.744847,0.1128,0.0325,24.05,27.61,33.25,33.94,0
AAPL,2007-02-20,27.56,0.559944,0.882167,0.0307,0.0275,23.82,26.55,29.34,30.8,0
AAPL,2007-02-21,28.28,0.834492,0.98419,0.0704,0.0332,22.55,26.68,29.21,30.75,0
AAPL,2007-02-22,27.59,0.912513,0.897445,0.0808,0.0233,24.81,26.84,28.16,30.22,0
AAPL,2007-02-23,26.51,0.940152,0.84608,0.0943,0.0302,25.15,25.83,27.25,29.63,0
AAPL,2007-02-26,27.28,1.76952,0.886038,0.0344,0.0328,24.67,26.93,27.97,29.95,0
AAPL,2007-02-27,33.51,1.05664,0.811865,0.0665,0.012,24.56,33.63,33.5,34.41,0
AAPL,2007-02-28,29.98,1.10758,0.688872,0.0422,0.0173,28.53,30.11,30.47,32.44,0
AAPL,2007-03-01,31.16,1.104,0.818808,0.0318,0.0273,29.15,31.35,31.58,32.95,0
AAPL,2007-03-02,31.49,0.651461,0.762791,0.0237,0.02,31.58,31.42,31.9,33.28,0
AAPL,2007-03-05,32.56,1.08891,1.03072,0.0342,0.0254,32.04,32.67,33.02,34.07,0
AAPL,2007-03-06,30.5,1.4939,1.16306,0.0741,0.0226,32.65,30.98,31.16,32.78,0
AAPL,2007-03-07,32.01,1.28905,1.06589,0.0572,0.0281,32.82,31.13,32.56,33.51,0
AAPL,2007-03-08,28.98,1.45237,1.13066,0.0614,0.0299,32.78,28.65,29.98,31.86,0
AAPL,2007-03-09,28.32,1.12815,1.03471,0.0665,0.0209,31.76,27.19,29.33,31.3,0
AAPL,2007-03-12,27.9,1.6532,1.27061,0.0876,0.0204,31.84,27.53,29.14,31.23,0
AAPL,2007-03-13,29.72,1.35513,1.17124,0.061,0.0183,30.78,29.52,30.82,32.33,0
AAPL,2007-03-14,29.35,1.60231,1.28785,0.0286,0.0278,30.9,28.95,30.55,32.31,0
AAPL,2007-03-15,29.87,1.10238,1.37477,0.1058,0.0237,31.44,29.69,31.03,32.44,0
AAPL,2007-03-16,28.19,1.13764,1.29681,0.0628,0.0294,31.4,27.39,29.51,31.63,0
AAPL,2007-03-19,27.54,0.960491,1.35786,0.0782,0.0278,31.37,26.49,32.84,33.27,0
AAPL,2007-03-20,26.39,1.26171,1.39594,0.0676,0.0203,31.84,25.09,33.21,33.19,0
