ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
ABBV,2013-01-08,3,0,0,0,0,29.41,0,0,0,4.7
ABBV,2013-01-09,16.89,2.54284,2.85825,0.0498,0.0679,33.96,0,5.82,12.23,4.7
ABBV,2013-01-10,3,0.969701,1.37003,0,0,29.92,0,0,0,4.7
ABBV,2013-01-11,18.76,3.01421,2.9797,0.071,0.0862,28.1,0,6.75,13.49,4.7
ABBV,2013-01-14,18.27,3.39356,3.48869,0.0339,0.0387,26.59,0,7.44,13.91,4.7
ABBV,2013-01-15,5.31,3.33594,3.90769,0.0002,0.0385,25.2,0,7.39,13.55,4.6
ABBV,2013-01-16,12.05,3.14807,3.85953,0.0248,0.0343,26.07,0,7.11,12.78,4.5
ABBV,2013-01-17,17.27,3.07404,3.28692,0.032,0.0368,27.84,0,7.8,13.78,4.4
ABBV,2013-01-18,10.88,2.93497,3.46845,0.0762,0.0927,28.54,0.28,7.27,12.64,4.3
ABBV,2013-01-22,14.76,4.188,4.11008,0.0148,0.0207,29.83,0,2.51,11.9,4.4
ABBV,2013-01-23,10.78,3.7377,3.85938,0.0012,0.0047,30.98,0,2.57,10.94,4.2
ABBV,2013-01-24,20.2,-0.271089,1.96416,0.1204,0.0343,32.76,5.87,20.1,19.76,4.3
ABBV,2013-01-25,20.63,-0.8104,2.14289,0.1559,0.0832,32.82,6.81,20.52,20.27,4.3
ABBV,2013-01-28,19.05,2.44543,2.46964,0.032,0.0266,32.7,0,5.02,14.84,4.3
ABBV,2013-01-29,21.71,1.40669,2.48084,0.1346,0.0661,32.84,10.55,21.54,21.27,4.3
ABBV,2013-01-30,19.19,2.08947,2.51288,0.1025,0.0802,32.85,0,5.94,15.91,4.3
ABBV,2013-01-31,21.48,1.22694,2.28316,0.0036,0.057,32.3,21.15,21.6,21.64,4.4
ABBV,2013-02-01,23.09,0.757195,1.6021,0.0816,0.0952,31.72,21.47,22.92,22.83,4.3
ABBV,2013-02-04,22.4,1.7546,2.65795,0.0548,0.0275,31.3,21.96,22.04,21.3,4.3
ABBV,2013-02-05,20.57,1.75456,2.16597,0.0129,0.1038,31.23,20.91,21.16,20.97,4.3
ABBV,2013-02-06,20.58,2.47286,2.59834,0,0,30.36,21.28,21.1,20.78,4.3
ABBV,2013-02-07,23.14,0.810812,2.28893,0.0102,0.0889,29.01,22.61,22.7,22.35,4.4
ABBV,2013-02-08,22.65,1.04849,1.88554,0.0064,0.059,30.96,23.12,22.93,22.98,4.4
ABBV,2013-02-11,22.7,-0.253405,2.18904,0.0087,0.0745,30.88,22.79,22.93,22.96,4.5
ABBV,2013-02-12,22.03,0.353237,1.91752,0.0106,0.0864,30.84,22.3,22.53,22.71,4.5
ABBV,2013-02-13,22.81,-0.584117,1.99845,0.0002,0.0029,31.06,23.28,22.97,22.71,4.5
ABBV,2013-02-14,23.05,1.67684,2.13246,0.0071,0.0426,30.37,23.33,22.88,22.55,4.4
ABBV,2013-02-15,22.83,-1.24879,2.20467,0.0002,0.016,31.77,24.04,22.31,20.98,4.3
ABBV,2013-02-19,20.81,1.00037,2.04737,0.0041,0.0201,31.78,22.57,20.73,20.96,4.2
ABBV,2013-02-20,20.32,1.65905,1.81089,0,0.0141,31.42,21.3,20.57,20.18,4.1
ABBV,2013-02-21,20.1,1.17298,2.04478,0,0.0026,31.27,21.49,20.12,19.46,4.1
ABBV,2013-02-22,20.77,1.72114,2.31345,0.0009,0.0411,29.63,22.7,20.83,20.34,4.2
ABBV,2013-02-25,22.99,1.55517,1.95578,0.0005,0.0506,28.99,23.46,22.63,21.46,4.3
ABBV,2013-02-26,22.65,1.48992,2.15934,0.0073,0.0136,29.64,23.36,22.42,21.84,4.3
ABBV,2013-02-27,22.99,2.11456,2.74118,0,0.0002,28.88,25.14,22.65,21.74,4.4
ABBV,2013-02-28,22.43,1.77081,2.18887,0.0007,0.0314,28.19,24.23,22.2,21.66,4.3
ABBV,2013-03-01,20.76,2.0364,1.8995,0.0188,0.0066,28.07,20.25,20.88,20.74,4.2
ABBV,2013-03-04,19.91,3.11837,2.31066,0.0026,0.0012,29.53,21.12,20.7,20.36,4.2
ABBV,2013-03-05,20.27,2.12854,2.06383,0.0231,0.016,29.51,20.83,20.43,20.43,4.3
ABBV,2013-03-06,20.05,3.23277,2.70885,0.0045,0.0533,30.34,19.54,20.17,20.34,4.2
ABBV,2013-03-07,20.02,2.73234,2.12592,0.0006,0.0476,30.33,19.74,19.99,19.95,4.3
ABBV,2013-03-08,19.86,1.58711,1.52916,0.0037,0.0043,30.44,19.59,20,20.21,4.3
ABBV,2013-03-11,18.77,0.396897,2.13108,0.0099,0.0356,28.49,20.19,19.67,19.92,4.2
ABBV,2013-03-12,20.2,2.3148,1.84534,0.0001,0.0521,28.96,20.76,20.24,20.43,4.3
ABBV,2013-03-13,18.44,2.53155,2.01521,0.0001,0.0545,29.75,20.35,19.45,19.82,4.3
ABBV,2013-03-14,20,0.266045,2.07608,0.0159,0.0621,29.5,20.74,20.43,20.69,4.3
ABBV,2013-03-15,18.13,3.0869,2.26689,0.0001,0.0492,29.76,20.45,18.91,19.31,4.2
ABBV,2013-03-18,19.83,2.14151,1.88874,0.0001,0.0219,28.28,20.5,20.15,20.47,4.2
ABBV,2013-03-19,20.29,2.71681,2.12168,0.0001,0.0135,27.42,20.69,20.28,20.51,4.2
ABBV,2013-03-20,19.62,1.99742,2.29771,0.0002,0.0456,26.53,19.9,19.62,20.08,4.1
ABBV,2013-03-21,19.45,2.28818,2.35914,0,0.0114,25.69,20.03,19.84,20.24,4.2
ABBV,2013-03-22,19.7,2.16682,1.84523,0.0002,0.0497,25.59,19.72,20.03,20.24,4.1
ABBV,2013-03-25,18.18,0.687863,2.01603,0.0002,0.0486,25.63,18.2,19.92,20.08,4.1
ABBV,2013-03-26,18.03,2.80833,2.94721,0.0002,0.0369,24.18,17.79,19.17,19.6,4
ABBV,2013-03-27,18.74,1.67206,2.3566,0.0001,0.0193,24.84,18.35,18.98,19.42,4
ABBV,2013-03-28,17.4,0.0264704,3.02837,0.0003,0.041,24.76,17.26,18.06,18.56,3.9
ABBV,2013-04-01,19.02,0.0134473,2.6371,0.0002,0.037,25.26,18.97,18.89,19.09,0
ABBV,2013-04-02,19.58,0.020433,2.30546,0.0002,0.0202,24.05,19.46,19.99,20.31,0
ABBV,2013-04-03,18.54,0.0243209,2.73068,0.0004,0.0486,23.96,18.96,19.93,20.12,3.9
ABBV,2013-04-04,18.99,0.0140581,2.51937,0.0001,0.0227,23.22,20.23,19.52,19.16,3.8
ABBV,2013-04-05,20.33,0.0274943,3.08727,0.0002,0.0171,24.38,21.17,20.42,20.38,3.9
ABBV,2013-04-08,21.31,0.0388285,2.71362,0.0007,0.0465,24.26,21.09,20.62,20.7,3.8
ABBV,2013-04-09,19.8,0.847368,2.70302,0,0.0046,24.55,22.82,23.07,22.31,3.8
ABBV,2013-04-10,17.39,-0.321816,2.78378,0.0004,0.0514,25.6,23.52,22.61,21.52,3.7
