tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,ABNB,27.95,30.87,32.91
2024-06-04,ABNB,27.73,30.24,32.3
2024-06-05,ABNB,27.17,30.65,32.41
2024-06-06,ABNB,27.34,30.46,32.95
2024-06-07,ABNB,26.8,30.38,32.48
2024-06-10,ABNB,27.15,31.86,33.04
2024-06-11,ABNB,27.27,32.05,32.88
2024-06-12,ABNB,25.62,31.52,32.29
2024-06-13,ABNB,26.69,32.35,32.92
2024-06-14,ABNB,27.17,33.15,33.05
2024-06-17,ABNB,28.2,34.54,33.39
2024-06-18,ABNB,28.33,34.92,33.39
2024-06-20,ABNB,28.65,35.05,33.51
2024-06-21,ABNB,26.31,33.89,32.51
2024-06-24,ABNB,27.04,33.97,31.74
2024-06-25,ABNB,26.31,33.91,32.3
2024-06-26,ABNB,26.64,34.58,32.51
2024-06-27,ABNB,27.83,35.1,33.1
2024-06-28,ABNB,27.67,34.21,32.54
2024-07-01,ABNB,30.09,35.29,33.36
2024-07-02,ABNB,29.2,34.38,32.55
2024-07-03,ABNB,30.91,34.46,32.76
2024-07-05,ABNB,32.72,34.63,32.8
2024-07-08,ABNB,37.91,34.97,33.37
2024-07-09,ABNB,37.91,35.36,33.46
2024-07-10,ABNB,38.26,36.08,34.27
2024-07-11,ABNB,41.93,36.81,34.82
2024-07-12,ABNB,41.15,36.06,34.06
2024-07-15,ABNB,41.16,36.27,34.07
2024-07-16,ABNB,41.25,36.04,34.18
2024-07-17,ABNB,44.03,37.36,35.19
2024-07-18,ABNB,44.68,37.88,35.58
2024-07-19,ABNB,44.21,38.68,35.49
2024-07-22,ABNB,44.33,37.69,35.36
2024-07-23,ABNB,43.64,37.65,35.93
2024-07-24,ABNB,46.41,40.16,38.09
2024-07-25,ABNB,47.23,40.11,38.39
2024-07-26,ABNB,46.03,40.05,38.13
2024-07-29,ABNB,46.24,39.87,38.2
2024-07-30,ABNB,47.24,40.71,39.07
2024-07-31,ABNB,46.25,39.3,37.95
2024-08-01,ABNB,50.41,42.61,41.16
2024-08-02,ABNB,52.92,46.08,43.78
2024-08-05,ABNB,58.42,50.46,47.59
2024-08-06,ABNB,51.09,43.64,42.61
2024-08-07,ABNB,36.14,36.51,38.51
2024-08-08,ABNB,32.45,32.89,35.97
2024-08-09,ABNB,29.32,31.76,35.3
2024-08-12,ABNB,30.04,31.55,35.17
2024-08-13,ABNB,28.63,29.47,34.78
2024-08-14,ABNB,27.85,29.17,34.63
2024-08-15,ABNB,27.23,28.07,34.15
2024-08-16,ABNB,26.24,28.64,34.43
2024-08-19,ABNB,26.15,28.06,34.93
2024-08-20,ABNB,27.05,28.55,34.95
2024-08-21,ABNB,27.43,29.4,35.17
2024-08-22,ABNB,29.51,31.15,36.79
2024-08-23,ABNB,27.09,29.41,35.05
2024-08-26,ABNB,28.46,30.64,35.37
2024-08-27,ABNB,27.91,30.82,35.45
2024-08-28,ABNB,28.19,31.71,36.38
2024-08-29,ABNB,27.42,31.17,35.66
2024-08-30,ABNB,26.85,30.5,35.06
2024-09-03,ABNB,31.28,34.64,36.48
2024-09-04,ABNB,30.49,34.68,36.98
2024-09-05,ABNB,31.07,35.49,37.73
2024-09-06,ABNB,31.76,36.29,37.42
2024-09-09,ABNB,31.09,35.85,37.02
2024-09-10,ABNB,32.38,37.05,37.65
2024-09-11,ABNB,30.28,36.69,37.15
2024-09-12,ABNB,30.7,36.87,37.23
2024-09-13,ABNB,29.93,36.76,37.31
2024-09-16,ABNB,30.78,39.15,36.98
2024-09-17,ABNB,30.98,39.75,37.17
2024-09-18,ABNB,31,39.83,36.58
2024-09-19,ABNB,29.79,38.78,36.18
2024-09-20,ABNB,28.06,37.81,35.7
2024-09-23,ABNB,28.57,37.44,35.62
2024-09-24,ABNB,27.78,37.44,34.94
2024-09-25,ABNB,28.04,37.51,35.01
2024-09-26,ABNB,29.36,38.24,35.64
2024-09-27,ABNB,30.51,38.59,35.95
2024-09-30,ABNB,33.07,39.75,36.85
2024-10-01,ABNB,34.43,40.51,37.49
2024-10-02,ABNB,37.71,40.71,37.43
2024-10-03,ABNB,37.65,40.67,37.67
2024-10-04,ABNB,38.43,40.14,37.5
2024-10-07,ABNB,44.22,41.46,38.24
2024-10-08,ABNB,44.61,40.95,37.83
2024-10-09,ABNB,44.97,40.48,37.67
2024-10-10,ABNB,46.72,40.01,37.46
2024-10-11,ABNB,46.41,39.68,36.86
2024-10-14,ABNB,45.82,38.57,36.08
2024-10-15,ABNB,46.03,39.45,36.51
2024-10-16,ABNB,46.39,39.49,36.87
2024-10-17,ABNB,45.26,38.27,35.53
2024-10-18,ABNB,44.23,37.84,35.77
2024-10-21,ABNB,46.14,38.62,35.89
2024-10-22,ABNB,46.24,39.04,36.46
2024-10-23,ABNB,46.61,39.67,36.74
2024-10-24,ABNB,47.64,40.42,37.77
2024-10-25,ABNB,47.99,40.65,37.44
2024-10-28,ABNB,48.56,40.4,38.2
2024-10-29,ABNB,47.89,40.51,37.77
2024-10-30,ABNB,49.26,41.22,38.65
2024-10-31,ABNB,50.67,42.81,39.68
2024-11-01,ABNB,49.56,41.1,39.16
2024-11-04,ABNB,49.66,41.79,39.02
2024-11-05,ABNB,49.34,41.73,39.05
2024-11-06,ABNB,46.59,39.43,37.37
2024-11-07,ABNB,49.17,39.52,37.74
2024-11-08,ABNB,25.02,26.39,28.73
2024-11-11,ABNB,26.67,26.91,29.3
2024-11-12,ABNB,27.78,27.53,29.37
2024-11-13,ABNB,26.84,27.32,30.27
2024-11-14,ABNB,26.83,26.87,30.88
