ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
ADBE,2007-01-03,30.84,1.93945,2.03701,0.112,0.0369,31.81,29.69,31.24,31.38,0
ADBE,2007-01-04,29.61,1.14582,1.97004,0.0221,0.0533,33.62,29.19,30.19,30.91,0
ADBE,2007-01-05,29.55,1.44121,1.89181,0.0399,0.0759,34.6,28.26,30.06,30.85,0
ADBE,2007-01-08,30.29,1.56241,1.99575,0.0689,0.0575,34.5,29.9,30.75,31.3,0
ADBE,2007-01-09,30.1,1.83502,1.95707,0.0146,0.04,34.11,29.93,30.77,31.48,0
ADBE,2007-01-10,29.53,1.74634,2.09013,0.0006,0.042,33.93,30.18,30.39,31.12,0
ADBE,2007-01-11,30.26,1.31453,2.01095,0.0268,0.0397,32.85,29.55,30.66,31.24,0
ADBE,2007-01-12,30.19,2.02452,1.97193,0.0014,0.0509,32.46,29.07,30.25,30.7,0
ADBE,2007-01-16,29.97,1.95725,1.91279,0.0014,0.0619,32.43,30.35,30.99,31.53,0
ADBE,2007-01-17,30.08,1.69201,2.03286,0.0029,0.0423,32.12,30.32,30.73,31.05,0
ADBE,2007-01-18,31.43,0.754899,1.93112,0.0695,0.0559,31.24,31.81,31.85,31.89,0
ADBE,2007-01-19,30.04,1.47291,1.90745,0.0016,0.0502,32.25,30.02,31.81,33.17,0
ADBE,2007-01-22,30.59,2.021,2.01771,0.0344,0.0413,30.97,29.45,30.97,32.83,0
ADBE,2007-01-23,29.63,0.575858,2.04276,0.0441,0.0553,31.63,28.4,30.31,31.94,0
ADBE,2007-01-24,27.91,2.19368,1.76382,0.053,0.075,31.49,27.8,28.68,30.9,0
ADBE,2007-01-25,29.37,1.90834,2.00837,0.0256,0.0593,34.62,29.03,30.03,31.78,0
ADBE,2007-01-26,28.72,1.96406,2.01998,0.0286,0.0548,34.72,28.16,29.6,31.4,0
ADBE,2007-01-29,30.54,2.41203,1.93132,0.0101,0.0596,34.72,29.61,31.15,32.01,0
ADBE,2007-01-30,29.9,2.0943,2.00165,0.0023,0.0482,34.87,29.21,30.87,32.07,0
ADBE,2007-01-31,29.81,1.77294,1.9377,0.0786,0.0578,34.98,28.94,30.52,31.25,0
ADBE,2007-02-01,29.54,2.31672,2.10377,0.0265,0.0349,35,28.46,30.69,31.79,0
ADBE,2007-02-02,28.7,2.28731,2.01809,0.0059,0.0306,32.12,27.52,29.92,31.1,0
ADBE,2007-02-05,29.71,1.12827,1.96254,0.0708,0.0577,30.99,29.07,30.81,31.47,0
ADBE,2007-02-06,30.12,1.82203,1.97772,0.0723,0.0315,31.06,29.8,31.41,32.05,0
ADBE,2007-02-07,31.14,1.69194,1.90909,0.1189,0.0471,31.44,30.19,31.67,31.88,0
ADBE,2007-02-08,29.93,1.89229,2.02544,0.0087,0.0457,30.93,29.12,31.53,32.08,0
ADBE,2007-02-09,30.95,0.453808,1.97062,0.0001,0.0439,30.61,29.74,31.97,32.29,0
ADBE,2007-02-12,29.91,0.897053,1.91932,0.0937,0.0505,30.27,30.27,32.17,32.25,0
ADBE,2007-02-13,29.96,1.51773,1.96962,0.0026,0.0428,30.4,30.26,32.11,32.13,0
ADBE,2007-02-14,30.18,1.27759,1.84983,0.0001,0.0501,30.34,30.52,32,31.83,0
ADBE,2007-02-15,29.12,1.50216,1.94237,0.0019,0.0533,30.12,29.18,30.92,31.04,0
ADBE,2007-02-16,27.5,1.73256,2.00068,0.0492,0.0362,27.48,27.41,30.21,30.28,0
ADBE,2007-02-20,28.09,1.58601,1.97131,0.0355,0.0463,28.11,28.61,30.63,30.32,0
ADBE,2007-02-21,27.79,1.74863,1.94667,0.0351,0.0572,27.68,28.01,29.36,29.51,0
ADBE,2007-02-22,26.73,1.99967,1.85799,0.0249,0.055,27.59,27.41,29.89,29.73,0
ADBE,2007-02-23,25.46,1.73213,1.83836,0.0397,0.0583,23.24,26.38,29.59,29.56,0
ADBE,2007-02-26,26.34,1.94046,1.73252,0.0343,0.0609,22.55,27.52,29.64,29.45,0
ADBE,2007-02-27,27.01,1.93639,1.8864,0.0002,0.0569,22.37,29.09,31.94,31.46,0
ADBE,2007-02-28,30.81,1.57917,1.91868,0.0328,0.0462,26.12,31.74,31.95,31.38,0
ADBE,2007-03-01,31.72,1.96587,1.87251,0.037,0.0641,26.95,32.82,32.89,32.3,0
