ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
AMZN,2007-01-03,36.72,2.0614,3.13052,0.0192,0.0342,27.31,41.96,44.64,40.39,0
AMZN,2007-01-04,37.45,2.2608,3.2325,0.0424,0.0338,26.63,42.7,44.17,40.22,0
AMZN,2007-01-05,36.77,1.92429,3.12447,0.0145,0.0388,26.83,43.04,44.81,40.4,0
AMZN,2007-01-08,36.74,2.34259,3.13695,0.0055,0.0408,27.6,44.65,44.94,39.95,0
AMZN,2007-01-09,35.71,2.43622,3.19497,0.0257,0.0346,28.3,44.95,43.76,38.8,0
AMZN,2007-01-10,35.59,1.93435,3.21873,0.0489,0.0302,27.72,45.09,43.28,38.61,0
AMZN,2007-01-11,35.25,2.21474,3.26284,0.0635,0.0489,27.24,43.93,42.86,38.26,0
AMZN,2007-01-12,34.07,2.44252,3.2814,0.0723,0.0462,27.02,43.13,41.39,36.82,0
AMZN,2007-01-16,33.48,2.4171,3.33743,0.0221,0.0499,27.53,47.32,41.43,36.52,0
AMZN,2007-01-17,34.03,2.23754,3.34736,0.0461,0.0516,27.57,47.69,41.55,36.65,0
AMZN,2007-01-18,34.89,2.36813,3.30989,0.0496,0.0341,28.11,50.72,43.52,38,0
AMZN,2007-01-19,35.71,2.30548,3.30951,0.0352,0.0429,28.1,50.07,43.12,37.78,0
AMZN,2007-01-22,34.92,2.51295,3.50857,0.0313,0.0453,26.61,49.82,40.15,37,0
AMZN,2007-01-23,33.45,2.0797,3.64374,0.0112,0.0433,26.09,48.99,39.94,36.77,0
AMZN,2007-01-24,32.16,2.56866,3.71038,0.0185,0.0452,26,47.4,38.72,35.7,0
AMZN,2007-01-25,31.71,2.26714,3.66043,0.0391,0.0517,26.64,46.72,38.03,34.82,0
AMZN,2007-01-26,31.73,2.15496,3.56196,0.0185,0.0646,27.66,46.55,37.78,34.93,0
AMZN,2007-01-29,32.83,2.61962,3.75207,0.0339,0.0517,27.89,46.24,38.04,35.11,0
AMZN,2007-01-30,36.12,2.28296,3.62498,0.0074,0.0596,28.23,48.38,38.8,36.17,0
AMZN,2007-01-31,33.88,3.11567,3.88904,0.0188,0.0525,28.43,48.95,39.23,35.92,0
AMZN,2007-02-01,32.98,2.70449,3.89487,0.0003,0.0655,29.11,47.58,38.24,34.87,0
AMZN,2007-02-02,27.98,2.05196,3.61173,0.0049,0.0515,29.94,27.55,27.77,28.18,0
AMZN,2007-02-05,26.57,2.36719,3.55402,0.0237,0.0722,31.02,26.75,26.84,27.78,0
AMZN,2007-02-06,27.08,1.89191,3.32298,0.0635,0.0701,30.42,27.68,27.01,27.67,0
AMZN,2007-02-07,27.52,2.43323,3.54465,0.0325,0.0644,30.92,28.34,27.41,27.86,0
AMZN,2007-02-08,27.67,2.43673,3.47163,0.0241,0.0386,31.46,27.43,27.7,28.45,0
AMZN,2007-02-09,27.02,1.46173,3.19838,0.0001,0.0356,31.39,26.38,27.5,28.54,0
AMZN,2007-02-12,27.03,2.60977,3.05684,0.0031,0.0446,31.27,26.46,27.32,28.43,0
AMZN,2007-02-13,27.35,2.78774,3.13086,0.0358,0.0339,30.69,26.62,27.51,28.44,0
AMZN,2007-02-14,27.59,3.61426,3.06794,0.0738,0.0412,30.54,27,27.76,28.81,0
AMZN,2007-02-15,28.05,2.57983,3.03006,0.0861,0.0454,30.42,27.61,27.94,28.88,0
AMZN,2007-02-16,27.26,1.858,3.27152,0.072,0.0454,29.61,26.41,27.41,28.56,0
AMZN,2007-02-20,28.13,3.71508,3.24027,0.0244,0.0496,29.37,28.08,27.78,28.83,0
AMZN,2007-02-21,26.89,3.7513,3.16465,0.0355,0.0466,30.71,26.88,26.73,27.78,0
AMZN,2007-02-22,25.93,3.40118,3.17109,0.0261,0.0491,30.33,24.87,26.43,27.65,0
AMZN,2007-02-23,25.77,2.36761,3.14213,0.1202,0.0519,30.11,25.38,25.86,27.35,0
AMZN,2007-02-26,26.92,3.2907,3.11371,0.0294,0.0458,29.06,26.51,27.04,28.31,0
AMZN,2007-02-27,30.23,2.0328,3.06047,0.02,0.0388,28.8,30.95,29.87,30.49,0
AMZN,2007-02-28,29.33,3.2461,3.05928,0.0231,0.0301,31.63,30.3,29.26,30.18,0
AMZN,2007-03-01,29.83,3.20511,3.19763,0.0225,0.0336,32.34,30.21,29.71,30.53,0
AMZN,2007-03-02,31.49,2.46624,2.9512,0.0181,0.0455,31.92,32.01,31.29,31.76,0
AMZN,2007-03-05,32.01,2.53138,2.95924,0.0467,0.0423,31.73,32.79,31.96,32.35,0
AMZN,2007-03-06,30.21,2.98192,3.19362,0.0437,0.0473,31.33,20.01,30.68,31.23,0
AMZN,2007-03-07,30.38,2.69376,3.20384,0.0002,0.0483,33,30.92,30.63,31.42,0
