tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,ARM,58.15,61.39,63.44
2024-06-04,ARM,55.84,60.29,62.82
2024-06-05,ARM,57.5,62.19,64.17
2024-06-06,ARM,58.64,63,65.78
2024-06-07,ARM,55.37,62.61,65.64
2024-06-10,ARM,56.5,63.72,65.7
2024-06-11,ARM,59.29,66.66,67.61
2024-06-12,ARM,63.48,72.05,71.82
2024-06-13,ARM,64.58,72.36,73.08
2024-06-14,ARM,67,76.06,75.97
2024-06-17,ARM,66.38,76.7,74.44
2024-06-18,ARM,78.74,89.8,82.78
2024-06-20,ARM,71.88,83.44,79.03
2024-06-21,ARM,68.38,80.16,76.05
2024-06-24,ARM,64.79,75.58,71.76
2024-06-25,ARM,65.71,76.47,72.13
2024-06-26,ARM,66.9,77.79,73.58
2024-06-27,ARM,66.47,77.29,72.94
2024-06-28,ARM,62.81,74.18,70.31
2024-07-01,ARM,62.05,72.72,68.62
2024-07-02,ARM,70.23,72.2,68.47
2024-07-03,ARM,76.86,72.39,68.88
2024-07-05,ARM,86.1,76.69,72.73
2024-07-08,ARM,87.53,77.3,73.34
2024-07-09,ARM,84.75,74.92,71.48
2024-07-10,ARM,83.68,74.61,70.56
2024-07-11,ARM,82.56,72.95,70.02
2024-07-12,ARM,80.61,72.06,69.3
2024-07-15,ARM,79.56,70.97,68.36
2024-07-16,ARM,77.35,69.86,67.12
2024-07-17,ARM,80.32,71.49,68.21
2024-07-18,ARM,79.61,70.98,67.92
2024-07-19,ARM,78.47,69.84,67.32
2024-07-22,ARM,76.88,68.65,66.11
2024-07-23,ARM,77.86,70.37,68.18
2024-07-24,ARM,80.65,72.28,69.72
2024-07-25,ARM,79.79,71.09,69.08
2024-07-26,ARM,76.38,68.34,66.87
2024-07-29,ARM,76.1,68.18,67.16
2024-07-30,ARM,78.77,68.96,67.39
2024-07-31,ARM,76.84,68.02,66.88
2024-08-01,ARM,70.96,64.93,64.59
2024-08-02,ARM,74.41,68.36,68.34
2024-08-05,ARM,84.19,76.6,74.99
2024-08-06,ARM,73.81,68.82,70.31
2024-08-07,ARM,73.77,69.63,70.48
2024-08-08,ARM,69.12,66.37,68.3
2024-08-09,ARM,65.54,64.04,67.32
2024-08-12,ARM,65.72,62.87,66.43
2024-08-13,ARM,64.21,61.62,65.99
2024-08-14,ARM,63.16,62.2,66.44
2024-08-15,ARM,60.51,60,64.88
2024-08-16,ARM,59.38,59.47,65.2
2024-08-19,ARM,59.28,59.46,65.05
2024-08-20,ARM,61.21,60.44,66
2024-08-21,ARM,59.82,60.02,65.56
2024-08-22,ARM,61.62,61.07,66
2024-08-23,ARM,59.43,60.64,65.75
2024-08-26,ARM,63.76,64.05,67.5
2024-08-27,ARM,63.07,63.86,67.5
2024-08-28,ARM,66.56,66.64,69.02
2024-08-29,ARM,60.64,64.5,67.96
2024-08-30,ARM,58.17,63.64,67.51
2024-09-03,ARM,65,68.13,69.41
2024-09-04,ARM,64.87,68.93,70.01
2024-09-05,ARM,64.21,68.7,70.29
2024-09-06,ARM,66.67,70.49,71.21
2024-09-09,ARM,66.2,70.63,70.55
2024-09-10,ARM,64.57,70.51,70.28
2024-09-11,ARM,64.38,71.25,70.86
2024-09-12,ARM,63.92,73.23,70.94
2024-09-13,ARM,64.29,72.73,70.99
2024-09-16,ARM,65.68,74.69,70.91
2024-09-17,ARM,65.39,73.48,69.46
2024-09-18,ARM,63.11,72.02,67.7
2024-09-19,ARM,60.01,69.88,66.48
2024-09-20,ARM,58.55,68.8,65.75
2024-09-23,ARM,58.14,68.61,64.81
2024-09-24,ARM,57.87,68.36,64.75
2024-09-25,ARM,57.74,68.95,64.86
2024-09-26,ARM,57.46,68.29,65.07
2024-09-27,ARM,58.76,68.51,64.82
2024-09-30,ARM,59.97,69.07,64.79
2024-10-01,ARM,60.54,69.87,65.28
2024-10-02,ARM,60.3,69.56,65
2024-10-03,ARM,59.13,68.5,64.23
2024-10-04,ARM,57.89,66.48,62.63
2024-10-07,ARM,66.39,68.09,64.48
2024-10-08,ARM,68.76,67.22,63.86
2024-10-09,ARM,72.29,67.29,63.86
2024-10-10,ARM,76.66,67.57,64.81
2024-10-11,ARM,75.19,66.16,63.18
2024-10-14,ARM,79.34,69.25,66
2024-10-15,ARM,80.63,69.64,65.98
2024-10-16,ARM,79.42,69.39,66.29
2024-10-17,ARM,79.23,69.48,66.22
2024-10-18,ARM,76.13,67.26,64.73
2024-10-21,ARM,77.43,67.55,64.26
2024-10-22,ARM,77.79,67.56,64.01
2024-10-23,ARM,77.95,68.19,64.75
2024-10-24,ARM,77.78,67.54,65.21
2024-10-25,ARM,75.53,66.75,64.93
2024-10-28,ARM,76.01,67.96,66.19
2024-10-29,ARM,77.29,68.93,67.39
2024-10-30,ARM,77.78,70.01,67.75
2024-10-31,ARM,78.63,70.82,68.17
2024-11-01,ARM,72.5,65.95,65.11
2024-11-04,ARM,70.92,65.16,64.43
2024-11-05,ARM,68.56,63.96,63.7
2024-11-06,ARM,68.45,63.35,63.02
2024-11-07,ARM,51.69,53.07,55.86
2024-11-08,ARM,48.99,50.67,54.45
2024-11-11,ARM,50.96,51.91,55.52
2024-11-12,ARM,50.62,50.92,55.1
2024-11-13,ARM,49.94,50.96,55.15
2024-11-14,ARM,49.01,49.95,54.3
2024-11-15,ARM,51.07,51.96,56.37
2024-11-18,ARM,50.39,50.97,56.51
2024-11-19,ARM,50.05,50.8,55.96
2024-11-20,ARM,54.08,52.29,57.94
2024-11-21,ARM,49,50.26,56.19
2024-11-22,ARM,46.05,48.71,55.75
2024-11-25,ARM,45.48,48.94,54.9
2024-11-26,ARM,44.53,47.78,54.26
2024-11-27,ARM,44.61,48.3,55.17
2024-11-29,ARM,42.29,47.3,51.99
2024-12-02,ARM,45.94,50.15,54.39
2024-12-03,ARM,46.08,50.73,54.41
2024-12-04,ARM,44.88,49.67,54.15
2024-12-05,ARM,45.33,52.2,54.68
2024-12-06,ARM,44.83,51.17,54.44
2024-12-09,ARM,48.28,54.08,56.32
2024-12-10,ARM,50.16,55.41,57.17
2024-12-11,ARM,49.99,54.66,56.6
2024-12-12,ARM,52.05,57.37,58.71
2024-12-13,ARM,51.16,56.55,58.16
2024-12-16,ARM,54.75,59.02,59.76
2024-12-17,ARM,56.81,61.09,60.59
2024-12-18,ARM,59.13,62.4,62.25
2024-12-19,ARM,60.39,63.8,63.31
2024-12-20,ARM,56.55,61.98,61.02
2024-12-23,ARM,50.31,58.49,58.21
2024-12-24,ARM,47.13,56.29,56.79
2024-12-26,ARM,47.06,57.22,56.27
2024-12-27,ARM,46.84,57.99,56.55
2024-12-30,ARM,47.3,57.66,56.38
2024-12-31,ARM,48.46,58.01,56.86
2025-01-02,ARM,49.59,58.44,56.65
2025-01-03,ARM,52.04,59.02,58.08
2025-01-06,ARM,60.23,62.97,60.75
2025-01-07,ARM,61.99,62.15,60.01
2025-01-08,ARM,64.35,61.37,59.44
2025-01-10,ARM,66.34,61.27,59.03
2025-01-13,ARM,67.38,61.3,59.21
2025-01-14,ARM,67.09,60.87,58.53
2025-01-15,ARM,64.62,58.6,56.51
2025-01-16,ARM,62.03,56.44,55.26
2025-01-17,ARM,61.16,55.61,54.44
2025-01-21,ARM,64.58,58.34,56.28
2025-01-22,ARM,72.9,64.16,61.22
2025-01-23,ARM,68.2,61.28,58.74
2025-01-24,ARM,65.1,58.91,57.29
2025-01-27,ARM,75,65.47,62.8
2025-01-28,ARM,68.29,60.79,58.98
2025-01-29,ARM,68.92,62,60.24
2025-01-30,ARM,69.43,62.1,60.49
2025-01-31,ARM,67.7,61.38,60.63
2025-02-03,ARM,65.87,59.85,59.84
2025-02-04,ARM,67.91,61.17,61.25
2025-02-05,ARM,68.52,61.33,61.11
2025-02-06,ARM,49.7,50.29,53.93
2025-02-07,ARM,51.58,51.56,55.2
2025-02-10,ARM,48.88,49.34,53.93
2025-02-11,ARM,47.51,48.08,52.88
2025-02-12,ARM,47.01,47.91,52.86
2025-02-13,ARM,52.71,52.19,56.11
2025-02-14,ARM,50.5,50,54.62
2025-02-18,ARM,52.15,50.97,55.46
2025-02-19,ARM,51.32,50.81,55.25
