tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,ASML,31.73,34.51,33.73
2024-06-04,ASML,31.61,34.29,33.31
2024-06-05,ASML,31.47,35.19,33.79
2024-06-06,ASML,30.42,34.97,34.22
2024-06-07,ASML,29.85,34.67,33.39
2024-06-10,ASML,30.03,34.84,33.58
2024-06-11,ASML,30.38,35.1,34.14
2024-06-12,ASML,30.07,35,33.86
2024-06-13,ASML,30.29,35.49,34.4
2024-06-14,ASML,32.47,37.35,35.37
2024-06-17,ASML,36.95,38.46,36.77
2024-06-18,ASML,39.34,38.84,37.02
2024-06-20,ASML,42.53,38.78,37.49
2024-06-21,ASML,40.38,38.02,36.5
2024-06-24,ASML,41.2,36.58,36.29
2024-06-25,ASML,41.05,37.11,35.74
2024-06-26,ASML,41.81,37.58,35.92
2024-06-27,ASML,41.09,37.29,36.03
2024-06-28,ASML,40.86,37.21,36.21
2024-07-01,ASML,41.47,37.4,36.38
2024-07-02,ASML,40.26,37.13,35.81
2024-07-03,ASML,41.14,37.62,36.32
2024-07-05,ASML,40.15,37.35,36.31
2024-07-08,ASML,41.35,37.63,36.61
2024-07-09,ASML,41.69,37.99,37.09
2024-07-10,ASML,42.18,38.25,37.48
2024-07-11,ASML,41.56,37.63,36.69
2024-07-12,ASML,41.05,37.68,37.34
2024-07-15,ASML,42.57,38.78,37.85
2024-07-16,ASML,42.83,38.48,37.83
2024-07-17,ASML,38.92,36.74,37.51
2024-07-18,ASML,35.96,35.29,36.75
2024-07-19,ASML,34.86,34.95,36.25
2024-07-22,ASML,34.01,33.94,35.88
2024-07-23,ASML,32.6,33.43,34.97
2024-07-24,ASML,36.25,35.7,38.15
2024-07-25,ASML,37.07,36.89,38.05
2024-07-26,ASML,35.23,36.86,37.57
2024-07-29,ASML,36.25,36.41,37.82
2024-07-30,ASML,38.18,37.85,38.62
2024-07-31,ASML,37.44,36.79,37.95
2024-08-01,ASML,41.4,40.49,40.56
2024-08-02,ASML,47.67,45.85,45.7
2024-08-05,ASML,52.11,49.28,47.97
2024-08-06,ASML,43.65,42.78,42.47
2024-08-07,ASML,45.31,44.63,44.22
2024-08-08,ASML,42.39,41.36,41.95
2024-08-09,ASML,40.66,40.56,41.31
2024-08-12,ASML,40.66,40.72,41.35
2024-08-13,ASML,37.99,38.11,38.6
2024-08-14,ASML,37.05,37.81,38.31
2024-08-15,ASML,35.32,36.93,37.59
2024-08-16,ASML,34.45,36.88,37.44
2024-08-19,ASML,33.49,36.66,37.95
2024-08-20,ASML,34.54,37.31,38.49
2024-08-21,ASML,34.28,38.04,38.46
2024-08-22,ASML,37.06,39.81,39.85
2024-08-23,ASML,34.16,38.48,38.7
2024-08-26,ASML,36.72,39.48,40.16
2024-08-27,ASML,36.29,40.08,39.86
2024-08-28,ASML,37.69,41.38,41.03
2024-08-29,ASML,35.24,39.27,39.07
2024-08-30,ASML,33.05,38.9,38.89
2024-09-03,ASML,38.9,42.98,42
2024-09-04,ASML,39.98,43.21,42.28
2024-09-05,ASML,39.59,43.32,42.42
2024-09-06,ASML,42.69,46.21,44.39
2024-09-09,ASML,41.16,45.5,43.83
2024-09-10,ASML,39.99,44.98,43.6
2024-09-11,ASML,38.71,44.94,43.48
2024-09-12,ASML,37.22,43.34,41.93
2024-09-13,ASML,37.51,43.41,41.78
2024-09-16,ASML,41.32,44,40.61
2024-09-17,ASML,41.74,43.1,41.08
2024-09-18,ASML,42.03,43.02,40.6
2024-09-19,ASML,42.44,41.74,39.48
2024-09-20,ASML,42.93,43.02,40.6
2024-09-23,ASML,42.26,41.59,39.88
2024-09-24,ASML,41.51,41.9,39.34
2024-09-25,ASML,42.24,43.03,40.38
2024-09-26,ASML,42.92,42.54,39.54
2024-09-27,ASML,43.34,43.29,41.11
2024-09-30,ASML,43.76,43.92,41.25
2024-10-01,ASML,44.94,44.59,41.72
2024-10-02,ASML,44.68,44.53,41.8
2024-10-03,ASML,45.55,45.03,42.8
2024-10-04,ASML,44.93,43.86,41.57
2024-10-07,ASML,46.54,45.52,42.75
2024-10-08,ASML,45.94,44.49,41.91
2024-10-09,ASML,44.62,44.06,41.52
2024-10-10,ASML,45.98,43.72,41.06
2024-10-11,ASML,44.94,42.63,40.61
2024-10-14,ASML,46.97,42.56,40.28
2024-10-15,ASML,47.23,43.41,41.31
2024-10-16,ASML,44.62,42.48,39.22
2024-10-17,ASML,42.55,39.04,38.3
2024-10-18,ASML,40.75,39.3,37.44
2024-10-21,ASML,40.38,37.42,37.23
2024-10-22,ASML,40.8,37.91,36.89
2024-10-23,ASML,42.1,38.32,37.97
2024-10-24,ASML,40.68,37.71,36.7
2024-10-25,ASML,39.99,37.38,36.25
2024-10-28,ASML,39.98,36.88,36.54
2024-10-29,ASML,39.03,36.45,36.61
2024-10-30,ASML,39.87,37.46,36.34
2024-10-31,ASML,40.4,38.74,38.53
2024-11-01,ASML,38.68,36.76,36.58
2024-11-04,ASML,38.21,36.08,36.29
2024-11-05,ASML,38.79,35.64,36.83
2024-11-06,ASML,35.65,34.1,34.78
2024-11-07,ASML,34.61,33.33,34.45
2024-11-08,ASML,32.26,31.49,33.58
2024-11-11,ASML,32.82,31.69,33.92
2024-11-12,ASML,34.55,33.3,35.46
2024-11-13,ASML,34.62,33.02,35.89
2024-11-14,ASML,32.57,31.8,35.07
2024-11-15,ASML,34.15,33.56,36.87
2024-11-18,ASML,33.11,33.96,36.75
2024-11-19,ASML,34.1,33.99,37.08
2024-11-20,ASML,35.96,34.8,38.18
2024-11-21,ASML,33.75,34.28,37.44
2024-11-22,ASML,32.29,32,36.59
2024-11-25,ASML,30.68,32.48,36.49
2024-11-26,ASML,30.28,32.73,36.76
2024-11-27,ASML,31.04,33.37,36.89
2024-11-29,ASML,28.24,31.71,35.74
2024-12-02,ASML,31.23,34.18,37.26
2024-12-03,ASML,31.61,34.66,37.29
2024-12-04,ASML,30.16,34.41,37.42
2024-12-05,ASML,29.66,34.25,37.63
2024-12-06,ASML,29.17,34.27,38.51
2024-12-09,ASML,30.96,36.08,37.33
2024-12-10,ASML,31.23,35.77,38.16
2024-12-11,ASML,30,35.35,37.63
2024-12-12,ASML,30.32,38.09,37.1
2024-12-13,ASML,30.1,38.43,37.81
2024-12-16,ASML,31.67,38.91,38.3
2024-12-17,ASML,33.24,39.94,39.07
2024-12-18,ASML,37.05,41.75,40.73
2024-12-19,ASML,35.17,41.06,40.75
2024-12-20,ASML,33.29,40.05,39.03
2024-12-23,ASML,31.84,37.95,37.84
2024-12-24,ASML,30.24,37.68,38.03
2024-12-26,ASML,29.72,37.01,37.88
2024-12-27,ASML,32.41,38.36,38.4
2024-12-30,ASML,37.76,37.72,38.29
2024-12-31,ASML,38.59,37.72,38.25
2025-01-02,ASML,42.87,39.35,39.05
2025-01-03,ASML,42.13,38.48,38.42
2025-01-06,ASML,46.77,41.67,41.12
2025-01-07,ASML,45.33,40.86,40.54
2025-01-08,ASML,44.24,40.43,40.29
2025-01-10,ASML,44.77,40.87,40.83
2025-01-13,ASML,46.03,41.28,41.47
2025-01-14,ASML,46.16,41.03,41.23
2025-01-15,ASML,43.92,39.21,39.99
2025-01-16,ASML,43.52,39.24,40.05
2025-01-17,ASML,42.29,37.87,39.01
2025-01-21,ASML,41.71,38.07,39.09
2025-01-22,ASML,42.91,38.84,39.69
2025-01-23,ASML,43.07,39.34,39.76
2025-01-24,ASML,42.47,39.49,39.68
2025-01-27,ASML,47.97,43.11,42.36
2025-01-28,ASML,46.48,41.96,41.31
2025-01-29,ASML,38.19,37.27,37.98
2025-01-30,ASML,36.57,36.5,37.47
2025-01-31,ASML,36.75,36.81,37.52
2025-02-03,ASML,36.99,37.2,37.61
2025-02-04,ASML,35.09,36.4,36.88
2025-02-05,ASML,34.11,35.66,36.1
2025-02-06,ASML,33.57,34.82,35.89
2025-02-07,ASML,34.74,35.89,36.69
2025-02-10,ASML,33,35.31,35.64
2025-02-11,ASML,32.26,35.17,35.46
2025-02-12,ASML,32.18,35.02,35.33
2025-02-13,ASML,31.95,34.89,35.38
2025-02-14,ASML,32.54,35.72,35.53
2025-02-18,ASML,33.19,37.13,35.9
2025-02-19,ASML,31.67,35.9,35.01
2025-02-20,ASML,31.3,35.92,34.98
2025-02-21,ASML,33.36,36.77,35.81
2025-02-24,ASML,33.66,36.9,35.61
2025-02-25,ASML,35.21,38.51,36.91
2025-02-26,ASML,35.88,38.97,37.08
2025-02-27,ASML,37.89,40.54,38.5
2025-02-28,ASML,36.28,40.04,38.25
2025-03-03,ASML,42.06,43.53,41.09
2025-03-04,ASML,40.37,42.46,40.4
2025-03-05,ASML,39.31,41.42,39.4
2025-03-06,ASML,41.84,43.35,41.28
2025-03-07,ASML,39.8,42.19,40.18
2025-03-10,ASML,46.43,46.75,43.96
2025-03-11,ASML,44.2,45.2,42.67
2025-03-12,ASML,41.19,42.99,40.94
2025-03-13,ASML,41.56,43.43,40.92
2025-03-14,ASML,39.14,41.06,39.31
2025-03-17,ASML,41.77,40.21,38.3
2025-03-18,ASML,43.75,40.57,38.95
2025-03-19,ASML,42.68,38.42,37.06
2025-03-20,ASML,42.72,38.55,36.91
2025-03-21,ASML,41.68,38.18,36.85
