ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
AVGO,2009-08-28,47.07,1.0738,1.25937,0.1006,0.1658,38.5,0,6.06,21.7,0
AVGO,2009-08-31,50.68,1.42266,2.06918,0.0723,0.1175,44.27,0,7.99,23.61,0
AVGO,2009-09-01,48.98,1.62723,2.48024,0.0568,0.094,41.96,0,8.59,24.12,0
AVGO,2009-09-02,50.69,1.76874,2.78324,0.0351,0.0566,52.78,0,9.19,24.59,0
AVGO,2009-09-03,49.54,1.87628,2.91484,0.0044,0.006,51.15,0,9.79,25.11,0
AVGO,2009-09-04,46.8,1.87561,2.97718,0,0,51.62,0,10.17,25.06,0
AVGO,2009-09-08,46.13,2.2462,3.07143,0.0068,0.0103,49.6,0,12.62,27.25,0
AVGO,2009-09-09,44.72,1.82802,2.48437,0,0,47.57,0,13.12,27.56,0
AVGO,2009-09-10,46.31,1.77787,2.41615,0.0156,0.0223,47.03,0,13.81,28.27,0
AVGO,2009-09-11,46.63,1.9205,2.5513,0.028,0.0329,45.78,0,14.28,28.51,0
AVGO,2009-09-14,45.85,1.35051,2.83388,0.0113,0.017,45.75,0,16.14,30.18,0
AVGO,2009-09-15,49.93,1.52756,2.14171,0.0062,0.0072,45.1,0,17.63,32.31,0
AVGO,2009-09-16,50.18,2.04708,2.86231,0,0,45.49,0,18.1,32.57,0
AVGO,2009-09-17,46.94,1.8267,2.05225,0,0,45.22,0,18.58,32.84,0
AVGO,2009-09-18,47.06,1.55479,2.06273,0.0725,0.0945,49.48,0.75,19.18,33.32,0
AVGO,2009-09-21,46.38,1.86985,2.10857,0.107,0.1132,49.8,0,0,25.06,0
AVGO,2009-09-22,46.54,1.34504,2.21791,0.0532,0.0028,49.84,45.13,44.44,44.55,0
AVGO,2009-09-23,47.17,1.1581,2.27823,0,0,49.71,45.03,45.2,44.75,0
AVGO,2009-09-24,46.95,1.73473,2.86761,0.0004,0.0471,48.85,45.63,44.62,44.73,0
AVGO,2009-09-25,45.86,1.68187,2.44013,0,0.0261,49.99,43.86,44.23,44.12,0
AVGO,2009-09-28,46.07,1.5037,2.6563,0.0026,0.1421,49.65,44.62,44.5,44.73,0
AVGO,2009-09-29,46.35,1.98361,2.4957,0,0,49.6,45.24,44.97,44.68,0
AVGO,2009-09-30,46.62,0.422527,2.4585,0,0,50.79,45.44,45.47,45.17,0
AVGO,2009-10-01,46.71,0.410166,2.53692,0,0,47.51,44.64,46.34,45.31,0
AVGO,2009-10-02,46.88,0.538801,2.47503,0.0001,0.0315,48.88,47.58,46.05,45.16,0
AVGO,2009-10-05,46.96,2.12421,2.40049,0.0055,0.0554,47.82,46.15,46.11,45.21,0
AVGO,2009-10-06,46.61,-0.249193,1.98867,0,0,48.07,41.15,45.95,45.02,0
AVGO,2009-10-07,47.28,1.79778,2.30989,0,0,48.68,43.28,46.58,45.43,0
AVGO,2009-10-08,47.41,1.68813,2.26734,0,0,48.82,43.38,46.54,45.18,0
AVGO,2009-10-09,46.71,0.595569,2.03637,0,0,48.47,44.01,46.11,45.38,0
AVGO,2009-10-12,45.84,3.67717,2.55686,0,0,47.97,45.74,44.99,43.95,0
AVGO,2009-10-13,45.44,1.97163,2.37182,0,0,47.6,45.44,44.91,44.29,0
AVGO,2009-10-14,45.41,3.2695,2.76932,0,0,46.81,45.41,44.83,44.19,0
AVGO,2009-10-15,47.52,-0.555337,1.44122,0.1544,0.0411,46.46,47.52,46.67,45.79,0
AVGO,2009-10-16,43.45,0.634319,1.62027,0.0036,0.0261,43.06,43.45,43.35,43.24,0
