ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
BAC,2007-01-03,13.45,3.22428,4.03254,0.0004,0.0935,18.11,15.24,15.63,15.37,4.4
BAC,2007-01-04,13.32,3.11147,3.93812,0.0003,0.0859,18.24,14.69,14.9,15.09,4.3
BAC,2007-01-05,12.78,2.89946,4.11301,0.0004,0.1,17.98,15.89,16.13,15.77,4.4
BAC,2007-01-08,13.17,4.34798,4.1432,0.0003,0.0919,18.06,15.49,15.31,15.28,4.4
BAC,2007-01-09,10.62,4.39542,4.07611,0.0004,0.0798,18.31,14.41,14.89,15.13,4.3
BAC,2007-01-10,10.95,4.54031,3.97394,0.0004,0.1004,18.44,14.8,15.03,14.99,4.3
BAC,2007-01-11,10,3.83365,3.95989,0.0005,0.0916,17.72,14.26,14.65,14.96,4.4
BAC,2007-01-12,9.79,4.15457,4.08201,0.0005,0.0891,12.07,14.05,14.47,14.69,4.4
BAC,2007-01-16,10.16,3.62896,3.88481,0.0005,0.112,11.88,14.58,14.74,14.87,4.4
BAC,2007-01-17,11.6,3.86895,4.02928,0.0004,0.0891,11.72,14.26,14.47,14.64,4.4
BAC,2007-01-18,9.71,2.87666,4.11902,0.0004,0.1001,11.54,13.93,14.23,14.47,4.4
BAC,2007-01-19,9.47,3.72939,6.71222,0.0007,0.2423,11.35,13.46,13.4,13.37,4.2
BAC,2007-01-22,12.5,3.48269,4.04757,0.0007,0.1116,11.33,14.18,13.68,13.64,4.3
BAC,2007-01-23,10.49,3.97734,4.23748,0.0009,0.1033,11.35,11.79,12.42,12.43,4.3
BAC,2007-01-24,10.78,3.04181,3.81146,0.0013,0.1198,11.59,12.04,12.41,12.75,4.3
BAC,2007-01-25,12.79,2.13149,3.84178,0.0332,0.0774,11.94,13.85,14.46,14.33,4.4
BAC,2007-01-26,13.7,4.0867,4.11589,0.0009,0.0855,12.62,15.95,15.28,14.63,4.4
BAC,2007-01-29,14.92,4.29035,4.11447,0.0005,0.0617,13.14,16.07,15.36,15.35,4.5
BAC,2007-01-30,13.32,3.23736,3.9023,0.0003,0.0752,13.68,14.31,14.29,14.39,4.4
BAC,2007-01-31,12.67,3.46415,4.05336,0.0002,0.0568,14.18,13.22,13.9,13.87,4.4
BAC,2007-02-01,12.79,4.24275,4.11156,0.0422,0.1109,14.63,13.19,13.77,13.95,4.4
BAC,2007-02-02,12.32,2.42907,4.11027,0.0015,0.1059,13.94,12.45,13.48,13.55,4.4
BAC,2007-02-05,12.26,0.0875242,4.18821,0.0018,0.1072,13.58,12.92,13.4,13.53,4.4
BAC,2007-02-06,11.16,3.45873,4.14138,0.0041,0.1141,13.64,12.36,12.9,13.28,4.4
BAC,2007-02-07,10.87,3.94267,4.08354,0.0041,0.1104,13.46,11.73,12.43,13.01,4.3
BAC,2007-02-08,11.39,3.19159,4.21372,0.0039,0.1074,13.18,12.68,13.01,13.13,4.3
