tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,BBY,27,25.22,26.76
2024-06-04,BBY,25.97,25.07,26.96
2024-06-05,BBY,25.22,24.77,26.96
2024-06-06,BBY,23.96,24.37,27.1
2024-06-07,BBY,23.25,24.28,26.86
2024-06-10,BBY,23.76,24.46,27.23
2024-06-11,BBY,23.44,24.38,26.99
2024-06-12,BBY,23.46,23.59,26.7
2024-06-13,BBY,21.39,25.72,27.09
2024-06-14,BBY,22.12,23.69,27.1
2024-06-17,BBY,23.27,24.3,28.04
2024-06-18,BBY,23.05,24.57,28.44
2024-06-20,BBY,21.92,24.63,28.79
2024-06-21,BBY,22.45,24.34,28.03
2024-06-24,BBY,22.69,24.46,29.92
2024-06-25,BBY,22.85,24.74,29.25
2024-06-26,BBY,23.75,25.78,29.76
2024-06-27,BBY,23.95,25.19,29.35
2024-06-28,BBY,22.96,25.75,29.47
2024-07-01,BBY,24.18,26.45,30.35
2024-07-02,BBY,24,26.74,30.34
2024-07-03,BBY,24.44,26.98,30.35
2024-07-05,BBY,25.16,26.82,30.2
2024-07-08,BBY,24.93,28.68,31.39
2024-07-09,BBY,25.82,28.76,31.18
2024-07-10,BBY,25.5,29.34,31.75
2024-07-11,BBY,25.5,29.66,30.98
2024-07-12,BBY,25.16,29.58,31.26
2024-07-15,BBY,25.82,31.44,31.88
2024-07-16,BBY,25.05,31.42,30.61
2024-07-17,BBY,25.96,32.45,31.04
2024-07-18,BBY,24.81,32.23,30.89
2024-07-19,BBY,26.69,32.66,31.11
2024-07-22,BBY,27.01,32.57,31.05
2024-07-23,BBY,26.75,32.84,30.72
2024-07-24,BBY,27.73,33.67,31.59
2024-07-25,BBY,28.22,33.71,31.67
2024-07-26,BBY,27.5,32.79,31.45
2024-07-29,BBY,33.65,33.9,31.52
2024-07-30,BBY,34.74,34.15,31.85
2024-07-31,BBY,36.84,33.11,31.24
2024-08-01,BBY,39.52,34.07,32.33
2024-08-02,BBY,42.67,38.21,35.85
2024-08-05,BBY,49.11,42.46,40.24
2024-08-06,BBY,43.53,38.53,36.71
2024-08-07,BBY,44.05,39.29,37.76
2024-08-08,BBY,42.71,37.81,36.63
2024-08-09,BBY,40.81,37.02,35.7
2024-08-12,BBY,43.17,38.28,36.83
2024-08-13,BBY,41.54,36.82,36.07
2024-08-14,BBY,41.19,36.52,35.58
2024-08-15,BBY,38.62,34.27,32.56
2024-08-16,BBY,40,35.04,32.96
2024-08-19,BBY,40.53,33.78,32.89
2024-08-20,BBY,42.11,34.66,33.21
2024-08-21,BBY,41.38,34.35,32.87
2024-08-22,BBY,43.91,35.54,33.74
2024-08-23,BBY,42.31,34.5,32.95
2024-08-26,BBY,42.47,35.05,34.23
2024-08-27,BBY,41.02,34.37,33.31
2024-08-28,BBY,40.76,33.59,33.07
2024-08-29,BBY,25.63,26.06,28.34
2024-08-30,BBY,24.42,24.42,27.34
2024-09-03,BBY,26.73,26.92,29.63
2024-09-04,BBY,26.21,26.97,29.91
2024-09-05,BBY,26.21,26.8,29.49
2024-09-06,BBY,26.84,27.7,31.01
2024-09-09,BBY,26.36,27.33,30.79
2024-09-10,BBY,26.53,27.21,30.87
2024-09-11,BBY,25.6,26.88,31.12
2024-09-12,BBY,25.72,26.58,30.79
2024-09-13,BBY,24.67,25.93,30.49
2024-09-16,BBY,25.1,26.51,30.8
2024-09-17,BBY,24.93,26.44,30.63
2024-09-18,BBY,24.65,26.46,30.47
2024-09-19,BBY,22.42,24.73,30.7
2024-09-20,BBY,22.14,25.42,29.9
2024-09-23,BBY,22.6,26.4,30.68
2024-09-24,BBY,22.37,26.25,30.17
2024-09-25,BBY,23.09,26.66,30.45
2024-09-26,BBY,22.87,27.25,30.82
2024-09-27,BBY,23.42,28.24,31.5
2024-09-30,BBY,24.41,28.79,31.46
