tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,BKR,25.04,24.64,25.41
2024-06-04,BKR,24.82,24.45,25.13
2024-06-05,BKR,24,23.54,24.38
2024-06-06,BKR,23.73,23.96,24.62
2024-06-07,BKR,22.82,22.92,23.04
2024-06-10,BKR,22.57,22.8,22.8
2024-06-11,BKR,23.25,23.97,24.92
2024-06-12,BKR,22.39,23.19,23.95
2024-06-13,BKR,22.59,23.33,23.33
2024-06-14,BKR,22.62,23.12,23.43
2024-06-17,BKR,23.36,24.33,25.03
2024-06-18,BKR,22.95,24.06,24.99
2024-06-20,BKR,23.53,31.61,28.9
2024-06-21,BKR,23.07,26.82,26.23
2024-06-24,BKR,22.38,25.02,25.02
2024-06-25,BKR,22.9,25.49,25.63
2024-06-26,BKR,22.68,25.1,25.51
2024-06-27,BKR,22.71,25.64,25.23
2024-06-28,BKR,22.81,24.66,25.14
2024-07-01,BKR,23.01,24.49,25.42
2024-07-02,BKR,25.2,28.49,25.82
2024-07-03,BKR,23.32,24.84,25.08
2024-07-05,BKR,23.22,25.06,25.42
2024-07-08,BKR,25.81,26.27,25.59
2024-07-09,BKR,23.57,24.34,25.46
2024-07-10,BKR,24.35,25.08,25.82
2024-07-11,BKR,23.24,24.33,25.25
2024-07-12,BKR,24,24.31,24.31
2024-07-15,BKR,27.07,26.28,25.58
2024-07-16,BKR,24.79,24.44,24.16
2024-07-17,BKR,24.98,25.14,25.28
2024-07-18,BKR,25.48,25.42,25.66
2024-07-19,BKR,26.69,24.86,26
2024-07-22,BKR,26.59,25.6,26.35
2024-07-23,BKR,26.03,24.81,25.65
2024-07-24,BKR,29.1,26.9,27.12
2024-07-25,BKR,30.01,27.11,26.37
2024-07-26,BKR,23.63,23.17,25.08
2024-07-29,BKR,23.71,22.85,24.43
2024-07-30,BKR,22.64,23.7,24.2
2024-07-31,BKR,21.6,22.51,24.3
2024-08-01,BKR,22.09,22.83,24.43
2024-08-02,BKR,28.92,27.59,27.83
2024-08-05,BKR,39.42,34.7,32.19
2024-08-06,BKR,33.48,31.2,30.92
2024-08-07,BKR,32.07,30.58,30.77
2024-08-08,BKR,30.35,29.45,29.54
2024-08-09,BKR,28.8,28.37,28.58
2024-08-12,BKR,27.98,27.69,28.44
2024-08-13,BKR,25.4,27.04,27.9
2024-08-14,BKR,23.73,26.63,27.62
2024-08-15,BKR,21.13,22.62,24.18
2024-08-16,BKR,21.93,24.84,25.7
2024-08-19,BKR,20.53,24.1,25.01
2024-08-20,BKR,21.36,24.73,25.57
2024-08-21,BKR,21.04,24.39,25.36
2024-08-22,BKR,22,24.89,25.65
2024-08-23,BKR,21.58,24.28,25.54
2024-08-26,BKR,21.77,24.12,24.94
2024-08-27,BKR,22.67,24.67,25.4
2024-08-28,BKR,22.56,25.37,26.11
2024-08-29,BKR,22.17,22.8,24.62
2024-08-30,BKR,22.39,24.79,25.88
2024-09-03,BKR,25.92,26.83,27.63
2024-09-04,BKR,27.08,27.79,28
2024-09-05,BKR,27.27,27.19,27.43
2024-09-06,BKR,27.62,28.36,28.78
2024-09-09,BKR,26.28,26.5,27.31
2024-09-10,BKR,28.02,28.09,28.37
2024-09-11,BKR,26.52,26.89,27.56
2024-09-12,BKR,25.56,26.23,27.31
2024-09-13,BKR,25.26,26.04,26.86
2024-09-16,BKR,25,24.57,24.57
2024-09-17,BKR,24.88,25.7,26.38
2024-09-18,BKR,24.5,25.56,26.41
2024-09-19,BKR,24.29,28.78,27.63
2024-09-20,BKR,21.66,28.28,27.37
2024-09-23,BKR,23.85,27.53,26.8
2024-09-24,BKR,23.82,27.08,26.46
2024-09-25,BKR,24.87,27.89,27.13
2024-09-26,BKR,27.89,29.38,28.12
2024-09-27,BKR,27.49,29.61,28.65
2024-09-30,BKR,29.27,29.89,29.02
2024-10-01,BKR,29.63,30.38,28.98
2024-10-02,BKR,29.52,30.42,29.2
2024-10-03,BKR,31.28,31.4,29.99
2024-10-04,BKR,29.45,30.3,29.12
2024-10-07,BKR,31.06,30.69,29.43
2024-10-08,BKR,30.92,30.83,29.58
2024-10-09,BKR,30.57,30.32,29.3
2024-10-10,BKR,30.58,30.24,29.1
2024-10-11,BKR,30.32,30,28.68
2024-10-14,BKR,30.19,29.06,27.89
2024-10-15,BKR,32.46,30.25,28.4
2024-10-16,BKR,32.31,30.28,28.66
2024-10-17,BKR,32.43,29.64,28.15
2024-10-18,BKR,32.39,29.03,28.41
2024-10-21,BKR,32.45,29.12,27.85
2024-10-22,BKR,32.16,28.22,27.94
2024-10-23,BKR,29.57,27.28,26.88
2024-10-24,BKR,28.65,26.71,27.21
2024-10-25,BKR,28.94,26.98,27.05
2024-10-28,BKR,29.26,27.11,26.51
2024-10-29,BKR,29.73,27.59,27.41
2024-10-30,BKR,30.51,28.28,28.22
2024-10-31,BKR,31.34,29.08,29.12
2024-11-01,BKR,31.74,29.4,29.04
2024-11-04,BKR,32.38,29.07,28.38
2024-11-05,BKR,30.91,27.77,27.26
2024-11-06,BKR,26.92,25.26,25.38
2024-11-07,BKR,26.4,25.41,26.03
2024-11-08,BKR,24.5,23.95,25.05
2024-11-11,BKR,26.55,25.38,25.39
2024-11-12,BKR,24.63,24.85,25.83
2024-11-13,BKR,24.94,25.2,26.07
2024-11-14,BKR,24.2,24.82,26.28
2024-11-15,BKR,25.32,24.82,26.77
2024-11-18,BKR,24.06,24.56,26.07
2024-11-19,BKR,24.58,24.3,26.03
2024-11-20,BKR,25.89,26,27.21
2024-11-21,BKR,25.45,26.09,27.15
2024-11-22,BKR,25.09,25.46,26.99
2024-11-25,BKR,24.12,24.56,26.81
2024-11-26,BKR,22.91,25.24,26.79
2024-11-27,BKR,24.23,25.75,27.07
2024-11-29,BKR,25.25,25.89,27.59
2024-12-02,BKR,24.69,26.16,27.86
2024-12-03,BKR,25.27,26.21,27.73
2024-12-04,BKR,26.04,25.99,27.02
2024-12-05,BKR,25.21,25.68,26.92
2024-12-06,BKR,25.78,26.7,27.93
2024-12-09,BKR,26.42,27.49,28.39
2024-12-10,BKR,25.56,27.6,28.64
2024-12-11,BKR,26.64,27.77,28.53
2024-12-12,BKR,26.5,27.93,28.68
2024-12-13,BKR,25.46,27.09,27.93
2024-12-16,BKR,25.92,27.71,28.63
2024-12-17,BKR,26.31,28.37,28.8
2024-12-18,BKR,28.81,30.81,30.42
2024-12-19,BKR,28.55,30.91,30.74
2024-12-20,BKR,26.83,28.96,29.12
