tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,BRK_B,14.44,14.92,15.18
2024-06-04,BRK_B,13.4,14.04,14.2
2024-06-05,BRK_B,13.33,13.68,14.13
2024-06-06,BRK_B,13.37,13.92,13.99
2024-06-07,BRK_B,12.21,13.42,13.68
2024-06-10,BRK_B,13.01,13.91,13.92
2024-06-11,BRK_B,12.66,13.33,13.76
2024-06-12,BRK_B,12.4,13.72,13.94
2024-06-13,BRK_B,13.33,14.1,14.04
2024-06-14,BRK_B,12.94,14.13,14.23
2024-06-17,BRK_B,12.32,13.96,13.87
2024-06-18,BRK_B,12.56,12.6,13.49
2024-06-20,BRK_B,12.89,14.02,14.05
2024-06-21,BRK_B,12.01,13.57,13.27
2024-06-24,BRK_B,12.1,13.26,13.25
2024-06-25,BRK_B,11.49,13.2,13.14
2024-06-26,BRK_B,11.82,13.32,13.18
2024-06-27,BRK_B,11.78,13.09,13.2
2024-06-28,BRK_B,11.75,13.38,13
2024-07-01,BRK_B,11.82,13.37,13.51
2024-07-02,BRK_B,11.82,13.07,13.42
2024-07-03,BRK_B,11.78,13.82,13.38
2024-07-05,BRK_B,11.93,13.45,13.08
2024-07-08,BRK_B,12.08,13.45,13.32
2024-07-09,BRK_B,12.39,13.64,13.31
2024-07-10,BRK_B,13.36,13.58,13.79
2024-07-11,BRK_B,14.08,13.93,13.7
2024-07-12,BRK_B,14.06,13.64,13.18
2024-07-15,BRK_B,14.61,14.34,13.91
2024-07-16,BRK_B,15.21,14.7,14.54
2024-07-17,BRK_B,17.13,15.88,15.08
2024-07-18,BRK_B,16.91,16.01,15.92
2024-07-19,BRK_B,15.87,15.53,15.58
2024-07-22,BRK_B,15.39,15.11,15.03
2024-07-23,BRK_B,15.46,15.01,14.93
2024-07-24,BRK_B,16.18,16.13,16.44
2024-07-25,BRK_B,16.39,15.83,16.28
2024-07-26,BRK_B,16.33,15.75,16.14
2024-07-29,BRK_B,16.81,16.1,16.35
2024-07-30,BRK_B,16.97,16.71,16.93
2024-07-31,BRK_B,16.68,16.25,15.95
2024-08-01,BRK_B,18.08,17.63,17.9
2024-08-02,BRK_B,20.77,19.47,19.41
2024-08-05,BRK_B,23.97,23,22.81
2024-08-06,BRK_B,17.13,17.77,17.29
2024-08-07,BRK_B,17.55,18.8,19.07
2024-08-08,BRK_B,16.43,17,17.25
2024-08-09,BRK_B,15.6,16.15,16.88
2024-08-12,BRK_B,15.81,15.68,16.63
2024-08-13,BRK_B,15.2,14.91,16.32
2024-08-14,BRK_B,13.27,13.74,14.81
2024-08-15,BRK_B,12.46,12.37,14.15
2024-08-16,BRK_B,12.16,13.25,14.48
2024-08-19,BRK_B,12.3,12.39,14.25
2024-08-20,BRK_B,12.85,12.78,14.64
2024-08-21,BRK_B,12.98,13.99,14.74
2024-08-22,BRK_B,13.72,14.25,15.44
2024-08-23,BRK_B,13.07,12.92,14.8
2024-08-26,BRK_B,12.93,13.98,14.93
2024-08-27,BRK_B,12.74,13.92,14.84
2024-08-28,BRK_B,14.19,15.13,16.08
2024-08-29,BRK_B,13.97,14.68,15.82
2024-08-30,BRK_B,13.16,14.42,15.22
2024-09-03,BRK_B,16.37,17.33,17.56
2024-09-04,BRK_B,16.66,17.04,17.66
2024-09-05,BRK_B,15.71,16.78,17.31
2024-09-06,BRK_B,16.9,17.48,17.82
2024-09-09,BRK_B,16.47,16.85,17.18
2024-09-10,BRK_B,15.95,16.97,16.79
2024-09-11,BRK_B,16.6,16.99,16.85
2024-09-12,BRK_B,15.71,16.58,16.71
2024-09-13,BRK_B,15.37,16.15,16.27
2024-09-16,BRK_B,15.1,15.82,16.26
2024-09-17,BRK_B,15.24,16.48,16.56
2024-09-18,BRK_B,15.6,17.25,16.5
2024-09-19,BRK_B,13.72,15.83,15.57
2024-09-20,BRK_B,14.11,16.17,15.48
2024-09-23,BRK_B,14.38,15.45,15.18
2024-09-24,BRK_B,13.88,15.89,15.43
2024-09-25,BRK_B,14.5,16.17,15.67
2024-09-26,BRK_B,14.39,16.65,15.91
2024-09-27,BRK_B,14.65,16.58,16.05
2024-09-30,BRK_B,14.14,16.16,15.85
2024-10-01,BRK_B,15.33,17.4,16.39
2024-10-02,BRK_B,15.19,17.11,16.63
2024-10-03,BRK_B,16.27,18.02,17.43
2024-10-04,BRK_B,14.5,17.38,16.75
2024-10-07,BRK_B,18.95,18.67,17.86
2024-10-08,BRK_B,18.66,17.72,16.87
2024-10-09,BRK_B,18.12,17.41,16.71
2024-10-10,BRK_B,19.57,17.71,16.62
2024-10-11,BRK_B,18.61,16.79,16.21
2024-10-14,BRK_B,19.07,17.06,16.47
2024-10-15,BRK_B,18.86,17.13,16.38
2024-10-16,BRK_B,17.95,16.88,16.35
2024-10-17,BRK_B,17.98,16.79,15.94
2024-10-18,BRK_B,17.01,16.27,15.57
2024-10-21,BRK_B,17.84,16.87,15.8
2024-10-22,BRK_B,18.07,17.21,16.21
2024-10-23,BRK_B,18.61,17.54,16.32
2024-10-24,BRK_B,19.16,17.65,16.83
2024-10-25,BRK_B,19.09,17.6,17.41
2024-10-28,BRK_B,18.87,17.36,16.52
2024-10-29,BRK_B,18.5,17.55,16.93
2024-10-30,BRK_B,18.72,17.48,17.26
2024-10-31,BRK_B,19.97,18.74,17.84
2024-11-01,BRK_B,20.08,18.71,17.73
2024-11-04,BRK_B,19.05,18.38,18
2024-11-05,BRK_B,17.47,17.07,16.79
2024-11-06,BRK_B,14.53,14.58,14.74
2024-11-07,BRK_B,14.03,14.74,14.49
2024-11-08,BRK_B,13.43,13.97,13.98
2024-11-11,BRK_B,13.81,14.18,14.44
2024-11-12,BRK_B,14.7,14.28,14.53
2024-11-13,BRK_B,13.79,14.41,14.64
2024-11-14,BRK_B,14.26,14.14,14.51
2024-11-15,BRK_B,13.9,14.15,14.36
2024-11-18,BRK_B,13.59,13.37,14.08
2024-11-19,BRK_B,13.99,13.18,14.39
2024-11-20,BRK_B,14.07,14.29,14.42
2024-11-21,BRK_B,14.26,14.56,14.78
2024-11-22,BRK_B,13.42,13.45,13.97
2024-11-25,BRK_B,12.93,13.8,14.05
2024-11-26,BRK_B,12.4,12.95,13.64
2024-11-27,BRK_B,13.68,13.06,14.21
2024-11-29,BRK_B,12.81,13.08,13.85
2024-12-02,BRK_B,13.48,13.61,14.17
2024-12-03,BRK_B,13.4,13.98,14.58
2024-12-04,BRK_B,13.24,14.1,14.9
2024-12-05,BRK_B,13.28,14.3,14.69
2024-12-06,BRK_B,13.3,14.31,14.77
2024-12-09,BRK_B,14.15,15.02,15.21
2024-12-10,BRK_B,14.35,15.04,15.4
2024-12-11,BRK_B,14.35,14.86,15.54
2024-12-12,BRK_B,14.19,15.37,15.94
2024-12-13,BRK_B,13.53,15.18,15.8
2024-12-16,BRK_B,14.47,15.4,16.56
2024-12-17,BRK_B,14.52,15.76,16.02
2024-12-18,BRK_B,17.5,17.16,17.62
2024-12-19,BRK_B,16.73,17.57,17.99
2024-12-20,BRK_B,15.31,15.79,16.7
2024-12-23,BRK_B,14.53,15.6,16.2
2024-12-24,BRK_B,13.58,14.9,15.54
2025-01-07,BRK_B,14.96,15.87,16.42
2025-01-08,BRK_B,15.07,16.21,16.42
2025-01-10,BRK_B,16.78,17.28,17.47
2025-01-13,BRK_B,16.65,17.2,17.28
2025-01-14,BRK_B,15.92,16.56,16.58
2025-01-15,BRK_B,13.74,15.28,15.68
2025-01-16,BRK_B,13.75,15.23,15.04
2025-01-17,BRK_B,13.57,14.8,15
2025-01-21,BRK_B,13.38,14.6,14.75
2025-01-22,BRK_B,13.86,15.31,15.29
2025-01-23,BRK_B,13.76,15.22,15.26
2025-01-24,BRK_B,13.73,15.3,15.25
2025-01-27,BRK_B,14.51,15.3,15.18
2025-01-28,BRK_B,15.01,15.38,15.09
2025-01-29,BRK_B,15.99,15.91,15.66
2025-01-30,BRK_B,15.85,15.51,15.5
2025-01-31,BRK_B,15.87,15.9,15.71
2025-02-03,BRK_B,17.08,16.67,16.36
2025-02-04,BRK_B,16.55,16.62,16.28
2025-02-05,BRK_B,16.73,16.06,15.82
2025-02-06,BRK_B,16.34,16.1,15.7
2025-02-07,BRK_B,16.63,16.42,16.17
2025-02-10,BRK_B,16.88,16.41,16.25
2025-02-11,BRK_B,16.43,16.11,16.05
2025-02-12,BRK_B,16.75,16.32,16.41
2025-02-13,BRK_B,15.97,15.88,15.59
2025-02-14,BRK_B,15.76,15.87,15.9
2025-02-18,BRK_B,16.35,16.03,16.07
2025-02-19,BRK_B,15.75,15.56,15.81
2025-02-20,BRK_B,15.69,15.78,16.18
2025-02-21,BRK_B,16.66,16.33,16.54
2025-02-24,BRK_B,15.62,15.63,15.7
2025-02-25,BRK_B,16.56,16.28,16.54
2025-02-26,BRK_B,16.59,16.46,16.47
2025-02-27,BRK_B,17.43,17.05,17.25
2025-02-28,BRK_B,16.65,17.09,17.27
2025-03-03,BRK_B,18.57,18.29,18.2
2025-03-04,BRK_B,18.81,18.72,18.5
2025-03-05,BRK_B,18.47,18.58,18.57
2025-03-06,BRK_B,19.84,19.17,19.27
2025-03-07,BRK_B,18.78,18.92,18.8
2025-03-10,BRK_B,21.3,20.47,20.18
2025-03-11,BRK_B,20.47,20.04,19.69
2025-03-12,BRK_B,19.5,19.43,18.99
2025-03-13,BRK_B,19.45,19.57,19.03
2025-03-14,BRK_B,17.75,18.58,18.18
2025-03-17,BRK_B,17.2,18.16,17.71
2025-03-18,BRK_B,18.58,19.15,18.56
2025-03-19,BRK_B,16.57,17.73,17.36
2025-03-20,BRK_B,16.55,17.57,17.26
2025-03-21,BRK_B,16.24,17.4,17.08
2025-03-24,BRK_B,15.03,16.35,16.25
2025-03-25,BRK_B,14.58,16.09,16.09
2025-03-26,BRK_B,15.17,16.75,16.6
2025-03-27,BRK_B,14.99,16.91,16.66
2025-03-28,BRK_B,16.71,18.37,18.11
2025-03-31,BRK_B,16.76,18.26,17.94
2025-04-01,BRK_B,17.16,18.58,18.16
2025-04-02,BRK_B,16.64,18.07,17.92
2025-04-03,BRK_B,21.09,21.18,20.77
2025-04-04,BRK_B,32.02,29.77,26.76
2025-04-07,BRK_B,36.81,31.53,29.02
2025-04-08,BRK_B,40.89,34.81,31.73
2025-04-09,BRK_B,25.84,23.48,22.28
2025-04-10,BRK_B,34.69,29.77,27.5
2025-04-11,BRK_B,28.64,26.16,24.72
2025-04-14,BRK_B,24.64,22.78,22.1
2025-04-15,BRK_B,23.42,21.91,21.48
2025-04-16,BRK_B,26.97,24.59,23.52
2025-04-17,BRK_B,23.73,22.55,21.91
2025-04-21,BRK_B,28.14,26.13,25.22
2025-04-22,BRK_B,25.52,23.94,23.48
2025-04-23,BRK_B,24,22.7,22.24
2025-04-24,BRK_B,22.27,21.44,21.12
2025-04-25,BRK_B,21.78,21.48,21.32
2025-04-28,BRK_B,21.72,21.49,21.23
2025-04-29,BRK_B,20.84,20.7,20.67
2025-04-30,BRK_B,21.79,21.5,21.51
2025-05-01,BRK_B,20.34,20.55,20.62
2025-05-02,BRK_B,20.09,20.15,20.31
