ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
C,2007-01-03,14.63,1.63412,3.90089,0.0231,0.1005,21.73,17.7,16.69,16.3,3.7
C,2007-01-04,16.07,1.25301,3.82851,0.0009,0.1053,22.32,17.66,16.88,17.04,3.8
C,2007-01-05,15.98,1.75456,3.89097,0.0003,0.094,22.58,17.5,17.05,17.03,3.8
C,2007-01-08,15.53,1.98532,3.84877,0.0029,0.0977,22.36,18.92,17.44,17.11,3.8
C,2007-01-09,15.81,2.09271,3.86452,0.0164,0.1057,22.53,19.01,17.38,17.2,3.8
C,2007-01-10,15.44,2.367,3.65169,0.0079,0.1123,22.86,18.97,17.87,17.63,3.8
C,2007-01-11,15.84,2.58987,3.69101,0.0049,0.0806,20.33,17.84,16.69,16.64,3.8
C,2007-01-12,14.05,2.13158,3.85721,0.0003,0.0826,19.58,17.22,16.54,16.38,3.8
C,2007-01-16,12.37,2.75926,3.88451,0.0172,0.094,19.39,16.53,15.81,15.72,3.8
C,2007-01-17,12.36,2.35981,3.77342,0.0092,0.082,19.41,16.63,15.78,15.73,3.8
C,2007-01-18,13.72,2.85165,4.94021,0.0002,0.2268,19.11,15.62,14.64,14.55,3.8
C,2007-01-19,12.73,2.50099,4.01521,0.0003,0.1101,18.57,14.12,13.55,13.83,3.8
C,2007-01-22,14.06,0.616,3.77204,0.0097,0.1033,17.45,14.28,14.42,14.52,3.9
C,2007-01-23,13.36,2.93541,3.87549,0.0006,0.1068,17.56,14.12,14.09,14.26,3.9
C,2007-01-24,12.94,2.70417,4.01671,0.0004,0.1019,17.58,14,13.68,14.15,3.9
C,2007-01-25,14.12,2.53045,3.96049,0.0003,0.0852,17.43,14.93,14.77,15.01,3.9
C,2007-01-26,13.96,2.32409,3.85902,0.0004,0.0984,18.06,13.7,14.29,14.6,3.9
C,2007-01-29,14.73,2.47343,3.86387,0.0004,0.0946,18.53,15.65,15.35,15.58,3.9
C,2007-01-30,14.59,2.6622,4.08662,0.0004,0.0935,17.21,14.28,14.91,15.12,3.9
