ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
CAT,2007-01-03,19.89,1.56942,1.47172,0.0001,0.0408,18.22,22.15,24.83,24.75,2.1
CAT,2007-01-04,20.64,1.16933,1.45204,0.0001,0.0276,17.32,23.57,25.92,25.56,2.1
CAT,2007-01-05,20.96,0.969357,1.34594,0.0001,0.0361,17.36,24.6,27.02,26.33,2.1
CAT,2007-01-08,21.35,1.1594,1.36863,0.0037,0.0335,17.35,24.77,26.11,25.78,2.1
CAT,2007-01-09,19.98,1.39123,1.39971,0.0338,0.0428,16.88,24.41,25.47,24.83,2.1
CAT,2007-01-10,20.34,1.40988,1.46469,0.0213,0.0262,16.61,24.41,25.24,24.66,2.1
CAT,2007-01-11,18.76,0.612467,1.31892,0.0676,0.0281,16.44,24.21,24.94,24.24,2.1
CAT,2007-01-12,18.84,1.50369,1.42179,0.0069,0.0381,16.27,24.72,25.16,24.36,2.1
CAT,2007-01-16,21.59,0.698682,1.25148,0.0416,0.039,15.14,27.48,26.05,24.85,2.1
CAT,2007-01-17,20.25,1.12089,1.23086,0.0015,0.0287,14.71,26.68,25.41,24.4,2.1
CAT,2007-01-18,19.43,0.872137,1.25334,0.0123,0.0243,15.25,26.24,24.94,23.94,2.1
CAT,2007-01-19,18.86,1.07324,1.20786,0,0.0188,15.07,25.2,24.31,23.63,2.1
CAT,2007-01-22,20.36,0.952761,1.23815,0.0256,0.0191,15.21,26.48,23.76,23.72,2.2
CAT,2007-01-23,18.2,1.74012,1.44602,0.038,0.0228,16.47,24.75,21.89,22.07,2.1
CAT,2007-01-24,20.02,0.834522,1.28787,0.0176,0.0159,17.6,25.45,22.93,22.76,2.1
CAT,2007-01-25,22.43,1.7466,1.52717,0.0501,0.0098,17.46,28.55,25.31,24.61,2.1
CAT,2007-01-26,18.18,1.33772,1.37867,0.029,0.0202,17.55,20.21,20.35,21.23,2.1
CAT,2007-01-29,19.94,2.15259,1.48735,0.0377,0.0153,18.4,19.76,20.5,21.16,2
CAT,2007-01-30,18.99,1.31507,1.39621,0.0782,0.0224,18.74,18.46,19.58,20.86,2
CAT,2007-01-31,18.52,1.24531,1.5684,0.0518,0.0291,19.49,18.34,19,20.28,2
CAT,2007-02-01,19.76,1.32041,1.42615,0.0423,0.0322,20.31,19.52,19.89,21.2,1.9
CAT,2007-02-02,19.27,0.794597,1.6353,0.0283,0.0422,19.93,18.84,19.63,20.93,1.9
CAT,2007-02-05,19.24,0.395224,1.62083,0.0809,0.0172,19.85,18.89,19.86,21.34,1.9
CAT,2007-02-06,19.57,1.15545,1.35105,0.0675,0.0147,19.79,19.01,20.05,21.38,1.9
CAT,2007-02-07,19.16,0.337369,1.44551,0.0061,0.0299,19.74,18.92,19.8,20.94,1.9
CAT,2007-02-08,18.75,0.608925,1.52904,0.0445,0.028,20.37,18.42,19.53,20.88,1.9
CAT,2007-02-09,18.83,0.619327,1.50646,0.0475,0.0379,20.5,18.21,19.61,20.85,1.9
CAT,2007-02-12,19.47,0.521872,1.44441,0.0777,0.0343,20.94,18.88,20.05,21.2,1.9
CAT,2007-02-13,19.34,0.675419,1.49172,0.0466,0.0345,20.99,18.33,19.95,21.29,1.9
CAT,2007-02-14,18.63,0.0804936,1.55884,0.0278,0.0442,20.91,18.02,19.48,20.65,1.9
CAT,2007-02-15,20.18,0.638938,1.56042,0.0461,0.0298,21.1,18.57,20.46,21.91,1.9
CAT,2007-02-16,19.42,0.472603,1.48332,0.0577,0.0398,21.77,18.38,19.98,21.2,1.9
CAT,2007-02-20,21.29,1.00398,1.64452,0.0653,0.0406,21.56,19.79,22.14,21.35,1.8
CAT,2007-02-21,22.02,1.13047,1.88864,0.0506,0.0406,20.61,20.68,23,21.74,1.8
CAT,2007-02-22,21.33,0.894357,1.88348,0.0551,0.0389,19.63,20.36,21.95,21.88,1.8
CAT,2007-02-23,22.41,0.950119,1.82741,0.041,0.0453,19.6,20.53,23.08,22.34,1.9
CAT,2007-02-26,22.43,0.943895,1.87065,0.0603,0.044,19.58,21.27,22.65,21.88,1.9
CAT,2007-02-27,26.85,1.07784,1.79987,0.0285,0.0397,18.74,26.46,26.57,24.96,1.9
CAT,2007-02-28,25.36,1.18519,1.76574,0.06,0.0389,21.61,24.84,25.27,24.15,1.9
CAT,2007-03-01,26.64,1.53082,1.67593,0.0399,0.0379,21.96,26.24,26.31,25.11,2
CAT,2007-03-02,26.03,1.55978,1.61984,0.0891,0.039,21.8,25.37,25.69,24.69,2
CAT,2007-03-05,27.45,1.45469,1.59954,0.0624,0.0393,22,27.45,27.07,26.19,2
CAT,2007-03-06,25.91,1.28928,1.69685,0.048,0.0421,22.38,25.4,25.46,24.8,2
CAT,2007-03-07,25.66,1.2131,1.58724,0.0394,0.0395,22.28,25.25,25.38,24.88,1.9
CAT,2007-03-08,25.43,1.234,1.60776,0.0576,0.0442,22.53,24.94,25.05,24.51,1.9
CAT,2007-03-09,24.97,1.24384,1.62319,0.0347,0.0396,22.04,24.5,24.36,23.8,1.9
CAT,2007-03-12,25.3,1.3512,1.6316,0.0338,0.0392,21.96,25.94,24.74,24.28,1.9
CAT,2007-03-13,26.87,1.32061,1.60672,0.0238,0.0306,21.78,27.43,26.15,25.38,2
CAT,2007-03-14,26.98,1.56744,1.64109,0.0296,0.0419,22.5,27.62,26.24,25.5,2
CAT,2007-03-15,26,1.64206,1.73748,0.0364,0.0411,22.7,27.15,25.03,24.5,2
CAT,2007-03-16,25.78,1.74426,1.81718,0.0465,0.0365,21.95,26.97,24.88,24.29,2
CAT,2007-03-19,24.4,1.96675,1.78031,0.0618,0.043,21.53,24.54,24.47,24.11,2
CAT,2007-03-20,22.37,1.7101,1.89823,0.0436,0.0418,21.85,23.28,22.14,22.31,1.9
CAT,2007-03-21,22.33,1.91338,2.02782,0.056,0.0431,22.07,22.95,22.39,22.32,1.9
CAT,2007-03-22,21.87,1.78086,1.90312,0.0407,0.0504,22.75,22.62,21.65,21.88,1.9
CAT,2007-03-23,22.02,1.85369,1.93727,0.0495,0.0481,22.67,23.47,21.79,21.95,1.9
