ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
CCI,2007-01-03,29.87,0.200869,2.99205,0.0003,0.0022,20.4,30.96,29.6,28.48,0
CCI,2007-01-04,28.75,1.56891,2.71236,0.0002,0.0057,23.38,30.29,28.52,27.53,0
CCI,2007-01-05,30.59,2.12131,3.22828,0.0003,0.0031,23.84,30.17,29.25,28.62,0
CCI,2007-01-08,30.23,2.92263,2.92233,0.0003,0.0218,23.97,31.1,29.32,28.22,0
CCI,2007-01-09,28.17,3.43125,3.15776,0.0005,0.0285,23.46,29.64,28.37,27.49,0
CCI,2007-01-10,28.88,0.304311,3.36533,0.0008,0.0518,25.22,28.24,28.01,27.27,0
CCI,2007-01-11,27.92,0.323994,3.30262,0.0008,0.0721,25.94,25.77,26.81,26.41,0
CCI,2007-01-12,27.22,0.381947,3.43291,0.0008,0.0702,26.19,25.09,25.72,25.72,0
CCI,2007-01-16,27.09,0.12416,3.14784,0.0008,0.0889,26.26,26.3,26.06,25.86,0
CCI,2007-01-17,27.85,0.250208,3.0691,0.001,0.0654,26.15,25.18,25.43,25.62,0
CCI,2007-01-18,27.86,0.0471009,3.08927,0.0012,0.0873,26.19,22.74,23.57,24.21,0
CCI,2007-01-19,25.4,0.217036,2.58923,0.0005,0.058,26.3,24.27,24.48,24.64,0
CCI,2007-01-22,25.08,0.181669,2.51023,0.0005,0.1001,32.09,23.51,24.61,24.62,0
CCI,2007-01-23,27.18,0.0306142,3.10973,0.0005,0.0689,32.23,24.13,24.69,24.59,0
CCI,2007-01-24,25.27,0.0141241,2.39107,0.0007,0.1066,32.64,23.54,24.84,24.38,0
CCI,2007-01-25,24.92,0.0275547,2.91046,0.0009,0.0968,32.64,23.48,24.48,23.94,0
CCI,2007-01-26,25.81,0.230651,1.94133,0.0008,0.1036,31.73,24.68,24.99,24.97,0
CCI,2007-01-29,26.97,0.0204516,3.24774,0.0005,0.0874,32.06,27.21,26.41,25.7,0
CCI,2007-01-30,26.79,0.198203,2.67701,0.0006,0.1057,32.68,27.77,26.41,25.67,0
CCI,2007-01-31,26.71,0.0249923,2.61905,0.0012,0.1221,32.69,27.56,25.91,25.48,0
CCI,2007-02-01,26.82,0.00567792,2.32042,0.0003,0.1144,32.79,27.88,26.77,25.98,0
CCI,2007-02-02,26.88,0.218143,2.16337,0.0012,0.1357,30.69,27.32,26.07,25.7,0
CCI,2007-02-05,25.52,0.0312663,2.38169,0.0016,0.1189,30.4,26.78,25.54,25.27,0
CCI,2007-02-06,26.4,0.0217069,2.89697,0.0006,0.0707,30.26,27.24,25.77,25.36,0
CCI,2007-02-07,24.45,0.041989,2.6762,0.001,0.0755,29.88,26.28,25.39,24.76,0
CCI,2007-02-08,25.51,0.0142505,1.44354,0.0019,0.1371,28.86,26.52,25.38,24.82,0
CCI,2007-02-09,22.86,0.0225677,2.19046,0.0008,0.0834,28.15,22.17,22.82,23.07,0
CCI,2007-02-12,23.88,0.0281932,2.85001,0.0012,0.1108,28.89,22.55,23.35,23.44,0
CCI,2007-02-13,23.24,0.048241,3.29234,0.0008,0.0644,28.91,23.36,23.49,23.51,0
CCI,2007-02-14,23.94,0.0279503,2.21319,0.0011,0.0823,28.79,23.54,23.4,23.46,0
CCI,2007-02-15,23.91,0.024871,1.99444,0.0015,0.1109,29.62,23.95,23.23,23.24,0
CCI,2007-02-16,23.06,0.0178975,2.12528,0.0014,0.1299,29.46,22.96,23.09,23.13,0
CCI,2007-02-20,23.73,0.0166585,2.39337,0.0009,0.1271,22.86,23.45,23.48,23.41,0
CCI,2007-02-21,22.88,0.0196992,2.34565,0.0005,0.0638,22.51,23.14,22.32,22.55,0
CCI,2007-02-22,22.69,0.0186074,2.5961,0.0006,0.0807,21.91,22.82,22.19,22.47,0
CCI,2007-02-23,22.34,0.0190083,2.62004,0.0008,0.1136,22,22.68,21.85,22.27,0
CCI,2007-02-26,22.48,0.0156614,2.34345,0.0009,0.1151,21.99,22.96,22.32,22.57,0
CCI,2007-02-27,26.67,0.0469461,4.72505,0,0,21.9,26.24,25.48,24.72,0
CCI,2007-02-28,24.54,3.83758,3.34363,0.0003,0.0176,25.16,25.12,23.97,24.08,0
CCI,2007-03-01,26.73,2.00654,3.11785,0.0003,0.0299,26.33,28.73,26.02,25.74,0
CCI,2007-03-02,26.84,0.0405862,2.76464,0.0004,0.0243,26.98,28.6,26.16,25.98,0
CCI,2007-03-05,27.88,0.0263908,2.50877,0.0008,0.0767,27.94,29.8,27.49,27.11,0
CCI,2007-03-06,28.24,0.0700054,3.05442,0.0007,0.0234,29.12,29.56,27.78,27.12,0
CCI,2007-03-07,27.96,0.0757296,2.95318,0.0008,0.0263,29.82,29.93,28.17,27.44,0
CCI,2007-03-08,26.98,2.81971,3.00784,0.0003,0.0276,29.99,23.88,26.82,26.46,0
CCI,2007-03-09,26.42,2.50444,3.20994,0.0001,0.0058,29.96,23.95,26.26,25.88,0
CCI,2007-03-12,24.27,0.0391224,3.59314,0.0004,0.0397,29.91,23.21,23.99,24.4,0
CCI,2007-03-13,26.67,3.311,3.35585,0.0004,0.0367,30.4,26.89,26.49,26.02,0
CCI,2007-03-14,27.29,3.23427,2.74072,0.0006,0.0601,30.75,27.45,27.17,26.87,0
CCI,2007-03-15,26.29,3.08373,3.04041,0.0004,0.0404,31.02,26.55,26.36,26.16,0
CCI,2007-03-16,27.28,0.0284644,2.87063,0.0006,0.0638,30.29,26.85,26.8,26.74,0
CCI,2007-03-19,26.79,0.199759,3.05225,0.0005,0.0586,30.53,26.63,25.96,25.88,0
CCI,2007-03-20,26.62,1.3449,2.97892,0.0003,0.0616,30.21,25.06,26.48,26.57,0
CCI,2007-03-21,24.19,0.0232675,3.22339,0.0004,0.061,30.25,23.68,26.64,25.92,0
