tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,CFG,32.49,31.56,30.76
2024-06-04,CFG,32.28,32.1,31.71
2024-06-05,CFG,31.37,31.31,31.05
2024-06-06,CFG,31.68,31.76,31.26
2024-06-07,CFG,29.98,32.08,31.71
2024-06-10,CFG,31.54,31.21,30.44
2024-06-11,CFG,32.32,31.95,31.33
2024-06-12,CFG,32.26,32.35,31.27
2024-06-13,CFG,31.83,32.51,31.58
2024-06-14,CFG,30.72,31.77,31.31
2024-06-17,CFG,33,31.33,30.95
2024-06-18,CFG,32.32,31.33,30.81
2024-06-20,CFG,33.15,31.32,30.53
2024-06-21,CFG,32.08,30.56,29.72
2024-06-24,CFG,30.77,29.67,29.04
2024-06-25,CFG,30.76,29.19,28.61
2024-06-26,CFG,30.65,29.29,28.82
2024-06-27,CFG,30.1,29.1,28.73
2024-06-28,CFG,29.6,28.3,27.51
2024-07-01,CFG,30.17,27.53,26.95
2024-07-02,CFG,29.07,26.99,26.39
2024-07-03,CFG,29.55,27.25,26.77
2024-07-05,CFG,29.95,27.22,27.29
2024-07-08,CFG,29.8,28.48,27.81
2024-07-09,CFG,31.76,28.7,27.7
2024-07-10,CFG,30.63,28.01,27.39
2024-07-11,CFG,29.81,27.93,27.4
2024-07-12,CFG,28.79,26.89,26.28
2024-07-15,CFG,29.97,27.76,26.94
2024-07-16,CFG,29.62,28.52,27.61
2024-07-17,CFG,27.68,27.47,27.3
2024-07-18,CFG,25.06,26,27.79
2024-07-19,CFG,25.78,25.66,26.56
2024-07-22,CFG,23.81,24.75,26.78
2024-07-23,CFG,25.95,25.64,27.65
2024-07-24,CFG,28.3,28.16,29.79
2024-07-25,CFG,27.68,27.68,29.3
2024-07-26,CFG,26.6,26.9,28.9
2024-07-29,CFG,27.41,27.6,29.31
2024-07-30,CFG,28.51,28.38,29.97
2024-07-31,CFG,26.53,26.76,28.72
2024-08-01,CFG,30.62,30.12,30.86
2024-08-02,CFG,35.41,34.91,35.84
2024-08-05,CFG,38.53,37.13,37.64
2024-08-06,CFG,33.42,32.98,34.39
2024-08-07,CFG,34.09,33.9,34.98
2024-08-08,CFG,29.55,30.26,32.79
2024-08-09,CFG,28.32,29.73,31.57
2024-08-12,CFG,30.23,30.11,32.68
2024-08-13,CFG,28.12,29.26,31.96
2024-08-14,CFG,27.1,28.72,29.93
2024-08-15,CFG,25.12,27.11,29.63
2024-08-16,CFG,24.2,26.33,27.86
2024-08-19,CFG,22.61,25.9,28.21
2024-08-20,CFG,24.82,26.56,28.9
2024-08-21,CFG,24.95,26.77,28.79
2024-08-22,CFG,25.94,27.86,28.74
2024-08-23,CFG,24.32,26.73,28.07
2024-08-26,CFG,25.48,27.78,29.49
2024-08-27,CFG,25.57,28.35,29.99
2024-08-28,CFG,26.91,28.32,29.98
2024-08-29,CFG,25.81,28.93,30.25
2024-08-30,CFG,25.13,27.57,29.35
2024-09-03,CFG,29.17,30.43,30.66
2024-09-04,CFG,31.26,31.56,31.32
2024-09-05,CFG,32.41,32.87,32.12
2024-09-06,CFG,33.75,34.87,34.23
2024-09-09,CFG,32.93,34.24,33.31
2024-09-10,CFG,35,35.63,34.06
2024-09-11,CFG,33.06,34.65,33.67
2024-09-12,CFG,34.42,33.78,32.11
2024-09-13,CFG,33.66,33.55,32.08
2024-09-16,CFG,33.52,34.95,31.96
2024-09-17,CFG,34.05,33.01,31.99
