tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,CL,12.12,13.9,14.74
2024-06-04,CL,12.37,13.54,14.62
2024-06-05,CL,12.82,13.69,14.39
2024-06-06,CL,11.44,14.93,14.57
2024-06-07,CL,12.12,16,15.36
2024-06-10,CL,13.58,15.39,14.89
2024-06-11,CL,12.62,14.38,14.27
2024-06-12,CL,11.94,14.7,14.69
2024-06-13,CL,13.14,15.02,14.75
2024-06-14,CL,12.24,14.77,14.93
2024-06-17,CL,12.66,16.25,15.95
2024-06-18,CL,12.93,14.34,15.17
2024-06-20,CL,13.29,14.95,16.06
2024-06-21,CL,13.32,14.35,14.5
2024-06-24,CL,15.42,15.41,16.27
2024-06-25,CL,15.91,14.51,15.05
2024-06-26,CL,15.9,15.1,15.87
2024-06-27,CL,15.43,15.55,16.41
2024-06-28,CL,15.65,14.96,14.18
2024-07-01,CL,18.13,15.61,15.62
2024-07-02,CL,16.99,15.38,14.83
2024-07-03,CL,16.48,16.17,16.19
2024-07-05,CL,17.12,16.54,15.7
2024-07-08,CL,17.38,17.28,17.35
2024-07-09,CL,18.08,15.73,16.03
2024-07-10,CL,16.76,16.76,16.4
2024-07-11,CL,18.26,15.95,16.17
2024-07-12,CL,16.92,15.46,15.65
2024-07-15,CL,16.96,16.37,16.69
2024-07-16,CL,16.93,16.1,16.29
2024-07-17,CL,18.47,16.21,16.64
2024-07-18,CL,18.73,15.7,15.85
2024-07-19,CL,18.47,16.2,15.83
2024-07-22,CL,17.67,15.61,15.71
2024-07-23,CL,17.76,15.88,16.16
2024-07-24,CL,18.4,16.12,15.85
2024-07-25,CL,17.93,16.84,17.27
2024-07-26,CL,13.55,13.39,14.16
2024-07-29,CL,12.85,13.65,14.11
2024-07-30,CL,13.94,14.07,14.32
2024-07-31,CL,13.41,12.91,14.2
2024-08-01,CL,14.63,15.02,15.72
2024-08-02,CL,15.06,15.88,16.64
2024-08-05,CL,19.12,18.63,18.05
2024-08-06,CL,16.65,16.8,18.34
2024-08-07,CL,16.8,17.97,18.77
2024-08-08,CL,17.33,17.6,17.92
2024-08-09,CL,14.52,16.04,17.7
2024-08-12,CL,15.69,17.26,18.09
2024-08-13,CL,14.49,17,17.35
2024-08-14,CL,13.84,15.13,15.9
2024-08-15,CL,14.89,14.26,15.91
2024-08-16,CL,13.3,14.47,16.95
2024-08-19,CL,13.27,13.43,15.88
2024-08-20,CL,13.48,14.84,16.3
2024-08-21,CL,14.02,14.08,16.19
2024-08-22,CL,14,13.29,16.64
2024-08-23,CL,13.01,14.02,15.99
2024-08-26,CL,13.35,14.92,16.82
2024-08-27,CL,12.23,14.5,15.44
2024-08-28,CL,14.15,14.17,14.94
2024-08-29,CL,11.96,13.62,15.8
2024-08-30,CL,12.71,12.96,15.19
2024-09-03,CL,14.74,15.78,16.56
2024-09-04,CL,15.38,16.17,16.62
2024-09-05,CL,15.83,20.08,19.9
2024-09-06,CL,17.56,18.11,18.61
2024-09-09,CL,16.58,19.49,19.07
2024-09-10,CL,16.95,18.95,18.6
2024-09-11,CL,15.37,19.43,19.21
2024-09-12,CL,15.51,18.17,17.7
2024-09-13,CL,15.52,18.76,17.44
2024-09-16,CL,16.62,18.3,19.13
2024-09-17,CL,17.94,19.35,19.14
2024-09-18,CL,16.41,21.33,19.69
2024-09-19,CL,16.04,16.17,16.58
2024-09-20,CL,15.07,18.33,18.1
2024-09-23,CL,18.36,17.99,17.57
2024-09-24,CL,18.46,18.05,17.84
2024-09-25,CL,19.91,18.54,18.05
2024-09-26,CL,20.96,19.58,19.05
2024-09-27,CL,20.87,18.96,18.66
2024-09-30,CL,21,19.81,18.35
2024-10-01,CL,22.18,21.77,20.5
2024-10-02,CL,22.19,20.94,19.83
2024-10-03,CL,22.89,26.56,22.83
2024-10-04,CL,22.43,21.24,20.06
2024-10-07,CL,23.54,21.26,19.83
2024-10-08,CL,22.57,20.57,19.79
2024-10-09,CL,23.23,21.39,20.22
2024-10-10,CL,23.31,20.44,19.3
2024-10-11,CL,22.84,20.33,19.46
2024-10-14,CL,22.69,20.25,18.96
2024-10-15,CL,23.01,19.56,18
2024-10-16,CL,23.23,19.69,17.99
2024-10-17,CL,21.81,20.4,18.59
2024-10-18,CL,22.25,18.5,17.42
2024-10-21,CL,21.72,19.55,17.97
2024-10-22,CL,22.14,19.23,18.36
2024-10-23,CL,22.48,20.02,19.01
2024-10-24,CL,23.27,20.27,19.37
2024-10-25,CL,17.95,17.64,17.2
2024-10-28,CL,17.1,16.81,17.44
2024-10-29,CL,17.26,17.14,17.1
2024-10-30,CL,17.05,17.42,17.47
2024-10-31,CL,18.25,18.21,18.12
2024-11-01,CL,18.12,18.21,18.31
2024-11-04,CL,18.44,18.8,18.8
2024-11-05,CL,18.31,17.92,18.01
2024-11-06,CL,18.21,17.32,17.62
2024-11-07,CL,16.92,16.45,17.51
2024-11-08,CL,16.65,16.61,17.09
2024-11-11,CL,17.23,16.79,17.81
2024-11-12,CL,17.03,16.78,17.58
2024-11-13,CL,16.59,16.35,17.38
2024-11-14,CL,16.51,16.63,17.39
2024-11-15,CL,15.26,16.65,17.8
2024-11-18,CL,17.12,16.62,17.95
2024-11-19,CL,17.56,17.37,18.8
2024-11-20,CL,17.5,17.44,18.85
2024-11-21,CL,17.1,17.34,18.71
2024-11-22,CL,16.58,17.27,18.82
2024-11-25,CL,15.98,16.71,18.45
2024-11-26,CL,16.7,17.2,18.75
2024-11-27,CL,16.74,17.3,18.56
2024-11-29,CL,15.05,16.36,17.91
2024-12-02,CL,16.16,17.56,18.96
2024-12-03,CL,18.16,18.9,20.17
2024-12-04,CL,17.54,18.49,19.85
2024-12-05,CL,16.92,20.12,19.93
2024-12-06,CL,17.01,18.91,19.65
2024-12-09,CL,18.25,20.18,20.62
2024-12-10,CL,18.64,21.06,20.63
2024-12-11,CL,17.1,19.91,20.23
2024-12-12,CL,17.33,19.41,20.09
2024-12-13,CL,17.48,19.97,20.66
2024-12-16,CL,18.23,21.15,20.61
2024-12-17,CL,18.58,21.3,21.09
2024-12-18,CL,19.48,21.79,21.91
2024-12-19,CL,18.67,21.94,21.66
2024-12-20,CL,17.53,20.11,20.09
2024-12-23,CL,17.66,20.12,19.84
2024-12-24,CL,16.33,19.71,19.61
2024-12-26,CL,16.45,19.68,19.6
2024-12-27,CL,17.61,19.54,19.67
2024-12-30,CL,17.6,19.57,19.68
2024-12-31,CL,20.64,20.03,20.08
2025-01-02,CL,21.97,20.58,20.04
2025-01-03,CL,21.22,20.18,20.31
2025-01-06,CL,21.95,20.96,20.66
2025-01-07,CL,22.54,20.94,20.56
2025-01-08,CL,22.27,20.78,20.52
2025-01-10,CL,22.78,22.18,21.34
2025-01-13,CL,23.34,21.32,20.87
2025-01-14,CL,22.79,21.05,20.78
2025-01-15,CL,22.15,19.4,19.24
2025-01-16,CL,22.18,20.27,19.68
2025-01-17,CL,23.43,20.5,20.03
2025-01-21,CL,23.2,19.69,19.49
2025-01-22,CL,22.84,20.62,19.89
2025-01-23,CL,23.21,20.21,19.87
2025-01-24,CL,22.53,20.34,19.82
2025-01-27,CL,22.03,19.5,19.46
2025-01-28,CL,21.67,20.18,20.14
2025-01-29,CL,22.33,20.73,20.42
2025-01-30,CL,20.89,19.43,19.68
2025-01-31,CL,17,17.69,18.75
2025-02-03,CL,17.49,17.91,19.06
2025-02-04,CL,16.77,15.1,18.26
2025-02-05,CL,16.95,18,18.81
2025-02-06,CL,17.26,17.79,19.19
2025-02-07,CL,17.1,16.63,18.76
2025-02-10,CL,16.92,17.66,19.24
2025-02-11,CL,16.12,17.67,19.01
2025-02-12,CL,16.61,17.73,19.45
2025-02-13,CL,15.86,17.66,19.23
2025-02-14,CL,15.84,16.93,19.22
2025-02-18,CL,16.77,18.39,20.08
2025-02-19,CL,16.07,17.86,19.48
2025-02-20,CL,16.35,18.06,19.49
2025-02-21,CL,16.95,18.53,19.7
2025-02-24,CL,17.72,18.16,19.89
2025-02-25,CL,17.88,19.18,19.76
2025-02-26,CL,19.18,19.38,19.97
2025-02-27,CL,19.14,19.58,20.76
2025-02-28,CL,18.47,19.71,20.35
2025-03-03,CL,19.71,21.38,21.42
2025-03-04,CL,20.28,21.43,21.71
2025-03-05,CL,20.61,21.1,21.34
2025-03-06,CL,20.86,23.99,21.76
2025-03-07,CL,21.9,24.74,22.82
2025-03-10,CL,22.59,22.99,20.52
2025-03-11,CL,24.2,25.9,24.19
2025-03-12,CL,24.06,25.3,23.59
2025-03-13,CL,23.96,25.4,23.95
2025-03-14,CL,21.71,23.66,22.62
2025-03-17,CL,20.14,22.56,21.29
2025-03-18,CL,21.28,23.46,22.16
2025-03-19,CL,21.87,22.61,21.34
2025-03-20,CL,19.78,21.99,20.53
2025-03-21,CL,20.41,21.75,20.59
2025-03-24,CL,21.89,20.92,19.6
2025-03-25,CL,23.04,20.91,19.67
2025-03-26,CL,23.64,21.07,19.73
2025-03-27,CL,23.39,20.96,19.52
2025-03-28,CL,24.26,21.71,20.65
2025-03-31,CL,24.19,21.55,20.23
2025-04-01,CL,24.57,21.94,20.73
2025-04-02,CL,24.69,21.39,20.46
2025-04-03,CL,26.18,23.01,21.91
2025-04-04,CL,31.04,26.87,25.21
2025-04-07,CL,36.2,30.33,28.32
2025-04-08,CL,36.68,31.18,29.6
2025-04-09,CL,27.38,24.47,23.73
2025-04-10,CL,26.99,27.38,25.21
2025-04-11,CL,27.11,25.2,24.57
2025-04-14,CL,24.9,22.06,21.88
2025-04-15,CL,23.22,21.88,21.78
2025-04-16,CL,24.84,22.98,22.35
2025-04-17,CL,23.64,21.69,21.24
2025-04-21,CL,29.02,24.39,24
2025-04-22,CL,25.48,22.24,22.24
2025-04-23,CL,25.32,22.8,22.43
2025-04-24,CL,25.55,22.78,22.59
2025-04-25,CL,19.73,19.37,20.21
2025-04-28,CL,20.87,20.81,21.44
2025-04-29,CL,19.54,19.98,20.64
2025-04-30,CL,19.84,20.17,21.13
