tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,CMCSA,21.67,22.89,23.64
2024-06-04,CMCSA,23.37,23.03,23.62
2024-06-05,CMCSA,21.99,21.9,22.83
2024-06-06,CMCSA,23.89,23.04,22.56
2024-06-07,CMCSA,22.27,26.11,23.97
2024-06-10,CMCSA,21.56,23.19,23.53
2024-06-11,CMCSA,20.24,26.08,28.15
2024-06-12,CMCSA,20.21,25.34,23.95
2024-06-13,CMCSA,21.34,24.03,23.93
2024-06-14,CMCSA,20.89,25.12,24.02
2024-06-17,CMCSA,23.47,25.49,23.65
2024-06-18,CMCSA,22.27,25.19,24.95
2024-06-20,CMCSA,23.37,27.19,24.61
2024-06-21,CMCSA,23.25,26.19,25.1
2024-06-24,CMCSA,25.69,25.19,22.67
2024-06-25,CMCSA,25.97,26.47,24.91
2024-06-26,CMCSA,27.87,25.43,24.56
2024-06-27,CMCSA,26.66,25.66,24.48
2024-06-28,CMCSA,27.22,24.8,24.09
2024-07-01,CMCSA,27.91,26.69,24.91
2024-07-02,CMCSA,27.12,26.66,24.95
2024-07-03,CMCSA,26.92,29.99,24.27
2024-07-05,CMCSA,27.78,25.96,25.16
2024-07-08,CMCSA,29.51,26.07,24.7
2024-07-09,CMCSA,30,25.65,24.88
2024-07-10,CMCSA,31.58,25.92,25.86
2024-07-11,CMCSA,29.62,26.97,27.01
2024-07-12,CMCSA,30.05,24.36,25.41
2024-07-15,CMCSA,29.95,26.04,24.78
2024-07-16,CMCSA,31.17,26.63,25.76
2024-07-17,CMCSA,30.27,26.48,25.75
2024-07-18,CMCSA,30.8,26.28,26.62
2024-07-19,CMCSA,29.13,26.64,25.11
2024-07-22,CMCSA,29.02,26.01,24.95
2024-07-23,CMCSA,22.74,21.58,26
2024-07-24,CMCSA,23.5,22.61,23.37
2024-07-25,CMCSA,23.32,23.47,24.75
2024-07-26,CMCSA,21.77,22.3,24.01
2024-07-29,CMCSA,21.48,21.82,23.38
2024-07-30,CMCSA,22.47,22.12,23.1
2024-07-31,CMCSA,22.2,21.77,23.36
2024-08-01,CMCSA,23.48,23.7,25.28
2024-08-02,CMCSA,26.54,26.52,27.15
2024-08-05,CMCSA,31.44,28.55,29.68
2024-08-06,CMCSA,27,26.41,28.45
2024-08-07,CMCSA,27.39,27.96,29.34
2024-08-08,CMCSA,24.23,25.38,29.06
2024-08-09,CMCSA,25.66,25.55,27.23
2024-08-12,CMCSA,22.83,25.71,27.28
2024-08-13,CMCSA,23.42,23.82,26.75
2024-08-14,CMCSA,22.41,22.65,26.05
2024-08-15,CMCSA,20.46,22.02,24.87
2024-08-16,CMCSA,19.76,22.13,25.44
2024-08-19,CMCSA,21.48,20.14,25.07
2024-08-20,CMCSA,20.63,20.97,25.09
2024-08-21,CMCSA,20.87,22.88,25.81
2024-08-22,CMCSA,22.06,23.23,26.29
