ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
COST,2007-01-03,21.94,1.76599,2.40311,0.0319,0.0293,19.86,21.73,22.26,22.64,1
COST,2007-01-04,21.56,2.44915,2.33257,0.0269,0.0473,20.59,21.59,22.06,22.63,1
COST,2007-01-05,21.99,2.06099,2.24437,0.0201,0.0521,20.06,21.48,22.57,23.16,1
COST,2007-01-08,22.38,2.10472,2.31816,0.0392,0.0347,19.64,22.1,22.77,23.16,1
COST,2007-01-09,21.98,2.18122,2.43702,0.049,0.0473,19.65,21.38,22.31,22.73,1
COST,2007-01-10,21.53,2.64291,2.37272,0.0719,0.0368,19.14,20.47,21.83,22.37,1
COST,2007-01-11,20.39,2.37939,2.33397,0.0261,0.0573,19.31,19.59,21.02,21.89,0.9
COST,2007-01-12,20.23,2.15345,2.5091,0.0575,0.0435,19.73,19.47,20.62,21.3,0.9
COST,2007-01-16,20.34,2.30937,2.44135,0.0018,0.0577,19.54,20.38,20.92,21.36,0.9
COST,2007-01-17,20.21,1.9848,2.62612,0.0426,0.0491,19.32,20.41,21.2,21.82,0.9
COST,2007-01-18,19.92,1.82558,2.42326,0.0029,0.0611,18.61,19.87,20.58,21.12,0.9
COST,2007-01-19,19.82,2.09271,2.39526,0.0331,0.0707,18.44,19.58,20.67,21.51,0.9
COST,2007-01-22,19.78,2.0322,2.43944,0.0014,0.0615,18.44,19.79,21.69,21.33,0.9
COST,2007-01-23,19.91,2.35712,2.5282,0.005,0.0552,18.43,19.74,21.62,21.46,0.9
COST,2007-01-24,18.7,2.1152,2.43859,0.0281,0.0687,18.62,18.42,20.74,20.79,0.9
COST,2007-01-25,20.19,1.3251,2.52658,0.0064,0.0448,18.22,19.1,21.53,21.74,0.9
COST,2007-01-26,19.56,1.93664,2.46157,0.0155,0.0598,19.44,19.17,21.59,21.42,0.9
COST,2007-01-29,20.47,1.1964,2.36605,0.0241,0.0468,19.38,20.14,22.03,22.02,0.9
