tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,CRWD,62.85,52.16,49.62
2024-06-04,CRWD,61.5,50.53,48.88
2024-06-05,CRWD,37.76,37.08,39.89
2024-06-06,CRWD,37.41,37.18,39.2
2024-06-07,CRWD,38.68,37.18,39.72
2024-06-10,CRWD,36.19,36.43,39.79
2024-06-11,CRWD,35.15,36.02,40.24
2024-06-12,CRWD,33.97,35.02,39.78
2024-06-13,CRWD,33.9,34.89,39.67
2024-06-14,CRWD,34.23,35.26,40.42
2024-06-17,CRWD,33.58,35.5,41.06
2024-06-18,CRWD,33.28,35.26,41.48
2024-06-20,CRWD,33.69,35.99,41.92
2024-06-21,CRWD,32.67,35.72,41.62
2024-06-24,CRWD,32.5,35.13,41.28
2024-06-25,CRWD,31.93,35.05,40.76
2024-06-26,CRWD,32.78,35.25,40.56
2024-06-27,CRWD,32.22,35.41,40.68
2024-06-28,CRWD,31.34,35.63,40.55
2024-07-01,CRWD,32.94,37.4,41.27
2024-07-02,CRWD,32.3,36.69,40.45
2024-07-03,CRWD,32.85,37.15,40.94
2024-07-05,CRWD,32.93,38.05,40.89
2024-07-08,CRWD,34.68,39.11,41.66
2024-07-09,CRWD,35.48,39.24,41.34
2024-07-10,CRWD,36.06,40.26,42.43
2024-07-11,CRWD,35.74,42.18,42.03
2024-07-12,CRWD,33.86,41.95,41.29
2024-07-15,CRWD,35.31,43.36,41.99
2024-07-16,CRWD,35.14,43.46,41.79
2024-07-17,CRWD,36.51,44.11,41.97
2024-07-18,CRWD,37.58,44.56,43.11
2024-07-19,CRWD,57.09,57.04,51.02
2024-07-22,CRWD,60.25,60.25,54.99
2024-07-23,CRWD,52.92,55.42,51.78
2024-07-24,CRWD,52.11,56.57,51.52
2024-07-25,CRWD,46.34,49.09,49.27
2024-07-26,CRWD,44.68,48.87,47.38
2024-07-29,CRWD,51.24,51.71,48.87
2024-07-30,CRWD,57.76,54.13,51.29
2024-07-31,CRWD,55.93,54.46,51.71
2024-08-01,CRWD,65.34,57.54,53.93
2024-08-02,CRWD,66.7,59.75,55.9
2024-08-05,CRWD,73.97,64.52,60.57
2024-08-06,CRWD,67.23,60.22,56.99
2024-08-07,CRWD,67.34,59.99,57.28
2024-08-08,CRWD,64.45,58.91,55.52
2024-08-09,CRWD,62.85,55.49,52.65
2024-08-12,CRWD,61.69,54.06,51.97
2024-08-13,CRWD,59.68,52.35,51.23
2024-08-14,CRWD,60.67,52.83,50.94
2024-08-15,CRWD,58.14,51.44,50.21
2024-08-16,CRWD,57.54,49.82,48.98
2024-08-19,CRWD,59.67,51.14,48.96
2024-08-20,CRWD,58.69,51.76,49.68
2024-08-21,CRWD,59.15,51.09,49.22
2024-08-22,CRWD,60.84,52.74,50.44
2024-08-23,CRWD,56.42,49.1,48.13
2024-08-26,CRWD,58.38,50.1,48.44
2024-08-27,CRWD,58.42,50.39,48.81
2024-08-28,CRWD,56.89,50.25,48.61
2024-08-29,CRWD,39.66,39.9,42.02
2024-08-30,CRWD,38.34,39.09,41.2
2024-09-03,CRWD,42.6,42.39,44.17
2024-09-04,CRWD,42.37,42,44.57
2024-09-05,CRWD,41.38,41.92,45.09
2024-09-06,CRWD,43.6,44.17,45.97
2024-09-09,CRWD,43.01,43.36,46.01
2024-09-10,CRWD,42.63,42.73,45.7
2024-09-11,CRWD,42.23,42.38,45
2024-09-12,CRWD,41.59,42.04,45.3
2024-09-13,CRWD,40.19,41.69,44.48
2024-09-16,CRWD,42.59,43.2,45.91
2024-09-17,CRWD,41.54,42.92,45.4
2024-09-18,CRWD,39.32,41.36,44.31
2024-09-19,CRWD,37.22,40.64,43.57
2024-09-20,CRWD,38.7,40.85,43.67
2024-09-23,CRWD,36.66,40.01,43.47
2024-09-24,CRWD,36.09,39.52,44.2
2024-09-25,CRWD,36.16,39.93,44.08
2024-09-26,CRWD,38.19,41.34,44.35
2024-09-27,CRWD,38.85,42.32,45.09
2024-09-30,CRWD,40.26,42.36,44
2024-10-01,CRWD,40.2,43.32,45.14
2024-10-02,CRWD,40.38,43.8,45.1
2024-10-03,CRWD,41.04,44.99,46.55
2024-10-04,CRWD,39.29,44,44.82
2024-10-07,CRWD,43.54,45.97,46.35
2024-10-08,CRWD,42.36,45.23,46.03
2024-10-09,CRWD,40.74,44.09,45.4
2024-10-10,CRWD,42.65,45.73,45.41
2024-10-11,CRWD,41.42,45.3,45.12
2024-10-14,CRWD,40.09,45.51,45.16
2024-10-15,CRWD,42.02,46.27,45.38
2024-10-16,CRWD,42.3,46.35,45.58
2024-10-17,CRWD,40.26,46.35,44.92
2024-10-18,CRWD,41.21,45.85,44.41
2024-10-21,CRWD,41.12,47.49,44.46
2024-10-22,CRWD,41.26,47.29,43.16
2024-10-23,CRWD,42.35,48,44.95
2024-10-24,CRWD,41.01,47.61,45.2
2024-10-25,CRWD,42.98,48.83,45.96
2024-10-28,CRWD,44.19,47.96,45.24
2024-10-29,CRWD,44.01,49.06,46.22
2024-10-30,CRWD,45.35,49.14,45.9
2024-10-31,CRWD,47.03,51.24,47.38
2024-11-01,CRWD,48.68,51.27,48.04
2024-11-04,CRWD,57.22,51.07,47.72
2024-11-05,CRWD,58.09,51.1,47.78
2024-11-06,CRWD,55.05,49.25,46.02
2024-11-07,CRWD,53.94,47.07,44.22
2024-11-08,CRWD,53.02,46.47,43.85
2024-11-11,CRWD,55.4,48.24,44.6
2024-11-12,CRWD,55.95,47.6,44.83
2024-11-13,CRWD,56.05,48.09,46.02
2024-11-14,CRWD,54.25,46.85,44.7
2024-11-15,CRWD,55.03,48.04,45.62
2024-11-18,CRWD,55.98,47.77,45.66
2024-11-19,CRWD,55.4,47.42,45.13
2024-11-20,CRWD,55.92,47.86,45.67
2024-11-21,CRWD,54.11,46.81,45.64
2024-11-22,CRWD,54.15,47.54,45.73
2024-11-25,CRWD,52.23,47.05,44.78
2024-11-26,CRWD,51.88,46.6,44.36
2024-11-27,CRWD,34.47,35.28,37.07
2024-11-29,CRWD,33.28,35.82,37.25
2024-12-02,CRWD,33.48,34.82,37.58
2024-12-03,CRWD,32.04,34.67,37.01
2024-12-04,CRWD,32.59,34.91,37.52
