ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
DE,2007-01-03,23.12,1.41717,2.47143,0.024,0.0388,23.66,25.74,26.87,26.02,1.9
DE,2007-01-04,23.8,1.42139,2.36607,0.0106,0.0506,23.83,27.01,27.43,26.45,1.9
DE,2007-01-05,23.59,1.09853,2.2713,0.0217,0.0459,24.74,26.94,27.26,26.36,1.9
DE,2007-01-08,25.46,1.27183,2.3161,0.0135,0.0448,25.12,27.97,27.58,26.8,1.9
DE,2007-01-09,25.59,1.37758,2.2768,0.0368,0.0464,23.57,27.2,27.26,26.59,1.9
DE,2007-01-10,23.23,1.59192,2.29432,0.0344,0.0338,23.27,26.95,26.66,26.12,1.9
DE,2007-01-11,23.03,1.20325,2.26567,0.0547,0.0442,23.32,27.2,26.43,25.9,1.8
DE,2007-01-12,23.56,1.51218,2.31456,0.053,0.0524,24.87,27.62,26.43,25.97,1.8
DE,2007-01-16,23.71,1.90581,2.34903,0.0587,0.057,25.4,29.84,26.95,26.59,1.8
DE,2007-01-17,23.25,1.64978,2.36182,0.0248,0.0495,25.56,30.19,26.83,26.53,1.8
DE,2007-01-18,21.4,1.6166,2.34377,0.0282,0.0541,25.53,29.92,26.21,26.04,1.8
DE,2007-01-19,23.45,1.87364,2.42667,0.0349,0.055,25.72,29.16,26.47,26.16,1.8
DE,2007-01-22,25.27,2.04038,2.30531,0.0408,0.0358,26,29.27,27.22,26.96,1.8
DE,2007-01-23,25.2,2.69418,2.43342,0.0667,0.0454,26.58,27.06,26.05,25.79,1.8
DE,2007-01-24,24.56,2.75367,2.48643,0.0434,0.0476,27.7,27.91,26.19,25.9,1.8
DE,2007-01-25,24.11,2.06062,2.29767,0.0179,0.0509,27.46,28.4,26.33,26,1.8
DE,2007-01-26,24.39,2.41234,2.26393,0.0239,0.0567,27.75,27.33,25.89,25.67,1.8
DE,2007-01-29,25.09,2.24998,2.2541,0.0286,0.0489,27.59,29.01,26.94,26.44,1.8
DE,2007-01-30,24.17,2.31451,2.23462,0.0412,0.0567,27.48,28.19,26.25,25.91,1.8
DE,2007-01-31,23.48,2.52628,2.28089,0.0364,0.0585,27.7,28.78,26.24,25.76,1.8
DE,2007-02-01,23.81,2.47411,2.18158,0.0219,0.0571,27.9,28.89,26.57,26.24,1.7
DE,2007-02-02,22.46,2.50274,2.3465,0.0628,0.0563,27.71,28.33,25.87,25.62,1.7
DE,2007-02-05,22.75,2.28941,2.12403,0.0657,0.0657,26.99,28.62,26.3,26.03,1.7
DE,2007-02-06,23.33,2.18052,2.18448,0.0354,0.0623,26.57,27.55,25.97,25.9,1.7
DE,2007-02-07,22.83,2.24907,2.25513,0.0386,0.0486,26.38,28.14,26.07,25.81,1.7
DE,2007-02-08,23.28,2.31504,2.18584,0.0611,0.0506,26.36,27.47,25.98,25.88,1.7
DE,2007-02-09,23.39,2.35775,2.11331,0.0402,0.0682,26.13,27.61,25.93,25.62,1.7
DE,2007-02-12,22.58,2.93082,2.20535,0.0491,0.0587,24.65,29.06,26.82,26.24,1.7
DE,2007-02-13,20.69,3.40486,2.48538,0.0342,0.0496,22.27,26.93,26.45,26.05,1.7
DE,2007-02-14,21.7,1.54293,2.1204,0.1098,0.093,22.26,23.98,23.58,23.26,1.6
DE,2007-02-15,24.1,2.35884,2.47298,0.0109,0.0562,30.48,24.03,24.48,24.82,1.6
DE,2007-02-16,23.86,1.86376,2.50111,0.0485,0.0593,30.7,23.71,24.03,24.27,1.5
DE,2007-02-20,23.45,2.48191,2.57305,0.0605,0.0582,30.67,23.9,23.36,23.99,1.6
DE,2007-02-21,22.76,2.13671,2.86025,0.0719,0.0465,29.87,23.27,22.88,23.55,1.5
DE,2007-02-22,23.3,2.1348,2.59926,0.064,0.0612,29.76,23.1,23.64,24.15,1.6
DE,2007-02-23,23.13,2.21715,2.60945,0.0486,0.0675,31.12,22.77,23.39,24.37,1.6
DE,2007-02-26,23.78,2.54015,2.70904,0.0245,0.0634,30.5,23.68,24,24.66,1.6
DE,2007-02-27,28.36,2.94148,2.61794,0.0394,0.0545,30.52,29.91,27.61,27.84,1.6
DE,2007-02-28,27.07,2.27021,2.51009,0.0489,0.0605,33.04,27.61,26.86,27.02,1.6
DE,2007-03-01,27.9,2.4153,2.56484,0.0252,0.0594,33.21,28.64,27.6,27.65,1.6
DE,2007-03-02,28.28,2.41594,2.56148,0.0709,0.0553,33.79,29.51,27.78,27.58,1.7
DE,2007-03-05,30.7,1.844,2.53523,0.0571,0.0521,33.82,31.85,30.06,28.96,1.7
DE,2007-03-06,27.47,1.50673,2.52009,0.0416,0.056,33.98,28.58,27.43,27.7,1.6
DE,2007-03-07,27.64,1.86116,2.49304,0.045,0.0588,34.69,28.74,27.93,28.48,1.6
DE,2007-03-08,28.73,1.65367,2.50063,0.0435,0.0572,36.03,29.35,28.74,28.68,1.6
DE,2007-03-09,26.86,1.63886,2.4935,0.0407,0.0582,36.2,28.19,27.3,27.85,1.6
DE,2007-03-12,27.17,1.66605,2.53776,0.0879,0.0553,36.68,28.16,28.08,28.98,1.6
DE,2007-03-13,28.4,1.7163,2.47249,0.0608,0.0585,36.79,28.62,29.03,29.52,1.6
DE,2007-03-14,27.81,1.60309,2.43069,0.0526,0.0582,38.27,27.99,28.56,29.19,1.6
DE,2007-03-15,27.57,1.81499,2.47215,0.0316,0.0556,38.72,27.7,28.09,28.51,1.6
DE,2007-03-16,26.58,1.6971,2.4805,0.0669,0.0612,32.49,26.78,27.74,28.69,1.6
DE,2007-03-19,25.73,1.64499,2.71844,0.0363,0.0578,32.47,25.14,28.55,28.69,1.6
DE,2007-03-20,24.39,1.64256,2.78825,0.0586,0.0579,33.08,24.48,28.31,27.01,1.6
