ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
DHR,2007-01-03,19.4,1.64289,2.50719,0.0001,0.0363,15.12,19.82,20.17,19.93,0.3
DHR,2007-01-04,18.94,1.92956,2.59274,0.0002,0.0617,15.24,19.15,19.87,19.73,0.3
DHR,2007-01-05,18.27,1.58244,2.51078,0.0002,0.0494,14.53,19.44,20.01,19.71,0.3
DHR,2007-01-08,18.6,2.00096,2.4263,0.0002,0.0493,15.04,20.6,20.45,20.05,0.3
DHR,2007-01-09,19.21,2.87049,2.61758,0.0002,0.0679,15.31,20.47,20.23,20.03,0.3
DHR,2007-01-10,17.96,2.94961,2.73313,0.0001,0.0291,15.81,20.48,19.62,19.4,0.3
DHR,2007-01-11,18.92,2.992,2.52311,0.0005,0.0624,16.29,19.83,19.53,19.42,0.3
DHR,2007-01-12,19.15,2.83613,2.73254,0.0131,0.0287,16.4,19.59,19.72,19.58,0.3
DHR,2007-01-16,19.49,3.31332,2.80566,0.0379,0.0731,16.45,19.88,19.83,19.58,0.3
DHR,2007-01-17,15.51,2.13123,2.95324,0.0337,0.0261,16.48,19.87,19.28,19.17,0.3
DHR,2007-01-18,17.65,2.16205,2.84149,0.0398,0.0555,16.22,19.8,19.21,19.05,0.3
DHR,2007-01-19,17.49,2.04146,2.58591,0.0002,0.0815,16.31,18.48,18.24,18.37,0.3
DHR,2007-01-22,16.78,2.07849,2.55678,0.0419,0.0691,16.66,19.48,18.89,18.86,0.3
DHR,2007-01-23,14.47,1.5609,2.4545,0.0002,0.0676,17.12,18.45,18.32,18.3,0.3
DHR,2007-01-24,17.89,1.45925,2.49887,0.0276,0.0495,17.83,20.02,18.93,18.78,0.3
DHR,2007-01-25,16.62,1.48491,2.20548,0.0007,0.0879,17.55,16.47,17.05,17.21,0.3
DHR,2007-01-26,17.17,2.3003,2.64583,0.0002,0.0666,18.42,16.49,17.35,17.77,0.3
DHR,2007-01-29,17.69,2.20153,2.33088,0.0002,0.0578,19.87,18.24,17.71,17.85,0.3
DHR,2007-01-30,17.34,2.5983,2.62178,0.0004,0.053,19.89,17.62,17.43,17.51,0.3
DHR,2007-01-31,16.76,2.93259,2.00373,0.0004,0.1092,20.11,16.91,16.9,17.11,0.3
DHR,2007-02-01,17.3,3.03535,2.38779,0.0002,0.0599,21.12,17.59,17.4,17.53,0.3
DHR,2007-02-02,17.04,1.60248,2.38412,0.0007,0.0819,20.36,17.33,17.45,17.37,0.3
DHR,2007-02-05,17.72,3.19819,2.51316,0.0002,0.0513,20.21,17.77,17.76,17.69,0.3
DHR,2007-02-06,17.28,2.45612,2.28076,0.0007,0.0507,20.01,17.85,17.54,17.6,0.3
DHR,2007-02-07,16.76,3.60242,2.5303,0.0008,0.0604,19.69,17.33,17.23,17.26,0.3
DHR,2007-02-08,17.07,3.07393,2.6712,0.0005,0.0372,19.04,17.5,17.45,17.43,0.3
DHR,2007-02-09,17.45,2.46236,2.69946,0.0006,0.0481,18.64,17.87,17.78,17.84,0.3
DHR,2007-02-12,18.16,2.07408,2.68341,0.0001,0.0467,18.86,18.56,18.14,17.9,0.3
DHR,2007-02-13,17.48,2.61836,2.5411,0.0006,0.0573,18.7,17.79,17.8,17.81,0.3
DHR,2007-02-14,16.52,2.73038,2.30628,0.0009,0.0781,18.58,17.47,17.39,17.33,0.3
DHR,2007-02-15,16.65,0.0338496,2.84201,0.0004,0.0333,18.55,17.28,17.23,17.18,0.3
DHR,2007-02-16,16.62,0.0260761,2.14618,0.0008,0.0687,18.28,17.26,17.33,17.39,0.3
DHR,2007-02-20,17.15,2.20054,2.38783,0.0517,0.0379,17.91,16.76,17.2,17.2,0.3
DHR,2007-02-21,17.23,2.74771,2.81165,0.0007,0.0384,18.05,16.77,17.3,17.34,0.3
DHR,2007-02-22,17.23,2.92323,2.91762,0.0005,0.029,17.41,16.6,17.29,17.3,0.3
DHR,2007-02-23,16.74,2.28938,2.33037,0.0007,0.0601,17.48,16.92,16.95,17.18,0.3
DHR,2007-02-26,17.17,1.78551,2.79663,0.0007,0.0232,16.46,17.25,17.32,17.52,0.3
DHR,2007-02-27,19.67,2.03712,2.29031,0.002,0.0894,14.77,20.45,19.43,18.92,0.3
DHR,2007-02-28,18.61,2.02429,2.38083,0.0002,0.0506,19.67,19.04,18.58,18.55,0.3
DHR,2007-03-01,19.46,1.16125,2.34197,0.0013,0.0652,20.09,20.24,18.9,18.49,0.3
DHR,2007-03-02,19.74,1.98246,2.41716,0.0433,0.0488,19.44,20.3,19.54,19.16,0.3
DHR,2007-03-05,20.25,1.78763,2.37149,0.0023,0.0789,20.27,21.52,20.02,19.64,0.3
DHR,2007-03-06,19.92,3.2644,2.45898,0.0002,0.0503,21.51,20.45,19.57,19.36,0.3
DHR,2007-03-07,20,2.29311,2.13013,0.0023,0.0738,22.01,20.28,19.76,19.44,0.3
DHR,2007-03-08,20.29,2.121,2.22978,0.0033,0.0664,22.86,20.54,19.99,19.38,0.3
DHR,2007-03-09,19.69,2.25006,2.1674,0.0033,0.0606,22.97,19.92,19.52,19.15,0.3
