tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,DIS,19.27,21.61,23.82
2024-06-04,DIS,18.6,21.71,23.7
2024-06-05,DIS,18.74,22.65,24.02
2024-06-06,DIS,18.15,21.89,24.08
2024-06-07,DIS,18.37,21.84,23.64
2024-06-10,DIS,19.6,23.07,24.09
2024-06-11,DIS,19.96,23.88,24.65
2024-06-12,DIS,20.09,24.55,24.88
2024-06-13,DIS,21.42,24.35,25.21
2024-06-14,DIS,21.7,25.69,25.18
2024-06-17,DIS,22.09,27.46,25.98
2024-06-18,DIS,22.29,27.96,26.37
2024-06-20,DIS,22.12,27.51,26.13
2024-06-21,DIS,22.61,27.84,25.67
2024-06-24,DIS,20.79,26.58,25.04
2024-06-25,DIS,21.18,27.32,25.3
2024-06-26,DIS,21.83,27.53,25.04
2024-06-27,DIS,21.65,27.9,25.7
2024-06-28,DIS,22.21,28.16,26.17
2024-07-01,DIS,22.22,28.04,26.1
2024-07-02,DIS,21.89,27.7,25.91
2024-07-03,DIS,22.62,29.36,26.54
2024-07-05,DIS,23.9,28.42,26.21
2024-07-08,DIS,27.64,28.3,26.27
2024-07-09,DIS,29.43,28.1,26.32
2024-07-10,DIS,31.2,28.4,26.18
2024-07-11,DIS,31.86,27.84,26.04
2024-07-12,DIS,32.54,28.05,26.14
2024-07-15,DIS,33.53,28.67,26.33
2024-07-16,DIS,33.04,28.01,26.23
2024-07-17,DIS,34.64,28.77,26.9
2024-07-18,DIS,34.73,29.27,27.39
2024-07-19,DIS,34.17,29.31,27.53
2024-07-22,DIS,34.24,28.49,27.42
2024-07-23,DIS,35.5,29.61,27.99
2024-07-24,DIS,36.06,30.12,28.84
2024-07-25,DIS,35.91,30.23,28.66
2024-07-26,DIS,35.76,30.06,28.84
2024-07-29,DIS,36.22,30.36,29.16
2024-07-30,DIS,36.46,30.36,29.56
2024-07-31,DIS,37.1,31.25,29.56
2024-08-01,DIS,38.06,31.49,30.55
2024-08-02,DIS,41.9,34.51,33.13
2024-08-05,DIS,46.44,38.74,37.08
2024-08-06,DIS,40.01,34.64,33.9
2024-08-07,DIS,28.61,27.77,29.45
2024-08-08,DIS,25.64,25.55,28.36
2024-08-09,DIS,23.52,24.03,27.26
2024-08-12,DIS,23.31,23.59,27.14
2024-08-13,DIS,22.24,23,26.74
2024-08-14,DIS,20.97,21.39,26.13
2024-08-15,DIS,18.96,20.68,26.47
2024-08-16,DIS,20.07,21.84,26.71
2024-08-19,DIS,20.33,20.98,25.9
2024-08-20,DIS,19.71,22.12,27.06
2024-08-21,DIS,19.28,21.28,26.05
2024-08-22,DIS,21.07,22.11,26.82
2024-08-23,DIS,19.92,21.64,26.59
2024-08-26,DIS,20.25,23,26.08
2024-08-27,DIS,20.48,22.24,25.84
2024-08-28,DIS,21.06,23.39,26.67
2024-08-29,DIS,21.04,23.84,27.35
2024-08-30,DIS,19.69,23.37,26.96
2024-09-03,DIS,23.43,26.72,28.28
2024-09-04,DIS,23.02,27.59,29.01
2024-09-05,DIS,23.63,26.62,28.44
2024-09-06,DIS,24.85,27.6,29.55
2024-09-09,DIS,24.19,28.07,29.25
2024-09-10,DIS,23.52,28.38,28.87
2024-09-11,DIS,23.3,28.6,29.05
2024-09-12,DIS,22.55,28.14,28.65
2024-09-13,DIS,23.17,29.36,28.85
2024-09-16,DIS,25.35,31.29,28.83
2024-09-17,DIS,25.39,31.89,29.02
2024-09-18,DIS,23.73,30.85,28.44
2024-09-19,DIS,21.99,29.27,28.42
2024-09-20,DIS,22.72,29.58,27.6
2024-09-23,DIS,21.68,29.39,27.47
2024-09-24,DIS,21.21,28.94,26.86
2024-09-25,DIS,21.77,29.99,27.73
2024-09-26,DIS,22.67,30.05,27.58
2024-09-27,DIS,23.04,30.11,27.88
2024-09-30,DIS,22.68,30.5,28.11
2024-10-01,DIS,24.2,30.75,28.53
2024-10-02,DIS,24.12,31.45,29.09
2024-10-03,DIS,24.25,32,29.37
2024-10-04,DIS,23.07,30.81,28.33
2024-10-07,DIS,27.38,33.11,30.84
2024-10-08,DIS,26.57,31.95,29.51
2024-10-09,DIS,26.28,31.63,29.21
2024-10-10,DIS,25.82,30.89,29.06
2024-10-11,DIS,27.34,31.37,28.88
2024-10-14,DIS,31.96,30.91,28.01
2024-10-15,DIS,33.82,31.56,29.26
2024-10-16,DIS,35.53,30.66,28.3
2024-10-17,DIS,37.82,31.78,28.98
2024-10-18,DIS,37.59,31.1,28.42
2024-10-21,DIS,37.77,29.77,28.14
2024-10-22,DIS,37.95,30.87,28.48
2024-10-23,DIS,37.32,31.14,28.08
2024-10-24,DIS,37.79,30.98,28.86
2024-10-25,DIS,38.06,31.8,29.34
2024-10-28,DIS,38.61,31.95,29.29
2024-10-29,DIS,38.58,31.34,29.05
2024-10-30,DIS,39.98,33.66,30.77
2024-10-31,DIS,41.28,34.77,32.34
2024-11-01,DIS,40.93,35.09,32.41
2024-11-04,DIS,41.7,33.89,31.43
2024-11-05,DIS,42.7,35.4,32.67
2024-11-06,DIS,37.96,30.81,29.06
2024-11-07,DIS,37.08,29.58,28.73
2024-11-08,DIS,36.41,30.63,28.48
2024-11-11,DIS,38.51,30.79,29.16
2024-11-12,DIS,39,31.33,29.92
2024-11-13,DIS,37.58,30.74,28.91
2024-11-14,DIS,22.65,21.22,23.05
2024-11-15,DIS,23.58,22.34,25.15
2024-11-18,DIS,21.84,21.15,23.81
2024-11-19,DIS,20.77,20.35,23.6
2024-11-20,DIS,21.26,20.59,23.93
2024-11-21,DIS,20.52,20.22,24.09
2024-11-22,DIS,19.29,19.9,23.79
2024-11-25,DIS,17.97,20.17,23.85
2024-11-26,DIS,17.51,19.79,23.26
2024-11-27,DIS,17.85,20.32,23.77
2024-11-29,DIS,17.99,20.65,24.17
2024-12-02,DIS,18.04,21.13,24.03
2024-12-03,DIS,17.45,21.11,23.93
2024-12-04,DIS,17.64,21.66,23.89
2024-12-05,DIS,17.61,21.13,23.8
2024-12-06,DIS,17.22,21.02,23.76
2024-12-09,DIS,19.31,22.41,24.85
2024-12-10,DIS,19.02,22.65,24.79
2024-12-11,DIS,19.04,22.27,24.54
2024-12-12,DIS,18.95,21.65,25.02
2024-12-13,DIS,18.8,22.41,25.1
2024-12-16,DIS,19.62,23.49,24.27
2024-12-17,DIS,20.96,24.62,25.39
2024-12-18,DIS,23.37,27.03,26.41
2024-12-19,DIS,24.8,27.57,27.71
2024-12-20,DIS,22.65,25.92,26.05
2024-12-23,DIS,20.54,26.69,25.54
2024-12-24,DIS,19.39,26.14,24.68
2024-12-26,DIS,19.08,25.45,24.14
2024-12-27,DIS,20.04,26.45,25.17
2024-12-30,DIS,20.39,26.7,25.21
2024-12-31,DIS,20.26,26.39,25.08
2025-01-02,DIS,21.02,27.36,25.23
2025-01-03,DIS,21.37,27.02,25.33
2025-01-06,DIS,26.89,27.48,25.4
2025-01-07,DIS,29.96,28.31,26.4
2025-01-08,DIS,31.93,28.69,26.25
2025-01-10,DIS,34.58,29.16,26.65
2025-01-13,DIS,34.71,28.69,26.6
2025-01-14,DIS,34.3,28.37,26.24
2025-01-15,DIS,33.29,27.26,25.11
2025-01-16,DIS,33.49,27.3,25.17
2025-01-17,DIS,32.44,26.72,24.49
2025-01-21,DIS,32.65,26.06,24.52
2025-01-22,DIS,33.54,27.05,25.36
2025-01-23,DIS,34.42,27.62,25.68
2025-01-24,DIS,33.9,27.67,25.47
2025-01-27,DIS,34.32,28.08,26.3
2025-01-28,DIS,35.32,28.71,26.94
2025-01-29,DIS,36.12,29.55,27.52
2025-01-30,DIS,36.15,29.51,27.43
2025-01-31,DIS,37.46,30.49,28.32
2025-02-03,DIS,36.95,30.37,28.49
2025-02-04,DIS,37.38,30.68,28.54
2025-02-05,DIS,21.3,20.17,20.98
2025-02-06,DIS,20.98,20.56,23.51
2025-02-07,DIS,20.83,20.48,23.52
2025-02-10,DIS,20.53,20.54,23.9
2025-02-11,DIS,20.06,19.98,23.88
2025-02-12,DIS,19.96,20,23.95
2025-02-13,DIS,19.64,19.71,24.2
2025-02-14,DIS,19.43,19.73,24.41
2025-02-18,DIS,20.04,20.04,24.44
2025-02-19,DIS,19.96,20.3,24.78
2025-02-20,DIS,20.65,20.72,25.29
2025-02-21,DIS,22.6,22.69,26.27
2025-02-24,DIS,22.58,22.82,25.79
2025-02-25,DIS,23.99,24.15,26.65
2025-02-26,DIS,24.03,24.26,26.62
2025-02-27,DIS,25.27,25.53,27.38
2025-02-28,DIS,24.26,24.89,27.01
2025-03-03,DIS,25.64,26.8,27.79
2025-03-04,DIS,26.46,27.33,28.26
2025-03-05,DIS,25.33,26.72,27.52
2025-03-06,DIS,27.79,28.52,29.22
2025-03-07,DIS,27.37,28.27,28.97
2025-03-10,DIS,31.05,31.23,30.91
2025-03-11,DIS,31.71,32.17,31.57
2025-03-12,DIS,29.64,31.51,30.71
2025-03-13,DIS,30.61,31.61,31.4
2025-03-14,DIS,27.31,30.77,29.84
2025-03-17,DIS,25.27,30.85,28.91
2025-03-18,DIS,26.26,31.69,29.34
2025-03-19,DIS,24.61,30.85,28.58
2025-03-20,DIS,24.69,30.99,28.82
2025-03-21,DIS,23.77,30.59,28.43
2025-03-24,DIS,22.74,29.5,27.05
2025-03-25,DIS,22.77,29.57,27.36
2025-03-26,DIS,23.54,30.09,27.75
2025-03-27,DIS,23.56,29.94,27.66
2025-03-28,DIS,25.71,31.83,29.34
2025-03-31,DIS,25.69,31.6,28.91
2025-04-01,DIS,25.63,31.72,28.97
2025-04-02,DIS,25.38,31.98,29.09
2025-04-03,DIS,33.24,37.71,34.35
2025-04-04,DIS,45.86,45.88,41.24
2025-04-07,DIS,53.72,47.9,43.44
2025-04-08,DIS,59.93,51.35,45.99
2025-04-09,DIS,40.86,36.18,32.77
2025-04-10,DIS,55.52,44.49,41.34
2025-04-11,DIS,52.26,42.5,39.39
2025-04-14,DIS,45.57,38.29,35.5
2025-04-15,DIS,43.57,37.11,34.3
2025-04-16,DIS,46.36,39.2,36.5
2025-04-17,DIS,43.47,37.37,35.05
2025-04-21,DIS,46.15,39.17,37.06
2025-04-22,DIS,43.37,36.93,35.39
2025-04-23,DIS,42.81,36.77,34.78
2025-04-24,DIS,41.92,35.47,33.57
2025-04-25,DIS,40.4,34.31,32.71
2025-04-28,DIS,41.12,34.85,33.51
2025-04-29,DIS,39.97,34.31,33.15
2025-04-30,DIS,40.97,34.93,33.99
2025-05-01,DIS,40.37,34.38,33.37
2025-05-02,DIS,38.63,32.56,31.8
2025-05-05,DIS,40.5,33.66,33.32
2025-05-06,DIS,39.46,33.45,33.09
2025-05-07,DIS,26.68,25.9,27.94
2025-05-08,DIS,24.85,25.21,27.42
2025-05-09,DIS,23.97,24.68,27.22
2025-05-12,DIS,22.57,22.7,25.8
2025-05-13,DIS,22.71,22.86,25.28
2025-05-14,DIS,23.39,23.47,26.41
2025-05-15,DIS,22.77,22.7,26.38
2025-05-16,DIS,21.31,22.26,26.06
2025-05-19,DIS,21.91,22.54,26.98
2025-05-20,DIS,21.76,22.62,27.22
2025-05-21,DIS,23.17,24.18,28.1
2025-05-22,DIS,21.93,22.97,27.25
2025-05-23,DIS,22.63,23.98,27.96
2025-05-27,DIS,21.9,23.41,26.93
2025-05-28,DIS,21.99,24.13,27.41
2025-05-29,DIS,21.88,24.53,27.59
2025-05-30,DIS,21.27,24.21,27.12
2025-06-02,DIS,20.67,24.77,27.14
2025-06-03,DIS,20.07,24.59,26.98
2025-06-04,DIS,20.3,24.89,26.94
2025-06-05,DIS,20.73,24.83,27.44
2025-06-06,DIS,19.61,24.18,26.5
2025-06-09,DIS,19.1,24.72,26.25
2025-06-10,DIS,20.67,26.13,27.12
2025-06-11,DIS,20.64,26.3,27.29
2025-06-12,DIS,20.47,25.99,26.89
2025-06-13,DIS,21.51,27.49,27.53
2025-06-16,DIS,20.42,28.16,26.87
2025-06-17,DIS,21.8,28.94,27.66
2025-06-18,DIS,21.16,28.32,26.65
2025-06-20,DIS,20.35,28.38,27.07
2025-06-23,DIS,20.73,27.59,26.5
2025-06-24,DIS,18.58,26.56,24.95
2025-06-25,DIS,18.62,26.86,25.03
2025-06-26,DIS,17.97,26.49,25.11
2025-06-27,DIS,18.29,26.78,25.24
2025-06-30,DIS,18.62,26.66,25.09
2025-07-01,DIS,18.59,26.24,24.87
2025-07-02,DIS,18.88,26.52,24.97
2025-07-03,DIS,18.36,26.22,24.55
2025-07-07,DIS,26.4,27.32,25.78
2025-07-08,DIS,27.53,26.57,25.05
2025-07-09,DIS,29.14,26.05,24.46
2025-07-10,DIS,30.84,26.18,24.71
2025-07-11,DIS,31.37,26.57,25.05
2025-07-14,DIS,31.71,26.94,25.04
2025-07-15,DIS,31.29,26.71,25.14
2025-07-16,DIS,31.58,26.92,24.95
2025-07-17,DIS,31.28,26.99,25.58
2025-07-18,DIS,31.01,26.45,24.7
