tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,DLTR,50.66,40.75,39.25
2024-06-04,DLTR,47.32,39.37,37.84
2024-06-05,DLTR,26.15,25.9,29.67
2024-06-06,DLTR,24.53,26.06,29.12
2024-06-07,DLTR,24.4,25.34,29.23
2024-06-10,DLTR,25.2,24.84,29.7
2024-06-11,DLTR,25.58,24.8,29.87
2024-06-12,DLTR,23.58,25.16,29.76
2024-06-13,DLTR,23.72,24.27,30.37
2024-06-14,DLTR,23.95,25.3,31.12
2024-06-17,DLTR,24.63,25.97,31.98
2024-06-18,DLTR,23.86,25.08,32.24
2024-06-20,DLTR,25.61,27.01,32.96
2024-06-21,DLTR,24.99,26.51,33.02
2024-06-24,DLTR,24.93,26.82,33.04
2024-06-25,DLTR,24.82,27.43,33.23
2024-06-26,DLTR,25.45,27.94,32.95
2024-06-27,DLTR,25.75,28.46,34.43
2024-06-28,DLTR,24.55,29.5,34.29
2024-07-01,DLTR,25.82,30.22,35.15
2024-07-02,DLTR,25.23,30.38,34.52
2024-07-03,DLTR,26.04,31.86,34.47
2024-07-05,DLTR,26.58,32.64,33.66
2024-07-08,DLTR,27.01,32.94,34.76
2024-07-09,DLTR,27.33,33.8,35.09
2024-07-10,DLTR,28.82,34.3,35.8
2024-07-11,DLTR,29.13,37.38,36.25
2024-07-12,DLTR,28.02,34.3,35.55
2024-07-15,DLTR,30.06,36.43,36.65
2024-07-16,DLTR,30.2,39.78,37.32
2024-07-17,DLTR,31.34,39.68,37.79
2024-07-18,DLTR,32.69,42.23,39.31
2024-07-19,DLTR,33.28,41.74,38.63
2024-07-22,DLTR,34.77,41.99,39.01
2024-07-23,DLTR,34.7,41.91,38.85
2024-07-24,DLTR,35.67,44.21,40.63
2024-07-25,DLTR,37.52,44.32,40.92
2024-07-26,DLTR,37.2,45.02,41.91
2024-07-29,DLTR,43.71,45.81,42.24
2024-07-30,DLTR,46.9,46.25,42.83
2024-07-31,DLTR,42.09,44.84,41.9
2024-08-01,DLTR,46.62,46.69,43.13
2024-08-02,DLTR,50.98,50.66,45.83
2024-08-05,DLTR,57.95,52.39,47.58
2024-08-06,DLTR,54.55,49.55,44.85
2024-08-07,DLTR,56.4,50.89,46.27
2024-08-08,DLTR,55.61,50.8,45.76
2024-08-09,DLTR,57.72,50.46,45.82
2024-08-12,DLTR,61.69,51.42,47.27
2024-08-13,DLTR,62.13,51.76,47.05
2024-08-14,DLTR,63.02,51.81,47.25
2024-08-15,DLTR,55.75,45.98,43.65
2024-08-16,DLTR,54.06,44.87,42.69
2024-08-19,DLTR,54.28,45,42.62
2024-08-20,DLTR,55.9,46.23,43.69
2024-08-21,DLTR,54.84,45.5,43.39
2024-08-22,DLTR,56.1,46.4,44.35
2024-08-23,DLTR,56.86,47.34,43.8
2024-08-26,DLTR,60.47,49.5,46.97
2024-08-27,DLTR,60.4,49.01,46.86
2024-08-28,DLTR,59.73,49.26,47.27
2024-08-29,DLTR,64.82,52.54,49.87
2024-08-30,DLTR,60.42,49.7,48.69
2024-09-03,DLTR,68.76,52.76,51.33
2024-09-04,DLTR,42.81,41.26,44.61
2024-09-05,DLTR,39.21,37.18,41.85
2024-09-06,DLTR,39.85,39.93,43.94
2024-09-09,DLTR,39.5,39.47,45.11
2024-09-10,DLTR,40.56,40.99,46.54
2024-09-11,DLTR,39.47,40.03,45.89
2024-09-12,DLTR,39.04,40.15,46.89
2024-09-13,DLTR,38.25,39.49,46.71
2024-09-16,DLTR,39.77,41.25,47.77
2024-09-17,DLTR,40.74,41.43,48.22
2024-09-18,DLTR,39.45,38.84,48.37
2024-09-19,DLTR,38.23,40.2,48.14
2024-09-20,DLTR,36.24,41.23,48.46
2024-09-23,DLTR,37.09,41,48.97
2024-09-24,DLTR,37.2,42.13,48.93
2024-09-25,DLTR,37.45,42.48,49.55
2024-09-26,DLTR,37.89,43.4,49.33
2024-09-27,DLTR,38.24,44.54,50.48
2024-09-30,DLTR,39.74,46.83,51.93
2024-10-01,DLTR,40.81,47.02,52.16
2024-10-02,DLTR,41.28,49.41,54.01
2024-10-03,DLTR,41.82,52.06,54.47
2024-10-04,DLTR,40.77,50.94,53.31
2024-10-07,DLTR,44.66,52.59,54.87
2024-10-08,DLTR,44.21,54.04,55.12
2024-10-09,DLTR,44.58,52.1,54.03
2024-10-10,DLTR,43.99,56.5,53.81
2024-10-11,DLTR,43.29,51.88,53.04
2024-10-14,DLTR,45,55.04,53.91
2024-10-15,DLTR,45.71,55.57,54.13
2024-10-16,DLTR,44.73,56.22,53.49
2024-10-17,DLTR,44.47,55.34,54.3
2024-10-18,DLTR,45.59,58.02,54.45
2024-10-21,DLTR,47.57,60.32,55.39
2024-10-22,DLTR,48.77,60.6,55.84
2024-10-23,DLTR,50.01,61.87,56.4
2024-10-24,DLTR,48.43,62.36,56.08
2024-10-25,DLTR,49.57,62.44,57.64
2024-10-28,DLTR,55.53,63.26,57.84
2024-10-29,DLTR,55.73,64.13,58.7
2024-10-30,DLTR,61.03,67.19,60.43
2024-10-31,DLTR,64.27,70.74,63.83
2024-11-01,DLTR,63.06,71,64.02
2024-11-04,DLTR,73.63,71.2,64.37
2024-11-05,DLTR,76.69,67.96,61.25
2024-11-06,DLTR,73.51,63.75,58.04
2024-11-07,DLTR,77.04,62.75,57.71
2024-11-08,DLTR,77.2,64.26,58.84
2024-11-11,DLTR,81.73,67.25,61.35
2024-11-12,DLTR,82.22,68.6,61.99
2024-11-13,DLTR,83.16,68,61.92
2024-11-14,DLTR,83.41,68.96,62.24
2024-11-15,DLTR,86.75,69.93,63.36
2024-11-18,DLTR,86.82,69.35,62.87
2024-11-19,DLTR,86.61,70.21,63.2
2024-11-20,DLTR,88.29,70.77,64.18
2024-11-21,DLTR,89.82,71.95,64.65
2024-11-22,DLTR,88.1,69.92,63.33
2024-11-25,DLTR,89.47,71.19,64.4
2024-11-26,DLTR,88.82,70.63,64.1
2024-11-27,DLTR,83.82,67.2,61.78
2024-11-29,DLTR,91.81,66.79,61.97
2024-12-02,DLTR,82.18,65.26,62.5
2024-12-03,DLTR,77.6,64.58,60.88
2024-12-04,DLTR,41.45,40.65,43.4
2024-12-05,DLTR,40.88,41.47,44.5
2024-12-06,DLTR,40.07,40.46,44.19
2024-12-09,DLTR,41.64,41.21,45.82
2024-12-10,DLTR,40.73,41.44,45.34
2024-12-11,DLTR,40.22,40.74,46.1
2024-12-12,DLTR,39.88,40.33,46.64
2024-12-13,DLTR,39.2,40.84,46.14
2024-12-16,DLTR,40.69,40.29,47.64
2024-12-17,DLTR,40.49,41.01,48.25
2024-12-18,DLTR,42.4,42.27,49.49
2024-12-19,DLTR,44.31,43.12,49.81
2024-12-20,DLTR,40.83,40.42,49.88
2024-12-23,DLTR,40.39,39.73,49.99
2024-12-24,DLTR,37.42,37.32,48.23
2024-12-26,DLTR,37.74,39.25,48.28
2024-12-27,DLTR,37.16,38.86,47.06
2024-12-30,DLTR,37.21,39.79,47.43
2024-12-31,DLTR,38.29,41.09,48.15
2025-01-02,DLTR,38.52,41.91,48.53
2025-01-03,DLTR,39.68,43.89,49.29
2025-01-06,DLTR,40.77,45.59,49.15
2025-01-07,DLTR,40.95,46.22,49.38
2025-01-08,DLTR,43.56,46.67,50.69
2025-01-10,DLTR,43.99,48.69,50.98
2025-01-13,DLTR,45.21,49.39,51.1
2025-01-14,DLTR,45.09,50.78,51.04
2025-01-15,DLTR,43.45,50.15,50.27
2025-01-16,DLTR,44.67,51.7,50.93
2025-01-17,DLTR,44.66,52.23,50.62
2025-01-21,DLTR,40.31,52.49,48.76
2025-01-22,DLTR,40.5,52.97,48.89
2025-01-23,DLTR,42.47,53.14,49.63
2025-01-24,DLTR,42.23,53.13,49.29
2025-01-27,DLTR,43.35,53.88,49.45
2025-01-28,DLTR,42.91,53.82,49.67
2025-01-29,DLTR,42.62,54.32,50.24
2025-01-30,DLTR,43.62,55.19,50.7
2025-01-31,DLTR,45.99,56.93,52.37
2025-02-03,DLTR,52.08,58.13,53.25
2025-02-04,DLTR,52.67,57.4,52.68
2025-02-05,DLTR,52.88,56.83,52.11
2025-02-06,DLTR,53.64,55.53,51.56
2025-02-07,DLTR,54.64,55.95,51.77
2025-02-10,DLTR,58.92,55.74,51.42
2025-02-11,DLTR,54.97,55.89,51.56
2025-02-12,DLTR,54.69,55.58,51.13
