tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,DVN,24.33,25.15,26.26
2024-06-04,DVN,24.11,25.35,26.12
2024-06-05,DVN,23.49,24.88,25.84
2024-06-06,DVN,22.64,24.9,26.1
2024-06-07,DVN,22.24,23.8,25.17
2024-06-10,DVN,22.21,24.51,25.56
2024-06-11,DVN,21.88,24.49,25.62
2024-06-12,DVN,26.25,24.24,24.66
2024-06-13,DVN,22.47,27.89,26.06
2024-06-14,DVN,23.07,25.05,25.91
2024-06-17,DVN,23.39,26.44,25.93
2024-06-18,DVN,23.49,25.78,25.38
2024-06-20,DVN,23.15,25.45,25.43
2024-06-21,DVN,22.15,25.25,25.41
2024-06-24,DVN,22.19,25.31,24.98
2024-06-25,DVN,21.79,25.46,25.25
2024-06-26,DVN,20.67,25.29,24.83
2024-06-27,DVN,21.82,25.49,25.01
2024-06-28,DVN,21.1,25.36,24.94
2024-07-01,DVN,21.65,25.84,25.12
2024-07-02,DVN,22.64,25.63,24.75
2024-07-03,DVN,21.63,25.55,24.66
2024-07-05,DVN,23.34,25.74,25.45
2024-07-08,DVN,25.77,26.1,25.2
2024-07-09,DVN,27.66,26.4,25.74
2024-07-10,DVN,26.9,26.36,25.75
2024-07-11,DVN,28.87,25.87,25.39
2024-07-12,DVN,28.02,24.94,24.52
2024-07-15,DVN,28.7,25.59,25.21
2024-07-16,DVN,28.35,25.64,25.34
2024-07-17,DVN,28.36,25.9,25.02
2024-07-18,DVN,28.56,26.57,25.89
2024-07-19,DVN,29.12,26.87,26.16
2024-07-22,DVN,29,27.01,25.52
2024-07-23,DVN,30.25,27.45,26.14
2024-07-24,DVN,31.11,28.52,26.88
2024-07-25,DVN,30.39,28.18,26.93
2024-07-26,DVN,29.56,27.98,26.63
2024-07-29,DVN,31,28.63,27.73
2024-07-30,DVN,32.5,28.33,27.74
2024-07-31,DVN,30.64,28.22,27.52
2024-08-01,DVN,32.36,30.73,29.51
2024-08-02,DVN,37.38,35.14,33.39
2024-08-05,DVN,41.64,38.94,37.08
2024-08-06,DVN,37.63,34.7,34.09
2024-08-07,DVN,29.6,32.44,32.48
2024-08-08,DVN,29.92,29.73,30.6
2024-08-09,DVN,27.4,28,29.13
2024-08-12,DVN,28.06,27.93,29.03
2024-08-13,DVN,27.36,26.2,27.42
2024-08-14,DVN,26.34,25.86,27.26
2024-08-15,DVN,24.46,24.24,25.83
2024-08-16,DVN,23.64,24.32,25.82
2024-08-19,DVN,22.85,23.27,25.44
2024-08-20,DVN,24.17,23.77,25.58
2024-08-21,DVN,24.43,24.52,26.59
2024-08-22,DVN,25.12,24.89,26.79
2024-08-23,DVN,22.86,23.91,25.58
2024-08-26,DVN,23.49,24.56,25.94
2024-08-27,DVN,24,24.62,26.18
2024-08-28,DVN,24.62,25.49,26.88
2024-08-29,DVN,23.87,24.65,26.37
2024-08-30,DVN,23.53,24.13,25.94
2024-09-03,DVN,26.84,27.63,28.68
2024-09-04,DVN,28.44,28.77,29.55
2024-09-05,DVN,27.61,28.32,29.8
2024-09-06,DVN,29.48,29.75,30.76
2024-09-09,DVN,28.58,30.18,30.87
2024-09-10,DVN,30.13,30.39,31.77
2024-09-11,DVN,30.54,30.89,32.24
2024-09-12,DVN,28.35,30.41,31.43
2024-09-13,DVN,27.27,29.24,31.09
2024-09-16,DVN,28.87,29.38,31.72
2024-09-17,DVN,27.62,29.2,30.83
