tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,EL,29.01,30.08,31.96
2024-06-04,EL,27.99,29.68,31.87
2024-06-05,EL,28.65,30.1,31.82
2024-06-06,EL,27.42,28.8,31.06
2024-06-07,EL,26.32,28.84,30.92
2024-06-10,EL,27.64,28.97,31.41
2024-06-11,EL,28.35,29.5,31.68
2024-06-12,EL,27.97,28.13,30.76
2024-06-13,EL,28.8,28.92,31.66
2024-06-14,EL,28.56,30.69,32.99
2024-06-17,EL,28.85,30.02,32.1
2024-06-18,EL,28.2,30.61,33.27
2024-06-20,EL,29.67,30.33,33
2024-06-21,EL,28.23,29.46,32.29
2024-06-24,EL,28.14,29.27,32.52
2024-06-25,EL,27.77,29.99,33.17
2024-06-26,EL,28.78,30.77,34.89
2024-06-27,EL,28.54,30.66,37.08
2024-06-28,EL,31.12,35.09,40.32
2024-07-01,EL,31.5,36.09,39.39
2024-07-02,EL,30.94,35.81,39.57
2024-07-03,EL,31.2,41.24,39.36
2024-07-05,EL,31.21,41.91,39.36
2024-07-08,EL,32.61,42.78,40.03
2024-07-09,EL,33.05,43.09,39.87
2024-07-10,EL,33.34,43.94,41.12
2024-07-11,EL,33.8,44.45,40.67
2024-07-12,EL,33.12,44.07,40.99
2024-07-15,EL,34.25,44.81,41.19
2024-07-16,EL,34.01,44.37,41.13
2024-07-17,EL,34.12,44.36,41.14
2024-07-18,EL,36.42,44.42,42.26
2024-07-19,EL,38.15,45.1,42.28
2024-07-22,EL,44.95,44.77,41.18
2024-07-23,EL,46.63,44.12,41.11
2024-07-24,EL,50.39,45.59,42.95
2024-07-25,EL,52.8,45.74,43.07
2024-07-26,EL,52.14,45.15,43.18
2024-07-29,EL,53.24,45.6,42.86
2024-07-30,EL,55.78,47.23,44.17
2024-07-31,EL,54.44,45.33,43.27
2024-08-01,EL,57.08,46.77,44.48
2024-08-02,EL,59.22,50.71,47.49
2024-08-05,EL,65.77,54.67,51.71
2024-08-06,EL,59.67,50.86,47.83
2024-08-07,EL,60.07,51.54,48.58
2024-08-08,EL,59.06,50.62,48.33
2024-08-09,EL,60.04,50.42,48.4
2024-08-12,EL,61.62,51.95,49.3
2024-08-13,EL,58.97,49.82,48.55
2024-08-14,EL,57.9,48.38,46.61
2024-08-15,EL,54.79,46.02,44.86
2024-08-16,EL,53.56,45.47,44.16
2024-08-19,EL,33.69,33.55,35.02
2024-08-20,EL,35.69,35.85,37.31
2024-08-21,EL,34.65,35.61,37.09
2024-08-22,EL,35.58,35.82,37.32
2024-08-23,EL,32.58,34.07,36.03
2024-08-26,EL,33.91,34.48,36.46
2024-08-27,EL,32.84,35.2,36.55
2024-08-28,EL,34.32,35.05,36.68
2024-08-29,EL,33.77,37.38,41.45
2024-08-30,EL,31.76,35.96,40
2024-09-03,EL,35.85,40.11,42.64
2024-09-04,EL,35.99,40.5,42.46
2024-09-05,EL,36.75,39.99,43.29
2024-09-06,EL,38.23,41.55,44.1
2024-09-09,EL,37.38,42.81,44.29
2024-09-10,EL,38.07,44.22,44.99
2024-09-11,EL,37.67,43.6,44.44
2024-09-12,EL,37.61,45.99,43.99
2024-09-13,EL,36.59,44.26,43.77
2024-09-16,EL,37.49,46.6,44.81
2024-09-17,EL,37.5,45.28,43.54
2024-09-18,EL,36.87,46.28,43.97
2024-09-19,EL,34.9,45.24,42.91
2024-09-20,EL,36.21,45.53,42.89
2024-09-23,EL,34.77,45.1,42.5
2024-09-24,EL,38.5,46.16,43.29
2024-09-25,EL,37.96,46.33,43.67
2024-09-26,EL,38.17,46.97,44.41
2024-09-27,EL,38.54,45.94,43.31
2024-09-30,EL,46.43,47.09,44.7
2024-10-01,EL,49.5,47.79,44.75
2024-10-02,EL,50.83,47.37,44.62
2024-10-03,EL,53.43,48.12,45.29
2024-10-04,EL,53.36,48.03,45.09
2024-10-07,EL,56.35,48.6,44.73
2024-10-08,EL,54.23,48.23,44.9
2024-10-09,EL,53.13,46.5,42.43
2024-10-10,EL,53.74,48.05,43.37
2024-10-11,EL,53.79,47.69,43.34
