tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,EMR,17.48,17.06,19.13
2024-06-04,EMR,17.04,16.82,18.48
2024-06-05,EMR,16.36,17.4,18.5
2024-06-06,EMR,16.45,18.65,19.1
2024-06-07,EMR,16.75,17.9,17.79
2024-06-10,EMR,16.44,18.12,18.69
2024-06-11,EMR,17.13,18.05,19.03
2024-06-12,EMR,16.21,17.76,18.3
2024-06-13,EMR,17.5,16.87,18.12
2024-06-14,EMR,17.77,19.73,20.12
2024-06-17,EMR,17.76,19.03,19.55
2024-06-18,EMR,17.75,19.97,20.23
2024-06-20,EMR,17.89,20.74,19.1
2024-06-21,EMR,16.58,18.64,18.23
2024-06-24,EMR,16.57,20.44,19.33
2024-06-25,EMR,16.72,19.62,19.58
2024-06-26,EMR,16.17,18.13,19.75
2024-06-27,EMR,14.77,21.17,20.18
2024-06-28,EMR,16.64,21.22,20.83
2024-07-01,EMR,18.5,21.49,21.08
2024-07-02,EMR,18.49,21.24,20.84
2024-07-03,EMR,18.39,21.39,21.26
2024-07-05,EMR,19.74,21.05,21.16
2024-07-08,EMR,20.48,21.57,21.21
2024-07-09,EMR,22.2,22.05,21.2
2024-07-10,EMR,23.19,21.71,21.1
2024-07-11,EMR,23.22,21.05,20.67
2024-07-12,EMR,21.65,20.08,20.04
2024-07-15,EMR,25.13,20.66,20.24
2024-07-16,EMR,23.87,21.83,21.59
2024-07-17,EMR,25.71,21.28,21.1
2024-07-18,EMR,26.05,23.25,22.88
2024-07-19,EMR,26.41,21.98,22.22
2024-07-22,EMR,26.1,21.82,21.62
2024-07-23,EMR,28.77,22.21,22.46
2024-07-24,EMR,26.49,23.26,22.89
2024-07-25,EMR,27.11,23.61,23.29
2024-07-26,EMR,27.18,24.42,24.28
2024-07-29,EMR,27.47,24.35,24.43
2024-07-30,EMR,27.58,23.92,24.25
2024-07-31,EMR,28.46,22.2,21.75
2024-08-01,EMR,31.18,26.27,26.31
2024-08-02,EMR,35.68,30.74,29.66
2024-08-05,EMR,41.55,35.74,34.56
2024-08-06,EMR,35.35,31.53,30.78
2024-08-07,EMR,31.18,28.28,28.22
2024-08-08,EMR,26.8,24.29,24.56
2024-08-09,EMR,23.69,22.23,22.78
2024-08-12,EMR,23.16,23.52,23.86
2024-08-13,EMR,22.04,22.4,22.61
2024-08-14,EMR,20.96,21.89,22.06
2024-08-15,EMR,18.67,19.82,20.62
2024-08-16,EMR,18.6,19.66,20.34
2024-08-19,EMR,17.14,18.62,19.78
2024-08-20,EMR,19.57,18.73,20
2024-08-21,EMR,19.64,19.3,19.97
2024-08-22,EMR,20.23,20.35,20.87
2024-08-23,EMR,19.43,19.58,20.08
2024-08-26,EMR,19.25,19.13,19.95
2024-08-27,EMR,20.09,20.06,21.06
2024-08-28,EMR,20.24,20.81,21.58
2024-08-29,EMR,18.81,19.73,20.94
2024-08-30,EMR,17.33,18.62,19.97
2024-09-03,EMR,21.2,22.54,23.27
