ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
EOG,2007-01-03,35.33,1.03362,1.97332,0.0374,0.0198,29.7,35.34,34.78,34.22,0.4
EOG,2007-01-04,35.31,1.23573,1.95303,0.0239,0.0271,33.28,34.95,34.8,34.19,0.4
EOG,2007-01-05,34.91,1.28352,1.86467,0.0222,0.0331,33.42,35.17,35.18,34.41,0.4
EOG,2007-01-08,36.96,1.67715,1.8558,0.0064,0.0393,34.64,36.82,36.01,34.98,0.4
EOG,2007-01-09,37.23,1.41994,1.75776,0.0284,0.0191,35.52,36.86,36.15,34.95,0.4
EOG,2007-01-10,37.24,1.18449,1.56631,0.0204,0.0325,35.96,36.64,36.07,34.96,0.4
EOG,2007-01-11,37.23,1.3482,1.66118,0.0209,0.0166,36.21,36.71,36,34.84,0.4
EOG,2007-01-12,35.59,1.45594,1.66529,0.0167,0.0262,36.99,34.9,34.56,33.81,0.4
EOG,2007-01-16,36.53,1.36003,1.81159,0.0012,0.0245,38.61,37.41,35.56,34.02,0.4
EOG,2007-01-17,36.27,1.73454,1.67877,0.0011,0.0295,38.78,37.05,35.3,33.9,0.4
EOG,2007-01-18,35.8,1.18406,1.90167,0,0.0106,38.47,36.64,34.83,33.44,0.4
EOG,2007-01-19,33.4,1.62725,1.91605,0.0311,0.034,38.17,34.02,32.61,31.53,0.4
EOG,2007-01-22,32.2,1.28028,2.08594,0.0333,0.0343,38.3,32.18,31.55,31.3,0.4
EOG,2007-01-23,31.03,1.59027,2.0432,0.0196,0.0406,36.72,30.67,30.66,30.14,0.4
EOG,2007-01-24,32.11,1.53705,2.11777,0.0052,0.0252,37.85,31.79,31.44,30.9,0.4
EOG,2007-01-25,32.71,1.21843,1.98026,0.0098,0.0242,37.98,32.58,32.24,31.53,0.4
EOG,2007-01-26,34,1.16797,2.02077,0.0186,0.0258,39.31,33.43,33.38,32.83,0.4
EOG,2007-01-29,33.68,1.36147,2.00247,0.017,0.03,38.83,33.66,32.95,32.32,0.4
EOG,2007-01-30,33.35,1.55703,2.12491,0.0133,0.0289,39.33,32.81,32.7,32.26,0.4
EOG,2007-01-31,32.91,1.94383,2.24183,0.0004,0.0341,41.82,32.49,32.33,31.93,0.4
EOG,2007-02-01,31.94,1.58692,2.42005,0.0184,0.0405,42.7,30.67,31.38,31.43,0.4
EOG,2007-02-02,31.71,1.42543,2.27938,0.0468,0.0461,40,30.57,31.26,31.37,0.4
EOG,2007-02-05,32.52,1.74835,2.13702,0.0004,0.0292,39.68,32.17,31.83,31.39,0.4
EOG,2007-02-06,31.73,1.99099,2.23811,0.0004,0.0246,38.92,31.48,31.23,31.09,0.5
EOG,2007-02-07,31.65,1.72718,2.15211,0.0013,0.0356,38.52,31.38,31.17,30.95,0.5
EOG,2007-02-08,31.18,1.41314,2.19699,0,0.0217,38.37,30.78,30.7,30.49,0.5
EOG,2007-02-09,31.48,1.36817,2.06992,0.0001,0.035,38.15,30.57,31.14,31.09,0.5
EOG,2007-02-12,31.98,1.45276,2.21116,0.0119,0.0272,37.3,31.76,31.46,31.11,0.5
EOG,2007-02-13,30.64,1.501,2.16608,0.0001,0.0336,36.15,29.84,30.33,30.15,0.5
EOG,2007-02-14,30.56,1.32595,2.13339,0.0011,0.0296,35.98,29.27,30.27,30.23,0.5
EOG,2007-02-15,29.83,1.12451,2.07154,0.0011,0.0257,35.97,28.61,29.67,29.76,0.5
EOG,2007-02-16,29.18,1.74558,2.18392,0.0014,0.0238,35.87,28.36,29.04,29.05,0.5
EOG,2007-02-20,28.56,1.80336,2.23354,0.0096,0.0278,33.75,27.47,28.5,28.75,0.4
EOG,2007-02-21,28.91,1.52579,2.19956,0.0001,0.025,33.17,23.44,28.07,28.09,0.4
EOG,2007-02-22,27.98,1.62234,2.13569,0.0001,0.0297,31.72,27.05,28.41,28.57,0.4
EOG,2007-02-23,28.93,1.70075,2.13683,0.0001,0.0288,31.8,26.87,28.2,28.44,0.4
EOG,2007-02-26,29.03,1.61438,2.18704,0.0001,0.0314,30.46,27.33,28.48,28.55,0.4
EOG,2007-02-27,30.76,1.16565,2.19809,0.01,0.0273,30.96,30.78,30.04,29.93,0.4
EOG,2007-02-28,30.27,1.52892,2.07364,0.0001,0.0224,31.91,29.81,29.64,29.65,0.4
EOG,2007-03-01,30.35,1.68629,1.8737,0.0001,0.0388,28.82,30.19,29.77,29.7,0.4
EOG,2007-03-02,30.17,1.31736,2.02132,0.015,0.0204,27.36,29.99,29.75,29.58,0.4
EOG,2007-03-05,31.02,0.170448,1.92854,0.032,0.0218,27.4,31.87,30.64,30.31,0.5
EOG,2007-03-06,30.12,0.940011,1.90773,0.0032,0.0339,27.78,30.68,29.96,29.85,0.4
EOG,2007-03-07,29.39,1.06901,1.88786,0.0312,0.0267,27.63,29.61,29.3,29.32,0.4
EOG,2007-03-08,29.15,1.46099,2.03842,0.0001,0.0244,27.91,29.59,29.12,29.07,0.4
EOG,2007-03-09,28.49,1.02859,2.33566,0.0001,0.0201,27.63,28.86,28.49,28.58,0.4
EOG,2007-03-12,28.35,0.956419,2.00151,0.0001,0.0286,27.61,29.47,28.46,28.42,0.4
EOG,2007-03-13,28.56,0.795977,2.21594,0.0001,0.0202,27.5,28.76,28.75,28.73,0.4
EOG,2007-03-14,27.61,0.999098,2.27221,0.0001,0.0244,27.48,27.62,27.84,28.1,0.4
EOG,2007-03-15,27.18,0.780344,2.17362,0.0001,0.0253,28.18,27.2,27.56,27.94,0.4
EOG,2007-03-16,27.27,0.362383,2.09082,0.0001,0.0278,28.22,27.51,27.69,27.88,0.4
EOG,2007-03-19,25.3,1.41877,2.20135,0.0018,0.0333,28.62,24.93,27.52,27.35,0.5
EOG,2007-03-20,24.52,1.48156,2.41782,0.0134,0.0214,28.27,23.96,26.74,26.67,0.4
EOG,2007-03-21,24.6,1.46481,2.38141,0.0159,0.0209,28.65,23.61,26.4,26.46,0.4
EOG,2007-03-22,24.42,1.26877,2.45678,0.0092,0.0305,29.1,24.08,26.94,26.52,0.4
EOG,2007-03-23,25.34,1.2311,2.53323,0.0106,0.028,29.24,25.01,27.03,26.83,0.4
EOG,2007-03-26,25.75,1.30416,2.22077,0.0013,0.025,28.84,25.7,27.46,27.07,0.4
EOG,2007-03-27,26.07,1.2609,2.26202,0.024,0.0332,28.64,26.19,27.6,27.16,0.4
EOG,2007-03-28,26.16,0.987372,2.16525,0.0134,0.0269,26.54,26.43,27.89,27.43,0.4
EOG,2007-03-29,25.64,1.63542,2.32652,0.0283,0.0263,26.7,26.28,27.48,26.9,0.4
EOG,2007-03-30,25.2,1.00412,2.27353,0.0303,0.0243,26.05,25.67,27.13,26.65,0.4
EOG,2007-04-02,25.96,1.44077,2.2312,0.003,0.0386,25.54,26.62,27.09,26.59,0.4
EOG,2007-04-03,25.19,1.61153,2.39161,0.018,0.0322,25.19,26.52,27.45,26.64,0.4
EOG,2007-04-04,25.17,1.21977,2.36978,0.0429,0.0485,25.25,25.53,26.96,26.32,0.4
EOG,2007-04-05,25.18,1.24473,2.26974,0.0219,0.0297,24.81,25.17,26.53,26.06,0.4
EOG,2007-04-09,25.56,1.30992,2.28507,0.0194,0.0454,24.72,27.13,27.12,26.26,0.4
EOG,2007-04-10,25.52,1.20378,2.32948,0.0574,0.0413,24.94,26.75,26.98,26.1,0.4
EOG,2007-04-11,26.13,1.07859,2.25047,0.0244,0.0407,25.48,27.14,27.19,26.37,0.3
EOG,2007-04-12,25.89,1.90593,2.49632,0.0009,0.0398,25.08,27.77,27.48,26.46,0.5
EOG,2007-04-13,26.8,1.42492,2.32336,0.0003,0.0413,25.12,27.51,27.53,26.79,0.5
EOG,2007-04-16,27.16,1.1503,2.41243,0.0013,0.0558,24.99,28.65,27.88,26.93,0.5
EOG,2007-04-17,29.49,1.3732,2.34875,0.0128,0.0395,24.66,30.19,29.04,28.09,0.5
EOG,2007-04-18,29.68,1.28303,2.35704,0.0444,0.0222,25.25,30.3,29.08,28.11,0.5
EOG,2007-04-19,28.37,1.42278,2.28613,0.0032,0.0275,25.1,29.74,28.62,27.77,0.5
EOG,2007-04-20,28.47,1.7524,2.45137,0.0283,0.0372,24.28,28.9,28.01,27.33,0.5
EOG,2007-04-23,27.03,1.71195,2.70548,0.0331,0.0489,23.73,28.41,27.11,26.77,0.5
EOG,2007-04-24,26.07,1.65587,2.75501,0.0325,0.0273,24.07,28.46,26.7,26.44,0.5
EOG,2007-04-25,26.03,1.25507,2.92239,0.0252,0.0263,23.39,27.32,26.09,25.97,0.5
EOG,2007-04-26,26.21,1.62122,2.57403,0.0336,0.0322,23.66,27.31,26.41,26.14,0.5
EOG,2007-04-27,26.57,1.66661,2.60619,0.0377,0.0436,23.31,26.53,26.35,26.13,0.5
EOG,2007-04-30,26.71,1.31657,2.62211,0.0127,0.0231,23.35,27.89,26.79,26.39,0.5
EOG,2007-05-01,26.68,1.43032,2.66584,0.0374,0.0405,23.79,26.04,26.58,26.11,0.5
EOG,2007-05-02,26.46,1.68942,2.89639,0.0237,0.0567,26.02,26.78,26.21,25.92,0.5
EOG,2007-05-03,26.45,1.71719,2.87999,0.0041,0.0455,26.3,25.78,26.29,26.24,0.5
EOG,2007-05-04,27,1.37435,2.7031,0.0013,0.0459,25.74,26.46,26.74,26.56,0.5
EOG,2007-05-07,27.61,1.79856,2.80154,0.0219,0.0383,26.21,27.46,27.36,27.32,0.5
EOG,2007-05-08,27.9,1.36211,2.63037,0.0013,0.0312,25.88,28.12,27.66,27.58,0.5
EOG,2007-05-09,28.25,1.78019,2.73453,0.0481,0.0312,25.68,28.28,27.81,27.62,0.5
EOG,2007-05-10,28.17,1.18708,2.72329,0.0153,0.0297,25.47,28.17,27.89,27.77,0.5
EOG,2007-05-11,27.75,2.24,2.74707,0.0394,0.0534,25.3,27.25,27.41,27.33,0.5
EOG,2007-05-14,28.04,1.94181,2.67263,0.0015,0.034,25.72,28.29,27.76,27.6,0.5
EOG,2007-05-15,28.25,1.26208,2.72105,0.0355,0.0281,25.77,28.08,28.01,27.92,0.5
EOG,2007-05-16,27.95,1.52485,2.73461,0.0105,0.046,25.47,27.8,27.77,27.68,0.5
EOG,2007-05-17,27.69,1.58531,2.59707,0.0023,0.0477,25.48,27.69,27.52,27.46,0.5
EOG,2007-05-18,27.72,1.73004,2.7091,0.0303,0.0504,26.1,27.87,27.56,27.58,0.5
EOG,2007-05-21,28.06,1.26062,2.65633,0.0352,0.0361,27.52,28.1,27.88,27.89,0.5
EOG,2007-05-22,28.2,1.12223,2.57943,0.006,0.0428,27.32,28.07,28.04,28.15,0.5
EOG,2007-05-23,28.53,1.46502,2.51557,0.0041,0.029,27.73,28.65,28.34,28.37,0.5
EOG,2007-05-24,28.49,1.52363,2.70525,0.0051,0.038,27.73,28.09,28.52,28.56,0.5
EOG,2007-05-25,27.9,1.5715,2.57895,0,0.0247,29.54,27.13,28.25,28.37,0.5
EOG,2007-05-29,28.28,1.5465,2.46131,0.016,0.0308,29.71,28.18,28.13,28.28,0.5
EOG,2007-05-30,27.62,1.6872,2.5717,0.0204,0.0298,29.66,27.56,27.49,27.72,0.5
EOG,2007-05-31,28.07,1.28003,2.52299,0.022,0.0385,28.49,27.27,28.04,28.26,0.5
EOG,2007-06-01,28.16,1.4702,2.54484,0.0325,0.0261,28.13,27.34,28.07,28.3,0.5
EOG,2007-06-04,28.28,1.78018,2.59546,0.0048,0.0224,28,28.12,28.21,28.41,0.5
EOG,2007-06-05,28.38,1.24994,2.65695,0.0001,0.0291,28.6,28.32,28.26,28.47,0.5
EOG,2007-06-06,28.85,1.33701,2.64428,0.0451,0.0215,28.73,28.56,28.79,29,0.5
EOG,2007-06-07,29.88,1.5952,2.41678,0.063,0.009,29.83,29.73,29.69,29.57,0.5
EOG,2007-06-08,30,1.71889,2.51392,0.0154,0.0379,30.81,29.26,29.81,29.78,0.5
EOG,2007-06-11,29.45,1.17215,2.46473,0.0388,0.0116,30.54,29.59,29.31,29.38,0.5
EOG,2007-06-12,29.46,1.57413,2.67199,0.04,0.0053,30.37,29.24,29.36,29.49,0.5
EOG,2007-06-13,28.4,1.85508,2.48404,0.0045,0.0319,30.47,28.07,28.37,28.71,0.5
EOG,2007-06-14,27.5,1.45929,2.65761,0.032,0.0343,30.56,26.91,27.58,28.29,0.4
EOG,2007-06-15,27.53,2.06879,2.33375,0.0592,0.0242,31.84,26.95,27.58,28.21,0.4
EOG,2007-06-18,28.03,1.824,2.65856,0.0191,0.0235,31.15,26.65,28.46,28.6,0.4
EOG,2007-06-19,28.08,1.51229,2.37126,0.0254,0.0242,29.83,26.59,28.68,28.65,0.5
EOG,2007-06-20,28.76,1.08958,2.31958,0.0171,0.0297,29.76,27.33,29.33,28.87,0.5
EOG,2007-06-21,28.11,1.91088,2.33554,0.0178,0.033,31.88,26.34,28.77,28.83,0.5
EOG,2007-06-22,29.32,1.57004,2.43527,0.0161,0.0238,32.43,27.68,29.84,29.37,0.5
EOG,2007-06-25,31.19,1.02493,1.94202,0.0102,0.0243,32.36,30.52,31.07,30.53,0.5
EOG,2007-06-26,32.11,1.15032,2.06162,0.0029,0.0276,33.03,31.09,31.95,31.3,0.5
EOG,2007-06-27,30.77,1.2707,2.00681,0.013,0.0147,34.88,29.63,30.6,30.5,0.5
EOG,2007-06-28,31.47,1.15504,2.05032,0.0157,0.0321,34.8,30.31,31.49,30.92,0.5
