tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,EQIX,25.66,26.09,27.78
2024-06-04,EQIX,24.95,26.03,27.25
2024-06-05,EQIX,24.53,26.46,27.43
2024-06-06,EQIX,24.26,26.62,27.6
2024-06-07,EQIX,23.46,26.73,27.33
2024-06-10,EQIX,23.78,26.55,26.75
2024-06-11,EQIX,23.98,27.54,27.62
2024-06-12,EQIX,23.33,27.57,26.79
2024-06-13,EQIX,23.54,23.57,25.15
2024-06-14,EQIX,22.6,26.63,26.6
2024-06-17,EQIX,23.75,27.66,27.13
2024-06-18,EQIX,23.22,26.4,26.24
2024-06-20,EQIX,23.26,27.66,26.75
2024-06-21,EQIX,22.58,27.02,26.08
2024-06-24,EQIX,23.32,26.95,26.12
2024-06-25,EQIX,24.08,27.56,26.55
2024-06-26,EQIX,23.28,26.73,26.09
2024-06-27,EQIX,22.85,27.49,26.41
2024-06-28,EQIX,22.92,27.82,26.36
2024-07-01,EQIX,22.06,23.77,26.29
2024-07-02,EQIX,24.65,27.36,26.48
2024-07-03,EQIX,25.67,27.99,26.39
2024-07-05,EQIX,25.8,27.8,26.58
2024-07-08,EQIX,27.84,28.14,26.83
2024-07-09,EQIX,28.11,27.53,26.16
2024-07-10,EQIX,28.09,28.19,27.07
2024-07-11,EQIX,27.47,27.11,26.21
2024-07-12,EQIX,27.09,26.43,25.68
2024-07-15,EQIX,30.21,27.23,26.37
2024-07-16,EQIX,30.11,27.23,26.45
2024-07-17,EQIX,31.56,27.98,27.36
2024-07-18,EQIX,33.01,28.54,27.94
2024-07-19,EQIX,33.11,28.68,28.03
2024-07-22,EQIX,32.84,28,27.8
2024-07-23,EQIX,32.87,27.19,27.14
2024-07-24,EQIX,34.35,29.12,28.65
2024-07-25,EQIX,35.18,29.66,29.07
2024-07-26,EQIX,33.93,28.37,28.37
2024-07-29,EQIX,35.16,29.73,29.3
2024-07-30,EQIX,35.82,31.38,30.56
2024-07-31,EQIX,34.26,28.57,28.3
2024-08-01,EQIX,33.38,29.08,28.63
2024-08-02,EQIX,35.94,31.4,30.95
2024-08-05,EQIX,43.75,37.07,35.49
2024-08-06,EQIX,39.41,33.66,32.66
2024-08-07,EQIX,40.56,34.04,33.15
2024-08-08,EQIX,25.65,26.32,27.33
2024-08-09,EQIX,23.29,23.42,23.42
2024-08-12,EQIX,23.74,24.41,25.63
2024-08-13,EQIX,22.55,23.32,24.22
2024-08-14,EQIX,21.42,22.31,23.28
2024-08-15,EQIX,20.17,20.39,22.05
2024-08-16,EQIX,18.21,20.3,21.58
2024-08-19,EQIX,17.12,18.33,20.22
2024-08-20,EQIX,19.8,19.35,21.04
2024-08-21,EQIX,19.25,19.91,23.13
2024-08-22,EQIX,18,19.43,22.68
2024-08-23,EQIX,18.45,19.44,22.46
2024-08-26,EQIX,18.37,19.97,23.05
2024-08-27,EQIX,18.61,19.71,22.98
2024-08-28,EQIX,19.16,20.03,22.76
2024-08-29,EQIX,19.33,20.7,22.94
2024-08-30,EQIX,17.36,19.73,22.43
2024-09-03,EQIX,20.48,22.86,24.64
2024-09-04,EQIX,21.18,23.52,24.92
2024-09-05,EQIX,20.71,23.71,25.31
2024-09-06,EQIX,22.18,24.7,25.78
2024-09-09,EQIX,21.81,24.6,24.9
2024-09-10,EQIX,22.15,25.33,25.33
2024-09-11,EQIX,21.91,25.18,24.79
2024-09-12,EQIX,21.56,25.1,25.05
2024-09-13,EQIX,19.99,24.51,24.41
2024-09-16,EQIX,21.2,24.95,24.99
2024-09-17,EQIX,21.58,26.15,25.1
2024-09-18,EQIX,20.84,25.45,25.45
2024-09-19,EQIX,19.6,24.47,23.48
2024-09-20,EQIX,18.75,23.6,23.8
2024-09-23,EQIX,20.03,24.27,23.35
2024-09-24,EQIX,20.4,24.73,23.37
2024-09-25,EQIX,20.24,24.27,23.67
2024-09-26,EQIX,20.81,25.31,24.25
2024-09-27,EQIX,21.24,25.04,24
2024-09-30,EQIX,22.62,24.99,24.14
2024-10-01,EQIX,23.13,25.38,24.13
2024-10-02,EQIX,23.54,25.89,25.21
2024-10-03,EQIX,24.6,26.97,25.57
2024-10-04,EQIX,24.41,26.46,24.8
2024-10-07,EQIX,27.05,27.47,25.38
2024-10-08,EQIX,26.46,26.73,25.17
2024-10-09,EQIX,26.69,26.69,24.99
2024-10-10,EQIX,27.14,27.16,25.41
2024-10-11,EQIX,27.13,26.3,24.35
2024-10-14,EQIX,28.79,26.33,24.86
