tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,EXC,15.97,16.68,17.55
2024-06-04,EXC,17.3,16.73,17.06
2024-06-05,EXC,15.77,15.03,16.73
2024-06-06,EXC,17.75,17.5,18.26
2024-06-07,EXC,17.37,17.59,18.25
2024-06-10,EXC,18.06,18,18.46
2024-06-11,EXC,17.83,17.62,18.23
2024-06-12,EXC,18.47,18.16,18.38
2024-06-13,EXC,17.53,17.22,17.22
2024-06-14,EXC,17.67,18.17,18.62
2024-06-17,EXC,18.14,18.09,18.23
2024-06-18,EXC,16.94,18.12,19.11
2024-06-20,EXC,17.88,24.39,21.32
2024-06-21,EXC,16.31,21.02,20.28
2024-06-24,EXC,17.01,17.89,17.82
2024-06-25,EXC,17.58,17.97,18.93
2024-06-26,EXC,16.89,17.91,18.82
2024-06-27,EXC,16.74,17.08,17.2
2024-06-28,EXC,16.99,17.98,17.97
2024-07-01,EXC,18.06,18.88,18.29
2024-07-02,EXC,17.16,17.71,17.66
2024-07-03,EXC,17.62,18.44,17.92
2024-07-05,EXC,17.9,18.5,18.56
2024-07-08,EXC,18.68,19.03,19.2
2024-07-09,EXC,19.18,19.33,18.74
2024-07-10,EXC,18.99,19.3,19.1
2024-07-11,EXC,19.58,19.02,17.99
2024-07-12,EXC,18.91,18.52,17.59
2024-07-15,EXC,19.75,19.03,18.44
2024-07-16,EXC,20.52,20.05,19.67
2024-07-17,EXC,20.77,19.54,18.55
2024-07-18,EXC,21.92,22.13,19.67
2024-07-19,EXC,21.14,18.41,19.29
2024-07-22,EXC,20.91,18.42,19.43
2024-07-23,EXC,21.09,18.18,18.59
2024-07-24,EXC,22.14,20.22,20.41
2024-07-25,EXC,21.8,18.95,19.02
2024-07-26,EXC,21.24,19.31,20.33
2024-07-29,EXC,21.24,18.03,18.95
2024-07-30,EXC,21.08,18.32,19.27
2024-07-31,EXC,20.37,18.5,19
2024-08-01,EXC,19.37,18.47,18.69
2024-08-02,EXC,20.19,19.47,20.18
2024-08-05,EXC,26.21,24.92,24.77
2024-08-06,EXC,19.93,19.55,19.94
2024-08-07,EXC,19.89,20.41,20.9
2024-08-08,EXC,19.03,19.28,19.78
2024-08-09,EXC,18.16,18.54,18.98
2024-08-12,EXC,18.56,18.37,19.14
2024-08-13,EXC,17.67,18.14,18.57
2024-08-14,EXC,17.36,16.97,17.26
2024-08-15,EXC,15.33,15.52,16.54
2024-08-16,EXC,15.25,15.14,15.92
2024-08-19,EXC,14.97,14.97,15.44
2024-08-20,EXC,15.88,15.42,16.46
2024-08-21,EXC,14.05,15.17,16.48
2024-08-22,EXC,15.68,15.85,16.94
2024-08-23,EXC,15.46,15.78,16.88
2024-08-26,EXC,15.68,15.65,16.56
2024-08-27,EXC,15.2,15.13,15.89
2024-08-28,EXC,15.68,15.93,16.69
2024-08-29,EXC,15.51,15.54,16.22
2024-08-30,EXC,14.52,15.23,16.2
2024-09-03,EXC,16.3,16.02,16.5
2024-09-04,EXC,16.94,16.99,17.54
2024-09-05,EXC,17.35,16.89,17.38
2024-09-06,EXC,17.04,17.78,18.23
2024-09-09,EXC,16.44,16.94,17.59
2024-09-10,EXC,16.9,17.19,17.73
2024-09-11,EXC,16.31,16.98,17.63
2024-09-12,EXC,15.24,16.16,17.15
2024-09-13,EXC,14.73,15.74,16.6
2024-09-16,EXC,15.22,16.25,17.15
2024-09-17,EXC,15.28,16.14,16.85
2024-09-18,EXC,16.7,17.13,17.47
2024-09-19,EXC,14.12,22.53,19.66
2024-09-20,EXC,15.69,18.4,18.49
2024-09-23,EXC,16,18.33,18.28
2024-09-24,EXC,16.07,19.43,18.74
2024-09-25,EXC,16.95,19.16,18.49
2024-09-26,EXC,17.53,19.83,19.39
2024-09-27,EXC,17.14,19.64,18.92
2024-09-30,EXC,17.76,19.6,18.87
2024-10-01,EXC,18.85,20.71,19.43
2024-10-02,EXC,18.06,20.05,19.06
2024-10-03,EXC,19.41,21.6,21.6
2024-10-04,EXC,19.1,20.43,19.38
2024-10-07,EXC,20.86,21.06,19.57
