tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,FANG,22.52,23.77,24.7
2024-06-04,FANG,21.97,23.5,24.51
2024-06-05,FANG,22.15,23.75,24.61
2024-06-06,FANG,22.26,23.32,24.13
2024-06-07,FANG,20.03,22.92,23.87
2024-06-10,FANG,20.83,22.93,23.95
2024-06-11,FANG,21.02,23.55,24.1
2024-06-12,FANG,21.16,23.26,23.94
2024-06-13,FANG,21.08,24.2,24.25
2024-06-14,FANG,21.82,24.48,24.4
2024-06-17,FANG,22.6,24.75,24.86
2024-06-18,FANG,22.34,24.55,23.2
2024-06-20,FANG,21.84,24.67,24.84
2024-06-21,FANG,20.83,24.67,23.69
2024-06-24,FANG,21.27,24.24,24.07
2024-06-25,FANG,21.46,23.98,23.34
2024-06-26,FANG,21.33,24.45,24.37
2024-06-27,FANG,20.88,23.71,23.21
2024-06-28,FANG,21.48,24.04,23.32
2024-07-01,FANG,21.31,24.15,23.56
2024-07-02,FANG,21.64,24.16,24.02
2024-07-03,FANG,20.08,24.06,23.82
2024-07-05,FANG,22.51,24.75,24.6
2024-07-08,FANG,24.51,25.33,24.99
2024-07-09,FANG,24.54,24.83,25.69
2024-07-10,FANG,24.17,24.83,24.71
2024-07-11,FANG,25.88,25.55,24.8
2024-07-12,FANG,24.04,24.03,24.4
2024-07-15,FANG,26.33,24.85,24.75
2024-07-16,FANG,26.42,24.34,24.67
2024-07-17,FANG,26.85,26.58,26.58
2024-07-18,FANG,26.53,25.11,26.07
2024-07-19,FANG,27.09,25.41,25.7
2024-07-22,FANG,26.76,25.49,26.13
2024-07-23,FANG,26.87,24.52,25.63
2024-07-24,FANG,27.68,25.62,26.65
2024-07-25,FANG,27.48,26.33,26.96
2024-07-26,FANG,27.18,26.62,26.95
2024-07-29,FANG,29.33,26.89,27.2
2024-07-30,FANG,28.56,26.24,27.24
2024-07-31,FANG,30.03,26.58,26.56
2024-08-01,FANG,26.93,27.67,27.92
2024-08-02,FANG,31.88,31.31,31.57
2024-08-05,FANG,37.39,34.56,34.36
