tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,FDX,32.95,28.67,27.73
2024-06-04,FDX,32.72,29.11,28.58
2024-06-05,FDX,32.95,28.46,27.91
2024-06-06,FDX,33.2,29.16,28.57
2024-06-07,FDX,33.17,28.61,28.28
2024-06-10,FDX,33.69,29.76,28.91
2024-06-11,FDX,33.39,30.01,28.86
2024-06-12,FDX,33.73,30.29,29.58
2024-06-13,FDX,33.81,30.06,29.83
2024-06-14,FDX,35.65,30.03,29.78
2024-06-17,FDX,37.2,31.61,30.93
2024-06-18,FDX,37.19,31.29,30.96
2024-06-20,FDX,38.29,32.88,31.27
2024-06-21,FDX,36.87,31.34,30.57
2024-06-24,FDX,37.92,31.17,30.3
2024-06-25,FDX,38.11,31.3,30.33
2024-06-26,FDX,21.18,21.35,25.63
2024-06-27,FDX,19.88,20.42,24.57
2024-06-28,FDX,19.62,21.04,24.91
2024-07-01,FDX,19.32,21.35,24.75
2024-07-02,FDX,19.01,20.55,23.77
2024-07-03,FDX,18.51,21.15,24.63
2024-07-05,FDX,18.98,21.17,24.29
2024-07-08,FDX,19.14,22.3,24.94
2024-07-09,FDX,18.96,22.35,24.73
2024-07-10,FDX,19.06,22.6,24.33
2024-07-11,FDX,18.57,21.67,24.27
2024-07-12,FDX,18.07,21.6,24.03
2024-07-15,FDX,18.74,23.07,24.72
2024-07-16,FDX,18.62,23.42,24.93
2024-07-17,FDX,19.48,24.86,25.07
2024-07-18,FDX,19.45,25.87,25.46
2024-07-19,FDX,19.69,25.96,25.5
2024-07-22,FDX,19.74,26.72,25.45
2024-07-23,FDX,19.88,26.83,25.76
2024-07-24,FDX,20.17,28.02,26.21
2024-07-25,FDX,19.97,28.31,26.41
2024-07-26,FDX,19.65,27.45,25.68
2024-07-29,FDX,20.72,28.26,26.59
2024-07-30,FDX,20.8,28.27,26.4
2024-07-31,FDX,19.84,27.49,26.05
2024-08-01,FDX,20.1,28.7,26.99
2024-08-02,FDX,23.71,30.7,28.83
2024-08-05,FDX,30.35,35.45,33.21
2024-08-06,FDX,24.43,31.7,29.69
2024-08-07,FDX,26.31,33.17,31.78
2024-08-08,FDX,24.11,32.64,30.62
2024-08-09,FDX,22.57,30.5,29.54
2024-08-12,FDX,23.56,31.21,29.72
2024-08-13,FDX,22.87,30.53,28.8
2024-08-14,FDX,21.28,29.33,28.36
2024-08-15,FDX,21.17,29.42,27.81
2024-08-16,FDX,22,29.01,27.98
2024-08-19,FDX,28.54,29.71,27.93
2024-08-20,FDX,31.83,29.14,28.27
2024-08-21,FDX,33.67,29.65,27.91
2024-08-22,FDX,36.62,30.74,28.96
2024-08-23,FDX,35.2,29.76,28.19
2024-08-26,FDX,35.74,29.95,28.36
2024-08-27,FDX,36.08,29.69,28.3
2024-08-28,FDX,36.32,30.2,29.06
2024-08-29,FDX,36.47,30.2,28.84
2024-08-30,FDX,35.66,29.79,28.13
2024-09-03,FDX,37.68,31.67,31.06
2024-09-04,FDX,38.11,31.97,30.94
2024-09-05,FDX,40.34,34.38,32.88
2024-09-06,FDX,40.1,34.06,33.31
2024-09-09,FDX,38.64,32.24,31.57
2024-09-10,FDX,39.32,33.17,31.97
2024-09-11,FDX,39.51,32.83,31.97
2024-09-12,FDX,38.61,32.73,32.31
2024-09-13,FDX,40.83,33.29,33.12
2024-09-16,FDX,39.6,32.31,32.31
2024-09-17,FDX,39.48,32.86,32.17
2024-09-18,FDX,38.08,32.23,32.89
2024-09-19,FDX,40.36,33,32.32
2024-09-20,FDX,21.92,23.52,28.29
2024-09-23,FDX,20.46,21.95,27.33
2024-09-24,FDX,19.32,21.38,26.46
2024-09-25,FDX,19.47,22.1,26.36
2024-09-26,FDX,20.2,22.7,26.44
2024-09-27,FDX,20.84,23.81,27.52
2024-09-30,FDX,21.77,24.97,27.51
2024-10-01,FDX,22.57,25.73,28.45
2024-10-02,FDX,22.53,26.01,28.26
2024-10-03,FDX,22.58,25.65,28.52
2024-10-04,FDX,21.34,24.81,27.63
2024-10-07,FDX,24.28,27.04,28.55
2024-10-08,FDX,23.21,26.2,28.16
2024-10-09,FDX,23.5,26.73,28.12
2024-10-10,FDX,23.89,25.72,28.2
2024-10-11,FDX,22.12,24.61,27.66
2024-10-14,FDX,22.41,25.85,27.63
2024-10-15,FDX,23.24,27.24,28.65
2024-10-16,FDX,22.93,27.77,28.1
2024-10-17,FDX,23.18,28.25,28.23
2024-10-18,FDX,22.61,28.85,28.01
2024-10-21,FDX,22.96,30.76,28.55
2024-10-22,FDX,23,30.94,28.54
2024-10-23,FDX,23.56,31.06,29.5
2024-10-24,FDX,23.5,31.14,28.21
2024-10-25,FDX,22.64,30.47,28.33
2024-10-28,FDX,22.77,31.33,28.86
2024-10-29,FDX,22.37,31.44,28.83
2024-10-30,FDX,22.31,31.52,29.09
2024-10-31,FDX,23.08,31.85,30.09
2024-11-01,FDX,22.33,32.64,31.21
2024-11-04,FDX,24.55,33.05,30.96
2024-11-05,FDX,23.85,32.93,30.87
2024-11-06,FDX,21.42,32.13,30.13
2024-11-07,FDX,20.23,31.53,29.48
2024-11-08,FDX,20.21,31.97,30.42
2024-11-11,FDX,21.82,32.63,31.41
2024-11-12,FDX,21.69,32.56,31.27
2024-11-13,FDX,20.78,32.19,30.87
2024-11-14,FDX,21.12,31.79,30.85
2024-11-15,FDX,23.97,33.05,31.75
2024-11-18,FDX,30.84,31.81,31.02
2024-11-19,FDX,33.57,32.11,31.21
2024-11-20,FDX,36.34,32.89,32.14
2024-11-21,FDX,39.36,32.55,31.86
2024-11-22,FDX,39.41,32.81,32.92
2024-11-25,FDX,39.28,32.69,32.2
2024-11-26,FDX,40.05,33.39,32.5
2024-11-27,FDX,39.62,33.57,32.86
2024-11-29,FDX,39.59,32.2,32.25
2024-12-02,FDX,39.9,34.26,33.39
2024-12-03,FDX,42.19,36.03,34.75
2024-12-04,FDX,44.05,37.29,35.64
2024-12-05,FDX,44.67,37.53,35.88
2024-12-06,FDX,44.88,37.72,36.13
2024-12-09,FDX,45.75,38.19,36.58
2024-12-10,FDX,46.61,39.05,36.82
2024-12-11,FDX,47.95,40.1,37.73
2024-12-12,FDX,48.95,40.06,37
2024-12-13,FDX,49.71,40.24,38.12
2024-12-16,FDX,50.45,41.56,38.93
