tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,FITB,27.49,28.08,28.14
2024-06-04,FITB,28.32,28.33,27.98
2024-06-05,FITB,26.63,27.84,28.62
2024-06-06,FITB,27.63,28.33,27.94
2024-06-07,FITB,26.76,27.75,27.7
2024-06-10,FITB,28.22,28.27,28.34
2024-06-11,FITB,29.08,28.4,28.39
2024-06-12,FITB,26.13,27.47,27.79
2024-06-13,FITB,27.39,25.44,26.13
2024-06-14,FITB,28.27,28.4,28.6
2024-06-17,FITB,28.74,28.46,28.68
2024-06-18,FITB,29.16,27.27,27.69
2024-06-20,FITB,28.76,26.37,27.01
2024-06-21,FITB,27.62,27.01,27.3
2024-06-24,FITB,26.35,25.51,26.02
2024-06-25,FITB,29.1,27.08,27.26
2024-06-26,FITB,29.85,27.32,27.52
2024-06-27,FITB,28.69,26.4,26.98
2024-06-28,FITB,26.6,25.2,26.25
2024-07-01,FITB,27.64,25.85,26.27
2024-07-02,FITB,25.95,24.86,25.41
2024-07-03,FITB,26.91,25.89,26.2
2024-07-05,FITB,27.45,25.22,25.74
2024-07-08,FITB,27.73,26.12,26.61
2024-07-09,FITB,27.65,25.75,26.18
2024-07-10,FITB,27.24,25.8,26.27
2024-07-11,FITB,26.5,25.39,25.76
2024-07-12,FITB,25.42,24.38,24.81
2024-07-15,FITB,27.07,25.86,25.93
2024-07-16,FITB,24.94,25.67,26.27
2024-07-17,FITB,29.49,29.49,29.49
2024-07-18,FITB,28.02,26.55,26.94
2024-07-19,FITB,24.16,24.94,25.83
2024-07-22,FITB,22.63,23.33,25.12
2024-07-23,FITB,23.51,23.76,25.44
2024-07-24,FITB,24.17,25.25,26.17
2024-07-25,FITB,25.39,25.08,26.56
2024-07-26,FITB,23.46,24.49,26.27
2024-07-29,FITB,24.78,24.73,24.73
2024-07-30,FITB,24.92,24.71,26.16
2024-07-31,FITB,23.54,24.55,25.83
2024-08-01,FITB,25.14,25.78,27.27
2024-08-02,FITB,30.88,30.45,30.82
2024-08-05,FITB,35.37,34.74,35.09
2024-08-06,FITB,29.76,29.32,30.54
2024-08-07,FITB,29.91,30.18,30.85
2024-08-08,FITB,27.44,28.22,29.54
2024-08-09,FITB,26.81,27.75,29.04
2024-08-12,FITB,27.13,27.75,29.2
2024-08-13,FITB,25.87,27.26,28.88
2024-08-14,FITB,24.27,25.96,27.81
2024-08-15,FITB,22.5,25.5,26.48
2024-08-16,FITB,21.72,24.65,25.88
2024-08-19,FITB,19.44,23.65,25.94
2024-08-20,FITB,21.61,24.8,26.34
2024-08-21,FITB,21.92,24.46,26.13
2024-08-22,FITB,21.76,26.12,26.73
2024-08-23,FITB,22.72,25.36,26.41
2024-08-26,FITB,22.57,25.5,26.37
2024-08-27,FITB,22.42,25.22,26.73
2024-08-28,FITB,23.95,26.29,27.22
2024-08-29,FITB,22.05,25.66,26.66
2024-08-30,FITB,21.77,25.27,26.03
