tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,FTNT,28.45,32.26,35.97
2024-06-04,FTNT,27.33,32.77,35.78
2024-06-05,FTNT,27.42,32.65,35.78
2024-06-06,FTNT,27.69,32.79,35.75
2024-06-07,FTNT,26.7,33.1,35.35
2024-06-10,FTNT,26.97,33.91,35.56
2024-06-11,FTNT,28.56,35.73,36.34
2024-06-12,FTNT,27.61,35.09,36.25
2024-06-13,FTNT,26.88,36.26,35.15
2024-06-14,FTNT,27.24,36.48,35.44
2024-06-17,FTNT,26.87,38.15,35.64
2024-06-18,FTNT,27.51,38.56,35.76
2024-06-20,FTNT,27.9,39.55,36.02
2024-06-21,FTNT,26.94,38.21,35.53
2024-06-24,FTNT,26.52,38.76,35.27
2024-06-25,FTNT,26.91,37.31,33.73
2024-06-26,FTNT,26.44,37.45,34.31
2024-06-27,FTNT,27.74,38.26,34.28
2024-06-28,FTNT,29.47,38.34,34.69
2024-07-01,FTNT,36.19,39.03,35.57
2024-07-02,FTNT,27.44,38.91,35.37
2024-07-03,FTNT,26.86,39.29,36.1
2024-07-05,FTNT,29.68,39.26,35.99
2024-07-08,FTNT,39.43,40.06,36.21
2024-07-09,FTNT,42.37,39.9,35.96
2024-07-10,FTNT,45.79,40.03,36.42
2024-07-11,FTNT,49.26,40.02,36.41
2024-07-12,FTNT,49.39,39.44,36.17
2024-07-15,FTNT,50.4,40.69,37.06
2024-07-16,FTNT,51.33,41.22,36.97
2024-07-17,FTNT,51.76,40.94,38.01
2024-07-18,FTNT,51.91,42.06,37.96
2024-07-19,FTNT,52.74,42.3,38.5
2024-07-22,FTNT,54.33,41.07,37.38
2024-07-23,FTNT,52.18,41.7,37.53
2024-07-24,FTNT,52.92,43.54,39.32
2024-07-25,FTNT,52.36,42.42,38.95
2024-07-26,FTNT,52.48,43.04,38.76
2024-07-29,FTNT,54.2,43.03,39.23
2024-07-30,FTNT,55.51,44.3,40.59
2024-07-31,FTNT,53.07,43.45,41.68
2024-08-01,FTNT,61.94,45.14,41.73
2024-08-02,FTNT,59.03,47.63,44.08
2024-08-05,FTNT,60.52,50.7,47
2024-08-06,FTNT,60.24,47.09,44.43
2024-08-07,FTNT,35.08,31.68,33.31
2024-08-08,FTNT,28.76,28.14,30.38
2024-08-09,FTNT,26.13,25.56,29.17
2024-08-12,FTNT,25.89,25.2,29.49
2024-08-13,FTNT,24.2,24.58,28.92
2024-08-14,FTNT,24.68,25.35,29.93
2024-08-15,FTNT,22.95,22.96,27.82
2024-08-16,FTNT,22.53,22.9,27.81
2024-08-19,FTNT,22.74,22.79,28.03
2024-08-20,FTNT,23,23.28,28.7
2024-08-21,FTNT,21.94,23.27,28.7
2024-08-22,FTNT,22.41,23.48,29.03
2024-08-23,FTNT,20.44,22.44,27.97
2024-08-26,FTNT,22.14,23.21,28.8
2024-08-27,FTNT,21.57,23.43,28.88
2024-08-28,FTNT,22.21,23.95,29.33
2024-08-29,FTNT,22.2,23.73,29.45
2024-08-30,FTNT,20.1,22.96,28.75
2024-09-03,FTNT,23.2,26.24,31.6
2024-09-04,FTNT,23.96,26.51,31.72
2024-09-05,FTNT,24.57,27.68,32.03
2024-09-06,FTNT,25.38,27.27,33.72
2024-09-09,FTNT,24.64,27.41,33.09
2024-09-10,FTNT,23.37,28.69,33.59
2024-09-11,FTNT,23.69,28.95,33.47
2024-09-12,FTNT,26.05,34.27,34.66
2024-09-13,FTNT,23.23,27.22,32.78
2024-09-16,FTNT,23.24,32.75,34.07
2024-09-17,FTNT,24.16,33.11,34.91
2024-09-18,FTNT,22.99,31.87,34.2
2024-09-19,FTNT,21.9,39.13,34.66
2024-09-20,FTNT,21.8,38.36,33.93
2024-09-23,FTNT,22.28,38.4,33.98
2024-09-24,FTNT,21.65,37.98,34.02
2024-09-25,FTNT,22.04,37.69,33.77
2024-09-26,FTNT,21.81,37.98,34.03
2024-09-27,FTNT,24.25,38.62,34.37
2024-09-30,FTNT,30.4,38.5,34.12
2024-10-01,FTNT,32.62,38.4,34
2024-10-02,FTNT,24.65,38.72,34.4
2024-10-03,FTNT,25.01,41.23,35.6
2024-10-04,FTNT,26.43,39.17,35.08
2024-10-07,FTNT,38.3,40.02,35.44
2024-10-08,FTNT,41.37,39.7,35.3
2024-10-09,FTNT,45.4,40.07,35.33
2024-10-10,FTNT,48.15,37.71,34.76
2024-10-11,FTNT,47.45,38.09,33.78
2024-10-14,FTNT,46.42,37.1,33.01
2024-10-15,FTNT,47.34,37.6,33.82
2024-10-16,FTNT,43.77,37.44,33.58
2024-10-17,FTNT,47.53,37.97,34.15
2024-10-18,FTNT,46.92,37.65,34.25
2024-10-21,FTNT,48.42,38.26,34.6
2024-10-22,FTNT,48.19,39.22,35.32
2024-10-23,FTNT,49.51,40.44,36.08
2024-10-24,FTNT,49.57,39.86,36.18
2024-10-25,FTNT,50.97,40.52,36.65
2024-10-28,FTNT,50.63,41.25,37.82
2024-10-29,FTNT,51.27,41.76,38.28
2024-10-30,FTNT,52.19,42.79,38.73
2024-10-31,FTNT,53.18,43.01,39.87
2024-11-01,FTNT,56.06,44.96,41.04
2024-11-04,FTNT,56.9,44.69,41.27
2024-11-05,FTNT,57.46,45.07,41.68
2024-11-06,FTNT,53.11,42.09,39.62
2024-11-07,FTNT,52.51,39.9,38.36
2024-11-08,FTNT,27.41,25.43,27.52
2024-11-11,FTNT,29.86,27.06,29.52
2024-11-12,FTNT,30.09,27.17,29.98
2024-11-13,FTNT,30.83,27.69,33.19
2024-11-14,FTNT,30.25,27.2,33.84
2024-11-15,FTNT,30.72,27.22,34.67
2024-11-18,FTNT,29.88,27.59,36.23
2024-11-19,FTNT,26.85,25.31,35.57
2024-11-20,FTNT,27.71,26.91,36.78
2024-11-21,FTNT,27.85,28.06,37.4
2024-11-22,FTNT,26.49,27.96,37.71
2024-11-25,FTNT,26.29,28.71,37.59
2024-11-26,FTNT,26.03,29.21,37.47
2024-11-27,FTNT,25.71,29.57,37.81
2024-11-29,FTNT,26.07,30.03,37.6
2024-12-02,FTNT,26.86,32.18,38.49
2024-12-03,FTNT,26.68,32.53,38.68
2024-12-04,FTNT,24.66,32.68,38.43
2024-12-05,FTNT,25.4,30.78,38.03
2024-12-06,FTNT,25.32,31.66,38.35
2024-12-09,FTNT,27.57,34.12,39.06
2024-12-10,FTNT,28.43,34.8,39.48
2024-12-11,FTNT,27.39,35.3,39.89
2024-12-12,FTNT,27.95,38.36,40.12
2024-12-13,FTNT,28.59,39.1,39.92
2024-12-16,FTNT,30.8,38.07,40.26
2024-12-17,FTNT,30.58,38.74,40.38
2024-12-18,FTNT,32.58,39.95,40.69
2024-12-19,FTNT,32.9,41.49,41.62
2024-12-20,FTNT,30.69,40.85,40.23
2024-12-23,FTNT,29.14,42.17,39.69
2024-12-24,FTNT,26.39,40.88,37.88
2024-12-26,FTNT,26.07,40.98,38.08
2024-12-27,FTNT,27.77,41.28,38.37
2024-12-30,FTNT,28.71,41.97,38.29
2024-12-31,FTNT,28.18,41.62,38.99
