ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
GILD,2007-01-03,30.63,2.42551,2.85328,0.0271,0.0314,25.87,32.63,32.37,31.06,0
GILD,2007-01-04,26.97,2.4848,2.84394,0.066,0.0398,28.89,29.74,30.43,29.29,0
GILD,2007-01-05,27.38,2.40123,2.94338,0.0435,0.0279,27.73,30.16,30.76,29.74,0
GILD,2007-01-08,27.07,2.52938,2.93868,0.0043,0.0249,27.73,30.85,31.21,30.12,0
GILD,2007-01-09,26.81,1.96179,2.82185,0.0074,0.019,27.68,30.67,30.64,29.47,0
GILD,2007-01-10,26.66,2.28427,2.92802,0.0019,0.0253,27.21,30.6,30.33,29.18,0
GILD,2007-01-11,22.64,3.00018,2.92606,0.0019,0.0371,26.63,28.33,28.79,27.9,0
GILD,2007-01-12,22.58,2.88185,2.93173,0.0563,0.0351,27.37,28.24,28.49,27.64,0
GILD,2007-01-16,23.99,2.87973,2.89771,0.0198,0.0349,27.26,30.1,28.79,27.71,0
GILD,2007-01-17,22.82,2.9983,2.85042,0.0061,0.0202,26.46,29.74,28.47,27.46,0
GILD,2007-01-18,22.4,2.86981,2.92737,0.0182,0.0387,25.85,29.2,28.03,27.13,0
GILD,2007-01-19,22.48,2.7463,2.95306,0.0379,0.0252,25.62,28.91,27.83,27,0
GILD,2007-01-22,27.47,2.34356,2.91999,0.0324,0.0228,25.57,29.79,28.17,27.54,0
GILD,2007-01-23,26.85,2.94758,2.7938,0.0313,0.0426,25.66,30.12,28.04,27.34,0
GILD,2007-01-24,26.22,3.1983,2.8686,0.013,0.0383,25.66,30.43,27.94,27.26,0
GILD,2007-01-25,27.55,2.07636,2.74352,0.017,0.0264,25.53,30.64,28.57,27.83,0
GILD,2007-01-26,26.22,1.95919,2.68218,0.0509,0.0307,25.13,30.08,28.02,27.6,0
GILD,2007-01-29,26.56,1.7292,2.72388,0.0431,0.0398,25.29,30.89,28.42,27.71,0
GILD,2007-01-30,26.47,2.58237,2.88989,0.0266,0.0222,25.53,31.21,28.64,27.97,0
GILD,2007-01-31,24.72,2.31965,2.72682,0.0489,0.044,25.16,28.96,27,26.73,0
GILD,2007-02-01,22.67,1.05454,2.0819,0.039,0.0534,26.08,23.86,22.7,23.04,0
GILD,2007-02-02,22.56,1.78391,2.3565,0.092,0.037,31.84,22.75,23.04,23.65,0
GILD,2007-02-05,23.72,1.52077,2.1645,0.075,0.048,31.31,24.39,23.75,24.21,0
GILD,2007-02-06,24.21,1.19901,2.24759,0.0132,0.0434,31.33,24.2,24.42,24.68,0
GILD,2007-02-07,22.89,1.22932,2.2058,0.0623,0.0499,31.31,22.77,23.49,24.34,0
GILD,2007-02-08,23.14,1.14401,2.16414,0.0698,0.0501,32.29,23.55,23.79,24.62,0
