ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
GOOGL,2014-04-09,27.74,2.45142,1.9683,0.032,0.0257,37.25,34.15,29.13,27.3,0
GOOGL,2014-04-10,29.96,1.38731,1.26228,0.0222,0.0179,34.06,38.09,31.35,29.51,0
GOOGL,2014-04-11,29.71,0.80012,1.11403,0.0162,0.0196,39.39,38.71,31.86,29.85,0
GOOGL,2014-04-14,28.03,1.07661,1.31061,0.0318,0.0316,37.63,36.26,29.96,28.49,0
GOOGL,2014-04-15,25.65,2.13372,2.34099,0.0017,0.0178,35.88,34.91,29.13,27.83,0
GOOGL,2014-04-16,24.37,2.11533,2.1801,0.0256,0.0191,36.44,33.57,27.92,26.99,0
GOOGL,2014-04-17,23.12,0.708305,1.18248,0.0254,0.0172,35.92,23.02,22.83,23.4,0
GOOGL,2014-04-21,23.11,1.21793,1.50046,0.024,0.0312,37.29,23.92,22.9,23.41,0
GOOGL,2014-04-22,22.14,1.50383,1.63743,0.0554,0.0371,35.88,22.33,22.03,25.06,0
GOOGL,2014-04-23,21.5,1.14587,1.55603,0.0273,0.0299,34.95,22.26,21.73,24.71,0
GOOGL,2014-04-24,22.25,1.15592,1.68661,0.0344,0.0398,34.77,22.79,22.15,24.84,0
GOOGL,2014-04-25,22.95,1.16954,1.56691,0.0302,0.0349,33.92,23.19,23.05,25.43,0
GOOGL,2014-04-28,22.98,1.96726,1.94234,0.0233,0.0361,33.59,23.49,23.84,25.75,0
GOOGL,2014-04-29,21.43,1.94434,2.10774,0.0652,0.0474,33.21,21.68,22.09,24.24,0
GOOGL,2014-04-30,20.78,2.23027,2.12071,0.052,0.0444,33.38,21.14,22.03,24.05,0
GOOGL,2014-05-01,20.35,2.28572,2.24707,0.066,0.0471,32.54,20.22,21.57,23.62,0
GOOGL,2014-05-02,19.79,1.8787,1.99321,0.0741,0.0467,31.8,19.72,21.32,23.47,0
GOOGL,2014-05-05,19.33,2.56653,2.28246,0.0619,0.05,31.23,19.29,21.49,23.16,0
GOOGL,2014-05-06,19.85,1.48724,1.79411,0.0476,0.0453,30.62,20.16,22.13,23.46,0
GOOGL,2014-05-07,20.61,2.3829,2.22432,0.0457,0.0492,30.45,20.62,22.66,23.52,0
GOOGL,2014-05-08,20.68,1.65694,2.02329,0.05,0.0433,29.73,20.47,21.97,23.21,0
GOOGL,2014-05-09,19.78,2.23081,2.3562,0.0674,0.0526,29.61,19.59,21.49,22.63,0
GOOGL,2014-05-12,18.52,2.22052,2.34758,0.0392,0.0446,27.86,18.5,21.23,21.89,0
GOOGL,2014-05-13,17.74,2.05384,2.25623,0.0711,0.058,27.84,17.45,20.8,21.44,0
GOOGL,2014-05-14,18.62,1.17659,1.91886,0.0538,0.0471,27.39,18.03,21.56,21.9,0
GOOGL,2014-05-15,18.82,1.77399,2.11198,0.0771,0.0541,26.29,18.75,21.97,22.02,0
