tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,HCA,23.77,24.42,25.74
2024-06-04,HCA,23.22,24.46,25.58
2024-06-05,HCA,23.18,24.1,25.24
2024-06-06,HCA,21.64,23.88,24.98
2024-06-07,HCA,22.21,24.26,24.94
2024-06-10,HCA,22.38,24.64,24.95
2024-06-11,HCA,22.03,25.22,25.15
2024-06-12,HCA,22.1,25.54,25.51
2024-06-13,HCA,21.96,25.61,25.2
2024-06-14,HCA,21.61,26.48,25.47
2024-06-17,HCA,23.32,27.45,25.84
2024-06-18,HCA,22.74,27.01,25.26
2024-06-20,HCA,22.75,27.07,24.96
2024-06-21,HCA,21.19,26,24.64
2024-06-24,HCA,20.48,25.21,23.95
2024-06-25,HCA,21.49,25.39,23.61
2024-06-26,HCA,21.66,25.72,24.14
2024-06-27,HCA,22.66,26.22,24.08
2024-06-28,HCA,25.99,27.98,26.14
2024-07-01,HCA,26.94,27.66,25.66
2024-07-02,HCA,26.51,27.51,26.1
2024-07-03,HCA,27.26,27.69,25.87
2024-07-05,HCA,29.85,28.83,27.04
2024-07-08,HCA,30.19,28.73,27.32
2024-07-09,HCA,30.01,28.8,27.84
2024-07-10,HCA,30.92,28.59,27.08
2024-07-11,HCA,31.18,28.39,26.67
2024-07-12,HCA,29.88,27.91,26.11
2024-07-15,HCA,33.74,29.73,27.72
2024-07-16,HCA,31.06,27.23,25.89
2024-07-17,HCA,33.63,29.48,27.53
2024-07-18,HCA,32.48,29.2,27.73
2024-07-19,HCA,36.94,30.85,29.32
2024-07-22,HCA,34.69,29.46,27.1
2024-07-23,HCA,23.6,23.31,22.84
2024-07-24,HCA,23.74,24.23,24.54
2024-07-25,HCA,22.93,23.3,23.84
2024-07-26,HCA,21.99,22.76,22.79
2024-07-29,HCA,22.72,23.12,23.4
2024-07-30,HCA,22.68,23.22,23.54
2024-07-31,HCA,20.91,22.04,22.35
2024-08-01,HCA,22.82,23.11,23.7
2024-08-02,HCA,25.35,25.18,25.72
2024-08-05,HCA,30.28,28.74,28.89
2024-08-06,HCA,24.37,24.51,25.26
2024-08-07,HCA,25.29,25.12,25.38
2024-08-08,HCA,23.21,24.54,25.62
2024-08-09,HCA,21.35,22.41,23.75
2024-08-12,HCA,22.61,23.19,24.34
2024-08-13,HCA,21.51,21.42,23.13
2024-08-14,HCA,20.71,21.27,23.13
2024-08-15,HCA,19.95,20.69,25.42
2024-08-16,HCA,18.77,20.51,25.68
2024-08-19,HCA,19.22,19.75,25.55
2024-08-20,HCA,20.55,20.64,25.7
2024-08-21,HCA,20.51,19.79,26.43
2024-08-22,HCA,19.71,21.27,26.39
2024-08-23,HCA,19.84,20.37,25.89
2024-08-26,HCA,20.42,21.87,26.81
2024-08-27,HCA,20.99,22.44,27.25
2024-08-28,HCA,21.67,23.69,27.65
2024-08-29,HCA,20.71,22.52,27.02
2024-08-30,HCA,19.81,22.63,26.85
2024-09-03,HCA,22.35,25.46,27.95
2024-09-04,HCA,22.38,25.7,27.99
2024-09-05,HCA,21.64,25.93,27.86
2024-09-06,HCA,24.41,28.81,29.69
2024-09-09,HCA,23.79,28.61,29
2024-09-10,HCA,24.09,28.4,28.52
2024-09-11,HCA,21.04,27.82,27.85
2024-09-12,HCA,20.69,27.79,27.26
2024-09-13,HCA,19.62,28.27,27.17
2024-09-16,HCA,21.18,29.62,27.27
2024-09-17,HCA,21.38,30.83,27.67
2024-09-18,HCA,20.82,30.28,27.28
2024-09-19,HCA,19.38,29.57,26.55
2024-09-20,HCA,19.76,28.16,26.5
2024-09-23,HCA,22.35,29.57,26.38
2024-09-24,HCA,22.53,28.83,26.31
2024-09-25,HCA,22.91,28.86,26.17
2024-09-26,HCA,23.75,29.57,26.54
2024-09-27,HCA,24.84,29.93,27.23
2024-09-30,HCA,26.28,29.74,26.53
2024-10-01,HCA,27.09,30.11,27.26
