tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,HOOD,66.99,68.64,70.49
2024-06-04,HOOD,65.73,67.03,69.19
2024-06-05,HOOD,64.27,67.67,70.04
2024-06-06,HOOD,69.34,74.95,73.05
2024-06-07,HOOD,66.03,70.97,71.88
2024-06-10,HOOD,65.84,71.87,72.38
2024-06-11,HOOD,64.75,71.4,71.65
2024-06-12,HOOD,60.45,68.15,68.75
2024-06-13,HOOD,58.19,66.88,68.32
2024-06-14,HOOD,59.25,71.1,68.07
2024-06-17,HOOD,59.25,68.16,67.37
2024-06-18,HOOD,57.2,70.1,66.52
2024-06-20,HOOD,57.35,68.5,66.01
2024-06-21,HOOD,57.28,68.37,65.8
2024-06-24,HOOD,59.21,67.99,65
2024-06-25,HOOD,59.81,70.04,67.52
2024-06-26,HOOD,60.08,70.63,67.75
2024-06-27,HOOD,59.35,68.7,66.57
2024-06-28,HOOD,59.79,67.87,65.51
2024-07-01,HOOD,60.19,68.12,65.3
2024-07-02,HOOD,58.9,67.14,64.28
2024-07-03,HOOD,56.41,66.95,64.23
2024-07-05,HOOD,57.75,66.14,63.79
2024-07-08,HOOD,65.85,66.81,64.37
2024-07-09,HOOD,69.61,67.24,64.73
2024-07-10,HOOD,72.85,68.28,64.99
2024-07-11,HOOD,75.15,68.83,65.37
2024-07-12,HOOD,74.05,66.69,64.31
2024-07-15,HOOD,78.56,69.41,66.19
2024-07-16,HOOD,78.61,69.98,68.71
2024-07-17,HOOD,79.73,71.24,67.1
2024-07-18,HOOD,82.45,71.84,69.09
2024-07-19,HOOD,86.17,74.55,70.37
2024-07-22,HOOD,80.42,72.61,68.96
2024-07-23,HOOD,80.02,72.15,68.66
2024-07-24,HOOD,81.03,73.01,70.31
2024-07-25,HOOD,81.37,73.02,69.61
2024-07-26,HOOD,80.58,71.57,69.02
2024-07-29,HOOD,79.41,71.37,69.22
2024-07-30,HOOD,80.62,71.15,69.48
2024-07-31,HOOD,77.06,68.47,67.19
2024-08-01,HOOD,80.4,71.01,69.3
2024-08-02,HOOD,87.65,75.45,72.78
2024-08-05,HOOD,93.89,83.38,79.81
2024-08-06,HOOD,83.73,75.31,74.05
2024-08-07,HOOD,88.87,77.66,76.23
2024-08-08,HOOD,60.55,60.74,63.73
2024-08-09,HOOD,56.5,58.14,61.64
2024-08-12,HOOD,55.68,57.57,60.97
2024-08-13,HOOD,53.53,54.93,59.93
2024-08-14,HOOD,51.78,52.26,58.71
2024-08-15,HOOD,48.22,49.98,56.81
2024-08-16,HOOD,45.99,48.63,55.97
2024-08-19,HOOD,46.73,49.25,56.61
2024-08-20,HOOD,49.5,51.21,57.5
2024-08-21,HOOD,48.9,50.49,57.44
2024-08-22,HOOD,49.99,51.15,56.93
2024-08-23,HOOD,49.64,51.88,57.4
2024-08-26,HOOD,49,52.05,57.56
2024-08-27,HOOD,49.62,52.36,57.65
2024-08-28,HOOD,52.28,54.12,57.83
2024-08-29,HOOD,51,53.46,57.22
2024-08-30,HOOD,49.43,53.23,56.5
2024-09-03,HOOD,55.13,57.66,59.04
2024-09-04,HOOD,55.25,57.67,58.6
2024-09-05,HOOD,55.73,58.06,59.4
2024-09-06,HOOD,57.56,59.96,60.47
2024-09-09,HOOD,56.27,59.86,59.84
2024-09-10,HOOD,55.45,60.08,59.85
2024-09-11,HOOD,55.03,60.16,59.72
2024-09-12,HOOD,53.59,59.65,59.33
2024-09-13,HOOD,53.53,60.36,60.27
