tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,IBM,18.77,21.66,24
2024-06-04,IBM,18.34,21.66,24.16
2024-06-05,IBM,17.29,21.39,23.28
2024-06-06,IBM,17.13,24.76,22.78
2024-06-07,IBM,16.84,24.73,23.19
2024-06-10,IBM,17.64,24.97,23.43
2024-06-11,IBM,17.62,25,22.83
2024-06-12,IBM,16.8,24.49,23.16
2024-06-13,IBM,16.54,24.55,22.53
2024-06-14,IBM,18.13,25.57,23.67
2024-06-17,IBM,17.79,26.3,24.07
2024-06-18,IBM,18.74,27.14,23.41
2024-06-20,IBM,18.36,26.34,23.94
2024-06-21,IBM,19.15,26.13,23.55
2024-06-24,IBM,24.47,26,23.45
2024-06-25,IBM,25.74,26.44,24.09
2024-06-26,IBM,27.5,26.55,22.71
2024-06-27,IBM,27.56,26.67,24.03
2024-06-28,IBM,30.3,26.27,23.37
2024-07-01,IBM,30.07,27.3,24
2024-07-02,IBM,30.09,26.23,23.73
2024-07-03,IBM,30.12,25.93,23.88
2024-07-05,IBM,30.67,25.89,23.67
2024-07-08,IBM,32.05,26.4,24.37
2024-07-09,IBM,31.9,26.19,24.32
2024-07-10,IBM,31.19,26.6,24.57
2024-07-11,IBM,32.83,26.37,24.3
2024-07-12,IBM,32.39,26.01,24.34
2024-07-15,IBM,32.95,26.09,24.64
2024-07-16,IBM,32.03,25.99,23.99
2024-07-17,IBM,32.93,26.1,25.04
2024-07-18,IBM,33.21,26.95,25.07
2024-07-19,IBM,33.25,26.98,25.09
2024-07-22,IBM,32.29,26.36,24.57
2024-07-23,IBM,33.68,26.84,25.26
2024-07-24,IBM,33.21,27.25,25.49
2024-07-25,IBM,21.75,20.87,21.25
2024-07-26,IBM,20.47,19.41,19.8
2024-07-29,IBM,20.59,19.64,19.96
2024-07-30,IBM,19.96,19.49,20.56
2024-07-31,IBM,19.06,19.09,20.53
2024-08-01,IBM,20.01,19.83,20.77
2024-08-02,IBM,22.03,21.67,22.06
2024-08-05,IBM,27.87,26.49,26.22
2024-08-06,IBM,21.66,22.21,22.88
2024-08-07,IBM,21.84,23.23,23.59
2024-08-08,IBM,19.85,21.71,22.19
2024-08-09,IBM,18.8,20.34,20.84
2024-08-12,IBM,20.41,20.24,20.91
2024-08-13,IBM,19.42,19.4,23.36
2024-08-14,IBM,18.22,17.97,21.78
2024-08-15,IBM,16.13,16.66,21.22
2024-08-16,IBM,15.38,16.63,21.49
2024-08-19,IBM,15.76,16.94,21.58
2024-08-20,IBM,15.83,16.83,22.15
2024-08-21,IBM,15.93,17.31,22.48
2024-08-22,IBM,16.86,18.28,22.75
2024-08-23,IBM,16.51,17.82,22.83
2024-08-26,IBM,16.95,19.2,23.16
2024-08-27,IBM,17.47,19.25,22.99
2024-08-28,IBM,17.59,19.74,23.4
2024-08-29,IBM,15.47,19.18,22.56
2024-08-30,IBM,15.65,19.47,22.52
2024-09-03,IBM,18.53,22.58,24.38
2024-09-04,IBM,18.13,22.14,23.86
2024-09-05,IBM,18.93,24.98,24.55
2024-09-06,IBM,19.01,25.1,24.64
2024-09-09,IBM,19.71,25.9,24.85
2024-09-10,IBM,19.3,25.21,24.06
2024-09-11,IBM,18.99,25.38,24.46
2024-09-12,IBM,19.25,25.8,24.89
2024-09-13,IBM,20.76,27.09,25.85
2024-09-16,IBM,20.35,27.22,25.6
2024-09-17,IBM,20.41,26.71,25.22
2024-09-18,IBM,19.53,26.29,24.52
2024-09-19,IBM,17.84,25.6,23.93
2024-09-20,IBM,19.77,26.23,24.48
2024-09-23,IBM,24.8,26.37,24.39
2024-09-24,IBM,26.35,25.87,24.43
2024-09-25,IBM,28.28,27.47,24.97
2024-09-26,IBM,31.28,28.47,25.92
2024-09-27,IBM,31.49,28.55,25.83
2024-09-30,IBM,32.88,28.41,25.49
2024-10-01,IBM,30.48,27.22,24.69
2024-10-02,IBM,31.64,27.79,25.47
2024-10-03,IBM,32.86,28.58,25.67
2024-10-04,IBM,32.01,27.68,25.48
2024-10-07,IBM,33.71,28.37,25.84
2024-10-08,IBM,33.47,27.84,25.51
2024-10-09,IBM,33.51,27.99,25.62
2024-10-10,IBM,33.56,27.15,25.3
2024-10-11,IBM,34.3,27.72,25.71
2024-10-14,IBM,33.46,26.98,25.63
2024-10-15,IBM,33.38,27.27,25.49
2024-10-16,IBM,33.17,26.95,25.51
2024-10-17,IBM,32.56,26.76,25.37
2024-10-18,IBM,31.73,26.44,24.73
2024-10-21,IBM,33.14,27.12,25.77
2024-10-22,IBM,33.39,27.23,25.76
2024-10-23,IBM,33.09,27.36,25.6
2024-10-24,IBM,20.65,20.12,20.03
2024-10-25,IBM,19.92,19.7,20.16
2024-10-28,IBM,19.38,19.84,20.52
2024-10-29,IBM,19.17,19.98,20.72
2024-10-30,IBM,21.24,20.76,21.48
2024-10-31,IBM,21.19,21.25,21.92
2024-11-01,IBM,20.52,20.86,21.88
2024-11-04,IBM,20.68,21.21,22.33
2024-11-05,IBM,20.27,20.78,21.81
2024-11-06,IBM,17.69,18.68,19.9
2024-11-07,IBM,17.68,18.45,19.72
2024-11-08,IBM,18,18.47,20.07
2024-11-11,IBM,17.84,18.53,20.25
2024-11-12,IBM,17.96,18.49,20.64
2024-11-13,IBM,17.75,18.26,22.24
2024-11-14,IBM,19.09,18.48,21.87
2024-11-15,IBM,20.29,20.32,23.33
2024-11-18,IBM,18.75,19.17,23.35
2024-11-19,IBM,19.14,19.13,22.58
2024-11-20,IBM,19.94,18.48,23.86
2024-11-21,IBM,20.45,20.72,24.54
2024-11-22,IBM,19.63,20.19,24.27
2024-11-25,IBM,18.59,20.1,24.56
2024-11-26,IBM,17.79,20.18,24.83
2024-11-27,IBM,17.73,19.66,24.73
2024-11-29,IBM,18.09,21.01,24.91
2024-12-02,IBM,17.82,21.49,24.88
2024-12-03,IBM,17.2,21.75,25.09
2024-12-04,IBM,17.45,21.35,24.27
2024-12-05,IBM,17.66,21.52,25.37
2024-12-06,IBM,17.89,21.57,25.08
2024-12-09,IBM,19.65,22.78,25.9
2024-12-10,IBM,20.74,25.18,27.76
2024-12-11,IBM,21.16,25.15,27.89
2024-12-12,IBM,22.14,29.53,28.51
2024-12-13,IBM,20.84,29.13,28.49
2024-12-16,IBM,22.19,30.2,29.13
2024-12-17,IBM,21.91,30.01,29.32
2024-12-18,IBM,23.96,31.81,29.89
2024-12-19,IBM,24.57,31.93,30.64
2024-12-20,IBM,21.55,30.63,28.72
2024-12-23,IBM,21.38,30.77,29.1
2024-12-24,IBM,19.58,29.44,27.74
2024-12-26,IBM,19.79,29.42,27.58
2024-12-27,IBM,22.3,29.76,27.96
2024-12-30,IBM,27.53,30.78,28.16
2024-12-31,IBM,29.52,31.41,28.07
2025-01-02,IBM,33.16,30.47,28.29
2025-01-03,IBM,33.37,30.42,28.13
2025-01-06,IBM,34.99,30.88,28.51
2025-01-07,IBM,35.7,31.24,28.89
2025-01-08,IBM,36.1,31.19,28.71
2025-01-10,IBM,37.38,31.96,29.55
2025-01-13,IBM,37.74,31.51,29.37
2025-01-14,IBM,38.56,31.85,29.62
2025-01-15,IBM,36.98,29.74,27.76
2025-01-16,IBM,36.8,29.95,27.81
2025-01-17,IBM,36.08,29.42,27.37
2025-01-21,IBM,37.12,29.82,27.5
2025-01-22,IBM,37.46,30.33,28.09
2025-01-23,IBM,37.04,30.09,28.02
2025-01-24,IBM,36.18,29.92,27.83
2025-01-27,IBM,38.87,31.75,29.61
2025-01-28,IBM,38.45,31.21,29.5
2025-01-29,IBM,38.83,31.27,29.62
2025-01-30,IBM,26.8,24.89,25.73
2025-01-31,IBM,24.69,23.66,25.15
2025-02-03,IBM,25.97,24.56,26.56
2025-02-04,IBM,23.06,22.91,25.76
2025-02-05,IBM,20.67,21.78,25.37
2025-02-06,IBM,21.01,22.09,25.59
2025-02-07,IBM,21.25,22.43,25.98
2025-02-10,IBM,20.85,21.79,26.21
2025-02-11,IBM,21.69,22.12,26.81
2025-02-12,IBM,21.36,22.33,27.13
2025-02-13,IBM,20.72,21.75,27
2025-02-14,IBM,20.38,21.53,27.07
2025-02-18,IBM,21.01,22.23,27.69
2025-02-19,IBM,20.73,22.11,27.52
2025-02-20,IBM,20.68,22.56,27.98
2025-02-21,IBM,22.57,24.15,29.02
2025-02-24,IBM,22.7,24.64,28.86
2025-02-25,IBM,22.9,25.56,29.22
2025-02-26,IBM,23.07,25.36,29.15
2025-02-27,IBM,24.5,26.59,30.02
2025-02-28,IBM,23.78,26.21,29.33
2025-03-03,IBM,26.22,28.86,30.68
2025-03-04,IBM,25.22,28.7,30.45
2025-03-05,IBM,24.1,28.11,29.75
2025-03-06,IBM,27.51,33.72,31.45
2025-03-07,IBM,26.36,33.42,30.89
2025-03-10,IBM,32.47,37.15,33.89
2025-03-11,IBM,31.88,37.49,34.42
2025-03-12,IBM,29.48,35.98,33.13
2025-03-13,IBM,30.22,36.59,33.6
2025-03-14,IBM,27.65,35.08,32.24
2025-03-17,IBM,26.06,34.44,31.21
2025-03-18,IBM,27.68,34.97,32.16
2025-03-19,IBM,25.07,33.74,30.94
2025-03-20,IBM,27.19,34.34,31.14
2025-03-21,IBM,28.31,33.82,31.21
2025-03-24,IBM,32.27,32.99,29.8
2025-03-25,IBM,33.91,32.38,29.16
2025-03-26,IBM,36.83,32.93,30.06
2025-03-27,IBM,39.07,33.36,30.25
2025-03-28,IBM,40.49,34.61,31.36
2025-03-31,IBM,40.73,34.48,31.26
2025-04-01,IBM,41.5,35.25,31.69
2025-04-02,IBM,40.73,34.73,31.36
2025-04-03,IBM,44.02,37.67,33.86
2025-04-04,IBM,52.09,42.87,38.05
2025-04-07,IBM,53.01,43.1,38.11
2025-04-08,IBM,59.06,47.95,42.5
2025-04-09,IBM,43.76,35.88,31.96
2025-04-10,IBM,49.92,41.29,37.65
2025-04-11,IBM,47.2,39.32,35.23
2025-04-14,IBM,43.58,35.65,32.93
